Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Averagekidluke - MEININKI (w/ Turisti, Ares, Jore & Zpoppa, WILLEM)",8,1,(x7),130204,14069.0,1003655,101232,1032627,Averagekidluke,"MEININKI (w/ Turisti, Ares, Jore & Zpoppa, WILLEM)"
2,=,Averagekidluke - Vihaa mua,8,2,(x7),110389,8319.0,852353,89919,872823,Averagekidluke,Vihaa mua
3,=,JVG - Kävi miten kävi (w/ emma & matilda),15,1,(x3),104067,12586.0,681699,10469,1446781,JVG,Kävi miten kävi (w/ emma & matilda)
4,=,ABREU - Äiti Teresa (w/ Bizi),21,1,(x11),90710,12726.0,604259,-6571,2002450,ABREU,Äiti Teresa (w/ Bizi)
5,+4,KAJ - Bara Bada Bastu,119,1,(x41),72040,21092.0,403616,18374,12024909,KAJ,Bara Bada Bastu
6,=,Sexmane - Rastat (w/ Jukka Poika),14,3,(x3),68986,8949.0,455318,2449,949138,Sexmane,Rastat (w/ Jukka Poika)
7,=,Averagekidluke - Elovena tyttö (w/ ibe),8,4,,64219,4420.0,500801,48816,516204,Averagekidluke,Elovena tyttö (w/ ibe)
8,-3,Averagekidluke - Älä pelkää (w/ Sexmane),8,5,,63837,3432.0,485817,47974,501680,Averagekidluke,Älä pelkää (w/ Sexmane)
9,-1,Lauri Haav - Aja tai kuole (w/ Mirella),29,1,(x7),63591,8805.0,416749,-3499,2282607,Lauri Haav,Aja tai kuole (w/ Mirella)
10,=,"Averagekidluke - Anna armoo (w/ Sexmane, Isac Elliot)",8,3,(x1),53600,3303.0,451292,37895,466997,Averagekidluke,"Anna armoo (w/ Sexmane, Isac Elliot)"
11,+1,Ares - Onneks,57,1,(x19),53154,7559.0,334289,192,4796381,Ares,Onneks
12,+4,"Mouhous - Räppii, Seksii & Huumeita",7,12,,52089,10859.0,313405,52089,313405,Mouhous,"Räppii, Seksii & Huumeita"
13,-2,Sara Bee - Iconic,14,5,,51847,5653.0,335874,-4640,780947,Sara Bee,Iconic
14,-1,ibe - ikilapsi (w/ Ares),15,2,(x1),51574,6905.0,327916,-5014,831228,ibe,ikilapsi (w/ Ares)
15,+6,AikaPoliisi - Herkkukauppa (Bam Tsiki Tsiki),72,7,,51204,14458.0,284463,13022,3069845,AikaPoliisi,Herkkukauppa (Bam Tsiki Tsiki)
16,+4,Portion Boys - Tämän kesän viheltelen,7,13,,50959,13743.0,303144,50959,303144,Portion Boys,Tämän kesän viheltelen
17,+9,Olavi Uusivirta - Ollaanko tämä kesä näin?,44,17,,50700,16622.0,257739,21198,941672,Olavi Uusivirta,Ollaanko tämä kesä näin?
18,-3,Sara Bee - Luuleks (w/ Ares),49,2,(x4),50125,6743.0,319684,-1250,3208566,Sara Bee,Luuleks (w/ Ares)
19,-5,Turisti - Liike on lääke,77,1,(x6),48981,5130.0,315482,850,5176780,Turisti,Liike on lääke
20,-3,Ares - Menestys on paras tapa kostaa,169,1,(x31),47545,6944.0,272109,5809,13460357,Ares,Menestys on paras tapa kostaa
21,+18,Niilo - Paha vaanii (w/ Antti),14,21,,44278,14519.0,206201,19990,410875,Niilo,Paha vaanii (w/ Antti)
22,+3,BESS - Kaistaa (w/ Käärijä),91,4,,44113,9834.0,268002,7850,4487732,BESS,Kaistaa (w/ Käärijä)
23,+14,Haloo Helsinki! - Gardenia,91,6,,42569,12566.0,219779,14779,3474135,Haloo Helsinki!,Gardenia
24,+5,Tommy Cash - Espresso Macchiato,82,2,(x3),42301,10042.0,257536,5443,2483646,Tommy Cash,Espresso Macchiato
25,+7,Mirella - Timanttei,533,1,(x48),41984,10039.0,234172,12963,33497734,Mirella,Timanttei
26,-8,ELLIMEI - Mun ihminen,70,2,(x4),41053,3067.0,265183,-835,4192405,ELLIMEI,Mun ihminen
27,+41,Portion Boys - Juhannusyö (w/ Kake Randelin),279,1,(x2),40815,24095.0,138054,29075,7420814,Portion Boys,Juhannusyö (w/ Kake Randelin)
28,-5,Averagekidluke - Diva,218,1,(x41),40437,4612.0,266510,3097,11221249,Averagekidluke,Diva
29,-7,Jenni Vartiainen - Leima (w/ Turisti),91,1,(x6),39763,3117.0,253658,1485,5630095,Jenni Vartiainen,Leima (w/ Turisti)
30,+1,Isac Elliot - Vanhasta Uuteen,84,1,(x1),39723,7734.0,262053,-1112,4559168,Isac Elliot,Vanhasta Uuteen
31,-7,emma & matilda - Sisko,91,3,(x7),38988,3496.0,247671,1220,4599368,emma & matilda,Sisko
32,+11,Arttu Wiskari - AAAA,7,23,,38788,12084.0,219349,38788,219349,Arttu Wiskari,AAAA
33,+1,JVG - Rehellisesti,141,1,(x5),38488,7566.0,228043,6612,7823172,JVG,Rehellisesti
34,-15,Averagekidluke - Aitomies (w/ Ares),8,9,,37847,446.0,365564,25211,378200,Averagekidluke,Aitomies (w/ Ares)
35,+22,Komiat - Kaihosielu,77,35,,37240,16216.0,157730,21831,1296287,Komiat,Kaihosielu
36,-8,DAVI - Yks mun ongelmist (w/ Jore & Zpoppa),56,3,(x1),37001,4704.0,239330,-1479,3064286,DAVI,Yks mun ongelmist (w/ Jore & Zpoppa)
37,-10,"Ares - Iha miten vaa (w/ Averagekidluke, Turisti)",239,2,(x7),35394,2058.0,247391,2440,9172011,Ares,"Iha miten vaa (w/ Averagekidluke, Turisti)"
