Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Hamza - KYKY2BONDY,49,1,(x34),495797,-22448.0,3559586,-22774,28597619,Hamza,KYKY2BONDY
2,=,Nono La Grinta - Paris,78,1,(x6),400383,-42915.0,2969233,-116676,21041162,Nono La Grinta,Paris
3,+1,KeBlack - Melrose Place (w/ Guy2Bezbar),77,1,(x3),365329,6399.0,2460011,28190,25720886,KeBlack,Melrose Place (w/ Guy2Bezbar)
4,-1,KeBlack - Mood,113,2,(x7),356156,-4197.0,2452124,10558,38598209,KeBlack,Mood
5,+1,Damso - Impardonnable,22,2,(x1),321515,-6475.0,2311426,-83724,8695410,Damso,Impardonnable
6,-1,GIMS - NINAO,119,1,(x48),317542,-21748.0,2265525,17318,50041729,GIMS,NINAO
7,=,SEYSEY - Mia (w/ BOLEMVN),28,7,,269143,-21042.0,1936822,-12651,7244603,SEYSEY,Mia (w/ BOLEMVN)
8,=,Damso - Pa Pa Paw (w/ SARAH SEY),21,5,,268028,-10319.0,1942127,-41291,6165225,Damso,Pa Pa Paw (w/ SARAH SEY)
9,+1,Werenoi - Piano (w/ GIMS),49,4,,255697,-4696.0,1839118,-17482,14894167,Werenoi,Piano (w/ GIMS)
10,+2,1D1R - Balade (w/ Vacra),62,10,,252674,10308.0,1696312,13226,10418362,1D1R,Balade (w/ Vacra)
11,-2,Jul - Mimi,56,1,(x2),246264,-17907.0,1799809,-12011,18807570,Jul,Mimi
12,-1,L2B - Pélican,126,2,(x5),242322,-11746.0,1649367,16964,36785111,L2B,Pélican
13,=,DJ Kawest - Chambre 04 (w/ Attachingboy),127,2,(x1),228247,-9302.0,1512583,22830,34914177,DJ Kawest,Chambre 04 (w/ Attachingboy)
14,+2,Booba - Dolce Camara (w/ SDM),497,2,(x3),225679,-6622.0,1596480,-13242,79105753,Booba,Dolce Camara (w/ SDM)
15,+2,Alex Warren - Ordinary,98,12,,220937,-1935.0,1553826,-6498,17595048,Alex Warren,Ordinary
16,-2,Jul - Phénoménal,70,1,(x6),215984,-17095.0,1570569,-12954,20860416,Jul,Phénoménal
17,-2,Siaka - Los Angeles,65,5,,205504,-26842.0,1546947,-60868,12387883,Siaka,Los Angeles
18,=,GIMS - CIEL,235,1,(x45),200968,-17851.0,1452498,11011,77834790,GIMS,CIEL
19,=,GIMS - SPIDER (w/ DYSTINCT),406,1,(x23),197439,-5310.0,1394936,16889,134758559,GIMS,SPIDER (w/ DYSTINCT)
20,+4,Anyme023 - Shamballa (w/ Shaydee's),91,14,,186291,-7503.0,1216734,25727,14483883,Anyme023,Shamballa (w/ Shaydee's)
21,=,Charlotte Cardin - Feel Good,159,6,,184303,-11333.0,1312398,-1449,33557516,Charlotte Cardin,Feel Good
22,+1,L2B - Tout Pour L'équipe,68,11,,184082,-9820.0,1299121,-5470,12846065,L2B,Tout Pour L'équipe
23,-3,GIMS - SOIS PAS TIMIDE,336,1,(x53),179526,-20348.0,1361740,10626,122519867,GIMS,SOIS PAS TIMIDE
24,-2,Jul - Bwo,162,13,,174578,-20631.0,1272835,-4932,17802381,Jul,Bwo
25,=,GIMS - APPELLE TA COPINE,28,25,,174432,-731.0,1171408,-292,4116616,GIMS,APPELLE TA COPINE
26,+4,SDM - CARTIER SANTOS,266,1,(x38),173078,9079.0,1112413,17980,82534421,SDM,CARTIER SANTOS
27,-1,WizTheMc - Show Me Love (w/ bees & honey),113,15,,171128,-3252.0,1194714,9950,17005179,WizTheMc,Show Me Love (w/ bees & honey)
28,+1,Lola Young - Messy,187,7,,167349,2275.0,1151772,6610,35540868,Lola Young,Messy
29,+3,Theodora - ZOU BISOU (w/ Jul),21,19,,164524,3387.0,1161093,-26806,3590274,Theodora,ZOU BISOU (w/ Jul)
30,+1,Ed Sheeran - Azizam,69,26,,163907,2481.0,1126453,10448,8380606,Ed Sheeran,Azizam
31,+4,Rim'K - Run (w/ SDM),161,5,,163723,13369.0,1067063,11940,32944438,Rim'K,Run (w/ SDM)
32,-5,Theodora - FASHION DESIGNA,66,27,,162234,-3330.0,1100809,-1529,7443025,Theodora,FASHION DESIGNA
33,-5,Werenoi - Pétunias,259,2,(x2),158419,-6936.0,1155967,-11970,45971229,Werenoi,Pétunias
34,-1,Theodora - PAY! (w/ Guy2Bezbar),56,17,,155901,2811.0,1078935,-17094,8649747,Theodora,PAY! (w/ Guy2Bezbar)
35,-1,GIMS - TOUCHÉ (w/ KeBlack),70,9,,155233,3925.0,1064460,7447,11834849,GIMS,TOUCHÉ (w/ KeBlack)
36,=,Bad Bunny - DtMF,162,1,(x4),146308,591.0,999605,-2312,32626019,Bad Bunny,DtMF
37,=,Jul - Sous la lune,286,2,(x3),139454,-818.0,937409,8335,50367134,Jul,Sous la lune
38,+3,Barth - Code,15,38,,134769,-2686.0,828701,33436,1466537,Barth,Code
39,+8,Werenoi - Poney,70,4,,133843,3240.0,928439,-12151,15730603,Werenoi,Poney
40,+2,Doechii - Anxiety,106,7,,133697,-2999.0,957238,-7041,20463943,Doechii,Anxiety
41,+3,Werenoi - Chemin d'or,813,4,,131778,-123.0,935814,-2897,89060847,Werenoi,Chemin d'or
42,-2,La Mano 1.9 - Sexy Woman,140,9,,130927,-6574.0,877977,-977,21669520,La Mano 1.9,Sexy Woman
43,+3,David Guetta - Beautiful People (w/ Sia),92,40,,130045,-1076.0,894052,12646,10066748,David Guetta,Beautiful People (w/ Sia)
44,+1,TKS 2G - Whine,23,34,,129924,-1541.0,907674,-28044,2850221,TKS 2G,Whine
45,+6,Gazo - NANANI NANANA,203,1,(x46),129576,4325.0,855176,26048,67050572,Gazo,NANANI NANANA
46,-7,Damso - Love is blind,22,5,,129241,-8984.0,1017438,-65928,4779675,Damso,Love is blind
47,+3,Aya Nakamura - Baddies (w/ Joé Dwèt Filé),36,8,,125708,140.0,889480,-11980,6379460,Aya Nakamura,Baddies (w/ Joé Dwèt Filé)
48,-10,Ninho - Vrais,212,14,,125292,-14796.0,904433,-13806,27994052,Ninho,Vrais
