Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Sabrina Carpenter - Manchild,14,1,(x12),529891,10569.0,3779409,-50526,7599134,Sabrina Carpenter,Manchild
2,=,Alex Warren - Ordinary,133,1,(x87),479343,7925.0,3445987,-11144,63533299,Alex Warren,Ordinary
3,=,Ravyn Lenae - Love Me Not,123,2,(x14),404616,16942.0,2739769,23757,30603045,Ravyn Lenae,Love Me Not
4,=,MK - Dior (w/ Chrystal),14,4,,385434,15632.0,2316238,153475,3633982,MK,Dior (w/ Chrystal)
5,=,sombr - undressed,88,2,(x23),304944,-5558.0,2148139,-25371,23998493,sombr,undressed
6,+1,Chappell Roan - Pink Pony Club,362,2,(x28),303294,18817.0,2038355,32622,80823440,Chappell Roan,Pink Pony Club
7,+2,"Fred again.. - Victory Lap (w/ Skepta, PlaqueBoyMax)",2,7,,295148,50741.0,539555,295148,539555,Fred again..,"Victory Lap (w/ Skepta, PlaqueBoyMax)"
8,-2,sombr - back to friends,99,4,,293200,-3481.0,2095079,-33572,23075331,sombr,back to friends
9,-1,"Max Dean - Can't Decide (w/ Luke Dean, Locky)",28,7,,253526,8773.0,1639779,33831,5993580,Max Dean,"Can't Decide (w/ Luke Dean, Locky)"
10,+1,Olivia Dean - Nice To Each Other,20,7,,248793,9921.0,1646906,2580,3730845,Olivia Dean,Nice To Each Other
11,-1,Billie Eilish - BIRDS OF A FEATHER,399,1,(x8),248219,6558.0,1680201,18652,152967872,Billie Eilish,BIRDS OF A FEATHER
12,=,Lola Young - Messy,215,1,(x30),241434,12877.0,1522609,42433,69282621,Lola Young,Messy
13,+1,Gracie Abrams - That’s So True,245,1,(x56),224495,2165.0,1541855,16197,98697850,Gracie Abrams,That’s So True
14,-1,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,5,,224200,-4295.0,1553503,-18476,5161535,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
15,+3,Benson Boone - Mystical Magical,56,11,,216700,17933.0,1460633,22217,8879946,Benson Boone,Mystical Magical
16,-1,Skye Newman - Family Matters,35,7,,216070,1387.0,1489610,2480,7574005,Skye Newman,Family Matters
17,=,"Chappell Roan - Good Luck, Babe!",439,2,(x27),216036,9837.0,1426167,15521,139919514,Chappell Roan,"Good Luck, Babe!"
18,+1,Calvin Harris - Blessings (w/ Clementine Douglas),42,7,,214371,16854.0,1346089,38039,8351346,Calvin Harris,Blessings (w/ Clementine Douglas)
19,-3,Benson Boone - Beautiful Things,518,1,(x8),213210,1321.0,1534615,11420,157201324,Benson Boone,Beautiful Things
20,+3,Ed Sheeran - Azizam,73,4,,207344,17398.0,1370244,26635,14488842,Ed Sheeran,Azizam
21,=,Lola Young - One Thing,35,18,,201251,8352.0,1313334,9120,5445541,Lola Young,One Thing
22,=,Ed Sheeran - Sapphire,14,12,,198946,7585.0,1356235,12506,2618396,Ed Sheeran,Sapphire
23,-3,Charli xcx - party 4 u,61,17,,198122,3264.0,1301403,13379,10254055,Charli xcx,party 4 u
24,+2,Sabrina Carpenter - Espresso,434,1,(x65),192193,5349.0,1318079,16911,169903028,Sabrina Carpenter,Espresso
25,=,Myles Smith - Stargazing,406,6,,189757,2672.0,1297230,32521,95920574,Myles Smith,Stargazing
26,+1,Chrystal - The Days - NOTION Remix (w/ NOTION),186,6,,188442,2634.0,1231638,26524,37569931,Chrystal,The Days - NOTION Remix (w/ NOTION)
27,+1,Sabrina Carpenter - Taste,301,1,(x60),184549,4786.0,1237510,8657,99563692,Sabrina Carpenter,Taste
28,-4,Gigi Perez - Sailor Song,324,1,(x10),181860,-5249.0,1294550,-8236,100863963,Gigi Perez,Sailor Song
29,=,Tate McRae - Sports car,147,4,,175186,-3656.0,1189955,3581,34752469,Tate McRae,Sports car
30,+1,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",79,17,,170987,4747.0,1186630,7205,11360824,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
31,+3,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,2,(x1),165868,4170.0,1171188,5141,96022576,Lady Gaga,Die With A Smile (w/ Bruno Mars)
