Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Fuerza Regida - TU SANCHO,49,1,(x9),72224,4203.0,489748,-3151,2563790,Fuerza Regida,TU SANCHO
2,-1,Neton Vega - Morena (w/ Peso Pluma),126,1,(x56),71202,-1781.0,502013,-3373,9081653,Neton Vega,Morena (w/ Peso Pluma)
3,=,Fuerza Regida - Marlboro Rojo,49,1,(x1),61235,2918.0,406208,2206,2779964,Fuerza Regida,Marlboro Rojo
4,=,Tito Double P - TATTOO,112,1,(x14),53607,-2718.0,379746,-5797,8943929,Tito Double P,TATTOO
5,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),180,4,,51514,1616.0,356520,2701,7531851,Fuerza Regida,COQUETA (w/ Grupo Frontera)
6,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",116,4,,46459,-1200.0,344467,-4038,5811427,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
7,+2,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),79,4,,45197,3072.0,320822,-4758,4036574,Los Dareyes De La Sierra,Vita Fer (w/ Tito Double P)
8,-1,Jin - Don’t Say You Love Me,35,4,,45013,-531.0,299027,3411,1529567,Jin,Don’t Say You Love Me
9,+3,Oscar Maydon - Asquerosamente Rico (w/ Peso Pluma),14,9,,41683,1213.0,269231,4502,437827,Oscar Maydon,Asquerosamente Rico (w/ Peso Pluma)
10,=,Beéle - no tiene sentido,32,8,,41189,416.0,296752,-6063,1156699,Beéle,no tiene sentido
11,-3,Neton Vega - Chiquita (w/ Tito Double P),121,6,,40637,-3120.0,302337,-1606,4437866,Neton Vega,Chiquita (w/ Tito Double P)
12,+2,Xavi - En Privado (w/ Manuel Turizo),132,1,(x21),40103,25.0,292121,-3058,9295848,Xavi,En Privado (w/ Manuel Turizo)
13,-2,Neton Vega - M&M,125,3,(x3),39662,-1040.0,306900,-5042,7035399,Neton Vega,M&M
14,+1,Clave Especial - COMO CAPO (w/ Fuerza Regida),115,4,,39326,-327.0,281534,-2302,4938490,Clave Especial,COMO CAPO (w/ Fuerza Regida)
15,+3,Clave Especial - TU TU TU (w/ Edgardo Nuñez),82,3,(x2),39225,565.0,284206,-8806,3772564,Clave Especial,TU TU TU (w/ Edgardo Nuñez)
16,-3,Calle 24 - SUIZA,49,13,,39189,-923.0,265730,1114,1354587,Calle 24,SUIZA
17,-1,Fuerza Regida - ANSIEDAD,49,7,,39009,-295.0,273313,-1161,1934515,Fuerza Regida,ANSIEDAD
18,+5,Tito Double P - DOS DÍAS (w/ Peso Pluma),300,4,,38958,4371.0,258816,2303,17158142,Tito Double P,DOS DÍAS (w/ Peso Pluma)
19,-2,Alemán - Te Quería Ver (w/ Neton Vega),138,2,(x1),38103,-852.0,271063,372,8460597,Alemán,Te Quería Ver (w/ Neton Vega)
20,-1,Fuerza Regida - ME JALO (w/ Grupo Frontera),182,3,(x11),37770,-289.0,272459,-1661,10619951,Fuerza Regida,ME JALO (w/ Grupo Frontera)
21,-1,Fuerza Regida - Por Esos Ojos,128,4,,35163,-2388.0,261237,-2806,7555114,Fuerza Regida,Por Esos Ojos
22,+7,Tito Double P - NADIE,210,1,(x1),34461,3549.0,230538,-729,14398599,Tito Double P,NADIE
23,-2,Oscar Maydon - Amigos? No. (w/ Neton Vega),105,10,,33668,-1919.0,258187,-7380,4271821,Oscar Maydon,Amigos? No. (w/ Neton Vega)
24,+2,Bad Bunny - EoO,166,2,(x1),33531,744.0,232157,-3202,9444527,Bad Bunny,EoO
25,=,Bad Bunny - BAILE INoLVIDABLE,166,1,(x1),33024,156.0,232359,-1399,10884182,Bad Bunny,BAILE INoLVIDABLE
26,-2,Gabito Ballesteros - 7 DÍAS (w/ Tito Double P),28,12,,32725,-630.0,234519,-2526,1094653,Gabito Ballesteros,7 DÍAS (w/ Tito Double P)
27,+1,Peso Pluma - HOLLYWOOD (w/ Estevan Plazola),364,9,,32013,-138.0,229944,-1089,15033203,Peso Pluma,HOLLYWOOD (w/ Estevan Plazola)
28,+7,Danny Ocean - Me Rehúso,3125,1,(x14),31935,2854.0,204874,-13561,34311665,Danny Ocean,Me Rehúso
29,-7,Tito Double P - CHAMPAGNE,35,4,,31882,-3053.0,239043,-8517,1572967,Tito Double P,CHAMPAGNE
30,-3,Esau Ortiz - Triple Lavada,77,11,,31345,-1353.0,230323,-3367,3187645,Esau Ortiz,Triple Lavada
31,+2,Oscar Maydon - Tu Boda (w/ Fuerza Regida),266,1,(x83),31120,1138.0,229273,-5261,21239791,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
32,-1,Tito Double P - ROSONES,196,2,(x14),30856,569.0,216574,-1322,12486793,Tito Double P,ROSONES
33,-3,Neton Vega - Loco,175,1,(x6),30705,-50.0,225093,-3022,9550368,Neton Vega,Loco
34,=,Bad Bunny - DtMF,166,1,(x31),30154,688.0,218076,-3038,12187200,Bad Bunny,DtMF
35,-3,Beéle - Mi Refe (w/ Ovy On The Drums),177,18,,29849,-267.0,209981,905,5969076,Beéle,Mi Refe (w/ Ovy On The Drums)
36,+7,J Balvin - LA CANCIÓN (w/ Bad Bunny),2182,1,(x19),28956,3400.0,196443,1777,50802744,J Balvin,LA CANCIÓN (w/ Bad Bunny)
37,+2,Danny Ocean - Imagínate (w/ Kapo),221,24,,27921,893.0,191200,554,6695472,Danny Ocean,Imagínate (w/ Kapo)
38,+6,KAROL G - Si Antes Te Hubiera Conocido,364,1,(x82),27584,2261.0,190874,1382,20036474,KAROL G,Si Antes Te Hubiera Conocido
39,+13,Junior H - Y LLORO,623,5,,27429,5572.0,174258,1347,25112058,Junior H,Y LLORO
40,-4,Junior H - MIENTRAS DUERMES,131,36,,26615,-1601.0,185420,521,2766748,Junior H,MIENTRAS DUERMES
41,=,"Chuyin - Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)",154,17,,26548,629.0,193667,-1255,5471655,Chuyin,"Pika Pika (w/ Fuerza Regida, Jorsshh, Calle 24)"
42,-5,Julión Álvarez y su Norteño Banda - Rey Sin Reina,286,1,(x29),26469,-1493.0,180861,537,15757277,Julión Álvarez y su Norteño Banda,Rey Sin Reina
43,+12,Juan Freer - Yo Vengo De La Nada (w/ miguel cornejo),168,17,,26381,4903.0,173090,879,5089548,Juan Freer,Yo Vengo De La Nada (w/ miguel cornejo)
44,+15,Plan B - Es un Secreto,1437,3,(x2),25928,5382.0,170509,6387,36846185,Plan B,Es un Secreto
45,-5,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",107,19,,25807,-593.0,183169,801,3281785,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
46,-4,Tito Double P - 5-7 (w/ Junior H),296,13,,25575,-32.0,178192,-1347,10426673,Tito Double P,5-7 (w/ Junior H)
47,-1,Tito Double P - EL LOKERON,301,3,(x38),25340,1593.0,179607,-1749,15487882,Tito Double P,EL LOKERON
48,+3,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",1130,21,,25088,3222.0,154200,946,13657474,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
49,-2,Neton Vega - Todo a Su Tiempo,155,17,,25031,1751.0,168165,-2496,4693460,Neton Vega,Todo a Su Tiempo
50,=,Julión Álvarez y su Norteño Banda - Regalo De Dios,535,3,(x8),24810,2788.0,168674,1156,22747890,Julión Álvarez y su Norteño Banda,Regalo De Dios
51,-13,Bad Bunny - KLOuFRENS,166,12,,23766,-3772.0,170003,-691,6318508,Bad Bunny,KLOuFRENS
