Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,35,1,(x30),49267,809.0,345084,3881,1425992,Jin,Don’t Say You Love Me
2,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",117,1,(x44),21749,-1335.0,167758,-1675,2977444,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
3,=,Fuerza Regida - TU SANCHO,42,3,(x14),19379,921.0,134126,340,666034,Fuerza Regida,TU SANCHO
4,=,Beéle - no tiene sentido,35,3,(x4),18127,-278.0,130473,-785,520511,Beéle,no tiene sentido
5,=,Neton Vega - Morena (w/ Peso Pluma),125,3,(x2),17489,-905.0,125584,-28,1983715,Neton Vega,Morena (w/ Peso Pluma)
6,=,Fuerza Regida - Marlboro Rojo,46,2,(x1),16936,56.0,116487,754,769298,Fuerza Regida,Marlboro Rojo
7,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),163,2,(x2),16472,439.0,117972,723,1878034,Fuerza Regida,COQUETA (w/ Grupo Frontera)
8,=,Beéle - Mi Refe (w/ Ovy On The Drums),179,3,(x3),15445,-564.0,112123,616,2982384,Beéle,Mi Refe (w/ Ovy On The Drums)
9,=,Bad Bunny - EoO,166,1,(x8),14797,-164.0,107849,-1120,4826521,Bad Bunny,EoO
10,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,1,(x1),14443,-403.0,103516,-15,4275510,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
11,+2,Bad Bunny - BAILE INoLVIDABLE,166,1,(x33),13503,25.0,99503,-678,4754020,Bad Bunny,BAILE INoLVIDABLE
12,=,Beéle - top diesel,28,12,,13462,-312.0,90435,2177,271391,Beéle,top diesel
13,-2,Bad Bunny - KLOuFRENS,166,7,,12536,-2295.0,92547,-619,3151922,Bad Bunny,KLOuFRENS
14,+1,Clave Especial - COMO CAPO (w/ Fuerza Regida),112,7,,12534,110.0,91040,-254,1333968,Clave Especial,COMO CAPO (w/ Fuerza Regida)
15,-1,Tito Double P - TATTOO,112,6,,12077,-1034.0,88114,-1035,1803598,Tito Double P,TATTOO
16,+1,Jin - Running Wild,163,1,(x43),12026,-357.0,86174,-349,3924978,Jin,Running Wild
17,+1,Clave Especial - TU TU TU (w/ Edgardo Nuñez),80,8,,11975,-47.0,88498,-2016,1016982,Clave Especial,TU TU TU (w/ Edgardo Nuñez)
18,-2,Fuerza Regida - Por Esos Ojos,128,4,,11532,-851.0,89782,-943,2063564,Fuerza Regida,Por Esos Ojos
19,+1,Bad Bunny - DtMF,166,1,(x41),11527,-83.0,86853,-1463,4724341,Bad Bunny,DtMF
20,-1,Fuerza Regida - ME JALO (w/ Grupo Frontera),176,4,,11502,-258.0,86736,-475,2687007,Fuerza Regida,ME JALO (w/ Grupo Frontera)
21,+2,Beéle - si te pillara,22,21,,11209,464.0,71072,2825,155523,Beéle,si te pillara
22,+9,J Balvin - LA CANCIÓN (w/ Bad Bunny),2183,1,(x71),11081,1395.0,77038,1270,19875311,J Balvin,LA CANCIÓN (w/ Bad Bunny)
23,+11,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",1560,14,,10634,1002.0,69152,824,7406741,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
24,+3,Bad Bunny - VOY A LLeVARTE PA PR,166,2,(x1),10595,389.0,76289,-163,3504768,Bad Bunny,VOY A LLeVARTE PA PR
25,+3,Los Dareyes De La Sierra - Vita Fer (w/ Tito Double P),77,15,,10500,351.0,78212,-1154,876261,Los Dareyes De La Sierra,Vita Fer (w/ Tito Double P)
26,-5,Fuerza Regida - ANSIEDAD,47,11,,10451,-520.0,76409,-207,519975,Fuerza Regida,ANSIEDAD
27,+8,Tito Double P - DOS DÍAS (w/ Peso Pluma),294,8,,10430,818.0,71028,1134,3792469,Tito Double P,DOS DÍAS (w/ Peso Pluma)
28,-6,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",108,7,,10304,-445.0,77418,702,1376485,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
29,-4,Beéle - sobelove,105,9,,10110,-501.0,74751,151,1352269,Beéle,sobelove
30,-4,Alemán - Te Quería Ver (w/ Neton Vega),134,3,(x4),9916,-504.0,74046,155,2088831,Alemán,Te Quería Ver (w/ Neton Vega)
31,-1,Neton Vega - M&M,123,15,,9686,-214.0,76190,-870,1475921,Neton Vega,M&M
32,+21,Plan B - Es un Secreto,1491,2,(x1),9620,1628.0,67354,2366,13846481,Plan B,Es un Secreto
33,+3,Peso Pluma - HOLLYWOOD (w/ Estevan Plazola),335,18,,9563,172.0,69308,218,3442309,Peso Pluma,HOLLYWOOD (w/ Estevan Plazola)
34,-10,Neton Vega - Chiquita (w/ Tito Double P),105,21,,9510,-1122.0,72987,275,890727,Neton Vega,Chiquita (w/ Tito Double P)
35,-6,Xavi - En Privado (w/ Manuel Turizo),128,5,,9491,-562.0,73078,-643,1978629,Xavi,En Privado (w/ Manuel Turizo)
36,-3,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),217,2,(x3),9482,-172.0,67181,-20,3896062,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
37,+1,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),331,16,,9432,98.0,65413,296,2517757,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
38,+2,Danny Ocean - Imagínate (w/ Kapo),222,14,,9109,375.0,63631,456,2620427,Danny Ocean,Imagínate (w/ Kapo)
39,+3,Bad Bunny - NUEVAYoL,166,1,(x1),9093,450.0,64760,378,3309597,Bad Bunny,NUEVAYoL
