Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,DESH - Vinnipu,37,1,(x15),60729,350.0,401977,1163,1990106,DESH,Vinnipu
2,=,Beton.Hofi - BE VAGYOK ZÁRVA,46,1,(x14),52456,-639.0,356563,-3086,2846274,Beton.Hofi,BE VAGYOK ZÁRVA
3,=,Beton.Hofi - ANGYALOK,4,3,(x3),46539,-518.0,156800,46539,156800,Beton.Hofi,ANGYALOK
4,+2,"DESH - PANNONIA (w/ Young Fly, Azahriah)",329,1,(x123),43906,4361.0,285435,3211,16535172,DESH,"PANNONIA (w/ Young Fly, Azahriah)"
5,-1,DESH - Talpra cigányok,49,1,(x18),43540,-1597.0,303516,-336,2984506,DESH,Talpra cigányok
6,-1,Dzsúdló - SÖTÉT,36,1,(x2),42764,-25.0,283626,2269,1814756,Dzsúdló,SÖTÉT
7,=,DESH - SUV (w/ Young Fly),326,1,(x19),41649,4407.0,258584,5334,13541724,DESH,SUV (w/ Young Fly)
8,=,Dzsúdló - díva (w/ DESH),312,3,(x7),38224,1585.0,246471,3551,9154152,Dzsúdló,díva (w/ DESH)
9,+1,Beton.Hofi - POKOL,25,5,,27272,127.0,194840,-4994,746080,Beton.Hofi,POKOL
10,-1,"DESH - BAKPAKK (w/ Young Fly, Azahriah)",344,1,(x22),25481,-1986.0,198347,-2590,12659051,DESH,"BAKPAKK (w/ Young Fly, Azahriah)"
11,+2,Beton.Hofi - MEGGYFÁN (w/ ANUBII$),468,4,,25181,2600.0,166256,-1914,7175819,Beton.Hofi,MEGGYFÁN (w/ ANUBII$)
12,-1,DESH - MOKKA (w/ Young Fly),335,1,(x17),24284,-549.0,164983,2469,11841836,DESH,MOKKA (w/ Young Fly)
13,+2,"DESH - Rampapapam (w/ Young Fly, Azahriah, Lord Panamo)",699,1,(x96),23083,2237.0,148891,3003,19590625,DESH,"Rampapapam (w/ Young Fly, Azahriah, Lord Panamo)"
14,-2,Alex Warren - Ordinary,133,3,(x1),22855,52.0,158003,-1992,2704104,Alex Warren,Ordinary
15,-1,DESH - Strawberry,414,1,(x32),22156,-308.0,160240,-1799,11897579,DESH,Strawberry
16,=,DESH - Egy éjszaka,38,3,(x1),20851,1056.0,141216,-1192,994823,DESH,Egy éjszaka
17,=,"KKevin - BANDANA (w/ DESH, Young Fly)",323,1,(x1),20112,1834.0,137447,-272,9098367,KKevin,"BANDANA (w/ DESH, Young Fly)"
18,=,Beton.Hofi - BAGIRA (w/ Hundred Sins),1036,1,(x89),19172,1000.0,134321,-1790,21702208,Beton.Hofi,BAGIRA (w/ Hundred Sins)
19,+2,Azahriah - Felednéd (w/ DESH),1010,5,,18805,1404.0,132491,2220,10469250,Azahriah,Felednéd (w/ DESH)
20,=,"Majka - Csurran, cseppen",149,1,(x36),18607,840.0,123434,1555,5085257,Majka,"Csurran, cseppen"
21,-2,WizTheMc - Show Me Love (w/ bees & honey),133,1,(x1),18204,256.0,125132,-37,2786766,WizTheMc,Show Me Love (w/ bees & honey)
22,=,BSW - Lidokain (w/ ByeAlex és a Slepp),312,2,(x4),17304,-95.0,117291,1121,8384308,BSW,Lidokain (w/ ByeAlex és a Slepp)
23,=,Manuel - Nosztalgia,132,1,(x24),17129,608.0,110935,790,3463668,Manuel,Nosztalgia
24,=,Ravyn Lenae - Love Me Not,110,18,,16828,323.0,112997,97,1277460,Ravyn Lenae,Love Me Not
25,+6,DESH - Osztriga,575,1,(x8),16669,2419.0,94106,4083,9199750,DESH,Osztriga
26,=,"Mario - Rajosan 3 (w/ Essemm, Beat)",63,13,,16330,320.0,118297,-1819,1057884,Mario,"Rajosan 3 (w/ Essemm, Beat)"
27,-2,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,10,,15800,-480.0,113685,-5236,402157,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
28,-1,Black Eyed Peas - Rock That Body,26,27,,15694,246.0,99850,2881,266127,Black Eyed Peas,Rock That Body
29,+5,Pogány Induló - Úgy Hiszem,503,1,(x10),15386,1608.0,91379,2241,11960050,Pogány Induló,Úgy Hiszem
30,-2,KKevin - PLEKNI (w/ VINI),15,8,,15327,489.0,108930,-5346,283684,KKevin,PLEKNI (w/ VINI)
31,-2,DESH - LEVÉL,190,2,(x3),15140,422.0,96364,1968,3207057,DESH,LEVÉL
32,-2,sombr - back to friends,95,23,,14925,382.0,101267,-1615,1162299,sombr,back to friends
33,+3,Hien - Túl szép,53,6,,14415,914.0,95223,544,1058258,Hien,Túl szép
34,-1,Beton.Hofi - SOFIA COPPOLA (w/ ANUBII$),460,7,,14398,333.0,106908,-3250,4321653,Beton.Hofi,SOFIA COPPOLA (w/ ANUBII$)
35,=,"Beton.Hofi - TISZALÖK (w/ ajsa luna, Hundred Sins, Beatrick)",1009,3,(x1),14098,423.0,98005,-692,11324651,Beton.Hofi,"TISZALÖK (w/ ajsa luna, Hundred Sins, Beatrick)"
36,+1,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",325,26,,13983,537.0,92124,1314,2825924,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
37,+5,Pogány Induló - Afro Beat (w/ ANUBII$),842,3,(x1),13810,1227.0,88925,1467,14310068,Pogány Induló,Afro Beat (w/ ANUBII$)
38,-6,Sabrina Carpenter - Manchild,14,25,,13706,-391.0,99503,-2993,197110,Sabrina Carpenter,Manchild
39,+10,L.L. Junior - GIN TONIC (w/ Azahriah),49,4,,13374,1914.0,86384,-968,753956,L.L. Junior,GIN TONIC (w/ Azahriah)
40,-2,DESH - CHOCO MOMMY (w/ Young Fly),328,5,,13214,-199.0,100027,-2048,5172589,DESH,CHOCO MOMMY (w/ Young Fly)
41,+2,"DESH - Rollin' (w/ Young Fly, KKevin)",713,1,(x16),13146,676.0,88043,1356,10871873,DESH,"Rollin' (w/ Young Fly, KKevin)"
42,-1,Azahriah - Mind1 (w/ DESH),1480,1,(x90),12928,42.0,93561,934,24068777,Azahriah,Mind1 (w/ DESH)
43,-3,sombr - undressed,89,19,,12814,-173.0,86259,-1033,1063759,sombr,undressed
44,+2,Azahriah - Rét (w/ DESH),804,11,,12635,1027.0,81406,1963,10587539,Azahriah,Rét (w/ DESH)
45,=,Pogány Induló - Mámor,503,2,(x10),12336,679.0,77337,1428,9747220,Pogány Induló,Mámor
46,-7,Carson Coma - Frida Kahlo (w/ Beton.Hofi),310,5,,12186,-988.0,93473,-1819,2670657,Carson Coma,Frida Kahlo (w/ Beton.Hofi)
47,+1,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",60,29,,11694,190.0,82059,-1122,637070,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
48,+5,"Beton.Hofi - KINT VAGYOK A SORON (w/ ANUBII$, Pogány Induló, VZS)",279,5,,11554,794.0,86523,-3405,2397899,Beton.Hofi,"KINT VAGYOK A SORON (w/ ANUBII$, Pogány Induló, VZS)"
49,+6,Pogány Induló - KETTŐ/KETTŐ,91,1,(x4),11544,869.0,83549,-2243,1636365,Pogány Induló,KETTŐ/KETTŐ
50,-3,"Beton.Hofi - HOLNAP MEGÁLLNAK AZ ÓRÁK (w/ Hundred Sins, laurie., Dom Beats)",466,11,,11477,-30.0,88257,-4048,4307210,Beton.Hofi,"HOLNAP MEGÁLLNAK AZ ÓRÁK (w/ Hundred Sins, laurie., Dom Beats)"
51,+3,BSW - Passport,194,1,(x9),11450,726.0,74795,350,3991341,BSW,Passport
52,-2,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",355,16,,11330,169.0,75582,854,3646358,Adam Port,"Move (w/ Stryv, Keinemusik, Orso, Malachiii)"
53,+4,T. Danny - SZÍVTIPRÓ,364,1,(x18),11062,449.0,72995,705,7633235,T. Danny,SZÍVTIPRÓ
54,+19,ByeAlex és a Slepp - bangkok,237,9,,11037,1631.0,66375,158,2676533,ByeAlex és a Slepp,bangkok
55,-11,T. Danny - VIDÉKI CSAJSZI,259,1,(x5),11011,-706.0,74593,678,6254588,T. Danny,VIDÉKI CSAJSZI
56,-5,Pogány Induló - Székelykapu (w/ Parno Graszt),502,3,(x20),10976,-182.0,78774,683,9312750,Pogány Induló,Székelykapu (w/ Parno Graszt)
57,+10,Bazsi - HENN (SANDELA),515,4,,10940,1209.0,69768,1136,7778743,Bazsi,HENN (SANDELA)
58,+4,Dzsúdló - egyszerű,278,8,,10892,825.0,68114,1094,3108029,Dzsúdló,egyszerű
59,+10,Dzsúdló - Várnék (w/ Azahriah),1036,1,(x11),10425,773.0,66805,1357,15678962,Dzsúdló,Várnék (w/ Azahriah)
60,+8,Don Omar - Danza Kuduro (w/ Lucenzo),1039,8,,10416,715.0,71275,1245,7175986,Don Omar,Danza Kuduro (w/ Lucenzo)
61,+4,Damiano David - The First Time,30,23,,10342,456.0,68554,-1459,343928,Damiano David,The First Time
62,-10,Azahriah - 3korty,780,1,(x50),10135,-743.0,79199,-2087,17081429,Azahriah,3korty
63,+1,Azahriah - Miafasz (w/ DESH),1124,2,(x50),10112,149.0,68855,385,15626045,Azahriah,Miafasz (w/ DESH)
64,-3,GIMS - NINAO,102,17,,10039,-64.0,71297,-950,1003280,GIMS,NINAO
65,-9,Imagine Dragons - Bones,947,15,,9970,-655.0,92360,1522,8499913,Imagine Dragons,Bones
66,+22,"L.L. Junior - ZHA MAJ DUR (w/ Azahriah, Farkas Pisti)",126,3,(x5),9953,1099.0,67805,-1473,1819654,L.L. Junior,"ZHA MAJ DUR (w/ Azahriah, Farkas Pisti)"
67,-9,Imagine Dragons - Whatever It Takes,731,15,,9937,-600.0,84903,2674,1639626,Imagine Dragons,Whatever It Takes
68,+2,Moriones - EZ AZ ÁRA,307,8,,9931,302.0,63894,893,5086339,Moriones,EZ AZ ÁRA
69,+5,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,2,(x1),9834,455.0,66807,-445,6352346,Lady Gaga,Die With A Smile (w/ Bruno Mars)
70,+11,Jimin - Who,333,21,,9803,637.0,53692,3715,3140301,Jimin,Who
71,+4,Manuel - Entitás (w/ Dzsúdló),145,2,(x7),9747,386.0,67222,-956,2264523,Manuel,Entitás (w/ Dzsúdló)
72,+6,Ed Sheeran - Azizam,63,44,,9729,463.0,63512,413,472151,Ed Sheeran,Azizam
73,+7,KKevin - PROSECCO (w/ Bruno X Spacc),358,11,,9683,472.0,64656,917,5791168,KKevin,PROSECCO (w/ Bruno X Spacc)
74,+2,Billie Eilish - BIRDS OF A FEATHER,399,9,,9665,321.0,66466,-713,5925366,Billie Eilish,BIRDS OF A FEATHER
75,+10,"Co Lee - OLYAN GYEREK (w/ Blaize, Beton.Hofi, OB)",112,37,,9659,714.0,65714,-833,825630,Co Lee,"OLYAN GYEREK (w/ Blaize, Beton.Hofi, OB)"
76,-17,Imagine Dragons - Demons,625,22,,9629,-804.0,84907,2137,1501957,Imagine Dragons,Demons
77,+16,Pogány Induló - EGY/KETTŐ,231,1,(x2),9607,868.0,64335,-447,4340476,Pogány Induló,EGY/KETTŐ
78,-7,Azahriah - Introvertált dal,851,1,(x70),9521,-104.0,66954,177,23531921,Azahriah,Introvertált dal
79,-2,Dzsúdló - lánc,322,5,,9491,179.0,60887,5,3922837,Dzsúdló,lánc
80,-17,DÁNIELFY - Boldog igazán (w/ Parno Graszt),181,35,,9409,-627.0,67261,-1570,1380984,DÁNIELFY,Boldog igazán (w/ Parno Graszt)
81,-2,Carson Coma - Libikóka,57,3,(x1),9379,155.0,61544,-836,853681,Carson Coma,Libikóka
82,-16,Beton.Hofi - PLAYBÁNIA (w/ Hundred Sins),466,7,,9328,-469.0,75352,-2911,3551714,Beton.Hofi,PLAYBÁNIA (w/ Hundred Sins)
83,+32,Carson Coma - Immunissá válunk,831,2,(x1),9277,1581.0,59201,1628,6725343,Carson Coma,Immunissá válunk
84,-1,ROSÉ - APT. (w/ Bruno Mars),245,3,(x1),9269,177.0,64259,95,4723078,ROSÉ,APT. (w/ Bruno Mars)
