Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Fourtwnty - Mangu (w/ Charita Utami),123,1,(x54),1769625,-97090.0,13164154,-291573,163416912,Fourtwnty,Mangu (w/ Charita Utami)
2,=,Raim Laode - Lesung Pipi,75,2,(x58),1133247,-15802.0,8342999,-129041,100077892,Raim Laode,Lesung Pipi
3,=,NIKI - You'll Be in My Heart - Spotify Singles,108,1,(x24),1032738,-53896.0,7605435,-123406,116412366,NIKI,You'll Be in My Heart - Spotify Singles
4,=,.Feast - Nina,298,1,(x25),1018930,-30618.0,7071042,70586,244224778,.Feast,Nina
5,+1,.Feast - Tarot,167,5,,1008135,36930.0,6071772,270230,48953023,.Feast,Tarot
6,-1,Nadhif Basalamah - bergema sampai selamanya,93,4,,995464,-7674.0,6729942,64256,51255712,Nadhif Basalamah,bergema sampai selamanya
7,=,For Revenge - Serana,1132,1,(x20),885878,-20754.0,6244992,-72748,512872857,For Revenge,Serana
8,=,Hindia - Rumah Ke Rumah,2029,6,,796342,-40421.0,5302882,-14911,462499370,Hindia,Rumah Ke Rumah
9,=,Raim Laode - Komang,859,1,(x64),744756,-129.0,5263038,-45677,478936728,Raim Laode,Komang
10,=,Batas Senja - Kita Usahakan Lagi,45,6,,736491,10312.0,5260320,45754,27962196,Batas Senja,Kita Usahakan Lagi
11,=,Pamungkas - Monolog,1896,9,,696082,-19249.0,4713840,-46771,249735430,Pamungkas,Monolog
12,+1,"Naykilla - Kasih Aba Aba (w/ Tenxi, Jemsii)",38,11,,645639,-5014.0,4585007,22277,18519288,Naykilla,"Kasih Aba Aba (w/ Tenxi, Jemsii)"
13,-1,Hindia - Cincin,710,8,,640872,-13912.0,4346979,38338,234855006,Hindia,Cincin
14,=,Sheila On 7 - Bila Kau Tak Disampingku,101,5,,601497,-7586.0,4059693,-4122,51093346,Sheila On 7,Bila Kau Tak Disampingku
15,+5,".Feast - o,Tuan",158,15,,592323,45230.0,3724788,102593,51528255,.Feast,"o,Tuan"
16,+2,Nadin Amizah - Bertaut,1848,1,(x40),561524,7510.0,3876445,29880,495858511,Nadin Amizah,Bertaut
17,=,Feby Putri - Runtuh (w/ Fiersa Besari),1349,1,(x4),559098,-18969.0,3802886,13489,568415620,Feby Putri,Runtuh (w/ Fiersa Besari)
18,-3,Faris Adam - Stecu Stecu,78,2,(x5),551284,-33365.0,4198248,-69621,57412154,Faris Adam,Stecu Stecu
19,-3,Batas Senja - Nanti Kita Seperti Ini,777,3,(x25),548136,-33156.0,4052636,-30919,321162241,Batas Senja,Nanti Kita Seperti Ini
20,+2,Anggi Marito - Tak Segampang Itu,897,1,(x98),538718,9493.0,3596778,51732,564254072,Anggi Marito,Tak Segampang Itu
21,-2,Hindia - everything u are,108,15,,533774,-19613.0,3772660,-25538,38991422,Hindia,everything u are
22,+10,Sheila On 7 - Dan...,2868,7,,531910,44614.0,3273746,67443,215746084,Sheila On 7,Dan...
23,=,Last Child - Duka,1440,9,,531516,11553.0,3516627,40430,490949651,Last Child,Duka
24,-3,The Lantis - Bunga Maaf,195,2,(x12),525633,-8480.0,3689277,-2866,138411866,The Lantis,Bunga Maaf
25,+6,Virgoun - Selamat (Selamat Tinggal) (w/ Audy),2157,6,,510962,18908.0,3457207,24851,450961850,Virgoun,Selamat (Selamat Tinggal) (w/ Audy)
26,+11,Vierra - Seandainya,1574,12,,506315,48043.0,3349107,44678,365861610,Vierra,Seandainya
27,-1,sombr - back to friends,46,22,,504024,-7418.0,3473633,19349,15359174,sombr,back to friends
28,-4,For Revenge - Jakarta Hari Ini (w/ Stereo Wall),772,7,,501669,-14008.0,3639590,-45615,243752438,For Revenge,Jakarta Hari Ini (w/ Stereo Wall)
