Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Omer Adam - מלכת הדור,10,1,(x3),103269,17262.0,509487,6153,764555,Omer Adam,מלכת הדור
2,=,נדב חנציס - אם את כבר הולכת,31,1,(x26),87597,6737.0,516140,-28149,2432811,נדב חנציס,אם את כבר הולכת
3,=,Omer Adam - השיר שאת אהבת,10,3,(x10),56959,8498.0,310285,-9958,507504,Omer Adam,השיר שאת אהבת
4,=,רון חיון - אחת ממיליון,94,1,(x5),47525,5204.0,267073,-16069,3277360,רון חיון,אחת ממיליון
5,=,Omer Adam - היה טוב,10,4,,39285,3227.0,238558,-21614,421166,Omer Adam,היה טוב
6,+2,Itay Levi - נחלת בנימין,97,2,(x2),35571,8180.0,200454,-13343,2982669,Itay Levi,נחלת בנימין
7,-1,Omer Adam - איפה שתגידי,10,6,,32390,1661.0,202977,-14161,343820,Omer Adam,איפה שתגידי
8,-1,Osher Cohen - אל תעשי לו צרות,29,5,,31897,2364.0,178543,-11754,775957,Osher Cohen,אל תעשי לו צרות
9,+3,DUDA - לא להמציא,89,4,,30544,4290.0,165916,-6140,2298320,DUDA,לא להמציא
10,=,Omer Adam - שושו (w/ Odeya),10,9,,30255,3522.0,177239,-13753,309334,Omer Adam,שושו (w/ Odeya)
11,-2,Omer Adam - תגידי לי,10,7,,29489,2173.0,186141,-15449,314579,Omer Adam,תגידי לי
12,-1,רואי אדם - מטורפת (w/ Zion Baruch),83,2,(x4),28625,2190.0,157781,-7016,2618140,רואי אדם,מטורפת (w/ Zion Baruch)
13,=,Omer Adam - רוזה,10,9,,26942,1673.0,172389,-16540,298555,Omer Adam,רוזה
14,+1,Tuna - רובים ותלתלים,21,4,,26907,3498.0,166297,-22257,684233,Tuna,רובים ותלתלים
15,+1,Tuna - אמן אמן אמן,21,3,(x2),25755,2423.0,158507,-30187,684890,Tuna,אמן אמן אמן
16,-2,Omer Adam - יצאת לטיול,10,10,,25252,1576.0,160779,-17461,291047,Omer Adam,יצאת לטיול
17,+5,Tuna - השם ירחם,21,6,,23842,3770.0,151038,-24532,564798,Tuna,השם ירחם
18,-1,Omer Adam - עקבים וג'ינס,10,16,,23234,1098.0,147613,-14347,259412,Omer Adam,עקבים וג'ינס
19,=,Alex Warren - Ordinary,95,6,,23009,1777.0,131036,-9911,1976469,Alex Warren,Ordinary
20,-2,Omer Adam - קווקז,10,7,,22898,1040.0,153660,-18625,285409,Omer Adam,קווקז
