Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Ed Sheeran - Sapphire,14,1,(x7),1104662,922.0,7713661,90162,12818776,Ed Sheeran,Sapphire
2,=,Kushagra - Finding Her (w/ Bharath),107,1,(x46),991480,-35843.0,7242227,-119065,106167438,Kushagra,Finding Her (w/ Bharath)
3,=,Shubh - Supreme,61,2,(x23),861503,-38516.0,6087956,-29280,48635967,Shubh,Supreme
4,=,Sanju Rathod - Shaky (w/ G-SPXRK),35,4,,817675,2481.0,5567649,107024,17809075,Sanju Rathod,Shaky (w/ G-SPXRK)
5,=,"Sachet-Parampara - Raanjhan (From ""Do Patti"") (w/ Parampara Tandon, Kausar Munir)",243,1,(x42),749546,-198.0,5156080,-5450,214720529,Sachet-Parampara,"Raanjhan (From ""Do Patti"") (w/ Parampara Tandon, Kausar Munir)"
6,=,Anuv Jain - Jo Tum Mere Ho,314,1,(x105),671935,-24301.0,4881858,-48372,283306484,Anuv Jain,Jo Tum Mere Ho
7,=,Faheem Abdullah - Ishq (w/ Rauhan Malik),391,2,(x14),645568,-12276.0,4629482,-52178,236810422,Faheem Abdullah,Ishq (w/ Rauhan Malik)
8,=,"A.R. Rahman - Tere Bina (w/ Chinmayi, Murtuza Khan, Qadir Khan, Abhishek Bachchan, Aishwarya Rai Bachchan, R. Madhavan, Vidya Balan, Mithun Chakraborty, Arya Babbar)",305,7,,625784,-2653.0,4410620,46636,83542037,A.R. Rahman,"Tere Bina (w/ Chinmayi, Murtuza Khan, Qadir Khan, Abhishek Bachchan, Aishwarya Rai Bachchan, R. Madhavan, Vidya Balan, Mithun Chakraborty, Arya Babbar)"
9,=,"Sachin-Jigar - Apna Bana Le (w/ Arijit Singh, Amitabh Bhattacharya)",596,1,(x14),586457,-2995.0,4237134,4445,298096879,Sachin-Jigar,"Apna Bana Le (w/ Arijit Singh, Amitabh Bhattacharya)"
10,+3,Gajendra Verma - Mann Mera,1062,10,,568158,19975.0,3481280,147908,253825568,Gajendra Verma,Mann Mera
11,-1,"Guru Randhawa - Qatal (w/ Sanjoy, Gill Machhrai)",54,2,(x2),555893,-11346.0,4005526,-11918,33124262,Guru Randhawa,"Qatal (w/ Sanjoy, Gill Machhrai)"
12,=,Pritam - Ye Tune Kya Kiya (w/ Javed Bashir),497,8,,550161,-5877.0,4036122,-20907,148699758,Pritam,Ye Tune Kya Kiya (w/ Javed Bashir)
13,-2,"Yo Yo Honey Singh - Laal Pari (From ""Housefull 5"") (w/ Simar Kaur, Alfaaz, Vinod Verma)",43,10,,542255,-18328.0,3799461,5961,19015535,Yo Yo Honey Singh,"Laal Pari (From ""Housefull 5"") (w/ Simar Kaur, Alfaaz, Vinod Verma)"
14,=,Aditya Rikhari - Paro (w/ UNPLG'd),109,6,,514209,-11869.0,3542438,35933,56525438,Aditya Rikhari,Paro (w/ UNPLG'd)
15,=,"Jasleen Royal - Sahiba (w/ Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma)",210,1,(x21),470293,-21414.0,3382667,-28360,130262017,Jasleen Royal,"Sahiba (w/ Stebin Ben, Vijay Deverakonda, Radhikka Madan, Priya Saraiya, Aditya Sharma)"
16,+3,"Arijit Singh - Tujhe Kitna Chahne Lage (From ""Kabir Singh"") (w/ Mithoon)",2211,2,(x50),444234,4871.0,3099056,13185,474849519,Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"") (w/ Mithoon)"
17,=,"Anurag Saikia - Ishq Hai (w/ Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast)",187,1,(x34),442834,611.0,3185196,-48552,143784175,Anurag Saikia,"Ishq Hai (w/ Raj Shekhar, Romy, Amarabha Banerjee, Varun Jain, Madhubanti Bagchi, Mismatched - Cast)"
18,=,AP Dhillon - STFU (w/ Shinda Kahlon),38,14,,425216,-14434.0,2988011,-9514,15844040,AP Dhillon,STFU (w/ Shinda Kahlon)
19,+3,"Alka Yagnik - Agar Tum Saath Ho (From ""Tamasha"") (w/ Arijit Singh)",2087,4,,423820,11388.0,2812286,49573,463949787,Alka Yagnik,"Agar Tum Saath Ho (From ""Tamasha"") (w/ Arijit Singh)"
