Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,ANNA - DÉSOLÉE,7,1,(x5),443136,47306.0,2686806,443136,2686806,ANNA,DÉSOLÉE
2,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",80,1,(x13),345413,13705.0,2415970,-29005,20512651,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
3,=,Alfa - a me mi piace (w/ Manu Chao),42,1,(x2),334799,7638.0,2357062,-14356,12532294,Alfa,a me mi piace (w/ Manu Chao)
4,=,Sfera Ebbasta - NEON (w/ Shiva),70,1,(x26),310689,12858.0,2140093,-26626,33495938,Sfera Ebbasta,NEON (w/ Shiva)
5,=,Luchè - Nessuna,35,1,(x4),288760,7958.0,2089753,-52966,10952091,Luchè,Nessuna
6,=,Pinguini Tattici Nucleari - Bottiglie Vuote (w/ Max Pezzali),70,6,,239084,3149.0,1725404,-29865,11844589,Pinguini Tattici Nucleari,Bottiglie Vuote (w/ Max Pezzali)
7,+2,Achille Lauro - AMOR,63,5,,234828,16718.0,1619914,-10616,14542317,Achille Lauro,AMOR
8,=,"Capo Plaza - Non Basta Mai (w/ Bresh, Tony Effe)",7,5,,229821,7474.0,1635786,229821,1635786,Capo Plaza,"Non Basta Mai (w/ Bresh, Tony Effe)"
9,-2,Bresh - Capo Horn (w/ Tedua),14,6,,227711,2141.0,1590367,-1478,3192213,Bresh,Capo Horn (w/ Tedua)
10,=,Luchè - Ginevra (w/ Geolier),35,1,(x10),219334,8042.0,1642115,-63191,11705935,Luchè,Ginevra (w/ Geolier)
11,=,Cesare Cremonini - Ora che non ho più te,269,1,(x7),216343,8032.0,1340622,59151,65323715,Cesare Cremonini,Ora che non ho più te
12,=,Serena Brancale - SERENATA (w/ Alessandra Amoroso),21,11,,208792,19575.0,1370332,7207,3358160,Serena Brancale,SERENATA (w/ Alessandra Amoroso)
13,=,Fabri Fibra - Che Gusto C'è (w/ Tredici Pietro),28,10,,203306,14853.0,1403749,-4049,4433946,Fabri Fibra,Che Gusto C'è (w/ Tredici Pietro)
14,=,Olly - Balorda nostalgia,128,1,(x52),188693,3596.0,1369665,-22075,75086688,Olly,Balorda nostalgia
15,+1,BLANCO - Piangere a 90,43,1,(x8),182480,7920.0,1233045,3508,13453620,BLANCO,Piangere a 90
16,+2,Fred De Palma - SEXY RAVE (w/ Baby Gang),56,16,,181379,13198.0,1230493,10633,5616908,Fred De Palma,SEXY RAVE (w/ Baby Gang)
17,-2,Alleh - capaz (merengueton) (w/ Yorghaki),159,13,,181127,191.0,1274058,-6381,17666996,Alleh,capaz (merengueton) (w/ Yorghaki)
18,+5,Fedez - SCELTE STUPIDE (w/ CLARA),49,9,,175633,15547.0,1292648,-14423,7104412,Fedez,SCELTE STUPIDE (w/ CLARA)
19,=,Alex Warren - Ordinary,92,10,,170629,4124.0,1199495,-14740,13576745,Alex Warren,Ordinary
20,+1,Cesare Cremonini - Nonostante Tutto (w/ Elisa),70,20,,170521,8334.0,1088088,27475,7118729,Cesare Cremonini,Nonostante Tutto (w/ Elisa)
21,-1,Olly - Depresso fortunato (w/ Juli),28,7,,169713,5619.0,1117264,8286,4452833,Olly,Depresso fortunato (w/ Juli)
22,-5,Pinguini Tattici Nucleari - Islanda,217,1,(x13),164099,-6895.0,1225435,-26334,49932935,Pinguini Tattici Nucleari,Islanda
23,-1,Artie 5ive - SOGNO AMERICANO,84,1,(x5),160747,-1364.0,1173511,-30904,24053420,Artie 5ive,SOGNO AMERICANO
24,+4,Annalisa - Maschio,43,14,,156441,8532.0,1065866,-14750,6686469,Annalisa,Maschio
25,-1,Achille Lauro - Incoscienti Giovani,128,2,(x15),156296,3881.0,1124031,-16453,49677800,Achille Lauro,Incoscienti Giovani
26,=,"Luchè - Miami Vice (w/ Sfera Ebbasta, Simba La Rue)",35,4,,155637,7186.0,1101422,-19755,6642333,Luchè,"Miami Vice (w/ Sfera Ebbasta, Simba La Rue)"
27,+2,Bad Bunny - DtMF,163,1,(x15),151767,4608.0,1104261,-25331,38714549,Bad Bunny,DtMF
28,-1,Marracash - LEI,189,1,(x14),148396,184.0,1053404,-14435,36425628,Marracash,LEI
29,+1,Sfera Ebbasta - VVS CARTIER (w/ Shiva),70,5,,146236,-352.0,1030303,-14562,14788191,Sfera Ebbasta,VVS CARTIER (w/ Shiva)
30,+1,Bresh - Umore marea,42,9,,144834,4097.0,1029050,-36054,6319358,Bresh,Umore marea
31,-6,Bresh - Altezza cielo (w/ Kid Yugi),14,8,,140403,-9542.0,1105455,-28233,2354747,Bresh,Altezza cielo (w/ Kid Yugi)
32,=,Bad Bunny - NUEVAYoL,165,2,(x6),139120,6563.0,981982,-10580,27628167,Bad Bunny,NUEVAYoL
33,+1,Guè - Oh Mamma Mia (w/ Rose Villain),161,1,(x3),127972,1981.0,906293,72,28033497,Guè,Oh Mamma Mia (w/ Rose Villain)
34,+2,"Baby Gang - Tu Me Quieres - Prod. by Higashi x Roberto Ferrante (w/ Omega, Higashi, Roberto Ferrante)",280,9,,124551,4309.0,907193,-7259,40405444,Baby Gang,"Tu Me Quieres - Prod. by Higashi x Roberto Ferrante (w/ Omega, Higashi, Roberto Ferrante)"
35,=,"Slings - Don't Stop It (w/ Finesse, Shiva, Guè)",7,31,,123350,-845.0,906933,123350,906933,Slings,"Don't Stop It (w/ Finesse, Shiva, Guè)"
36,-3,Lazza - BUIO DAVANTI,273,3,(x8),123110,-7807.0,948151,-20192,56074460,Lazza,BUIO DAVANTI
37,+2,Alfa - il filo rosso,245,2,(x5),121513,4616.0,830813,9862,52237873,Alfa,il filo rosso
38,-1,Sfera Ebbasta - NON METTERCI BECCO (w/ Shiva),71,1,(x2),121476,2193.0,831244,-3192,18660400,Sfera Ebbasta,NON METTERCI BECCO (w/ Shiva)
39,-1,Olly - Scarabocchi (w/ Juli),238,3,(x4),117173,-2051.0,839703,-10792,54877061,Olly,Scarabocchi (w/ Juli)
