Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,35,1,(x4),82525,1183.0,595935,-41976,2670179,Jin,Don’t Say You Love Me
2,=,Jimin - Who,336,1,(x332),71221,-9864.0,734557,-81215,63370697,Jimin,Who
3,=,Jung Kook - Seven (w/ Latto),707,1,(x114),54527,-1362.0,370629,2183,51102859,Jung Kook,Seven (w/ Latto)
4,+1,ILLIT - Billyeoon Goyangi (Do the Dance),4,4,,41727,8467.0,122621,41727,122621,ILLIT,Billyeoon Goyangi (Do the Dance)
5,+1,j-hope - Killin' It Girl (w/ GloRilla),7,5,,31307,-93.0,185788,31307,185788,j-hope,Killin' It Girl (w/ GloRilla)
6,+1,V - Winter Ahead (w/ Park Hyo Shin),203,2,(x1),29355,-999.0,208524,2279,7810212,V,Winter Ahead (w/ Park Hyo Shin)
7,+2,Jimin - Be Mine,336,2,(x64),28655,912.0,217011,-7307,17481891,Jimin,Be Mine
8,=,Jung Kook - 3D (w/ Jack Harlow),630,2,(x31),25558,-2661.0,185803,-1791,23267013,Jung Kook,3D (w/ Jack Harlow)
9,+1,WOODZ - Drowning,261,7,,25312,-675.0,176989,-688,5026842,WOODZ,Drowning
10,+5,MAKTUB - 시작의 아이 ハジマリのコ (Starting With You),27,10,,24732,2293.0,153487,4994,430073,MAKTUB,시작의 아이 ハジマリのコ (Starting With You)
11,+1,Jin - Nothing Without Your Love,35,9,,24100,482.0,157703,132,809112,Jin,Nothing Without Your Love
12,-1,PLAVE - かくれんぼ (Hide and Seek),4,6,,22854,-1743.0,103143,22854,103143,PLAVE,かくれんぼ (Hide and Seek)
13,+7,Jin - Loser (w/ YENA),35,13,,22494,1568.0,147706,-435,760449,Jin,Loser (w/ YENA)
14,=,Jung Kook - Standing Next to You,594,3,(x2),22015,-845.0,156559,-1459,19357593,Jung Kook,Standing Next to You
15,+2,Lim Young Woong - Heavenly Ever After,67,9,,21738,82.0,152364,-406,1607621,Lim Young Woong,Heavenly Ever After
16,-3,aespa - Whiplash,242,3,(x21),21711,-1446.0,161331,-2711,9230208,aespa,Whiplash
17,+1,Jin - Running Wild,217,2,(x7),21302,-277.0,134429,3013,7494906,Jin,Running Wild
18,+5,j-hope - Killin' It Girl (Solo Version),7,18,,21294,1017.0,137205,21294,137205,j-hope,Killin' It Girl (Solo Version)
19,-3,10CM - To Reach You,78,8,,20691,-1085.0,150730,-1039,1474437,10CM,To Reach You
20,-1,Jin - With the Clouds,35,16,,20601,-521.0,143780,-1572,737241,Jin,With the Clouds
21,+5,Hearts2Hearts - The Chase,116,6,,20520,1241.0,132170,662,2932167,Hearts2Hearts,The Chase
22,=,Jin - Rope It,35,17,,20265,-56.0,141211,-2373,728608,Jin,Rope It
23,+4,Jimin - Rebirth (Intro),336,4,,20232,1109.0,180765,-19196,9494323,Jimin,Rebirth (Intro)
24,-3,PLAVE - Dash,137,15,,19739,-752.0,132907,5380,2505788,PLAVE,Dash
25,+3,Jin - Background,35,20,,19688,670.0,134075,-1948,706417,Jin,Background
26,-1,데이먼스 이어 Damons year - yours,966,6,,19564,283.0,140282,-8671,6450302,데이먼스 이어 Damons year,yours
27,+5,"Jin - To Me, Today",35,24,,18944,602.0,127743,-1528,672417,Jin,"To Me, Today"
28,+2,Lim Young Woong - Grain of Sand,746,7,,18681,222.0,130512,-69,15476076,Lim Young Woong,Grain of Sand
29,+2,Jimin - Closer Than This,546,2,(x6),18487,136.0,144613,-6929,19004360,Jimin,Closer Than This
30,-1,Jimin - Smeraldo Garden Marching Band (w/ Loco),357,2,(x21),18453,-526.0,152169,-9002,12983185,Jimin,Smeraldo Garden Marching Band (w/ Loco)
31,-7,MEOVV - HANDS UP,53,3,(x2),18237,-1092.0,135139,-3545,1324077,MEOVV,HANDS UP
32,+90,Hearts2Hearts - STYLE,2,32,,18116,8100.0,28132,18116,28132,Hearts2Hearts,STYLE
33,+7,KISS OF LIFE - Lips Hips Kiss,11,33,,18106,891.0,106112,1833,156470,KISS OF LIFE,Lips Hips Kiss
34,-1,Lim Young Woong - Home,410,12,,18058,60.0,126317,-129,7589624,Lim Young Woong,Home
35,=,Lim Young Woong - Warmth,410,11,,17910,39.0,125450,-198,7639296,Lim Young Woong,Warmth
36,=,Kendrick Lamar - luther,209,3,(x13),17697,-124.0,127775,-1148,6449262,Kendrick Lamar,luther
37,-3,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,5,,17415,-487.0,123875,-423,7613302,Lady Gaga,Die With A Smile (w/ Bruno Mars)
38,+4,Lim Young Woong - London Boy,947,5,,17392,279.0,122046,-73,16919665,Lim Young Woong,London Boy
39,+4,Lim Young Woong - Do or Die,620,6,,17160,112.0,120475,-119,13585902,Lim Young Woong,Do or Die
40,+9,PLAVE - Chroma Drift - Japanese Ver.,4,4,,17151,901.0,87809,17151,87809,PLAVE,Chroma Drift - Japanese Ver.
41,+15,Martin Smith - Paint On Spring - Remastering,81,41,,17128,1707.0,114107,1778,1057844,Martin Smith,Paint On Spring - Remastering
42,-5,JENNIE - like JENNIE,106,2,(x16),16995,-637.0,119682,-1833,3799835,JENNIE,like JENNIE
43,-4,PLAVE - RIZZ - Japanese Ver.,5,23,,16739,-537.0,88746,16739,88746,PLAVE,RIZZ - Japanese Ver.
44,+2,ILLIT - Magnetic,452,1,(x11),16307,-414.0,115734,-864,12226902,ILLIT,Magnetic
45,-4,LE SSERAFIM - HOT,98,2,(x6),16237,-966.0,126090,-3384,3144702,LE SSERAFIM,HOT
46,-2,PLAVE - RIZZ,137,38,,16052,-790.0,104579,5049,1931955,PLAVE,RIZZ
47,-9,Jimin - Slow Dance (w/ Sofia Carson),336,5,,15823,-1489.0,133200,-7947,9376529,Jimin,Slow Dance (w/ Sofia Carson)
48,+6,yung kai - blue,180,21,,15653,-49.0,111452,856,2929321,yung kai,blue
49,+17,izna - BEEP,10,49,,15637,2012.0,93347,848,131708,izna,BEEP
50,=,IU - Never Ending Story,24,5,,15477,-760.0,120827,-4249,587189,IU,Never Ending Story
51,=,aespa - Supernova,403,1,(x7),15451,-659.0,115682,-1242,10314189,aespa,Supernova
52,+3,Nicky Youre - Sunroof (w/ hey daisy),663,30,,15433,-207.0,67579,15433,3213976,Nicky Youre,Sunroof (w/ hey daisy)
53,+8,Jimin - Interlude : Showtime,336,8,,15398,836.0,123855,-6526,7483062,Jimin,Interlude : Showtime
54,+4,QWER - Dear,11,30,,15392,439.0,107816,-3514,176747,QWER,Dear
55,-10,d4vd - Here With Me,881,30,,15370,-1356.0,114453,414,6786381,d4vd,Here With Me
56,-4,PLAVE - 12:32 (A to T),137,43,,15349,-613.0,101277,4762,1775945,PLAVE,12:32 (A to T)
57,-9,"BOYNEXTDOOR - IF I SAY, I LOVE YOU",165,5,,15313,-1110.0,116091,-1931,4395305,BOYNEXTDOOR,"IF I SAY, I LOVE YOU"
58,-5,PLAVE - Island,137,46,,15103,-687.0,101230,4368,1829229,PLAVE,Island
59,-12,PLAVE - Chroma Drift,136,10,,14921,-1657.0,95996,3730,1978654,PLAVE,Chroma Drift
60,-1,HYUKOH - Wi Ing Wi Ing,356,50,,14542,-267.0,102532,786,2729280,HYUKOH,Wi Ing Wi Ing
61,+4,fromis_9 - Supersonic,312,10,,14454,463.0,95626,1100,5680392,fromis_9,Supersonic
62,=,Lim Young Woong - Polaroid,947,10,,14334,76.0,101108,-231,14599721,Lim Young Woong,Polaroid
63,-6,BOYNEXTDOOR - 123-78,38,14,,14200,-774.0,107348,-676,768820,BOYNEXTDOOR,123-78
64,=,DAY6 - HAPPY,315,4,,14074,-5.0,100607,-139,6698339,DAY6,HAPPY
65,+3,"Car, the garden - Closely Far Away",285,30,,13852,320.0,107948,912,3439793,"Car, the garden",Closely Far Away
66,+4,G-DRAGON - CROOKED,232,21,,13736,321.0,94837,1243,4090026,G-DRAGON,CROOKED
67,+7,Lim Young Woong - If We Ever Meet Again,1145,3,(x3),13495,345.0,94035,-42,15293946,Lim Young Woong,If We Ever Meet Again
68,-5,j-hope - MONA LISA,91,12,,13208,-949.0,107658,802,1472381,j-hope,MONA LISA
69,-9,Jimin - Like Crazy,818,1,(x268),13165,-1498.0,149052,-23520,48133196,Jimin,Like Crazy
70,+3,NewJeans - Supernatural,364,1,(x1),13158,-141.0,93122,179,8177896,NewJeans,Supernatural
71,-4,NewJeans - How Sweet,392,1,(x9),13107,-427.0,99246,-634,9553989,NewJeans,How Sweet
72,-1,NewJeans - Ditto,914,1,(x25),13093,-318.0,91807,769,17381277,NewJeans,Ditto
73,-4,NewJeans - Hype Boy,1054,1,(x26),12892,-601.0,91939,-863,18479217,NewJeans,Hype Boy
74,+4,HYUKOH - TOMBOY,381,39,,12582,-198.0,96692,-566,3214517,HYUKOH,TOMBOY
75,+39,Lim Jae Hyun - Rhapsody of Sadness,363,51,,12556,2303.0,94305,510,2550553,Lim Jae Hyun,Rhapsody of Sadness
76,+31,Brown Eyes - 벌써 일년,92,56,,12503,1978.0,85685,3126,749145,Brown Eyes,벌써 일년
77,-5,aespa - Armageddon,389,4,,12498,-867.0,92982,-1539,7144015,aespa,Armageddon
78,-2,NewJeans - New Jeans,714,3,(x1),12487,-410.0,86401,-41,9793076,NewJeans,New Jeans
79,+3,Billie Eilish - BIRDS OF A FEATHER,399,15,,12477,200.0,87408,-4,6502320,Billie Eilish,BIRDS OF A FEATHER
80,+1,Nerd Connection - If I have you only (My love X Nerd Connection),584,31,,12475,157.0,97545,627,5560919,Nerd Connection,If I have you only (My love X Nerd Connection)
81,-2,ROSÉ - toxic till the end,197,2,(x15),12450,-170.0,86715,-398,5528396,ROSÉ,toxic till the end
82,+46,ILLIT - jellyous,4,82,,12390,2644.0,41691,12390,41691,ILLIT,jellyous
83,+2,"Lim Young Woong - Our Blues, Our Life",1144,10,,12181,170.0,83449,362,11815354,Lim Young Woong,"Our Blues, Our Life"
84,-9,SEVENTEEN - THUNDER,25,8,,12044,-866.0,92067,-3635,482691,SEVENTEEN,THUNDER
85,-8,Redoor - Forever Has Always Been,33,73,,12024,-788.0,87477,707,338569,Redoor,Forever Has Always Been
86,-82,ATEEZ - Lemon Drop,7,3,(x1),12006,-31805.0,193627,12006,193627,ATEEZ,Lemon Drop
87,+5,Geeks - Officially Missing You,270,71,,12002,670.0,80650,1386,2193012,Geeks,Officially Missing You
88,-4,KATSEYE - Gnarly,50,16,,11997,-61.0,84492,-1966,852413,KATSEYE,Gnarly
89,+32,KANGDANIEL - Episode,4,88,,11882,1795.0,42926,11882,42926,KANGDANIEL,Episode
90,+46,Yoon Do Hyun - I Guess I Loved You,715,57,,11773,2235.0,74477,2175,4112025,Yoon Do Hyun,I Guess I Loved You
91,-8,ROSÉ - APT. (w/ Bruno Mars),245,2,(x34),11770,-468.0,85047,-554,10124229,ROSÉ,APT. (w/ Bruno Mars)
92,-5,Dhruv - double take,1447,30,,11693,-73.0,83035,660,7702286,Dhruv,double take
93,-5,"G-DRAGON - HOME SWEET HOME (w/ TAEYANG, DAESUNG)",210,2,(x8),11640,-69.0,80267,341,5941802,G-DRAGON,"HOME SWEET HOME (w/ TAEYANG, DAESUNG)"
