Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Alex Warren - Ordinary,132,1,(x66),5250,217.0,35322,-280,491426,Alex Warren,Ordinary
2,+1,Hamza - KYKY2BONDY,47,1,(x4),3617,-63.0,25862,-643,176389,Hamza,KYKY2BONDY
3,+1,WizTheMc - Show Me Love (w/ bees & honey),115,2,(x8),3085,-19.0,20957,-21,312243,WizTheMc,Show Me Love (w/ bees & honey)
4,+1,GIMS - NINAO,116,3,(x1),2782,99.0,18705,-18,306841,GIMS,NINAO
5,+4,Ed Sheeran - Azizam,72,5,,2779,286.0,17646,155,141548,Ed Sheeran,Azizam
6,+2,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",333,6,,2642,110.0,16878,270,636766,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
7,-1,Lola Young - Messy,192,2,(x5),2636,43.0,17259,62,536141,Lola Young,Messy
8,+2,Nono La Grinta - Paris,41,3,(x9),2387,-31.0,16543,-723,81515,Nono La Grinta,Paris
9,NEW,"IurisEkero - Come To Me, I´m A Man",1,9,,2353,,2353,2353,2353,IurisEkero,"Come To Me, I´m A Man"
10,+3,ROSÉ - APT. (w/ Bruno Mars),245,1,(x64),2336,186.0,16203,-43,961123,ROSÉ,APT. (w/ Bruno Mars)
11,=,SEYSEY - Mia (w/ BOLEMVN),25,6,,2324,19.0,15516,-145,50344,SEYSEY,Mia (w/ BOLEMVN)
12,=,Bad Bunny - DtMF,162,1,(x10),2303,5.0,15253,-114,534632,Bad Bunny,DtMF
13,+1,"Adam Port - Move (w/ Stryv, Keinemusik, Orso, Malachiii)",376,1,(x24),2272,193.0,14679,203,870238,Adam Port,"Move (w/ Stryv, Keinemusik, Orso, Malachiii)"
14,+4,Benson Boone - Beautiful Things,518,1,(x46),2130,144.0,14097,-37,1652768,Benson Boone,Beautiful Things
15,-8,Café Latte - Breakfast in Paris (w/ Mark Vank),17,4,,2128,-405.0,16060,756,35630,Café Latte,Breakfast in Paris (w/ Mark Vank)
16,+1,Ravyn Lenae - Love Me Not,56,13,,2122,101.0,13717,129,81379,Ravyn Lenae,Love Me Not
17,+3,"MOLIY - Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",56,15,,2027,76.0,13197,219,86437,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)"
18,-3,"DJ Malvado - Mussulo (w/ DJ Aka-m, Dody)",107,4,,1975,-66.0,13686,-92,232546,DJ Malvado,"Mussulo (w/ DJ Aka-m, Dody)"
19,=,David Guetta - Beautiful People (w/ Sia),86,16,,1964,-2.0,12524,235,128352,David Guetta,Beautiful People (w/ Sia)
20,+2,KAROL G - Si Antes Te Hubiera Conocido,360,4,,1955,136.0,12427,73,731714,KAROL G,Si Antes Te Hubiera Conocido
21,+2,sombr - back to friends,62,16,,1872,90.0,12335,-7,93516,sombr,back to friends
22,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",58,17,,1867,38.0,12557,65,81252,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
23,+7,Billie Eilish - BIRDS OF A FEATHER,399,2,(x21),1823,117.0,12221,-114,1107565,Billie Eilish,BIRDS OF A FEATHER
24,+7,Sabrina Carpenter - Manchild,14,14,,1815,114.0,12399,-52,23083,Sabrina Carpenter,Manchild
25,+8,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x28),1745,87.0,11918,-85,1039622,Lady Gaga,Die With A Smile (w/ Bruno Mars)
26,-1,Damso - Impardonnable,21,4,,1743,-21.0,12375,-441,45070,Damso,Impardonnable
27,+5,GIMS - SPIDER (w/ DYSTINCT),404,6,,1717,54.0,11449,48,802906,GIMS,SPIDER (w/ DYSTINCT)
28,+7,KeBlack - Melrose Place (w/ Guy2Bezbar),60,17,,1661,10.0,10805,90,93841,KeBlack,Melrose Place (w/ Guy2Bezbar)
29,-1,KeBlack - Mood,101,22,,1660,-52.0,11224,34,133676,KeBlack,Mood
30,+8,Doechii - Anxiety,107,2,(x8),1657,119.0,10861,-152,263839,Doechii,Anxiety
31,-15,Nina Chuba - Wenn das Liebe ist,14,16,,1637,-403.0,5941,556,18332,Nina Chuba,Wenn das Liebe ist
32,+4,Siaka - Los Angeles,41,8,,1635,13.0,11551,-360,83655,Siaka,Los Angeles
33,+13,Mariana Froes - Vaitimbora (w/ Trinix),35,33,,1625,225.0,8690,303,44383,Mariana Froes,Vaitimbora (w/ Trinix)
34,-5,Tate McRae - Just Keep Watching (From F1® The Movie) (w/ F1 The Album),21,7,,1571,-139.0,10821,-434,38553,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album)
35,-9,Nina Chuba - Ich hass dich (w/ Chapo102),2,26,,1536,-213.0,3285,1536,3285,Nina Chuba,Ich hass dich (w/ Chapo102)
