Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+2,Fiņķis - Raķešu Zinātne (w/ Patrisha),830,1,(x5),6329,14.0,51248,-374,2680142,Fiņķis,Raķešu Zinātne (w/ Patrisha)
2,+2,sombr - back to friends,110,2,(x5),6137,84.0,41754,-237,509605,sombr,back to friends
3,+3,Ravyn Lenae - Love Me Not,117,3,(x1),5457,219.0,37050,407,415342,Ravyn Lenae,Love Me Not
4,+1,Black Eyed Peas - Rock That Body,32,4,,5343,39.0,35538,964,114239,Black Eyed Peas,Rock That Body
5,+2,Alex Warren - Ordinary,133,2,(x9),5096,113.0,36234,-258,585306,Alex Warren,Ordinary
6,+2,sombr - undressed,90,3,(x1),4791,-121.0,32819,-416,373162,sombr,undressed
7,-6,Jung Kook - Seven (w/ Latto),271,1,(x36),4638,-7042.0,27155,4638,1336523,Jung Kook,Seven (w/ Latto)
8,+6,Sudden Lights - Mūsu mīlestība,353,5,,3860,288.0,28967,-262,773556,Sudden Lights,Mūsu mīlestība
9,+3,Chrystal - The Days - NOTION Remix (w/ NOTION),193,1,(x1),3859,52.0,27045,353,904047,Chrystal,The Days - NOTION Remix (w/ NOTION)
10,+6,Singapūras Satīns - Uz Seen (w/ A-Europa),1071,6,,3794,340.0,28071,323,2153992,Singapūras Satīns,Uz Seen (w/ A-Europa)
11,+4,"OLAS - Nārnija (w/ Esmeralda, heywhosthatkid)",470,1,(x7),3716,245.0,28770,334,2352976,OLAS,"Nārnija (w/ Esmeralda, heywhosthatkid)"
12,-2,wifiskeleton - Nope your too late i already died (w/ i wanna be a jack-o-lantern),48,7,,3664,-317.0,24999,-224,161324,wifiskeleton,Nope your too late i already died (w/ i wanna be a jack-o-lantern)
13,=,Empire Of The Sun - We Are The People,465,2,(x1),3625,-45.0,25776,223,1070679,Empire Of The Sun,We Are The People
14,+7,Sudrabu Sirds - Vēlvienreiz,314,11,,3396,129.0,25087,-87,773962,Sudrabu Sirds,Vēlvienreiz
