Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Shaw - WALLAHI,161,1,(x6),35711,3625.0,237623,6801,2207500,Shaw,WALLAHI
2,=,"OldyGotTheSound - TAF TAF (w/ Anys, Shaw)",20,2,(x3),30714,1413.0,212721,1850,494544,OldyGotTheSound,"TAF TAF (w/ Anys, Shaw)"
3,=,Shinigami - Shinigami - أفشتني (w/ Furelise),14,1,(x6),28970,2286.0,214144,-3118,419191,Shinigami,Shinigami - أفشتني (w/ Furelise)
4,=,"ZAKLOOW - Amnésie (w/ Tagne, Shaw)",56,1,(x41),28378,1994.0,205860,-2358,1849163,ZAKLOOW,"Amnésie (w/ Tagne, Shaw)"
5,=,Stormy - PIRATE,161,1,(x26),24256,2120.0,166069,-189,4915948,Stormy,PIRATE
6,+1,Inkonnu - Échec - Spotify Singles (w/ Sipo),248,2,(x1),22839,2149.0,168843,-2880,2528852,Inkonnu,Échec - Spotify Singles (w/ Sipo)
7,-1,ElGrandeToto - BOUHALI,204,1,(x74),22574,1747.0,158640,-1292,8038556,ElGrandeToto,BOUHALI
8,+1,ElGrandeToto - DIPLOMATICO,241,1,(x32),21074,2831.0,139834,1386,10041408,ElGrandeToto,DIPLOMATICO
9,NEW,JamShow - لولي لولي,1,9,,20866,,20866,20866,20866,JamShow,لولي لولي
10,=,"Shaw - BABOUR LOU7 (w/ Hassa1, NAYRA)",91,10,,18456,1484.0,128957,1114,1208266,Shaw,"BABOUR LOU7 (w/ Hassa1, NAYRA)"
11,+1,ElGrandeToto - BLUE LOVE,553,1,(x45),18366,1683.0,125223,785,15511460,ElGrandeToto,BLUE LOVE
12,+1,ElGrandeToto - STALINE,266,1,(x13),18267,1664.0,126421,-53,8099364,ElGrandeToto,STALINE
13,-2,Hamza - KYKY2BONDY,49,2,(x15),18008,1282.0,123755,-348,999162,Hamza,KYKY2BONDY
14,+3,Stormy - Mizane (w/ Inkonnu),1482,4,,17921,2661.0,127499,-3245,9110085,Stormy,Mizane (w/ Inkonnu)
15,=,Draganov - 3DABI,701,1,(x80),17692,1630.0,120885,-145,16643071,Draganov,3DABI
16,-2,Figoshin - Lalla w Mali,315,1,(x4),17302,1160.0,118494,726,7806628,Figoshin,Lalla w Mali
17,+2,Vacra - Totopika (w/ ElGrandeToto),126,2,(x9),16088,1502.0,109477,-600,2537272,Vacra,Totopika (w/ ElGrandeToto)
