Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,35,1,(x18),132984,17765.0,875805,14489,4150075,Jin,Don’t Say You Love Me
2,=,Fourtwnty - Mangu (w/ Charita Utami),63,1,(x22),106099,-3884.0,793067,-13292,5900972,Fourtwnty,Mangu (w/ Charita Utami)
3,+1,Naim Daniel - Seni Berdamai Dengan Takdir (w/ Adnin Roslan),17,3,(x1),79336,3342.0,469563,30664,727816,Naim Daniel,Seni Berdamai Dengan Takdir (w/ Adnin Roslan)
4,-1,Nadhif Basalamah - bergema sampai selamanya,110,3,(x19),76586,-636.0,548182,1497,5575259,Nadhif Basalamah,bergema sampai selamanya
5,=,sombr - back to friends,87,3,(x1),73883,1016.0,509804,713,4211690,sombr,back to friends
6,+2,yung kai - blue,232,1,(x1),60923,3264.0,414128,3762,19706027,yung kai,blue
7,+2,Billie Eilish - BIRDS OF A FEATHER,399,1,(x60),59790,3546.0,416876,2092,39602055,Billie Eilish,BIRDS OF A FEATHER
8,-2,NIKI - You'll Be in My Heart - Spotify Singles,94,4,,57976,-5385.0,449957,-11556,4706741,NIKI,You'll Be in My Heart - Spotify Singles
9,+1,Billie Eilish - WILDFLOWER,399,4,,55643,3399.0,378446,2571,24306263,Billie Eilish,WILDFLOWER
10,+3,"Naykilla - Kasih Aba Aba (w/ Tenxi, Jemsii)",37,9,,49124,479.0,355012,2864,1532288,Naykilla,"Kasih Aba Aba (w/ Tenxi, Jemsii)"
11,+1,Nadeera - Bukan Lagi Kita,150,1,(x3),48770,123.0,361119,-2990,10524531,Nadeera,Bukan Lagi Kita
12,-1,JENNIE - like JENNIE,106,1,(x54),48542,-786.0,359358,-4978,9858274,JENNIE,like JENNIE
13,+2,Lady Gaga - Die With A Smile (w/ Bruno Mars),308,1,(x91),48006,1063.0,340546,-1025,40901502,Lady Gaga,Die With A Smile (w/ Bruno Mars)
14,=,Henry Moodie - drunk text,754,1,(x51),46212,-997.0,318034,1353,36899964,Henry Moodie,drunk text
