Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Beéle - no tiene sentido,35,1,(x11),24754,-6.0,175192,-1292,744508,Beéle,no tiene sentido
2,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",119,1,(x87),24557,-437.0,178268,-1259,3122381,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
3,=,Beéle - top diesel,35,3,(x13),23630,214.0,156107,2995,524660,Beéle,top diesel
4,=,Beéle - si te pillara,35,4,,20463,552.0,131843,3129,388761,Beéle,si te pillara
5,=,Beéle - Mi Refe (w/ Ovy On The Drums),196,1,(x3),19172,-693.0,135397,443,4043566,Beéle,Mi Refe (w/ Ovy On The Drums)
6,=,Beéle - quédate,35,3,(x3),19031,249.0,130057,-90,542418,Beéle,quédate
7,=,Beéle - sobelove,105,2,(x22),16621,-1060.0,122245,-585,1976731,Beéle,sobelove
8,=,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),336,4,,15721,189.0,105991,387,4735182,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
9,=,Josuan - Woy (w/ Eshconinco),22,9,,14366,-39.0,99514,-249,230189,Josuan,Woy (w/ Eshconinco)
10,=,"Piso 21 - Volver (w/ Marc Anthony, Beéle)",133,7,,13751,696.0,95302,-516,1639569,Piso 21,"Volver (w/ Marc Anthony, Beéle)"
11,+1,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",8,11,,13443,1560.0,56012,9976,59479,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
12,+2,Danny Ocean - Imagínate (w/ Kapo),224,1,(x3),12217,562.0,83015,45,3968540,Danny Ocean,Imagínate (w/ Kapo)
13,=,Beéle - Frente al Mar,266,4,,11848,179.0,82471,115,3570536,Beéle,Frente al Mar
14,+2,Kapo - Korazong,14,14,,11788,226.0,70082,4717,112765,Kapo,Korazong
15,-4,Alleh - capaz (merengueton) (w/ Yorghaki),200,6,,11609,-1011.0,83043,167,2716207,Alleh,capaz (merengueton) (w/ Yorghaki)
16,-1,Valentino GRM - CUBANA,27,7,,11149,-502.0,87268,-2359,322995,Valentino GRM,CUBANA
17,=,Nicky Jam - Hiekka (w/ Beéle),49,5,,10979,-212.0,79064,-512,538816,Nicky Jam,Hiekka (w/ Beéle)
18,+1,Mora - DETRÁS DE TU ALMA,32,12,,10539,-104.0,77513,-1955,331077,Mora,DETRÁS DE TU ALMA
19,+3,Bad Bunny - BAILE INoLVIDABLE,166,1,(x34),10208,-25.0,74116,-463,3802383,Bad Bunny,BAILE INoLVIDABLE
20,-2,Danny Ocean - Priti (w/ Sech),91,7,,10163,-687.0,72091,324,1049596,Danny Ocean,Priti (w/ Sech)
21,+3,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,3,(x1),9675,-88.0,66952,210,2971139,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
