Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",118,1,(x80),151124,-5087.0,1111346,-17844,20071674,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Beéle - no tiene sentido,35,2,(x20),146892,3509.0,1017817,-8423,4088491,Beéle,no tiene sentido
3,=,Beéle - Mi Refe (w/ Ovy On The Drums),185,3,(x46),116874,1811.0,794948,-1450,22829285,Beéle,Mi Refe (w/ Ovy On The Drums)
4,+1,Jin - Don’t Say You Love Me,35,2,(x8),107311,5293.0,737237,10605,3882523,Jin,Don’t Say You Love Me
5,-1,Bad Bunny - BAILE INoLVIDABLE,166,1,(x73),102322,-114.0,738172,-8812,35587064,Bad Bunny,BAILE INoLVIDABLE
6,=,Alleh - capaz (merengueton) (w/ Yorghaki),192,2,(x3),84456,-4584.0,600024,-5879,24727562,Alleh,capaz (merengueton) (w/ Yorghaki)
7,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",108,3,(x6),81708,-2298.0,601691,-2549,10196648,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
8,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),68,7,,78143,1488.0,556134,-6673,4296027,Fuerza Regida,COQUETA (w/ Grupo Frontera)
9,=,Beéle - top diesel,30,9,,77918,2863.0,490743,15383,1495709,Beéle,top diesel
10,=,Feid - LUNA (w/ ATL Jacob),567,1,(x116),71720,431.0,506825,-6905,95561799,Feid,LUNA (w/ ATL Jacob)
11,+6,Danny Ocean - Me Rehúso,3066,1,(x55),69385,5774.0,450942,-23414,107134040,Danny Ocean,Me Rehúso
12,=,Beéle - sobelove,105,8,,69060,87.0,475163,-962,7721972,Beéle,sobelove
13,+3,Bad Bunny - EoO,166,3,(x2),68164,3252.0,478766,-7914,19378434,Bad Bunny,EoO
14,-1,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),333,13,,67880,2061.0,458126,-1907,18344157,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
15,-1,Danny Ocean - Imagínate (w/ Kapo),222,6,,67766,1997.0,466436,-4582,18533620,Danny Ocean,Imagínate (w/ Kapo)
16,-5,Bad Bunny - DtMF,166,1,(x11),66777,-3247.0,484851,-11405,26147628,Bad Bunny,DtMF
17,-2,j-hope - Killin' It Girl (w/ GloRilla),7,15,,64326,-667.0,341651,64326,341651,j-hope,Killin' It Girl (w/ GloRilla)
18,+3,Beéle - si te pillara,23,18,,64149,3784.0,390478,15971,870123,Beéle,si te pillara
19,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,5,,62129,457.0,435325,-393,17400326,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
20,+2,KAROL G - Si Antes Te Hubiera Conocido,364,1,(x69),61841,1759.0,433339,569,53024669,KAROL G,Si Antes Te Hubiera Conocido
21,+8,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",7,21,,61760,8030.0,275333,61760,275333,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
22,-4,Rauw Alejandro - Khé? (w/ Romeo Santos),217,1,(x46),61298,-1154.0,431298,-4418,33091579,Rauw Alejandro,Khé? (w/ Romeo Santos)
23,+1,Cajo - Oh Que Lokazo (w/ George F),27,23,,61033,4032.0,394002,11594,1046908,Cajo,Oh Que Lokazo (w/ George F)
24,+1,"Piso 21 - Volver (w/ Marc Anthony, Beéle)",132,14,,60953,4035.0,413945,-4059,7530884,Piso 21,"Volver (w/ Marc Anthony, Beéle)"
25,-2,Bad Bunny - VOY A LLeVARTE PA PR,166,4,,60530,2601.0,423471,-3457,19608034,Bad Bunny,VOY A LLeVARTE PA PR
26,+6,J Balvin - LA CANCIÓN (w/ Bad Bunny),2184,2,(x19),58327,6741.0,402891,1329,104784093,J Balvin,LA CANCIÓN (w/ Bad Bunny)
27,+4,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",940,27,,58075,5993.0,365127,8759,22301625,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
28,-2,Jimin - Who,336,1,(x11),56219,25.0,365194,12672,38413234,Jimin,Who
29,+4,"Zion - More (w/ Jory Boy, Ken-Y)",35,21,,55540,4361.0,386006,4203,1583684,Zion,"More (w/ Jory Boy, Ken-Y)"
30,-10,Bad Bunny - KLOuFRENS,166,9,,55221,-6078.0,400967,-5354,14816046,Bad Bunny,KLOuFRENS
31,-3,Danny Ocean - Priti (w/ Sech),85,8,,54691,-162.0,374190,-1251,4386663,Danny Ocean,Priti (w/ Sech)
32,-5,Katteyes - PONTE LOKITA (w/ Kidd Voodoo),126,5,,54283,-1307.0,382066,-4563,11507729,Katteyes,PONTE LOKITA (w/ Kidd Voodoo)
33,+2,Beéle - quédate,30,28,,53027,2218.0,352474,4003,1273963,Beéle,quédate
34,=,Beéle - Frente al Mar,266,21,,52997,2168.0,362027,-875,12851169,Beéle,Frente al Mar
