Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"MODELKI - Santa Cruz (w/ Qry, WERSOW, Ekipa, Mortal, Vłodarski, Świeży)",12,1,(x9),322843,-95363.0,2566730,-8007,3735889,MODELKI,"Santa Cruz (w/ Qry, WERSOW, Ekipa, Mortal, Vłodarski, Świeży)"
2,=,Sentino - CASABLANCA (w/ BNP),50,1,(x36),247230,-64476.0,1978908,-38869,14039716,Sentino,CASABLANCA (w/ BNP)
3,=,"francis - 1DAY IN LA (w/ bambi, Oki)",7,3,(x6),171589,-63069.0,1385606,171589,1385606,francis,"1DAY IN LA (w/ bambi, Oki)"
4,=,Sobel - CAŁE LATO (w/ francis),56,2,(x19),136954,-44626.0,1200519,-47372,10766306,Sobel,CAŁE LATO (w/ francis)
5,+1,MODELKI - Miss Dior (w/ Vłodarski),77,4,,134701,-32423.0,1022675,6648,8445293,MODELKI,Miss Dior (w/ Vłodarski)
6,+1,Alex Warren - Ordinary,111,4,,119075,-24327.0,953947,-27625,10739589,Alex Warren,Ordinary
7,-2,"Sobel - CHA CHA (w/ SHDØW, francis)",57,1,(x12),118726,-51290.0,984304,-26987,11746588,Sobel,"CHA CHA (w/ SHDØW, francis)"
8,+3,"FRIZ - LABUBU (w/ Kacper Blonsky, Postirol, Ekipa, Kartonii)",12,7,,110658,-19766.0,867621,-19048,1325982,FRIZ,"LABUBU (w/ Kacper Blonsky, Postirol, Ekipa, Kartonii)"
9,-1,Żabson - LOLA,53,3,(x4),110641,-32449.0,927107,-34786,8298485,Żabson,LOLA
10,-1,Pezet - Dom Nad Wodą (w/ Auer),311,1,(x51),107900,-27125.0,904576,-20921,39887779,Pezet,Dom Nad Wodą (w/ Auer)
11,-1,"Sentino - MARBELLA (w/ BNP, Amadeusz Ferrari)",50,8,,105579,-27939.0,809806,-16177,4185147,Sentino,"MARBELLA (w/ BNP, Amadeusz Ferrari)"
12,+1,"Dawid Podsiadło - samoloty (w/ Kaśka Sochacka, ZORZA)",28,2,(x1),99828,-21254.0,788080,-27416,3663777,Dawid Podsiadło,"samoloty (w/ Kaśka Sochacka, ZORZA)"
13,-1,"Bajorson - Bailando (w/ Dawid Obserwator, Dj Killer, David Tango)",65,12,,97390,-26827.0,747068,4756,5363261,Bajorson,"Bailando (w/ Dawid Obserwator, Dj Killer, David Tango)"
14,+1,WizTheMc - Show Me Love (w/ bees & honey),124,5,,95018,-16766.0,718834,-1696,12544932,WizTheMc,Show Me Love (w/ bees & honey)
15,+4,budzik - NIE WIEM (w/ ADI),8,15,,92458,-11034.0,485986,53070,525374,budzik,NIE WIEM (w/ ADI)
16,+1,Ed Sheeran - Azizam,73,12,,87674,-16668.0,699882,-12686,5807428,Ed Sheeran,Azizam
17,+4,Ravyn Lenae - Love Me Not,105,17,,86193,-13645.0,657607,-8148,6329056,Ravyn Lenae,Love Me Not
18,-2,"Sobel - KOCHASZ? (w/ francis, Deemz)",176,1,(x11),85577,-24845.0,701338,-15309,34014078,Sobel,"KOCHASZ? (w/ francis, Deemz)"
19,-5,Sobel - Z TYŁU GŁOWY (w/ francis),98,2,(x8),85450,-28547.0,693261,-19104,13854012,Sobel,Z TYŁU GŁOWY (w/ francis)
20,=,sombr - back to friends,96,12,,84827,-17157.0,661850,-14149,7114362,sombr,back to friends
21,+1,Kaz Bałagane - Multisport (w/ Oskar83),336,1,(x12),83243,-15025.0,659258,-15615,40075168,Kaz Bałagane,Multisport (w/ Oskar83)
22,-4,sombr - undressed,76,12,,80939,-22586.0,661475,-21599,5897315,sombr,undressed
23,+5,MODELKI - Chyba że z Tobą (w/ Vłodarski),440,1,(x5),76842,-10461.0,596063,7206,53304390,MODELKI,Chyba że z Tobą (w/ Vłodarski)
24,=,Młody West - Bez promo,49,13,,75327,-18422.0,565491,-2255,3688511,Młody West,Bez promo
25,=,Sabrina Carpenter - Manchild,14,20,,74912,-17681.0,626635,-24416,1211005,Sabrina Carpenter,Manchild
26,-3,White 2115 - Lovestory,21,6,,74677,-22702.0,597927,-20297,2071792,White 2115,Lovestory
27,+2,MODELKI - On Me (w/ Vłodarski),393,21,,74248,-12983.0,553132,6123,22268250,MODELKI,On Me (w/ Vłodarski)
28,+2,Black Eyed Peas - Rock That Body,25,28,,71148,-14788.0,498362,9524,1296569,Black Eyed Peas,Rock That Body
29,-3,Mata - To tylko wiosna (w/ Maryla Rodowicz),35,2,(x2),70476,-19121.0,622312,-53334,5468676,Mata,To tylko wiosna (w/ Maryla Rodowicz)
30,+3,White 2115 - California,2477,5,,67673,-13085.0,463335,18306,112033568,White 2115,California
31,-4,Żabson - COWABONGA,91,7,,66403,-21139.0,563279,-18039,9729012,Żabson,COWABONGA
32,+14,Billie Eilish - BIRDS OF A FEATHER,399,8,,66324,-6881.0,503964,-9760,41103514,Billie Eilish,BIRDS OF A FEATHER
33,+8,Kaśka Sochacka - Szum,408,7,,65603,-9640.0,503853,-7857,25982601,Kaśka Sochacka,Szum
34,+14,Teddy Swims - Bad Dreams,273,12,,65225,-6865.0,484607,-4154,21048446,Teddy Swims,Bad Dreams
35,+20,Maciej Skiba - Chcę Ciebie częściej,53,28,,64175,-4845.0,452395,2577,3101410,Maciej Skiba,Chcę Ciebie częściej
36,+11,David Guetta - Beautiful People (w/ Sia),55,28,,63434,-8661.0,477595,-2010,2868739,David Guetta,Beautiful People (w/ Sia)
