Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Tjuvjakt - Tusen spänn (w/ Fanny Avonne),42,1,(x36),191956,27934.0,1191920,6609,8110252,Tjuvjakt,Tusen spänn (w/ Fanny Avonne)
2,+1,Lov1 - Sommarkatt,21,2,(x1),154849,30698.0,906093,19737,2167431,Lov1,Sommarkatt
3,-1,Ida-Lova - Svagare än jag,69,1,(x5),152987,28270.0,918797,14531,8890212,Ida-Lova,Svagare än jag
4,=,KAJ - Bara Bada Bastu,119,1,(x73),132359,32596.0,833393,12463,26855127,KAJ,Bara Bada Bastu
5,+3,Niklas Strömstedt - Om,68,4,,126325,36015.0,656960,39245,5225337,Niklas Strömstedt,Om
6,+1,De Vet Du - Ta Mig Aldrig Härifrån (w/ Victor Leksell),7,2,(x1),117358,23197.0,752748,117358,752748,De Vet Du,Ta Mig Aldrig Härifrån (w/ Victor Leksell)
7,+5,Veronica Maggio - Välkommen in,1306,7,,117174,42816.0,653080,31275,45864215,Veronica Maggio,Välkommen in
8,-3,Alex Warren - Ordinary,133,3,(x13),115777,17050.0,727383,7728,12029619,Alex Warren,Ordinary
9,=,Victor Leksell - Lys på mig,21,7,,114126,32131.0,653938,18839,1802146,Victor Leksell,Lys på mig
10,=,Tommy Cash - Espresso Macchiato,38,2,(x1),106537,25895.0,674131,10635,4593483,Tommy Cash,Espresso Macchiato
11,+14,Mares - Sunnanvind,1499,2,(x1),101132,43550.0,466206,47579,65325016,Mares,Sunnanvind
12,-6,Humlan Djojj - Djurens vaggvisa (w/ Josefine Götestam),1362,1,(x1),99462,2610.0,680217,3307,87826586,Humlan Djojj,Djurens vaggvisa (w/ Josefine Götestam)
13,=,Håkan Hellström - Det kommer aldrig va över för mig,1946,7,,97287,23345.0,616324,8698,44430406,Håkan Hellström,Det kommer aldrig va över för mig
14,+6,Veronica Maggio - 17 år,1110,12,,96041,32634.0,533490,26775,35209846,Veronica Maggio,17 år
15,-4,Ed Sheeran - Azizam,73,6,,91435,16478.0,560777,13440,5155947,Ed Sheeran,Azizam
16,+14,Oskar Linnros - Från och med Du,1493,16,,83470,29852.0,447401,24315,39239998,Oskar Linnros,Från och med Du
17,-1,Lia Lindstén - Mitt hjärta av guld,14,15,,81583,14193.0,452018,11533,908714,Lia Lindstén,Mitt hjärta av guld
18,+8,Hov1 - Hon dansar vidare i livet,2226,1,(x21),80847,23366.0,455308,18216,90566327,Hov1,Hon dansar vidare i livet
19,+31,Gyllene Tider - Sommartider,619,2,(x3),79508,39221.0,394484,30524,19460421,Gyllene Tider,Sommartider
20,-6,"ADAAM - Håller Mig Själv (w/ Greekazo, ROMANOS)",56,1,(x3),79286,5424.0,532274,-7736,6387312,ADAAM,"Håller Mig Själv (w/ Greekazo, ROMANOS)"
21,-6,Sabrina Carpenter - Manchild,14,9,,78287,7357.0,541530,-7701,1051072,Sabrina Carpenter,Manchild
22,-4,Veronica Maggio - Trädgården en fredag,790,13,,75869,10057.0,525249,5459,28568614,Veronica Maggio,Trädgården en fredag
23,-2,Soppgirobygget - BASSIANI,69,4,,75795,12452.0,497815,-7415,5415059,Soppgirobygget,BASSIANI
24,+23,Gyllene Tider - När vi två blir en,578,18,,75585,33298.0,394060,19795,17427465,Gyllene Tider,När vi två blir en
25,-1,Darin - Mimosa,39,19,,75316,15365.0,438046,19006,1561742,Darin,Mimosa
26,-9,Asme - Jetpack (w/ Sarettii),7,12,,74940,8930.0,484584,74940,484584,Asme,Jetpack (w/ Sarettii)
27,+34,"Ted Gärdestad - Sol, vind och vatten",734,1,(x3),73517,37860.0,370136,25975,22144863,Ted Gärdestad,"Sol, vind och vatten"
28,+18,Albin Lee Meldau - Josefin,1493,4,,73426,30321.0,316011,38097,64994306,Albin Lee Meldau,Josefin
29,-6,Søte og Rare Gutter - Bender,112,3,(x2),73109,12113.0,441597,5257,9013136,Søte og Rare Gutter,Bender
