Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Pil C - studené srdce (w/ Luca Brassi10x, Karlo, G1nter)",15,1,(x14),31386,-45.0,215368,-1655,507663,Pil C,"studené srdce (w/ Luca Brassi10x, Karlo, G1nter)"
2,=,"Pil C - dole (w/ Luca Brassi10x, Dollar Prync)",15,2,(x8),28953,-272.0,192576,848,451464,Pil C,"dole (w/ Luca Brassi10x, Dollar Prync)"
3,=,"Separ - Body to body (w/ French Montana, Peter Pann)",83,1,(x27),27086,-548.0,187650,-353,3157128,Separ,"Body to body (w/ French Montana, Peter Pann)"
4,=,Separ - Zub za zub (w/ Raphael),15,1,(x1),22626,303.0,162161,-6541,396456,Separ,Zub za zub (w/ Raphael)
5,=,"Pil C - nikto ako my (w/ Luca Brassi10x, Separ)",15,3,(x2),20998,-839.0,154320,-5245,390225,Pil C,"nikto ako my (w/ Luca Brassi10x, Separ)"
6,=,"Pil C - medelin (w/ Luca Brassi10x, Separ)",15,2,(x1),18826,-478.0,136400,-3944,374647,Pil C,"medelin (w/ Luca Brassi10x, Separ)"
7,=,Sara Rikas - Talk2me (w/ Yzomandias),65,1,(x17),18743,-443.0,134972,-3028,1903721,Sara Rikas,Talk2me (w/ Yzomandias)
8,=,Sara Rikas - Ups and downs,57,3,(x19),18507,-509.0,128523,-1294,1402197,Sara Rikas,Ups and downs
9,=,"Separ - AENE (w/ DMS, SMART)",83,1,(x23),18106,-14.0,132567,-2922,2891810,Separ,"AENE (w/ DMS, SMART)"
10,=,Sara Rikas - Tempo za 2 (w/ Raphael),58,5,,17175,299.0,119135,-783,1162991,Sara Rikas,Tempo za 2 (w/ Raphael)
11,+2,Alex Warren - Ordinary,133,4,,16335,71.0,115023,-1478,1579044,Alex Warren,Ordinary
12,-1,Sara Rikas - Cigarety (w/ Matej Turcer),57,3,(x2),16078,-237.0,114410,-2615,1241738,Sara Rikas,Cigarety (w/ Matej Turcer)
