Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",116,1,(x13),21688,-249.0,156662,-1719,2666442,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
2,=,Bad Bunny - EoO,166,1,(x74),20050,1049.0,136871,-1235,6210301,Bad Bunny,EoO
3,=,Bad Bunny - BAILE INoLVIDABLE,166,1,(x40),18798,479.0,133723,-1409,6244941,Bad Bunny,BAILE INoLVIDABLE
4,+3,Fuerza Regida - TU SANCHO,44,4,,17879,1192.0,117758,-366,581586,Fuerza Regida,TU SANCHO
5,=,Beéle - no tiene sentido,32,4,,17433,496.0,119008,-1042,478460,Beéle,no tiene sentido
6,+2,Fuerza Regida - COQUETA (w/ Grupo Frontera),123,3,(x1),17076,697.0,118799,385,1756208,Fuerza Regida,COQUETA (w/ Grupo Frontera)
7,-3,Neton Vega - Morena (w/ Peso Pluma),123,4,,16751,-536.0,116820,-700,1862264,Neton Vega,Morena (w/ Peso Pluma)
8,+1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,1,(x1),16372,617.0,109985,149,4883591,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
9,-3,Bad Bunny - KLOuFRENS,166,5,,15432,-1446.0,108520,-821,3985166,Bad Bunny,KLOuFRENS
10,=,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",110,3,(x8),15136,-562.0,109538,26,2116169,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
11,+2,Bad Bunny - DtMF,166,1,(x37),14394,807.0,102114,-1522,5822832,Bad Bunny,DtMF
12,-1,Beéle - Mi Refe (w/ Ovy On The Drums),175,10,,14319,165.0,97235,1021,2606832,Beéle,Mi Refe (w/ Ovy On The Drums)
13,+1,Fuerza Regida - Marlboro Rojo,47,12,,14003,464.0,89778,780,610014,Fuerza Regida,Marlboro Rojo
14,-2,Alemán - Te Quería Ver (w/ Neton Vega),134,2,(x5),13859,74.0,98730,-14,2744854,Alemán,Te Quería Ver (w/ Neton Vega)
15,+10,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",1531,14,,13142,1933.0,81820,371,9665145,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
16,-1,Xavi - En Privado (w/ Manuel Turizo),128,3,(x5),13040,-115.0,93292,-534,2634209,Xavi,En Privado (w/ Manuel Turizo)
17,+9,J Balvin - LA CANCIÓN (w/ Bad Bunny),2183,1,(x15),12977,1925.0,88847,731,23950456,J Balvin,LA CANCIÓN (w/ Bad Bunny)
18,+5,Bad Bunny - VOY A LLeVARTE PA PR,166,2,(x1),12862,1176.0,86426,-151,4269613,Bad Bunny,VOY A LLeVARTE PA PR
19,-1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),217,1,(x5),12624,278.0,85504,18,5445319,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
20,+8,Danny Ocean - Me Rehúso,3083,1,(x10),12621,1784.0,80169,-5893,14814613,Danny Ocean,Me Rehúso
21,-5,Fuerza Regida - ME JALO (w/ Grupo Frontera),176,3,(x3),12490,-139.0,90658,-825,3061129,Fuerza Regida,ME JALO (w/ Grupo Frontera)
22,-1,Danny Ocean - Imagínate (w/ Kapo),215,15,,12431,505.0,82920,183,2780356,Danny Ocean,Imagínate (w/ Kapo)
23,-3,Rauw Alejandro - Khé? (w/ Romeo Santos),217,1,(x11),12042,-73.0,81476,-27,5125493,Rauw Alejandro,Khé? (w/ Romeo Santos)
24,-2,Feid - LUNA (w/ ATL Jacob),567,1,(x88),11936,203.0,86195,-2072,15311901,Feid,LUNA (w/ ATL Jacob)
25,+11,Plan B - Es un Secreto,1527,3,(x25),11903,2285.0,80545,2021,18994524,Plan B,Es un Secreto
26,-7,Tito Double P - TATTOO,112,9,,11451,-677.0,80731,-1057,1763747,Tito Double P,TATTOO
27,-10,Jimin - Who,336,1,(x48),11310,-1149.0,94561,210,6597548,Jimin,Who
28,-4,Fuerza Regida - Por Esos Ojos,128,6,,10951,-507.0,80428,-817,2088196,Fuerza Regida,Por Esos Ojos
29,-2,Jin - Don’t Say You Love Me,35,11,,10588,-357.0,76327,437,404660,Jin,Don’t Say You Love Me
30,+2,Bad Bunny - NUEVAYoL,166,1,(x1),10538,587.0,72263,22,3821552,Bad Bunny,NUEVAYoL
31,+2,KAROL G - Si Antes Te Hubiera Conocido,364,1,(x25),10409,467.0,72967,222,7464021,KAROL G,Si Antes Te Hubiera Conocido
32,-2,Clave Especial - COMO CAPO (w/ Fuerza Regida),92,12,,10315,-99.0,73649,-428,1137634,Clave Especial,COMO CAPO (w/ Fuerza Regida)
33,+1,Aventura - Los Infieles,507,11,,10297,355.0,70926,480,4263818,Aventura,Los Infieles
34,-5,Young Miko - WASSUP,56,4,,10221,-278.0,72296,-1595,858346,Young Miko,WASSUP
35,+6,Tito Double P - DOS DÍAS (w/ Peso Pluma),280,15,,10201,1003.0,67672,663,3459123,Tito Double P,DOS DÍAS (w/ Peso Pluma)
36,+2,Oscar Maydon - Tu Boda (w/ Fuerza Regida),261,1,(x60),10017,453.0,74022,-1167,6437886,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
37,-2,Alleh - capaz (merengueton) (w/ Yorghaki),181,20,,9686,6.0,66055,51,2141177,Alleh,capaz (merengueton) (w/ Yorghaki)
38,-7,j-hope - Killin' It Girl (w/ GloRilla),7,31,,9672,-458.0,54346,9672,54346,j-hope,Killin' It Girl (w/ GloRilla)
39,+1,Neton Vega - Loco,171,8,,9592,104.0,69130,-928,2703336,Neton Vega,Loco
40,-3,Peso Pluma - HOLLYWOOD (w/ Estevan Plazola),303,25,,9450,-140.0,68059,-206,3003581,Peso Pluma,HOLLYWOOD (w/ Estevan Plazola)
41,+4,Beéle - top diesel,23,41,,9448,613.0,57003,2383,158164,Beéle,top diesel
42,+12,"Zion - More (w/ Jory Boy, Ken-Y)",35,40,,9331,1479.0,62306,-39,296163,Zion,"More (w/ Jory Boy, Ken-Y)"
43,+10,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",4,43,,9299,1362.0,27333,9299,27333,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
44,-1,Fuerza Regida - ANSIEDAD,49,27,,9201,71.0,62980,-172,471988,Fuerza Regida,ANSIEDAD
45,-6,Mora - DETRÁS DE TU ALMA,32,29,,9123,-417.0,68341,-2224,307276,Mora,DETRÁS DE TU ALMA
46,+1,Yandel - Encantadora,516,5,,9096,293.0,61712,880,2747024,Yandel,Encantadora
47,+1,Danny Ocean - Priti (w/ Sech),84,22,,8863,249.0,58992,253,755251,Danny Ocean,Priti (w/ Sech)
48,+4,Beéle - si te pillara,11,48,,8823,628.0,51773,2674,74793,Beéle,si te pillara
49,=,Victor Valverde - El Mayor De Los Ranas (w/ JR Torres),122,24,,8690,123.0,61497,17,1354652,Victor Valverde,El Mayor De Los Ranas (w/ JR Torres)
50,-8,Esau Ortiz - Triple Lavada,73,26,,8506,-671.0,63160,-1128,715024,Esau Ortiz,Triple Lavada
51,=,Clave Especial - TU TU TU (w/ Edgardo Nuñez),70,23,,8494,93.0,60618,-1511,698681,Clave Especial,TU TU TU (w/ Edgardo Nuñez)
52,-6,Julión Álvarez y su Norteño Banda - Rey Sin Reina,282,9,,8477,-327.0,56608,628,3182912,Julión Álvarez y su Norteño Banda,Rey Sin Reina
