Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Beéle - no tiene sentido,35,1,(x20),42163,-393.0,308589,-3813,1435911,Beéle,no tiene sentido
2,+1,Jimin - Who,336,1,(x73),36521,-1031.0,302639,-7410,11519769,Jimin,Who
3,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",120,1,(x81),36428,-1180.0,275333,-2661,5317628,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
4,=,Jin - Don’t Say You Love Me,35,1,(x1),36155,-377.0,244856,8687,1173174,Jin,Don’t Say You Love Me
5,+1,Beéle - top diesel,35,5,,29817,-253.0,206588,2910,764773,Beéle,top diesel
6,+1,Beéle - si te pillara,34,5,,29216,-118.0,204796,1657,713033,Beéle,si te pillara
7,-2,Beéle - Mi Refe (w/ Ovy On The Drums),196,2,(x51),28795,-1333.0,209134,262,6619851,Beéle,Mi Refe (w/ Ovy On The Drums)
8,+1,Alleh - capaz (merengueton) (w/ Yorghaki),212,1,(x27),23961,-749.0,173726,870,7782515,Alleh,capaz (merengueton) (w/ Yorghaki)
9,+2,Alleh - la culpa (track 11) (w/ Yorghaki),7,8,,22905,802.0,167219,22905,167219,Alleh,la culpa (track 11) (w/ Yorghaki)
10,+4,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",8,10,,21326,2073.0,96760,14242,103844,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
11,+1,Mora - AURORA (w/ De La Rose),32,2,(x1),21191,62.0,154861,-4285,892282,Mora,AURORA (w/ De La Rose)
12,-2,Beéle - sobelove,105,4,,21178,-1738.0,159606,-802,2621802,Beéle,sobelove
13,=,Beéle - quédate,35,11,,20741,245.0,141456,559,593895,Beéle,quédate
14,-6,j-hope - Killin' It Girl (w/ GloRilla),7,8,,19229,-5561.0,110794,19229,110794,j-hope,Killin' It Girl (w/ GloRilla)
15,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",166,1,(x39),18982,29.0,133069,853,6259047,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
16,+2,Nanpa Básico - Hasta Aquí Llegué (w/ Beéle),335,7,,17624,-368.0,122834,204,4879768,Nanpa Básico,Hasta Aquí Llegué (w/ Beéle)
17,-1,Danny Ocean - Priti (w/ Sech),91,5,,17580,-558.0,125941,22,2000337,Danny Ocean,Priti (w/ Sech)
18,+1,Mora - DETRÁS DE TU ALMA,32,10,,17235,329.0,127293,-2692,608363,Mora,DETRÁS DE TU ALMA
19,+1,"Piso 21 - Volver (w/ Marc Anthony, Beéle)",133,11,,16876,412.0,118267,-763,2158688,Piso 21,"Volver (w/ Marc Anthony, Beéle)"
20,+6,Yan Block - Yo sé (w/ TORRRES),258,10,,16606,1790.0,109448,-236,3323454,Yan Block,Yo sé (w/ TORRRES)
21,=,Yan Block - 111,119,7,,15712,202.0,106117,613,2163254,Yan Block,111
22,+1,Beéle - Frente al Mar,266,5,,15273,-77.0,110026,106,4394242,Beéle,Frente al Mar
23,+6,Danny Ocean - Imagínate (w/ Kapo),224,4,,14793,568.0,105021,-925,5220833,Danny Ocean,Imagínate (w/ Kapo)
24,+1,De La Rose - NUBES (w/ Omar Courtz),77,4,,14322,-534.0,102628,-26,1284293,De La Rose,NUBES (w/ Omar Courtz)
25,+2,Yan Block - 444 (w/ Panda Black),368,15,,14316,-63.0,103129,169,3417336,Yan Block,444 (w/ Panda Black)
26,-9,j-hope - MONA LISA,91,10,,14262,-3789.0,113779,3444,1512142,j-hope,MONA LISA
27,-3,Fer Ariza - ENAMORA2,28,5,,14213,-1068.0,94602,4279,415254,Fer Ariza,ENAMORA2
28,=,Nicky Jam - Hiekka (w/ Beéle),49,9,,13820,-475.0,102325,-844,726613,Nicky Jam,Hiekka (w/ Beéle)
29,+15,SAIKO - LOKENECESITAS (w/ Omar Courtz),7,29,,13791,2766.0,67833,13791,67833,SAIKO,LOKENECESITAS (w/ Omar Courtz)
30,-8,Bad Bunny - KLOuFRENS,166,9,,13430,-2079.0,97991,-301,3694785,Bad Bunny,KLOuFRENS
31,-1,ROA - ME GUSTAS CC,174,22,,13374,-79.0,90873,839,1887656,ROA,ME GUSTAS CC
32,-1,"Jombriel - VITAMINA (w/ DFZM, Jøtta)",111,8,,12972,31.0,95783,388,1633486,Jombriel,"VITAMINA (w/ DFZM, Jøtta)"
33,-1,Bad Bunny - BAILE INoLVIDABLE,166,3,(x2),12653,3.0,92106,-733,4795457,Bad Bunny,BAILE INoLVIDABLE
34,+2,Bad Bunny - EoO,166,6,,12441,27.0,89046,-212,4086879,Bad Bunny,EoO
35,+3,Bad Bunny - VOY A LLeVARTE PA PR,166,2,(x3),12233,458.0,87443,-209,4703476,Bad Bunny,VOY A LLeVARTE PA PR
36,-2,"ROA - ETA - RMX (w/ De La Rose, Luar La L, Yan Block, Omar Courtz)",198,12,,11928,-516.0,80419,603,3195045,ROA,"ETA - RMX (w/ De La Rose, Luar La L, Yan Block, Omar Courtz)"
37,-2,Feid - LUNA (w/ ATL Jacob),567,1,(x139),11915,-520.0,88880,-843,13564150,Feid,LUNA (w/ ATL Jacob)
38,+1,KAROL G - Si Antes Te Hubiera Conocido,364,1,(x31),11591,210.0,84786,683,8020109,KAROL G,Si Antes Te Hubiera Conocido
39,-2,"Slayter - secuestro (w/ Yan Block, NTG)",65,34,,11225,-854.0,81360,-399,707242,Slayter,"secuestro (w/ Yan Block, NTG)"
40,+5,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),217,1,(x3),11112,103.0,76182,190,4943580,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
41,-1,Mora - MÁS QUE ALGO (w/ Omar Courtz),32,3,(x1),11070,-287.0,82305,-2769,635284,Mora,MÁS QUE ALGO (w/ Omar Courtz)
42,+1,Omar Courtz - ⁠LUCES DE COLORES,272,31,,11038,-59.0,69777,1947,2245047,Omar Courtz,⁠LUCES DE COLORES
43,+6,"Omar Courtz - Kyoto (w/ De La Rose, Haze)",382,6,,11014,725.0,73691,330,5068081,Omar Courtz,"Kyoto (w/ De La Rose, Haze)"
44,+2,Alleh - una noche (w/ Yorghaki),176,10,,10970,27.0,78041,318,2651089,Alleh,una noche (w/ Yorghaki)
45,+2,Bad Bunny - DtMF,166,1,(x9),10801,178.0,78796,-969,4338287,Bad Bunny,DtMF
46,+4,Omar Courtz - Q U E V A S H A C E R H O Y ? (w/ De La Rose),273,1,(x25),10389,428.0,73197,-513,5598143,Omar Courtz,Q U E V A S H A C E R H O Y ? (w/ De La Rose)
47,+1,Jimin - Rebirth (Intro),57,39,,10324,-277.0,48040,4965,339995,Jimin,Rebirth (Intro)
48,+5,Bad Bunny - NUEVAYoL,166,1,(x6),10089,478.0,72394,214,4438721,Bad Bunny,NUEVAYoL
49,-8,KAROL G - LATINA FOREVA,28,16,,9974,-1341.0,82261,-2753,391303,KAROL G,LATINA FOREVA
50,-8,Alleh - el ingeniero (w/ Yorghaki),176,7,,9965,-1193.0,74798,-594,2882398,Alleh,el ingeniero (w/ Yorghaki)
51,-18,j-hope - Killin' It Girl (Solo Version),7,33,,9836,-2640.0,69446,9836,69446,j-hope,Killin' It Girl (Solo Version)
52,-1,Myke Towers - SOLEAO (w/ Quevedo),21,32,,9676,-137.0,72321,-714,207846,Myke Towers,SOLEAO (w/ Quevedo)
53,+5,KAROL G - Milagros,43,13,,9475,695.0,61497,-48,502441,KAROL G,Milagros
54,=,"Rvssian - WOAHH (w/ Young Miko, Omar Courtz, Clarent)",98,21,,9198,-136.0,60540,1176,1096950,Rvssian,"WOAHH (w/ Young Miko, Omar Courtz, Clarent)"
