Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+2,"MaWhoo - Bengicela (w/ GL_Ceejay, Thukuthela, Jazzworx)",7,1,(x1),113439,12869.0,766342,113439,766342,MaWhoo,"Bengicela (w/ GL_Ceejay, Thukuthela, Jazzworx)"
2,-1,"Jazzworx - Uzizwa Kanjan (w/ MaWhoo, Thukuthela, GL_Ceejay)",56,1,(x18),112100,6579.0,981590,-7500,7198604,Jazzworx,"Uzizwa Kanjan (w/ MaWhoo, Thukuthela, GL_Ceejay)"
3,-1,"CIZA - Isaka (6am) (w/ Jazzworx, Thukuthela)",70,1,(x47),105608,228.0,982423,-16596,9910136,CIZA,"Isaka (6am) (w/ Jazzworx, Thukuthela)"
4,=,"Dlala Thukzin - Mali (w/ Zee Nxumalo, SYKES)",56,3,(x31),91615,3698.0,807544,-5422,4696808,Dlala Thukzin,"Mali (w/ Zee Nxumalo, SYKES)"
5,=,"DJ Maphorisa - Abantwana Bakho (w/ Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter)",84,4,,82199,4157.0,614077,6594,5456126,DJ Maphorisa,"Abantwana Bakho (w/ Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter)"
6,=,"Oscar Mbo - Vuka (w/ Jazzworx, Thukuthela)",164,1,(x33),59131,989.0,572781,-5146,11954555,Oscar Mbo,"Vuka (w/ Jazzworx, Thukuthela)"
7,+2,Issa sisdoh - Vuma Dlozi Lami (w/ Ancestral Rituals),234,1,(x8),56811,3121.0,534686,-5029,13545917,Issa sisdoh,Vuma Dlozi Lami (w/ Ancestral Rituals)
8,=,NHLOSO KHWELA - UNIKHODIMA (w/ Shenge wasehlalankosi),45,6,,55928,1480.0,487087,-7373,2660258,NHLOSO KHWELA,UNIKHODIMA (w/ Shenge wasehlalankosi)
9,-2,"Shandesh - Warning (w/ Shebeshxt, King Salah, Kaycherlow NLL)",28,4,,54774,-1211.0,504882,-13094,1725484,Shandesh,"Warning (w/ Shebeshxt, King Salah, Kaycherlow NLL)"
10,+1,Shandesh - Sdudla or Slender (w/ Mvzzle),100,1,(x24),50362,1414.0,467192,-6460,8079608,Shandesh,Sdudla or Slender (w/ Mvzzle)
11,+1,Alex Warren - Ordinary,133,6,,50349,1725.0,355007,-2951,5198093,Alex Warren,Ordinary
12,-2,"Shandesh - Di Chopper (w/ Mvzzle, Abi wa Mampela, Naleboy Young King)",67,3,(x12),49944,-1358.0,481393,-4071,5020982,Shandesh,"Di Chopper (w/ Mvzzle, Abi wa Mampela, Naleboy Young King)"
13,=,"Zee Nxumalo - Ngisakuthanda (w/ TBO, PYY Logdrum King, DJ Tearz, Dr Thulz)",254,2,(x6),42501,889.0,392459,-478,10059970,Zee Nxumalo,"Ngisakuthanda (w/ TBO, PYY Logdrum King, DJ Tearz, Dr Thulz)"
14,+1,Sminofu - Sajola Kamnandi (w/ Zee Nxumalo),57,2,(x1),41764,789.0,383754,-7344,3654515,Sminofu,Sajola Kamnandi (w/ Zee Nxumalo)
15,-1,"Dlala Thukzin - Sohlala Sisonke (w/ Zeh McGeba, MK Productions)",266,3,(x3),40136,-1441.0,377073,-2162,13869984,Dlala Thukzin,"Sohlala Sisonke (w/ Zeh McGeba, MK Productions)"
16,=,Janesh - Ngwanaka (w/ Hitboss SA),63,12,,39387,1161.0,364073,-3571,2774219,Janesh,Ngwanaka (w/ Hitboss SA)
17,+2,MENZI MUSIC - Wayengenalutho,192,6,,38288,2888.0,326137,-8075,7625654,MENZI MUSIC,Wayengenalutho
18,=,"Uncle Waffles - ZENZELE (w/ Royal MusiQ, Uncool MC, Xduppy, CowBoii)",132,7,,37794,1627.0,314953,2629,4375619,Uncle Waffles,"ZENZELE (w/ Royal MusiQ, Uncool MC, Xduppy, CowBoii)"
