Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),35,1,(x32),39046,2784.0,279115,-11646,1595410,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
2,+1,COSMÓ - TANZSCHEIN,63,1,(x1),36030,6849.0,147879,23999,793582,COSMÓ,TANZSCHEIN
3,NEW,Drake - Make Them Cry,1,3,(x1),35000,,35000,35000,35000,Drake,Make Them Cry
4,-2,Michael Jackson - Billie Jean,344,2,(x4),34894,3348.0,209226,4268,3263393,Michael Jackson,Billie Jean
5,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,5,,31248,,31248,31248,31248,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
6,NEW,Drake - Dust,1,6,,29589,,29589,29589,29589,Drake,Dust
7,-1,MDB - Angels Above Me,11,2,(x3),29441,6005.0,192991,2539,260701,MDB,Angels Above Me
8,-3,Michael Jackson - Beat It,36,5,,29390,3734.0,173769,4286,548546,Michael Jackson,Beat It
9,NEW,Drake - National Treasures,1,9,,29221,,29221,29221,29221,Drake,National Treasures
10,NEW,Drake - Whisper My Name,1,10,,29110,,29110,29110,29110,Drake,Whisper My Name
11,NEW,Drake - Janice STFU,1,11,,26716,,26716,26716,26716,Drake,Janice STFU
12,-8,Dominic Fike - Babydoll,118,1,(x37),26551,750.0,186459,-3163,3362739,Dominic Fike,Babydoll
13,-6,Temper City - Self Aware,59,2,(x4),25438,2924.0,175910,-3137,1176054,Temper City,Self Aware
14,-5,The Killers - Mr. Brightside,2017,3,(x1),25085,2641.0,166212,-1360,16724317,The Killers,Mr. Brightside
15,-4,Stick Figure - Run Run River (w/ DJKryos),10,9,,24332,4513.0,142237,9240,174884,Stick Figure,Run Run River (w/ DJKryos)
16,NEW,"Pashanim - Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)",1,16,,23961,,23961,23961,23961,Pashanim,"Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)"
17,-9,Green Day - Boulevard of Broken Dreams,151,6,,23593,1145.0,157815,5773,1228008,Green Day,Boulevard of Broken Dreams
18,NEW,Drake - Shabang,1,18,,22461,,22461,22461,22461,Drake,Shabang
19,+27,DARA - Bangaranga,3,19,,21414,10009.0,41883,21414,41883,DARA,Bangaranga
20,-10,Zara Larsson - Lush Life,1013,1,(x9),20914,855.0,141569,-3083,9940537,Zara Larsson,Lush Life
21,-9,Katy Perry - The One That Got Away,56,8,,20766,1645.0,146422,-3885,736615,Katy Perry,The One That Got Away
22,NEW,Drake - Make Them Pay,1,22,,20106,,20106,20106,20106,Drake,Make Them Pay
23,NEW,Drake - 2 Hard 4 The Radio,1,23,,19853,,19853,19853,19853,Drake,2 Hard 4 The Radio
24,NEW,Drake - Plot Twist,1,24,,19622,,19622,19622,19622,Drake,Plot Twist
25,NEW,Drake - B's On The Table (w/ 21 Savage),1,25,,19332,,19332,19332,19332,Drake,B's On The Table (w/ 21 Savage)
26,RE,Drake - What Did I Miss?,7,26,,18317,,18317,18317,67259,Drake,What Did I Miss?
27,NEW,Gracie Abrams - Hit the Wall,1,27,,17936,,17936,17936,17936,Gracie Abrams,Hit the Wall
28,-12,Cave - CASA CUBA (w/ Amo),8,5,,17917,3166.0,117999,-9033,144949,Cave,CASA CUBA (w/ Amo)
29,NEW,Drake - Burning Bridges,1,29,,17118,,17118,17118,17118,Drake,Burning Bridges
30,-17,Vance Joy - Riptide,2144,11,,16853,597.0,112196,218,19766656,Vance Joy,Riptide
31,-17,Djo - End of Beginning,724,1,(x24),16816,699.0,117676,-2008,12495823,Djo,End of Beginning
32,NEW,"Ikkimel - KOKOSNUSS (w/ Florida Juicy, Barré)",1,32,,16638,,16638,16638,16638,Ikkimel,"KOKOSNUSS (w/ Florida Juicy, Barré)"
33,-16,Plain White T's - Hey There Delilah,20,12,,16527,1834.0,113264,-1656,264998,Plain White T's,Hey There Delilah
34,-1,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),4,33,,16510,3718.0,49723,16510,49723,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
35,-20,RAYE - WHERE IS MY HUSBAND!,239,2,(x9),16361,651.0,115152,-3218,5882732,RAYE,WHERE IS MY HUSBAND!
36,-15,Michael Jackson - Dirty Diana - 2012 Remaster,58,20,,16309,2108.0,104666,-666,545538,Michael Jackson,Dirty Diana - 2012 Remaster
37,-14,Don Omar - Danza Kuduro (w/ Lucenzo),1569,13,,16212,2240.0,103891,-2102,14880662,Don Omar,Danza Kuduro (w/ Lucenzo)
38,-20,Taylor Swift - The Fate of Ophelia,225,1,(x54),16059,1370.0,111438,-2438,8128787,Taylor Swift,The Fate of Ophelia
39,-19,Dominic Fike - White Keys,98,2,(x23),15725,1427.0,114786,-3452,2178460,Dominic Fike,White Keys
40,-14,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,20,26,,15435,2244.0,95251,1126,232383,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
41,+4,FELICIA - My System,3,41,,15377,3968.0,38838,15377,38838,FELICIA,My System
42,-12,Michael Jackson - Human Nature,18,30,,15267,2287.0,90914,3122,195228,Michael Jackson,Human Nature
43,NEW,reezy - BRITNEY SPEARS,1,43,,15251,,15251,15251,15251,reezy,BRITNEY SPEARS
44,-25,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1597,12,,15065,724.0,100739,-253,17711841,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
45,-23,Alex Warren - Ordinary,462,1,(x61),15051,953.0,100975,-1113,13199433,Alex Warren,Ordinary
46,-3,Sarah Engels - Fire,4,43,,14901,3297.0,43636,14901,43636,Sarah Engels,Fire
47,+10,"Satoshi - Viva, Moldova!",3,47,,14499,3685.0,37202,14499,37202,Satoshi,"Viva, Moldova!"
48,-23,Michael Jackson - Smooth Criminal - 2012 Remaster,23,25,,14461,1263.0,89188,1095,254693,Michael Jackson,Smooth Criminal - 2012 Remaster
49,-25,Ravyn Lenae - Love Me Not,433,8,,14410,893.0,98978,-1616,6538503,Ravyn Lenae,Love Me Not
50,-22,The Police - Every Breath You Take,834,5,,14399,1390.0,92070,456,9681329,The Police,Every Breath You Take
51,-24,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),134,6,,14358,1222.0,99477,-2630,2417072,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
52,-21,Michael Jackson - They Don't Care About Us,32,31,,14343,1375.0,91000,88,340651,Michael Jackson,They Don't Care About Us
53,NEW,Drake - Make Them Remember,1,53,,14197,,14197,14197,14197,Drake,Make Them Remember
54,-22,The Goo Goo Dolls - Iris,783,14,,14069,1181.0,93454,-128,8215672,The Goo Goo Dolls,Iris
55,-26,The Neighbourhood - Sweater Weather,2020,12,,13777,784.0,90270,-27,19975528,The Neighbourhood,Sweater Weather
56,-21,sombr - back to friends,428,2,(x15),13720,1096.0,94116,-1293,8719379,sombr,back to friends
57,-20,Kings of Leon - Sex on Fire,918,19,,13689,1282.0,90184,-973,8492630,Kings of Leon,Sex on Fire
58,-22,Disco Lines - No Broke Boys (w/ Tinashe),329,1,(x1),13614,1013.0,93502,-2370,6155528,Disco Lines,No Broke Boys (w/ Tinashe)
59,+41,Antigoni - JALLA,2,59,,13540,4815.0,22265,13540,22265,Antigoni,JALLA
60,-19,Natasha Bedingfield - Unwritten,856,1,(x14),13475,1747.0,85810,-1136,14704858,Natasha Bedingfield,Unwritten
61,-17,BUNT. - TRIPPIN (w/ Mapei),313,16,,13417,1898.0,86111,-907,3947698,BUNT.,TRIPPIN (w/ Mapei)
62,-24,Dave - Raindance (w/ Tems),165,4,,13367,1193.0,94016,-2284,3358262,Dave,Raindance (w/ Tems)
63,-29,Olivia Dean - Man I Need,265,6,,13235,473.0,91486,-1400,4743056,Olivia Dean,Man I Need
64,NEW,Drake - Make Them Know,1,64,,13185,,13185,13185,13185,Drake,Make Them Know
65,NEW,Shakira - Dai Dai (w/ Burna Boy),1,65,,13173,,13173,13173,13173,Shakira,Dai Dai (w/ Burna Boy)
66,-27,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",327,1,(x47),13085,1035.0,86475,-824,7644681,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
67,-27,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),82,5,,13051,1137.0,93750,-3070,1250335,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
68,-15,Dardan - Vermisse (w/ Azet),15,2,(x2),13044,2035.0,103894,-12541,310370,Dardan,Vermisse (w/ Azet)
69,+1,Akylas - Ferto,3,69,,13006,3309.0,32745,13006,32745,Akylas,Ferto
70,-21,Rihanna - S&M,689,29,,12809,1469.0,81418,-317,5996957,Rihanna,S&M
71,-24,Linkin Park - In the End,1938,6,,12803,1398.0,80320,119,14735489,Linkin Park,In the End
72,NEW,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,1,72,,12679,,12679,12679,12679,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
73,-19,Linkin Park - The Emptiness Machine,616,1,(x74),12645,1711.0,83428,-706,14593959,Linkin Park,The Emptiness Machine
74,-16,Katy Perry - Legendary Lovers,24,29,,12544,1849.0,88092,-2996,254669,Katy Perry,Legendary Lovers
75,-33,Nirvana - Smells Like Teen Spirit - Remastered,759,42,,12521,875.0,80714,-94,5499211,Nirvana,Smells Like Teen Spirit - Remastered
76,-28,Bad Bunny - DtMF,389,1,(x21),12335,981.0,90149,-3817,6144599,Bad Bunny,DtMF
77,-27,Olivia Rodrigo - drop dead,29,2,(x1),12314,1189.0,93643,-3777,580904,Olivia Rodrigo,drop dead
78,+84,Alexandra Căpitănescu - Choke Me,2,78,,12228,5014.0,19442,12228,19442,Alexandra Căpitănescu,Choke Me
79,-12,AK AUSSERKONTROLLE - LDNB (w/ Shirin David),29,4,,12217,2328.0,86282,-5428,486655,AK AUSSERKONTROLLE,LDNB (w/ Shirin David)
80,-29,Alex Warren - FEVER DREAM,78,1,(x3),12102,1069.0,89154,-2932,1578257,Alex Warren,FEVER DREAM
81,NEW,Drake - Don’t Worry,1,81,,11931,,11931,11931,11931,Drake,Don’t Worry
