Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),393867,,393867,393867,393867,Drake,Make Them Cry
2,NEW,Drake - Dust,1,2,(x1),336975,,336975,336975,336975,Drake,Dust
3,NEW,Drake - Whisper My Name,1,3,(x1),312737,,312737,312737,312737,Drake,Whisper My Name
4,NEW,Drake - National Treasures,1,4,,292660,,292660,292660,292660,Drake,National Treasures
5,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,5,,279458,,279458,279458,279458,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
6,NEW,Drake - Janice STFU,1,6,,269858,,269858,269858,269858,Drake,Janice STFU
7,NEW,Drake - Shabang,1,7,,243200,,243200,243200,243200,Drake,Shabang
8,-6,Ella Langley - Choosin' Texas,170,2,(x7),229977,5667.0,1585911,-2082,21440426,Ella Langley,Choosin' Texas
9,-8,Olivia Dean - Man I Need,274,1,(x192),225850,612.0,1592782,-8869,89090487,Olivia Dean,Man I Need
10,NEW,Drake - 2 Hard 4 The Radio,1,10,,215486,,215486,215486,215486,Drake,2 Hard 4 The Radio
11,NEW,Drake - Make Them Pay,1,11,,214278,,214278,214278,214278,Drake,Make Them Pay
12,NEW,Drake - B's On The Table (w/ 21 Savage),1,12,,208778,,208778,208778,208778,Drake,B's On The Table (w/ 21 Savage)
13,-10,Sam Fender - Rein Me In (w/ Olivia Dean),249,2,(x16),205499,-5032.0,1484608,-15402,32403879,Sam Fender,Rein Me In (w/ Olivia Dean)
14,NEW,Drake - Plot Twist,1,14,,202019,,202019,202019,202019,Drake,Plot Twist
15,RE,Drake - What Did I Miss?,29,15,,195199,,195199,195199,2357783,Drake,What Did I Miss?
16,-11,Michael Jackson - Billie Jean,308,5,,193698,8806.0,1280000,20867,16988224,Michael Jackson,Billie Jean
17,NEW,Drake - Burning Bridges,1,17,,187675,,187675,187675,187675,Drake,Burning Bridges
18,-14,Bella Kay - iloveitiloveitiloveit,99,1,(x14),185679,-11129.0,1380595,-14231,21006091,Bella Kay,iloveitiloveitiloveit
19,-11,Michael Jackson - Beat It,26,8,,159071,5800.0,1062511,16818,2801227,Michael Jackson,Beat It
20,NEW,Drake - Make Them Remember,1,20,,156667,,156667,156667,156667,Drake,Make Them Remember
21,NEW,Gracie Abrams - Hit the Wall,1,21,,156096,,156096,156096,156096,Gracie Abrams,Hit the Wall
22,-16,Dominic Fike - Babydoll,579,4,,150130,-7565.0,1098367,-8378,46407286,Dominic Fike,Babydoll
23,-16,Justin Bieber - DAISIES,309,1,(x15),150033,-3354.0,1099196,-17968,48653942,Justin Bieber,DAISIES
24,NEW,Drake - Make Them Know,1,24,,149485,,149485,149485,149485,Drake,Make Them Know
25,-13,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),114,2,(x4),145163,3286.0,1039365,-17760,10225720,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
26,-17,Olivia Dean - So Easy (To Fall In Love),232,2,(x34),142950,-5677.0,1042139,-9915,47735960,Olivia Dean,So Easy (To Fall In Love)
27,-16,sombr - Homewrecker,99,3,(x2),138826,-3533.0,999485,-8790,16282351,sombr,Homewrecker
28,-15,Michael Jackson - Human Nature,20,13,,138643,518.0,937696,22050,2110386,Michael Jackson,Human Nature
29,-19,Malcolm Todd - Earrings,49,10,,134065,-9811.0,982320,8764,5190689,Malcolm Todd,Earrings
30,-12,Alex Warren - Ordinary,463,1,(x118),130627,2884.0,932708,-5460,95200525,Alex Warren,Ordinary
31,-17,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),133,2,(x7),130131,-1718.0,932147,-4085,21226811,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
32,-16,The Killers - Mr. Brightside,4025,10,,129231,-67.0,865118,7144,234869997,The Killers,Mr. Brightside
33,NEW,Drake - Don’t Worry,1,33,,127815,,127815,127815,127815,Drake,Don’t Worry
34,-14,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,24,17,,127808,4300.0,884887,6922,2279718,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
35,-20,Dave - Raindance (w/ Tems),199,4,,125511,-3823.0,921131,-13169,27368449,Dave,Raindance (w/ Tems)
36,-11,Disco Lines - No Broke Boys (w/ Tinashe),342,2,(x22),123962,6154.0,834840,-3065,67729229,Disco Lines,No Broke Boys (w/ Tinashe)
37,NEW,Drake - Little Birdie,1,37,,123039,,123039,123039,123039,Drake,Little Birdie
38,-21,The Goo Goo Dolls - Iris,1928,9,,122607,-5371.0,854274,2012,139723000,The Goo Goo Dolls,Iris
39,-18,sombr - 12 to 12,295,3,(x1),120948,-2025.0,872165,-9515,51520138,sombr,12 to 12
40,-14,RAYE - WHERE IS MY HUSBAND!,239,2,(x1),120725,3748.0,848884,-7505,42065462,RAYE,WHERE IS MY HUSBAND!
41,NEW,Drake - Firm Friends,1,41,,119965,,119965,119965,119965,Drake,Firm Friends
42,-23,Dominic Fike - White Keys,112,8,,118926,-8346.0,895244,-8873,13237702,Dominic Fike,White Keys
43,-16,Zara Larsson - Lush Life,928,4,,118848,2647.0,856692,-10919,49182612,Zara Larsson,Lush Life
44,-21,sombr - back to friends,426,2,(x10),118565,-3177.0,834416,810,71730146,sombr,back to friends
45,-17,The Chemical Brothers - Go,42,28,,117986,3944.0,779042,6133,1508621,The Chemical Brothers,Go
46,-24,Olivia Rodrigo - drop dead,29,1,(x4),117063,-5858.0,937385,-28145,5516017,Olivia Rodrigo,drop dead
47,-23,Fleetwood Mac - Dreams - 2001 Remaster,32,15,,115089,-3861.0,811687,2457,3809842,Fleetwood Mac,Dreams - 2001 Remaster
48,NEW,Drake - Hoe Phase,1,48,,112105,,112105,112105,112105,Drake,Hoe Phase
49,-17,STELLA LEFTY - Boston,38,32,,110971,3682.0,740200,7629,3008044,STELLA LEFTY,Boston
50,-21,"White Noise Radiance - Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps) (w/ Rain Sounds)",108,10,,109445,-2641.0,790271,1651,13592074,White Noise Radiance,"Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps) (w/ Rain Sounds)"
51,-21,Djo - End of Beginning,686,2,(x30),108183,-2297.0,785712,-3854,84605218,Djo,End of Beginning
52,NEW,Drake - WNBA,1,52,,105658,,105658,105658,105658,Drake,WNBA
53,-19,Taylor Swift - The Fate of Ophelia,225,1,(x25),104872,1713.0,738863,-4920,50826158,Taylor Swift,The Fate of Ophelia
54,-23,Olivia Dean - Nice To Each Other,344,5,,103474,-4282.0,769834,-10129,48541284,Olivia Dean,Nice To Each Other
55,-22,Temper City - Self Aware,27,32,,99908,-5683.0,710012,10539,2099573,Temper City,Self Aware
56,-20,Harry Styles - American Girls,72,2,(x1),99505,461.0,738046,-11618,9547586,Harry Styles,American Girls
57,-20,Michael Jackson - Dirty Diana - 2012 Remaster,20,35,,97238,-449.0,689226,3272,1659169,Michael Jackson,Dirty Diana - 2012 Remaster
58,-23,Ravyn Lenae - Love Me Not,447,4,,97160,-4678.0,706589,-3406,54896160,Ravyn Lenae,Love Me Not
