Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Michael Jackson - Billie Jean,1017,1,(x2),62394,3175.0,385846,6994,9421121,Michael Jackson,Billie Jean
2,NEW,Drake - Make Them Cry,1,2,(x1),61517,,61517,61517,61517,Drake,Make Them Cry
3,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),35,1,(x30),57042,493.0,398730,-7311,2263438,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
4,-1,Michael Jackson - Beat It,35,3,(x2),50770,3383.0,307899,7219,972960,Michael Jackson,Beat It
5,NEW,Drake - Dust,1,5,,50279,,50279,50279,50279,Drake,Dust
6,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,6,,49824,,49824,49824,49824,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
7,NEW,Drake - Whisper My Name,1,7,,49471,,49471,49471,49471,Drake,Whisper My Name
8,NEW,Drake - National Treasures,1,8,,46091,,46091,46091,46091,Drake,National Treasures
9,NEW,Drake - Janice STFU,1,9,,44389,,44389,44389,44389,Drake,Janice STFU
10,-6,Dominic Fike - Babydoll,106,1,(x26),42980,-1614.0,300170,-1216,4432627,Dominic Fike,Babydoll
11,-6,Zara Larsson - Lush Life,1298,1,(x8),42015,-1158.0,288723,-1790,20628437,Zara Larsson,Lush Life
12,NEW,Drake - Shabang,1,12,,37737,,37737,37737,37737,Drake,Shabang
13,-5,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),76,2,(x1),37682,1931.0,264936,-5403,2050336,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR))
14,NEW,Noano - Ewa Safi (w/ Lil Kleine),1,14,,37291,,37291,37291,37291,Noano,Ewa Safi (w/ Lil Kleine)
15,-8,RAYE - WHERE IS MY HUSBAND!,239,1,(x3),36971,1089.0,251414,-2715,10725227,RAYE,WHERE IS MY HUSBAND!
16,-10,Olivia Dean - Man I Need,268,2,(x1),36662,162.0,269243,-7389,12385904,Olivia Dean,Man I Need
17,-5,PLK - Pocahontas,64,4,,35820,3742.0,243154,-4210,2203712,PLK,Pocahontas
18,-7,disiz - melodrama (w/ Theodora),228,1,(x40),35375,3051.0,240048,-3972,12892763,disiz,melodrama (w/ Theodora)
19,NEW,Drake - Make Them Pay,1,19,,35023,,35023,35023,35023,Drake,Make Them Pay
20,-11,Alex Warren - Ordinary,463,1,(x90),34583,1305.0,232939,-491,25502125,Alex Warren,Ordinary
21,RE,THYPONYX - Genie In A Bottle,4,7,,34178,,138443,34178,138443,THYPONYX,Genie In A Bottle
22,NEW,Drake - 2 Hard 4 The Radio,1,22,,33870,,33870,33870,33870,Drake,2 Hard 4 The Radio
23,-13,Disney - Zoo (w/ Shakira),140,7,,33318,307.0,222458,1226,3760768,Disney,Zoo (w/ Shakira)
24,NEW,Drake - Plot Twist,1,24,,33312,,33312,33312,33312,Drake,Plot Twist
25,NEW,Drake - B's On The Table (w/ 21 Savage),1,25,,32464,,32464,32464,32464,Drake,B's On The Table (w/ 21 Savage)
26,-13,Vance Joy - Riptide,3072,13,,31722,386.0,210225,2407,37005709,Vance Joy,Riptide
27,-9,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,24,18,,31133,2411.0,198531,2101,534228,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
28,-13,Djo - End of Beginning,573,1,(x8),31104,608.0,217865,-2119,17023685,Djo,End of Beginning
29,NEW,Gracie Abrams - Hit the Wall,1,29,,30968,,30968,30968,30968,Gracie Abrams,Hit the Wall
30,-14,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),69,9,,30771,575.0,216607,-3746,1900162,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
31,RE,Drake - What Did I Miss?,2,31,,30761,,30761,30761,45442,Drake,What Did I Miss?
32,-18,Bruno Mars - I Just Might,127,8,,30440,-126.0,214605,-1646,4424232,Bruno Mars,I Just Might
33,NEW,Drake - Burning Bridges,1,33,,30209,,30209,30209,30209,Drake,Burning Bridges
34,-8,Michael Jackson - Human Nature,18,26,,29934,2790.0,183744,5566,390424,Michael Jackson,Human Nature
35,-14,Dave - Raindance (w/ Tems),204,2,(x4),29175,1379.0,205028,-3448,7360638,Dave,Raindance (w/ Tems)
36,-14,Taylor Swift - The Fate of Ophelia,225,1,(x43),29155,1360.0,198230,-2088,12649808,Taylor Swift,The Fate of Ophelia
37,-20,Olivia Dean - So Easy (To Fall In Love),230,11,,29067,-372.0,214210,-7089,6686971,Olivia Dean,So Easy (To Fall In Love)
38,-15,Disco Lines - No Broke Boys (w/ Tinashe),311,3,(x1),28702,1175.0,193943,-1942,11419716,Disco Lines,No Broke Boys (w/ Tinashe)
39,-19,Alex Warren - FEVER DREAM,78,3,(x1),28577,674.0,201582,-3894,2776954,Alex Warren,FEVER DREAM
