Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+3,DARA - Bangaranga,35,1,(x1),19407,9643.0,46050,19407,164991,DARA,Bangaranga
2,NEW,Drake - Make Them Cry,1,2,(x1),13356,,13356,13356,13356,Drake,Make Them Cry
3,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,3,(x1),13240,,13240,13240,13240,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
4,-2,Mirela - Тарикат,38,1,(x26),13115,1140.0,78669,175,635896,Mirela,Тарикат
5,-4,Preslava - Хващаме бас (w/ Galena),10,1,(x8),12220,-184.0,92283,-4244,135642,Preslava,Хващаме бас (w/ Galena)
6,-3,Lidia - Охрана,109,1,(x17),11640,1074.0,72042,237,1353523,Lidia,Охрана
7,NEW,Drake - Dust,1,7,,11486,,11486,11486,11486,Drake,Dust
8,NEW,Drake - National Treasures,1,8,,11459,,11459,11459,11459,Drake,National Treasures
9,NEW,Drake - Whisper My Name,1,9,,11251,,11251,11251,11251,Drake,Whisper My Name
10,NEW,Drake - Janice STFU,1,10,,9788,,9788,9788,9788,Drake,Janice STFU
11,-6,SIMONA - Катинара,338,1,(x2),8654,357.0,49956,740,2989966,SIMONA,Катинара
12,NEW,Drake - Shabang,1,12,,8597,,8597,8597,8597,Drake,Shabang
13,-7,Michael Jackson - Billie Jean,44,4,,8203,47.0,54293,-49,199990,Michael Jackson,Billie Jean
14,-7,Tereza - Наказвам,35,4,,8070,447.0,51050,-128,198752,Tereza,Наказвам
15,NEW,Drake - Plot Twist,1,15,,7852,,7852,7852,7852,Drake,Plot Twist
16,-5,"Torino - БЕДНИ И БОГАТИ (w/ Pashata, Toni Storaro)",54,1,(x18),7776,1176.0,47640,136,708880,Torino,"БЕДНИ И БОГАТИ (w/ Pashata, Toni Storaro)"
17,NEW,Drake - B's On The Table (w/ 21 Savage),1,17,,7764,,7764,7764,7764,Drake,B's On The Table (w/ 21 Savage)
18,NEW,Drake - Make Them Pay,1,18,,7633,,7633,7633,7633,Drake,Make Them Pay
19,-7,Djordan - КУ-КУ,145,1,(x46),7494,899.0,41428,1470,1681559,Djordan,КУ-КУ
20,-10,Mirela - Целувка с Tequila (w/ Lidia),303,1,(x71),7418,783.0,42634,254,3370253,Mirela,Целувка с Tequila (w/ Lidia)
21,-13,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),102,6,,7383,589.0,46248,361,537422,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR))
22,RE,Drake - What Did I Miss?,15,22,,7323,,7323,7323,43761,Drake,What Did I Miss?
23,NEW,Drake - 2 Hard 4 The Radio,1,23,,7093,,7093,7093,7093,Drake,2 Hard 4 The Radio
24,-2,Selina - Диамант (w/ Lorena),24,5,,7046,1472.0,40742,554,140885,Selina,Диамант (w/ Lorena)
25,-16,Jimin - Who,665,1,(x268),7034,284.0,51308,1120,10434467,Jimin,Who
26,-7,Emanuela - Дъното копай (w/ Tedi Aleksandrova),37,10,,6557,845.0,41858,710,180279,Emanuela,Дъното копай (w/ Tedi Aleksandrova)
27,NEW,Drake - Burning Bridges,1,27,,6414,,6414,6414,6414,Drake,Burning Bridges
28,-15,Michael Jackson - Beat It,23,10,,6396,-5.0,43329,-476,122120,Michael Jackson,Beat It
29,RE,Fiki - Брой до 12,15,29,,6395,,6395,6395,35611,Fiki,Брой до 12
30,-16,Preslava - Bez teb,274,5,,6328,237.0,39531,479,1589008,Preslava,Bez teb
31,-14,Beatris - Tintiri Mintiri (w/ Monkey),53,12,,6187,312.0,36122,420,241492,Beatris,Tintiri Mintiri (w/ Monkey)
32,-8,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),169,7,,6149,693.0,37364,362,995343,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
33,-1,Selina - Трафик,312,2,(x20),6072,1128.0,34899,884,2756284,Selina,Трафик
34,+111,Antigoni - JALLA,2,34,,6048,3274.0,8822,6048,8822,Antigoni,JALLA
35,-9,Krasyo - Злобари,20,12,,6015,642.0,37949,388,91638,Krasyo,Злобари
36,-15,Krissy - Дискотека (w/ Tedi Aleksandrova),10,16,,5967,307.0,38067,661,49274,Krissy,Дискотека (w/ Tedi Aleksandrova)
37,-21,Selina - Вдига му бившата,178,2,(x6),5920,-9.0,37886,71,1658251,Selina,Вдига му бившата
38,-18,"V:RGO - MUZIKALNATA KAZARMA (w/ I.N.I., FYRE)",7,4,,5803,111.0,47025,5803,47025,V:RGO,"MUZIKALNATA KAZARMA (w/ I.N.I., FYRE)"
39,-12,Djordan - Mutsuna,530,19,,5801,454.0,34195,-28,1347111,Djordan,Mutsuna
40,-25,Ivayla - Хотел (w/ Galin),152,2,(x2),5637,-372.0,36181,400,1254871,Ivayla,Хотел (w/ Galin)
41,NEW,Drake - Make Them Remember,1,41,,5586,,5586,5586,5586,Drake,Make Them Remember
42,-17,Emanuela - Bez chuvstva,702,18,,5561,166.0,31679,1410,1917131,Emanuela,Bez chuvstva
43,-13,Lidia - Грешници (w/ Konstantin),1242,5,,5520,245.0,34898,-618,3173764,Lidia,Грешници (w/ Konstantin)
44,-16,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),33,4,,5475,160.0,39336,-1294,243371,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
45,-22,Djena - S men da varvish (w/ Galin),1159,11,,5449,-38.0,39120,22,3171181,Djena,S men da varvish (w/ Galin)
46,-9,Emanuela - Notarialno zaveren,987,16,,5373,653.0,32267,-186,2878978,Emanuela,Notarialno zaveren
47,-16,Tsvetelina Yaneva - Хавте (w/ Azis),92,1,(x8),5343,278.0,33518,678,809795,Tsvetelina Yaneva,Хавте (w/ Azis)
48,-30,BTS - SWIM,57,1,(x1),5335,-468.0,39020,-462,407097,BTS,SWIM
49,-20,Gabriella - Габриела (w/ Medi),159,1,(x2),5177,-100.0,32905,349,1491421,Gabriella,Габриела (w/ Medi)
50,-17,KSIOR - Papi,64,3,(x1),5153,221.0,33042,-358,452494,KSIOR,Papi
51,-13,Krissy - Джумбаре (w/ Selina),282,11,,5027,372.0,29261,1050,1478996,Krissy,Джумбаре (w/ Selina)
52,+3,DJ Damyan - Балканска двойка (w/ Selina),210,1,(x40),4986,1097.0,26213,1067,2196540,DJ Damyan,Балканска двойка (w/ Selina)
53,NEW,Drake - Make Them Know,1,53,,4932,,4932,4932,4932,Drake,Make Them Know
54,-6,VANE$$A - Loro Piana (w/ Danna),135,1,(x4),4915,843.0,25323,1610,1093922,VANE$$A,Loro Piana (w/ Danna)
55,-9,VANE$$A - Мотористка,38,7,,4899,655.0,26873,845,194621,VANE$$A,Мотористка
56,-13,Preslava - Rezhim Neprilichna,286,25,,4722,404.0,31908,-836,622186,Preslava,Rezhim Neprilichna
57,-15,"Tereza - Малката, Сладката (w/ Rumen Borilov)",53,36,,4692,323.0,28273,1676,150820,Tereza,"Малката, Сладката (w/ Rumen Borilov)"
58,-6,Dessita - OPA OPA,297,2,(x3),4650,715.0,24772,513,1843134,Dessita,OPA OPA
59,-14,Emanuela - Kasay,181,1,(x27),4636,369.0,28746,-305,1872698,Emanuela,Kasay
60,-25,Dominic Fike - Babydoll,97,10,,4634,-278.0,34039,-727,535116,Dominic Fike,Babydoll
61,-27,Michael Jackson - Dirty Diana - 2012 Remaster,22,25,,4626,-303.0,33512,-481,92731,Michael Jackson,Dirty Diana - 2012 Remaster
62,-15,Konstantin - Ne me zasluzhavash (w/ Emanuela),45,23,,4599,498.0,30274,-609,196012,Konstantin,Ne me zasluzhavash (w/ Emanuela)
63,-22,Konstantin - Пия,39,4,,4549,174.0,31370,-1000,257772,Konstantin,Пия
64,+6,Selina - Откачила (w/ Medi),373,9,,4531,883.0,26952,-125,1487578,Selina,Откачила (w/ Medi)
65,+51,Emanuela - Vinovna,206,25,,4495,1479.0,19508,610,670029,Emanuela,Vinovna
66,-4,Robi - Рано призори,86,21,,4485,691.0,27687,248,371423,Robi,Рано призори
67,NEW,Drake - Don’t Worry,1,67,,4482,,4482,4482,4482,Drake,Don’t Worry
68,-9,Yanitsa - Varnah ti go,18,39,,4477,659.0,26707,-274,61864,Yanitsa,Varnah ti go
69,-19,Kiara - Мисли му (w/ Monkey),406,1,(x5),4417,398.0,22471,1443,2359431,Kiara,Мисли му (w/ Monkey)
70,-34,Mirela - Бам Бам Бам,174,2,(x2),4316,-434.0,27843,577,1254055,Mirela,Бам Бам Бам
71,NEW,Drake - Firm Friends,1,71,,4290,,4290,4290,4290,Drake,Firm Friends
72,-32,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),88,16,,4282,-98.0,30778,-618,386693,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
73,-10,Yanitsa - Speshno (w/ DJ Jivko Mix),22,57,,4281,496.0,18722,1243,60360,Yanitsa,Speshno (w/ DJ Jivko Mix)
74,-30,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),129,10,,4253,-51.0,28938,-228,688980,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
75,NEW,Drake - Little Birdie,1,75,,4242,,4242,4242,4242,Drake,Little Birdie
76,-2,Tedi Aleksandrova - Hasta La Vista Baby (w/ Silver),46,38,,4150,550.0,23698,27,157571,Tedi Aleksandrova,Hasta La Vista Baby (w/ Silver)
77,+15,Galin - Роклята ти пада (w/ Yanitsa),102,38,,4025,719.0,24234,-636,268995,Galin,Роклята ти пада (w/ Yanitsa)
78,-17,Konstantin - От утре ще е друго,32,51,,3969,171.0,23461,738,93806,Konstantin,От утре ще е друго
79,-21,"HUGEL - I Adore You (w/ Topic, Arash, Daecolm)",659,9,,3965,129.0,26029,164,2622665,HUGEL,"I Adore You (w/ Topic, Arash, Daecolm)"
80,-15,Galin - Момче без сърце,236,46,,3957,181.0,25237,-165,713582,Galin,Момче без сърце
81,-15,Galena - Все по живота (w/ Tsvetelina Yaneva),287,2,(x2),3929,170.0,23490,-16,1713100,Galena,Все по живота (w/ Tsvetelina Yaneva)
82,RE,Lidia - Матурата,96,9,,3925,,3925,3925,353979,Lidia,Матурата
83,-26,Ivayla - Мръсна жега (w/ Adam),300,11,,3910,65.0,23130,206,1187471,Ivayla,Мръсна жега (w/ Adam)
84,-16,Galin - Тази дискотека (w/ Azis),322,1,(x26),3901,201.0,22143,984,2915273,Galin,Тази дискотека (w/ Azis)
85,+5,Preslava - Моето слабо място,25,32,,3876,558.0,21694,136,89517,Preslava,Моето слабо място
86,-11,Kiara - Флиртаджийка,144,1,(x2),3829,235.0,22269,369,1085682,Kiara,Флиртаджийка
87,-9,Adam - Bum Lake Pare (w/ Mirela),438,1,(x6),3819,302.0,22954,266,2962942,Adam,Bum Lake Pare (w/ Mirela)
88,-21,Michael Jackson - Smooth Criminal - 2012 Remaster,21,24,,3793,87.0,26013,-250,75591,Michael Jackson,Smooth Criminal - 2012 Remaster
89,NEW,Alexandra Căpitănescu - Choke Me,1,89,,3779,,3779,3779,3779,Alexandra Căpitănescu,Choke Me
90,-37,"Krisko - Ministarat Na Veselieto (w/ Lora Karajova, Bobo)",709,4,,3772,-145.0,25527,-499,2599413,Krisko,"Ministarat Na Veselieto (w/ Lora Karajova, Bobo)"
91,-42,Desi Slava - И на всички като тебе,147,30,,3740,-322.0,24355,89,422616,Desi Slava,И на всички като тебе
92,+9,DJ Damyan - Окадар (w/ Emanuela),716,1,(x13),3738,508.0,20603,658,4600418,DJ Damyan,Окадар (w/ Emanuela)
93,-29,"V:RGO - PORSCHE (w/ Emil TRF, MBT)",221,1,(x12),3685,-96.0,24112,3,1801464,V:RGO,"PORSCHE (w/ Emil TRF, MBT)"
94,-21,Tame Impala - Dracula,127,47,,3684,50.0,25273,-245,384014,Tame Impala,Dracula
95,+27,Djena - Huligan,22,95,,3676,727.0,14259,3676,58456,Djena,Huligan
96,-25,BTS - they don’t know ’bout us,57,22,,3674,33.0,24501,413,254453,BTS,they don’t know ’bout us
