Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),1054774,,1054774,1054774,1054774,Drake,Make Them Cry
2,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,2,(x1),954217,,954217,954217,954217,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
3,NEW,Drake - Whisper My Name,1,3,(x1),936483,,936483,936483,936483,Drake,Whisper My Name
4,NEW,Drake - Dust,1,4,,922504,,922504,922504,922504,Drake,Dust
5,NEW,Drake - Janice STFU,1,5,,880622,,880622,880622,880622,Drake,Janice STFU
6,NEW,Drake - National Treasures,1,6,,836126,,836126,836126,836126,Drake,National Treasures
7,NEW,Drake - Shabang,1,7,,753391,,753391,753391,753391,Drake,Shabang
8,NEW,Drake - 2 Hard 4 The Radio,1,8,,683916,,683916,683916,683916,Drake,2 Hard 4 The Radio
9,NEW,Drake - Make Them Pay,1,9,,670362,,670362,670362,670362,Drake,Make Them Pay
10,NEW,Drake - Plot Twist,1,10,,641092,,641092,641092,641092,Drake,Plot Twist
11,NEW,Drake - B's On The Table (w/ 21 Savage),1,11,,635290,,635290,635290,635290,Drake,B's On The Table (w/ 21 Savage)
12,NEW,Drake - Burning Bridges,1,12,,594570,,594570,594570,594570,Drake,Burning Bridges
13,+131,Drake - What Did I Miss?,84,1,(x6),561201,506404.0,615998,561201,8757156,Drake,What Did I Miss?
14,NEW,Drake - Make Them Remember,1,14,,503751,,503751,503751,503751,Drake,Make Them Remember
15,NEW,Drake - Make Them Know,1,15,,443143,,443143,443143,443143,Drake,Make Them Know
16,NEW,Drake - Little Birdie,1,16,,422524,,422524,422524,422524,Drake,Little Birdie
17,NEW,Drake - Don’t Worry,1,17,,420941,,420941,420941,420941,Drake,Don’t Worry
18,NEW,Drake - Firm Friends,1,18,,390096,,390096,390096,390096,Drake,Firm Friends
19,NEW,Drake - Hoe Phase,1,19,,341509,,341509,341509,341509,Drake,Hoe Phase
20,NEW,Drake - WNBA,1,20,,325261,,325261,325261,325261,Drake,WNBA
21,NEW,Drake - Road Trips,1,21,,280663,,280663,280663,280663,Drake,Road Trips
22,NEW,Drake - Slap The City (w/ Qendresa),1,22,,269756,,269756,269756,269756,Drake,Slap The City (w/ Qendresa)
23,NEW,Drake - Cheetah Print (w/ Sexyy Red),1,23,,266786,,266786,266786,266786,Drake,Cheetah Print (w/ Sexyy Red)
24,NEW,Drake - High Fives,1,24,,265011,,265011,265011,265011,Drake,High Fives
25,-24,Ella Langley - Choosin' Texas,210,1,(x25),260265,25926.0,1713913,-1623,29640480,Ella Langley,Choosin' Texas
26,NEW,Drake - Fortworth (w/ PARTYNEXTDOOR),1,26,,257009,,257009,257009,257009,Drake,Fortworth (w/ PARTYNEXTDOOR)
27,RE,Drake - Which One (w/ Central Cee),86,1,(x2),234069,,234069,234069,8453429,Drake,Which One (w/ Central Cee)
28,NEW,Drake - Classic,1,28,,232464,,232464,232464,232464,Drake,Classic
29,NEW,Drake - Amazing Shape (w/ Popcaan),1,29,,227648,,227648,227648,227648,Drake,Amazing Shape (w/ Popcaan)
30,NEW,Drake - Rusty Intro,1,30,,223735,,223735,223735,223735,Drake,Rusty Intro
31,NEW,Drake - Hurrr Nor Thurr (w/ Sexyy Red),1,31,,222352,,222352,222352,222352,Drake,Hurrr Nor Thurr (w/ Sexyy Red)
32,NEW,Drake - I'm Spent (w/ Loe Shimmy),1,32,,217725,,217725,217725,217725,Drake,I'm Spent (w/ Loe Shimmy)
33,NEW,Drake - Outside Tweaking (w/ Stunna Sandy),1,33,,211210,,211210,211210,211210,Drake,Outside Tweaking (w/ Stunna Sandy)
34,NEW,Drake - BBW,1,34,,211131,,211131,211131,211131,Drake,BBW
35,NEW,Drake - New Bestie,1,35,,195662,,195662,195662,195662,Drake,New Bestie
36,NEW,Drake - Gen 5,1,36,,191045,,191045,191045,191045,Drake,Gen 5
37,NEW,Drake - True Bestie (w/ Iconic Savvy),1,37,,187791,,187791,187791,187791,Drake,True Bestie (w/ Iconic Savvy)
38,NEW,Drake - White Bone,1,38,,180477,,180477,180477,180477,Drake,White Bone
39,NEW,Gracie Abrams - Hit the Wall,1,39,,179094,,179094,179094,179094,Gracie Abrams,Hit the Wall
40,-38,Dominic Fike - Babydoll,288,1,(x20),163907,4990.0,1110411,-3450,28706450,Dominic Fike,Babydoll
41,NEW,Drake - Q&A,1,41,,163566,,163566,163566,163566,Drake,Q&A
42,-38,Michael Jackson - Billie Jean,207,4,,154807,14100.0,978919,16920,11729708,Michael Jackson,Billie Jean
43,NEW,Drake - Prioritizing,1,43,,154625,,154625,154625,154625,Drake,Prioritizing
44,NEW,Drake - Stuck,1,44,,150426,,150426,150426,150426,Drake,Stuck
45,-40,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),42,1,(x4),150283,11446.0,1054177,-18981,7049406,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
46,NEW,Drake - Princess,1,46,,148856,,148856,148856,148856,Drake,Princess
47,-41,Ella Langley - Be Her,92,4,,145388,16999.0,941628,-1616,8875332,Ella Langley,Be Her
48,-45,Malcolm Todd - Earrings,79,3,(x3),144672,-1817.0,996962,5472,7114741,Malcolm Todd,Earrings
49,NEW,Drake - Goose and The Juice,1,49,,140282,,140282,140282,140282,Drake,Goose and The Juice
50,-42,Alex Warren - Ordinary,463,1,(x78),136339,14426.0,885498,1218,84553512,Alex Warren,Ordinary
51,-44,The Killers - Mr. Brightside,2136,7,,132207,8016.0,852396,6384,113612437,The Killers,Mr. Brightside
52,NEW,Drake - Where’s Your Stuff Interlude,1,52,,131292,,131292,131292,131292,Drake,Where’s Your Stuff Interlude
53,-44,Olivia Dean - Man I Need,269,1,(x1),130495,8994.0,882128,-3157,43430189,Olivia Dean,Man I Need
54,-39,STELLA LEFTY - Boston,36,15,,126856,15568.0,778399,19136,3001514,STELLA LEFTY,Boston
55,-45,Justin Bieber - DAISIES,308,1,(x15),126418,6719.0,896630,-17046,39565439,Justin Bieber,DAISIES
56,-45,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),134,1,(x18),125274,7543.0,836721,-1217,18756668,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
57,-43,Olivia Rodrigo - drop dead,29,1,(x6),122125,7890.0,895473,-33493,5591351,Olivia Rodrigo,drop dead
58,-46,Noah Kahan - Doors,22,1,(x2),120364,2943.0,865616,-22695,3666072,Noah Kahan,Doors
59,-42,Michael Jackson - Beat It,25,17,,116986,10519.0,742650,11535,2086379,Michael Jackson,Beat It
60,-47,Bella Kay - iloveitiloveitiloveit,91,2,(x9),115386,-282.0,813361,-12471,13034092,Bella Kay,iloveitiloveitiloveit
61,-45,The Goo Goo Dolls - Iris,1361,9,,114873,5665.0,752539,4236,94484754,The Goo Goo Dolls,Iris
62,-39,Zara Larsson - Lush Life,562,4,,114775,16719.0,739405,3007,29494951,Zara Larsson,Lush Life
