Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),64787,,64787,64787,64787,Drake,Make Them Cry
2,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,2,(x1),54532,,54532,54532,54532,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
3,NEW,Drake - Dust,1,3,(x1),53046,,53046,53046,53046,Drake,Dust
4,NEW,Drake - Whisper My Name,1,4,,52838,,52838,52838,52838,Drake,Whisper My Name
5,NEW,Drake - National Treasures,1,5,,51258,,51258,51258,51258,Drake,National Treasures
6,-5,Michael Jackson - Billie Jean,642,1,(x4),49510,3752.0,301127,7345,6580458,Michael Jackson,Billie Jean
7,NEW,Drake - Janice STFU,1,7,,47066,,47066,47066,47066,Drake,Janice STFU
8,NEW,Drake - Shabang,1,8,,40561,,40561,40561,40561,Drake,Shabang
9,-6,Michael Jackson - Beat It,55,3,(x7),40134,3680.0,243287,6075,950576,Michael Jackson,Beat It
10,-8,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),35,1,(x26),38683,1612.0,279537,-8381,1656450,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
11,NEW,Drake - Make Them Pay,1,11,,36382,,36382,36382,36382,Drake,Make Them Pay
12,NEW,Drake - 2 Hard 4 The Radio,1,12,,35754,,35754,35754,35754,Drake,2 Hard 4 The Radio
13,NEW,Drake - Plot Twist,1,13,,35676,,35676,35676,35676,Drake,Plot Twist
14,NEW,Drake - B's On The Table (w/ 21 Savage),1,14,,34147,,34147,34147,34147,Drake,B's On The Table (w/ 21 Savage)
15,RE,Drake - What Did I Miss?,25,15,,32563,,32563,32563,292337,Drake,What Did I Miss?
16,NEW,Drake - Burning Bridges,1,16,,31428,,31428,31428,31428,Drake,Burning Bridges
17,-13,Dominic Fike - Babydoll,105,1,(x29),29559,-598.0,212056,-2594,3332504,Dominic Fike,Babydoll
18,-13,Zara Larsson - Lush Life,1015,1,(x5),27551,329.0,188951,-1195,11533654,Zara Larsson,Lush Life
19,NEW,Drake - Make Them Remember,1,19,,26124,,26124,26124,26124,Drake,Make Them Remember
20,NEW,"Pashanim - Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)",1,20,,25343,,25343,25343,25343,Pashanim,"Prada Sport (w/ AK AUSSERKONTROLLE, Selim61)"
21,-15,Alex Warren - Ordinary,463,1,(x185),25157,756.0,178089,-2495,19442666,Alex Warren,Ordinary
22,-15,Temper City - Self Aware,56,5,,25029,2819.0,175363,-2863,999576,Temper City,Self Aware
23,NEW,Drake - Make Them Know,1,23,,24522,,24522,24522,24522,Drake,Make Them Know
24,-14,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,21,10,,24017,2538.0,149913,2322,377234,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
25,-11,Michael Jackson - Human Nature,19,12,,23629,3025.0,143929,4367,323829,Michael Jackson,Human Nature
26,-11,Dave - Raindance (w/ Tems),204,1,(x14),22505,2088.0,159998,-4150,6317778,Dave,Raindance (w/ Tems)
27,-18,RAYE - WHERE IS MY HUSBAND!,239,3,(x9),22496,631.0,160996,-4106,7324638,RAYE,WHERE IS MY HUSBAND!
28,-20,Vance Joy - Riptide,2831,8,,22256,167.0,152309,322,25238310,Vance Joy,Riptide
29,-12,Michael Jackson - Smooth Criminal - 2012 Remaster,23,17,,21776,1888.0,134795,2056,385576,Michael Jackson,Smooth Criminal - 2012 Remaster
30,NEW,Drake - Don’t Worry,1,30,,21731,,21731,21731,21731,Drake,Don’t Worry
31,-19,Djo - End of Beginning,677,1,(x6),21476,589.0,153117,-2465,13235865,Djo,End of Beginning
32,-21,Green Day - Boulevard of Broken Dreams,52,7,,21447,536.0,151509,3228,558244,Green Day,Boulevard of Broken Dreams
33,-20,"Macklemore & Ryan Lewis - Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)",1600,7,,21245,380.0,146383,-369,24517911,Macklemore & Ryan Lewis,"Can't Hold Us (w/ Macklemore, Ryan Lewis, Ray Dalton)"
34,-16,Bad Bunny - DtMF,494,1,(x55),20992,1230.0,151449,-4884,14061020,Bad Bunny,DtMF
35,-19,Taylor Swift - The Fate of Ophelia,225,1,(x78),20901,922.0,148900,-3710,9991746,Taylor Swift,The Fate of Ophelia
36,-17,Michael Jackson - They Don't Care About Us,41,19,,20639,1582.0,133632,396,567101,Michael Jackson,They Don't Care About Us
37,NEW,Gracie Abrams - Hit the Wall,1,37,,20624,,20624,20624,20624,Gracie Abrams,Hit the Wall
38,NEW,Drake - Firm Friends,1,38,,20344,,20344,20344,20344,Drake,Firm Friends
39,NEW,Drake - Little Birdie,1,39,,20307,,20307,20307,20307,Drake,Little Birdie
40,-16,Michael Jackson - Dirty Diana - 2012 Remaster,22,24,,19285,2340.0,124079,-15,339152,Michael Jackson,Dirty Diana - 2012 Remaster
41,NEW,Shakira - Dai Dai (w/ Burna Boy),1,41,,19218,,19218,19218,19218,Shakira,Dai Dai (w/ Burna Boy)
42,-22,The Neighbourhood - Sweater Weather,1947,9,,18774,946.0,132783,-2837,21112442,The Neighbourhood,Sweater Weather
43,-22,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),136,7,,18223,676.0,130175,-3302,2846195,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
44,-17,Bad Bunny - NUEVAYoL,494,2,(x21),18099,1459.0,129150,-4555,11081996,Bad Bunny,NUEVAYoL
45,-23,Ravyn Lenae - Love Me Not,416,7,,18006,772.0,127969,-2108,7680210,Ravyn Lenae,Love Me Not
46,-23,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",326,1,(x10),17503,354.0,118745,-747,10188747,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
47,-17,Katy Perry - The One That Got Away,30,22,,17492,1715.0,123281,-2029,404465,Katy Perry,The One That Got Away
48,-20,sombr - back to friends,425,3,(x38),17462,1251.0,120389,-834,9790964,sombr,back to friends
49,-20,Don Omar - Danza Kuduro (w/ Lucenzo),1807,17,,17426,1293.0,117186,-2258,20214138,Don Omar,Danza Kuduro (w/ Lucenzo)
50,-25,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),79,8,,17425,585.0,124392,-3306,1369356,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
51,-25,Dominic Fike - White Keys,97,3,(x6),17389,644.0,129353,-3126,2232747,Dominic Fike,White Keys
52,NEW,Drake - WNBA,1,52,,17321,,17321,17321,17321,Drake,WNBA
53,NEW,reezy - BRITNEY SPEARS,1,53,,17298,,17298,17298,17298,reezy,BRITNEY SPEARS
54,-23,Olivia Dean - Man I Need,269,5,,16519,925.0,113567,-1751,6225453,Olivia Dean,Man I Need
55,NEW,Drake - Hoe Phase,1,55,,16278,,16278,16278,16278,Drake,Hoe Phase
56,-16,Dardan - Vermisse (w/ Azet),15,1,(x1),16116,2235.0,129623,-14339,425724,Dardan,Vermisse (w/ Azet)
57,-22,The Goo Goo Dolls - Iris,574,27,,16023,1069.0,110724,-156,6641804,The Goo Goo Dolls,Iris
58,NEW,Drake - Slap The City (w/ Qendresa),1,58,,15834,,15834,15834,15834,Drake,Slap The City (w/ Qendresa)
59,-22,Michael Jackson - Thriller,29,12,,15481,1162.0,93911,2646,357304,Michael Jackson,Thriller
60,-24,Disco Lines - No Broke Boys (w/ Tinashe),311,2,(x1),15372,628.0,109396,-2319,6232964,Disco Lines,No Broke Boys (w/ Tinashe)
61,-22,Tame Impala - Dracula,164,17,,15328,1283.0,108502,-2177,2104329,Tame Impala,Dracula
62,-29,Coldplay - Viva La Vida,1363,3,(x1),15277,163.0,102297,635,16338113,Coldplay,Viva La Vida
63,-29,TOTO - Africa,1911,14,,15096,8.0,96127,1770,15888286,TOTO,Africa
64,-32,Hecht - Mon Amour,315,7,,14991,-381.0,110623,-2185,3925889,Hecht,Mon Amour
65,NEW,Farid Bang - Kein Zurück (w/ Samra),1,65,,14881,,14881,14881,14881,Farid Bang,Kein Zurück (w/ Samra)
66,-15,Michael Jackson - Bad - 2012 Remaster,19,46,,14764,1889.0,94006,464,234409,Michael Jackson,Bad - 2012 Remaster
67,-26,Bad Bunny - BAILE INoLVIDABLE,479,3,(x5),14636,981.0,105129,-3452,8422570,Bad Bunny,BAILE INoLVIDABLE
68,-24,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),67,17,,14631,1210.0,106914,-4829,898168,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR))
69,-31,Tom Odell - Another Love,2119,3,(x22),14516,216.0,101273,-59,35123059,Tom Odell,Another Love
70,-27,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),120,10,,14279,691.0,99340,-1488,2218732,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
71,-26,RnBoi - MON BÉBÉ,204,2,(x15),14233,904.0,99348,-2362,5785200,RnBoi,MON BÉBÉ
72,NEW,Drake - Road Trips,1,72,,14221,,14221,14221,14221,Drake,Road Trips
73,-26,Bad Bunny - Tití Me Preguntó,574,3,(x8),14176,991.0,102293,-3856,7036622,Bad Bunny,Tití Me Preguntó
74,-24,Linkin Park - In the End,1322,9,,14068,1167.0,94513,-712,13359151,Linkin Park,In the End
75,-29,The Killers - Mr. Brightside,257,38,,14066,843.0,95856,-741,2785122,The Killers,Mr. Brightside
76,-27,PLK - Pocahontas,64,20,,14026,1108.0,99906,-2924,988489,PLK,Pocahontas
77,-35,Alex Warren - FEVER DREAM,78,1,(x1),14009,420.0,106010,-3574,1793575,Alex Warren,FEVER DREAM
