Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Kidd Voodoo - Incondicional (w/ Mon Laferte),1,1,(x1),331585,,331585,331585,331585,Kidd Voodoo,Incondicional (w/ Mon Laferte)
2,+3,Kidd Voodoo - Dando Vueltas (w/ Pablo Alborán),22,2,(x2),252056,136455.0,916789,163377,2244469,Kidd Voodoo,Dando Vueltas (w/ Pablo Alborán)
3,NEW,Kidd Voodoo - En El Suelo (w/ Rels B),1,3,(x1),240476,,240476,240476,240476,Kidd Voodoo,En El Suelo (w/ Rels B)
4,-3,Jimin - Who,666,1,(x83),221953,-3642.0,1483575,15181,134520200,Jimin,Who
5,-3,Martinwhite - POLLYPOCKET (w/ Katteyes),29,1,(x19),209465,27754.0,1385002,-26842,6437660,Martinwhite,POLLYPOCKET (w/ Katteyes)
6,NEW,Kidd Voodoo - Quema,1,6,,150997,,150997,150997,150997,Kidd Voodoo,Quema
7,-4,Omar Courtz - KOKO,83,2,(x4),144125,11703.0,941816,-4153,9492441,Omar Courtz,KOKO
8,NEW,Kidd Voodoo - Tu Corazón (Para Papá),1,8,,144021,,144021,144021,144021,Kidd Voodoo,Tu Corazón (Para Papá)
9,-3,Katteyes - PONTE PONTE,15,4,,137515,23973.0,824450,3209,1617018,Katteyes,PONTE PONTE
10,NEW,Kidd Voodoo - Llora (Para Mamá),1,10,,129706,,129706,129706,129706,Kidd Voodoo,Llora (Para Mamá)
11,-4,1717177x - Medellin,3,7,,128034,16913.0,297438,128034,297438,1717177x,Medellin
12,RE,Kidd Voodoo - Poder Quererme,20,12,,122630,,122630,122630,1152906,Kidd Voodoo,Poder Quererme
13,-9,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",155,3,(x11),122039,5911.0,816169,-12210,20850916,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
14,=,Katteyes - ALO (w/ SINAKA),106,1,(x25),118339,21410.0,704998,7087,19572069,Katteyes,ALO (w/ SINAKA)
15,NEW,Kidd Voodoo - Euforia,1,15,,113666,,113666,113666,113666,Kidd Voodoo,Euforia
16,-3,Jairo Vera - Troka (w/ Juhn),106,5,,111097,14014.0,702242,-5702,9223766,Jairo Vera,Troka (w/ Juhn)
17,-9,Jay Wheeler - De Lejitos,36,1,(x2),110224,4039.0,746880,-12715,5177438,Jay Wheeler,De Lejitos
18,-8,Michael Jackson - Billie Jean,66,4,,110214,6903.0,745611,2692,3543199,Michael Jackson,Billie Jean
19,-8,"Jere Klein - DUBAI (w/ Jairo Vera, Gittobeatz)",93,1,(x20),108858,8923.0,726179,-8234,15758238,Jere Klein,"DUBAI (w/ Jairo Vera, Gittobeatz)"
20,-11,"Yan Block - 666 (w/ Cris MJ, Panda Black)",30,3,(x3),108393,3450.0,773039,-15758,3900011,Yan Block,"666 (w/ Cris MJ, Panda Black)"
21,-9,BTS - SWIM,57,1,(x2),102072,3827.0,674319,1294,7127322,BTS,SWIM
22,-7,Omar Courtz - POR SI MAÑANA NO ESTOY,84,11,,100450,3958.0,656255,-1373,6807589,Omar Courtz,POR SI MAÑANA NO ESTOY
23,-7,Michael Jackson - Beat It,24,13,,89753,3764.0,609844,-1790,1778082,Michael Jackson,Beat It
24,-5,SINAKA - SENDA BELLAKONA,176,1,(x25),85657,9568.0,561356,-9753,27214488,SINAKA,SENDA BELLAKONA
25,-8,Omar Courtz - FOREVER TU GANTEL (w/ Ñengo Flow),85,8,,83418,4764.0,549244,-4937,8222909,Omar Courtz,FOREVER TU GANTEL (w/ Ñengo Flow)
26,-6,"Pablo Chill-E - Bastardo (w/ Ñengo Flow, Jere Klein)",750,3,(x9),82085,6689.0,555233,-10348,65305323,Pablo Chill-E,"Bastardo (w/ Ñengo Flow, Jere Klein)"
27,-9,Fuerza Regida - COQUETA (w/ Grupo Frontera),391,15,,81271,5005.0,532675,1532,26306555,Fuerza Regida,COQUETA (w/ Grupo Frontera)
28,-7,"Lauta - Puñaladas (w/ Amigo de Artistas, Tote)",126,13,,80485,8012.0,528431,-3562,9580983,Lauta,"Puñaladas (w/ Amigo de Artistas, Tote)"
29,-6,Cris MJ - 30 Mil Pies,219,5,,76875,6124.0,475945,6086,18687299,Cris MJ,30 Mil Pies
30,-8,Bad Bunny - BAILE INoLVIDABLE,496,1,(x9),76375,4865.0,501540,-944,70115683,Bad Bunny,BAILE INoLVIDABLE
31,-3,"King Savagge - Pasajero (w/ Lyon la f, Katteyes)",183,1,(x28),74409,7866.0,480818,-5834,27047344,King Savagge,"Pasajero (w/ Lyon la f, Katteyes)"
32,-3,"Jere Klein - TODO KE VER (w/ Katteyes, Mateo on the Beatz)",276,1,(x58),74348,7868.0,455976,5259,50789014,Jere Klein,"TODO KE VER (w/ Katteyes, Mateo on the Beatz)"
33,-7,Bad Bunny - EoO,495,4,,73379,6100.0,480110,-4477,54933292,Bad Bunny,EoO
34,-9,Milo j - Niño,232,3,(x1),72657,4893.0,491462,-4334,19060781,Milo j,Niño
35,-8,"Maria Becerra - QUÉ GANAS DE COMERTE (w/ Jere Klein, Lucky Brown, XROSS)",50,7,,72117,5350.0,470627,-6720,3958784,Maria Becerra,"QUÉ GANAS DE COMERTE (w/ Jere Klein, Lucky Brown, XROSS)"
36,-12,Fuerza Regida - TU SANCHO,110,11,,70970,2471.0,484796,-8161,5309092,Fuerza Regida,TU SANCHO
37,-6,Lucky Brown - PATEK PHILIPPE (w/ Jere Klein),36,4,,69827,4715.0,486030,-12017,3595658,Lucky Brown,PATEK PHILIPPE (w/ Jere Klein)
38,-3,"Héctor ""El Father"" - El Telefono (w/ Wisin & Yandel)",337,13,,69240,5531.0,457952,-2642,21133144,"Héctor ""El Father""",El Telefono (w/ Wisin & Yandel)
39,-7,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",496,2,(x5),68889,4423.0,443961,-962,67073722,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
40,-10,Romeo Santos - Dardos (w/ Prince Royce),147,12,,68434,3230.0,458479,-5257,12052435,Romeo Santos,Dardos (w/ Prince Royce)
41,-7,Young Cister - QLOO* (w/ Kreamly),358,1,(x18),68127,4164.0,456862,-4521,55024085,Young Cister,QLOO* (w/ Kreamly)
42,-5,Rels B - TU VAS SIN (fav),298,16,,67614,6053.0,448228,-7850,23681107,Rels B,TU VAS SIN (fav)
43,-10,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,22,21,,67549,3128.0,469509,-2798,1255816,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
44,-8,"Germanini - Comando Estelar (w/ Lyon la f, JhonAlex, Nacho G Flow)",274,1,(x9),67140,4067.0,409050,3444,43193936,Germanini,"Comando Estelar (w/ Lyon la f, JhonAlex, Nacho G Flow)"
45,-5,Jere Klein - ARABE (w/ Valdi),73,4,,66859,7636.0,441474,-3921,6902133,Jere Klein,ARABE (w/ Valdi)
46,-3,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",448,1,(x4),64671,7230.0,422232,-642,62972244,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
47,-8,Milo j - Gil (w/ Trueno),231,13,,63272,2613.0,436328,-6062,13626759,Milo j,Gil (w/ Trueno)
48,-7,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),210,3,(x9),62588,3374.0,469660,-6687,23381359,El Bogueto,Cuando No Era Cantante (w/ Yung Beef)
49,-11,Beéle - no tiene sentido,363,5,,62417,1539.0,408796,-2396,42540996,Beéle,no tiene sentido
50,-8,Jairo Vera - No Llores,22,19,,62132,4257.0,424732,-14365,1396524,Jairo Vera,No Llores
51,-7,"Maisak - Te Entiendo - Remix (w/ Feid, Maluma)",16,33,,61593,4704.0,400529,-9288,847350,Maisak,"Te Entiendo - Remix (w/ Feid, Maluma)"
52,-7,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",137,11,,59832,2967.0,407218,-6869,11201333,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
53,-5,Pablo Chill-E - Resentia,700,18,,59762,4899.0,389270,-2554,42930941,Pablo Chill-E,Resentia
54,+2,Kidd Voodoo - Destello...,281,1,(x6),59538,8691.0,353786,11659,30619060,Kidd Voodoo,Destello...
55,-8,Tobal Mj - Tiene (w/ Lucky Brown),443,1,(x2),59440,3439.0,395383,-2106,53948566,Tobal Mj,Tiene (w/ Lucky Brown)
56,-10,Omar Courtz - WO OH OH (w/ ROA),85,31,,58593,2246.0,395329,-5087,4802566,Omar Courtz,WO OH OH (w/ ROA)
57,-6,Jesp7Tearz - One Of The Girlz (w/ 1717177x),31,21,,58348,4567.0,358586,4018,1734532,Jesp7Tearz,One Of The Girlz (w/ 1717177x)
58,-8,Yan Block - Talento (w/ Panda Black),183,34,,57358,3430.0,360269,1652,9475972,Yan Block,Talento (w/ Panda Black)
59,-7,Bad Bunny - DtMF,494,1,(x22),56441,2793.0,390094,-5049,57642714,Bad Bunny,DtMF
60,-1,"Jere Klein - HOTEL (w/ Tobal Mj, Lyon la f)",73,8,,56317,6146.0,355566,976,5586554,Jere Klein,"HOTEL (w/ Tobal Mj, Lyon la f)"
61,-8,Omar Courtz - VAMOaCOCHI,85,47,,55787,2740.0,365009,418,4346007,Omar Courtz,VAMOaCOCHI
62,-13,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,6,,55431,1410.0,408966,-14087,2791306,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
63,-2,Arcángel - Pa' Que La Pases Bien,714,35,,55408,5408.0,340026,3101,37716093,Arcángel,Pa' Que La Pases Bien
64,+2,"Bayriton - Entre Tu y Yo (w/ Piero 47, Raven la R)",2,64,,55296,7954.0,102638,55296,102638,Bayriton,"Entre Tu y Yo (w/ Piero 47, Raven la R)"
65,-8,Bad Bunny - VOY A LLeVARTE PA PR,496,1,(x14),53844,3144.0,344874,-160,63071105,Bad Bunny,VOY A LLeVARTE PA PR
66,-12,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),547,3,(x1),53822,2820.0,339885,2459,56361610,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
67,-7,Bad Bunny - NUEVAYoL,494,5,,53478,3406.0,368752,-6827,44365562,Bad Bunny,NUEVAYoL
68,-10,Michael Jackson - Smooth Criminal - 2012 Remaster,21,43,,52958,2610.0,367391,-1859,1016253,Michael Jackson,Smooth Criminal - 2012 Remaster
69,-6,Cris MJ - Daytona,896,2,(x52),52720,4300.0,332633,1932,108210403,Cris MJ,Daytona
70,-15,Michael Jackson - Human Nature,19,48,,52540,1589.0,363393,605,853063,Michael Jackson,Human Nature
71,NEW,"Katteyes - LONELY (w/ Maria Becerra, Big One)",1,71,,51610,,51610,51610,51610,Katteyes,"LONELY (w/ Maria Becerra, Big One)"
72,+2,Jere Klein - CHALET (w/ Mateo on the Beatz),73,15,,51342,5544.0,306669,5024,4386300,Jere Klein,CHALET (w/ Mateo on the Beatz)
73,-11,KAROL G - Si Antes Te Hubiera Conocido,693,1,(x5),51180,2667.0,352336,-7690,86386459,KAROL G,Si Antes Te Hubiera Conocido
74,-10,Bad Bunny - KLOuFRENS,496,8,,51140,2808.0,330864,-746,45181415,Bad Bunny,KLOuFRENS
75,-10,"Lucky Brown - Marbella (w/ Lyon la f, Tobal Mj, Tony El Golden Boy, Lamelodiadelhampa, JhonAlex, Germanini, Renaglock, Mateo on the Beatz, IGNACIO ON THE BEAT)",99,11,,50826,2642.0,328791,-145,7414260,Lucky Brown,"Marbella (w/ Lyon la f, Tobal Mj, Tony El Golden Boy, Lamelodiadelhampa, JhonAlex, Germanini, Renaglock, Mateo on the Beatz, IGNACIO ON THE BEAT)"
76,+75,"Katteyes - BAILAME ASI (w/ Jere Klein, Lucky Brown)",330,1,(x36),50109,15017.0,266721,9864,45227726,Katteyes,"BAILAME ASI (w/ Jere Klein, Lucky Brown)"
77,-8,Tony Dize - Permítame (w/ Yandel),327,43,,49562,2803.0,321128,295,16111873,Tony Dize,Permítame (w/ Yandel)
78,-8,Omar Courtz - L a k e n o s h i,75,50,,49555,2826.0,330608,-3384,3740639,Omar Courtz,L a k e n o s h i
79,-1,"W Sound - Chica Galáctica - W Sound 07 (w/ Cris MJ, Ovy On The Drums)",170,6,,49210,4295.0,315385,-319,11985504,W Sound,"Chica Galáctica - W Sound 07 (w/ Cris MJ, Ovy On The Drums)"
80,-12,Jósean Log - Doma,44,67,,48971,2120.0,317502,3991,1805702,Jósean Log,Doma
81,-10,Yan Block - 444 (w/ Panda Black),647,28,,48905,2211.0,300455,3352,35198095,Yan Block,444 (w/ Panda Black)
82,-10,Yan Block - Yo sé (w/ TORRRES),554,19,,48733,2561.0,289278,6066,33068856,Yan Block,Yo sé (w/ TORRRES)
83,+1,Kidd Voodoo - Me Mareo (w/ JC Reyes),330,2,(x1),48567,5282.0,312737,-1496,43077687,Kidd Voodoo,Me Mareo (w/ JC Reyes)
84,-7,Danny Ocean - Me Rehúso,2637,1,(x45),48278,2826.0,330922,-3535,128454246,Danny Ocean,Me Rehúso
85,+49,Katteyes - PONTE LOKITA (w/ Kidd Voodoo),451,1,(x52),48161,11774.0,262002,11297,55004181,Katteyes,PONTE LOKITA (w/ Kidd Voodoo)
86,-19,Michael Jackson - The Way You Make Me Feel - 2012 Remaster,22,53,,48106,1165.0,336926,-4021,994669,Michael Jackson,The Way You Make Me Feel - 2012 Remaster
87,-5,Plan B - Es un Secreto,1508,20,,46926,3358.0,309802,431,98131379,Plan B,Es un Secreto
88,-13,BTS - Hooligan,57,5,,46883,1134.0,317953,-4523,3847922,BTS,Hooligan
89,-13,The Police - Every Breath You Take,2284,36,,46838,1115.0,317485,1976,86093607,The Police,Every Breath You Take
90,-17,BTS - Body to Body,57,2,(x1),46525,479.0,318581,-4405,4086165,BTS,Body to Body
91,NEW,"LIT killah - Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)",1,91,,46290,,46290,46290,46290,LIT killah,"Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)"
92,=,Jere Klein - I LOVE YOU FOR LIFE (w/ Fran C),71,64,,46228,4791.0,297734,-2504,3060313,Jere Klein,I LOVE YOU FOR LIFE (w/ Fran C)
93,-12,Emmanuel Cortes - Amor,53,66,,45680,2040.0,310393,-911,2110510,Emmanuel Cortes,Amor
94,+1,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",337,8,,45547,4339.0,288622,1776,33594298,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
95,-12,Michael Jackson - Bad - 2012 Remaster,18,58,,45233,1840.0,312499,-2242,753398,Michael Jackson,Bad - 2012 Remaster
96,-10,Milo j - Solifican12,61,64,,45079,2308.0,301036,-2879,2488042,Milo j,Solifican12
97,-7,"Blessd - YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)",263,5,,44939,3141.0,293024,-3113,25390718,Blessd,"YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)"
98,-10,Mon Laferte - Tu Falta De Querer,722,3,(x1),44511,2090.0,288769,4456,22212597,Mon Laferte,Tu Falta De Querer
99,-5,Don Omar - Dile,1864,59,,44502,3260.0,292520,-1251,76905973,Don Omar,Dile
100,-15,BTS - 2.0,57,10,,44231,1188.0,297199,-3659,3495318,BTS,2.0
101,-22,Lady Gaga - Die With A Smile (w/ Bruno Mars),634,6,,43974,-525.0,304943,-3668,54379236,Lady Gaga,Die With A Smile (w/ Bruno Mars)
102,+16,Tiago PZK - Piel (w/ Ke Personajes),833,5,,43748,6100.0,278158,2034,82243882,Tiago PZK,Piel (w/ Ke Personajes)
103,NEW,"Katteyes - AJÁ (w/ Cachirula, Loyaltty)",1,103,,43684,,43684,43684,43684,Katteyes,"AJÁ (w/ Cachirula, Loyaltty)"
104,-7,Huan62 - Skokka,10,97,,43496,2834.0,263366,6995,364206,Huan62,Skokka
105,-25,KAROL G - Coleccionando Heridas (w/ Marco Antonio Solís),325,16,,43427,-382.0,308555,-5788,17882797,KAROL G,Coleccionando Heridas (w/ Marco Antonio Solís)
106,-17,Taiu - Rara Vez (w/ Milo j),970,15,,43211,1025.0,308493,-5186,64239788,Taiu,Rara Vez (w/ Milo j)
107,+29,Kidd Voodoo - Confortas Pero Dañas (w/ Resonancia Etérea),663,2,(x7),43144,6910.0,248867,8733,44912852,Kidd Voodoo,Confortas Pero Dañas (w/ Resonancia Etérea)
108,-8,Milo j - Luciérnagas (w/ Silvio Rodríguez),76,55,,43133,3084.0,283102,-882,3065933,Milo j,Luciérnagas (w/ Silvio Rodríguez)
109,-8,KAROL G - Verano Rosa (w/ Feid),330,11,,43085,3067.0,291550,-5451,23861992,KAROL G,Verano Rosa (w/ Feid)
110,-23,Omar Courtz - ⁠LUCES DE COLORES,285,48,,42860,105.0,281275,-544,11283380,Omar Courtz,⁠LUCES DE COLORES
111,-18,Michael Jackson - Thriller,28,44,,42856,1563.0,295099,-342,1147503,Michael Jackson,Thriller
112,-16,"Tobal Mj - Que Brille Sola Mami (w/ Cris MJ, Kail BRL)",678,34,,42736,2000.0,274462,421,34753755,Tobal Mj,"Que Brille Sola Mami (w/ Cris MJ, Kail BRL)"
113,+8,Pablo Chill-E - Gitana (w/ Bryartz),540,1,(x31),42486,5071.0,249710,4330,61900630,Pablo Chill-E,Gitana (w/ Bryartz)
114,-23,Xavi - En Privado (w/ Manuel Turizo),395,62,,41689,-44.0,269658,-8,16746402,Xavi,En Privado (w/ Manuel Turizo)
115,-16,Dominic Fike - Babydoll,62,48,,41301,1076.0,287081,-2449,2882633,Dominic Fike,Babydoll
116,-12,Norambuena - No Va a Chocar (w/ RealViviendo),92,32,,41260,2180.0,287678,-4877,4958603,Norambuena,No Va a Chocar (w/ RealViviendo)
117,-11,"Ya Ice Dilan - Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",4,106,,40975,2089.0,146800,40975,146800,Ya Ice Dilan,"Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)"
118,-9,Anuel AA - Amanece (w/ Haze),1805,2,(x23),40315,1856.0,254722,725,117733042,Anuel AA,Amanece (w/ Haze)
119,-16,Milo j - M.A.I,493,17,,40203,1068.0,279917,-4310,31182740,Milo j,M.A.I
120,-22,"Ovy On The Drums - NUBES (w/ Lucky Brown, Darell)",413,7,,40136,-352.0,265994,4,35502149,Ovy On The Drums,"NUBES (w/ Lucky Brown, Darell)"
121,+12,"Kreamly - LO QUE TÚ PIDAS (w/ Tobal Mj, Baby Jey)",77,4,,40068,3610.0,263676,-817,6065301,Kreamly,"LO QUE TÚ PIDAS (w/ Tobal Mj, Baby Jey)"
122,-5,Lil Naay - UNA BABY EN SANTIAGO,17,100,,40062,2276.0,264404,-129,607025,Lil Naay,UNA BABY EN SANTIAGO
123,+31,benjitalkapone - Mambinho Brasileño,350,1,(x11),39979,5392.0,263655,-2135,39964633,benjitalkapone,Mambinho Brasileño
124,-22,Kapo - UWAIE,573,4,,39881,-117.0,276211,-3884,44704350,Kapo,UWAIE
125,-9,Yan Block - 111,438,20,,39820,1955.0,257325,1063,27239454,Yan Block,111
126,-11,"Anuel AA - Sola (Remix) (w/ Daddy Yankee, Zion & Lennox, Farruko, Wisin)",1779,5,,39720,1732.0,256171,191,80558848,Anuel AA,"Sola (Remix) (w/ Daddy Yankee, Zion & Lennox, Farruko, Wisin)"
127,-22,"Kidd Voodoo - WHISKY A LA ROCA (w/ Jere Klein, Swift 047)",482,2,(x28),39493,490.0,254656,4309,56374796,Kidd Voodoo,"WHISKY A LA ROCA (w/ Jere Klein, Swift 047)"
128,-20,Yandel - Encantadora,954,7,,39470,953.0,258489,260,28147290,Yandel,Encantadora
129,-22,Michael Jackson - Remember the Time,22,89,,39317,689.0,274817,-2201,850606,Michael Jackson,Remember the Time
130,-11,Aventura - El Perdedor,310,30,,39221,1583.0,178756,4933,13426399,Aventura,El Perdedor
