Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"W Sound - Pico Y Chao (W Sound 08) (w/ Kris R., Ovy On The Drums)",71,1,(x34),263407,11854.0,1735842,5351,17497992,W Sound,"Pico Y Chao (W Sound 08) (w/ Kris R., Ovy On The Drums)"
2,=,Kris R. - TUKI TUKI (w/ GeezyDee),64,1,(x9),260754,10078.0,1713519,541,13655192,Kris R.,TUKI TUKI (w/ GeezyDee)
3,+1,BTS - SWIM,57,1,(x8),216278,18713.0,1400461,-7541,12969265,BTS,SWIM
4,+1,Kris R. - GANAS,120,1,(x2),204055,8858.0,1349955,1061,25191962,Kris R.,GANAS
5,+1,Mr Plata - Las Muñequitas (w/ El Americano 4KT),134,1,(x41),194717,14808.0,1282594,-2274,27438772,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
6,-3,Reykon - La Culpa,26,3,(x2),181347,-56587.0,1217467,63563,3876766,Reykon,La Culpa
7,+2,ARIA VEGA - CHÉVERE (premium_remix) (w/ Ryan Castro),92,2,(x18),180679,18437.0,1263241,-18305,19467998,ARIA VEGA,CHÉVERE (premium_remix) (w/ Ryan Castro)
8,+2,Lenin Ramírez - Todo Lo Fue,99,5,,174752,14542.0,1186155,-4089,13420156,Lenin Ramírez,Todo Lo Fue
9,-1,Blessd - SUPERSTAR (w/ Los Money Makers),29,1,(x1),172868,5058.0,1181931,-9884,5882013,Blessd,SUPERSTAR (w/ Los Money Makers)
10,+21,Natax Beat - Piel Morena,5,10,,169919,66318.0,566503,169919,566503,Natax Beat,Piel Morena
11,=,"Blessd - NUEVA YORK (w/ Los Money Makers, Prodmonja)",353,5,,166599,9982.0,1142369,-17545,38406626,Blessd,"NUEVA YORK (w/ Los Money Makers, Prodmonja)"
12,=,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",199,1,(x26),165894,16114.0,1130482,-16275,35950617,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
13,-6,"Maisak - Te Entiendo - Remix (w/ Feid, Maluma)",16,4,,164915,-3796.0,1173652,-39248,2782889,Maisak,"Te Entiendo - Remix (w/ Feid, Maluma)"
14,-1,Lil Naay - UNA BABY EN SANTIAGO,65,12,,157975,9048.0,1014805,7330,6844054,Lil Naay,UNA BABY EN SANTIAGO
15,-1,Grupo Firme - El Beneficio De La Duda,434,3,(x3),152108,13287.0,1041451,-4945,43324893,Grupo Firme,El Beneficio De La Duda
16,-1,Huan62 - Skokka,27,15,,144538,9780.0,853784,34006,2368594,Huan62,Skokka
17,-1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",450,1,(x215),143922,11658.0,977993,-6943,136336164,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
18,-1,Omar Courtz - KOKO,81,10,,139399,7547.0,882828,11253,9133083,Omar Courtz,KOKO
19,=,Michael Jackson - Billie Jean,28,15,,138164,9622.0,901955,5082,2671806,Michael Jackson,Billie Jean
20,-2,Luister La Voz - La María,57,14,,137401,7541.0,902423,11862,6675439,Luister La Voz,La María
21,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),373,12,,135057,11600.0,880948,1518,39143740,Fuerza Regida,COQUETA (w/ Grupo Frontera)
22,-2,El Chonta - Mojando La Rata,15,17,,129747,5255.0,875481,6487,1567430,El Chonta,Mojando La Rata
23,-1,Blessd - YOGURCITO,617,3,(x3),127611,7957.0,858124,-7896,85454766,Blessd,YOGURCITO
24,-1,Blessd - QUÉ LÍO,15,14,,122973,3727.0,864367,-16689,1891332,Blessd,QUÉ LÍO
25,-1,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",154,16,,122865,4216.0,827176,-6057,14694049,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
26,=,Blessd - AMISTA (w/ Ovy On The Drums),386,1,(x2),121391,5034.0,834946,-17031,69499762,Blessd,AMISTA (w/ Ovy On The Drums)
27,+1,Luister La Voz - Ozono (w/ maikol el insoportable),95,22,,120855,7908.0,813798,4942,9269167,Luister La Voz,Ozono (w/ maikol el insoportable)
28,-3,Beéle - no tiene sentido,365,2,(x22),119467,2981.0,799710,-5735,72807832,Beéle,no tiene sentido
29,-2,Feid - Que vuelta vox,57,9,,116807,2947.0,787398,-7657,6793616,Feid,Que vuelta vox
30,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,85,21,,113237,4781.0,726270,5662,8322138,Omar Courtz,POR SI MAÑANA NO ESTOY
31,+9,Yeison Jimenez - Destino Final (w/ Luis Alfonso),151,1,(x10),112594,17496.0,775241,-1042,22595264,Yeison Jimenez,Destino Final (w/ Luis Alfonso)
32,=,Herencia De Grandes - Ya Borracho,129,20,,110259,8175.0,734270,-453,11714259,Herencia De Grandes,Ya Borracho
33,+2,"Blessd - YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)",263,1,(x14),107582,8069.0,700232,-2418,47211497,Blessd,"YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)"
34,+20,Kris R. - LINDOS RECUERDOS,3,34,,107454,25517.0,280817,107454,280817,Kris R.,LINDOS RECUERDOS
