Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Lil Naay - MOOD BRAZIL,8,1,(x1),32561,5539.0,176938,20537,188962,Lil Naay,MOOD BRAZIL
2,-1,Huan62 - Skokka,57,1,(x34),32216,2170.0,212965,2114,1492193,Huan62,Skokka
3,=,Lil Naay - UNA BABY EN SANTIAGO,127,2,(x4),25048,1046.0,174495,-999,2476684,Lil Naay,UNA BABY EN SANTIAGO
4,=,BTS - SWIM,57,1,(x3),24005,1522.0,166137,266,1438846,BTS,SWIM
5,=,Omar Courtz - KOKO,85,1,(x3),22033,1869.0,145341,959,1805459,Omar Courtz,KOKO
6,=,Ezzy R - Se Dejo Del Novio (w/ Leo RD),147,1,(x79),21370,2282.0,141757,637,4577643,Ezzy R,Se Dejo Del Novio (w/ Leo RD)
7,=,"El Alfa - PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)",92,1,(x8),20484,2559.0,138903,-260,2211016,El Alfa,"PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)"
8,+1,Amenazzy - El Sultan (w/ Alofoke Music),3,8,,19496,2772.0,40921,19496,40921,Amenazzy,El Sultan (w/ Alofoke Music)
9,-1,"Jey One - Saca Punta (w/ Arlene MC, La Más Doll)",14,8,,18129,370.0,126551,-361,241641,Jey One,"Saca Punta (w/ Arlene MC, La Más Doll)"
10,=,Omar Courtz - POR SI MAÑANA NO ESTOY,85,5,,16935,368.0,112500,415,1435061,Omar Courtz,POR SI MAÑANA NO ESTOY
11,=,Lil Naay - Pasao De Famarcia,260,2,(x1),16712,448.0,112322,833,4465962,Lil Naay,Pasao De Famarcia
12,+13,Dowba Montana - La Chica Que Me Gusta,2,12,,16308,4878.0,27738,16308,27738,Dowba Montana,La Chica Que Me Gusta
13,=,Omar Courtz - L a k e n o s h i,85,7,,15851,898.0,107942,-369,1261961,Omar Courtz,L a k e n o s h i
14,+1,Yk It’s Junaa - WoW,233,8,,14073,399.0,99112,-939,1751949,Yk It’s Junaa,WoW
15,+3,Mestizo Is Back - ENCUERA (w/ July Queen),68,9,,13924,1369.0,93828,372,916801,Mestizo Is Back,ENCUERA (w/ July Queen)
16,=,Omar Courtz - WO OH OH (w/ ROA),85,5,,13920,500.0,93978,37,1310369,Omar Courtz,WO OH OH (w/ ROA)
17,NEW,Drake - Make Them Cry,1,17,,13202,,13202,13202,13202,Drake,Make Them Cry
18,+3,Bad Bunny - BAILE INoLVIDABLE,496,1,(x67),13052,951.0,90032,-519,11646637,Bad Bunny,BAILE INoLVIDABLE
19,+1,Lil Naay - KTEDE,315,12,,12914,457.0,88745,-525,2882441,Lil Naay,KTEDE
20,+2,Yk It’s Junaa - Envenenau,295,1,(x1),12876,841.0,87480,-281,4407895,Yk It’s Junaa,Envenenau
21,-2,Dowba Montana - ALO ALO ALO (w/ Lil Naay),26,11,,12390,-95.0,88756,-1955,341747,Dowba Montana,ALO ALO ALO (w/ Lil Naay)
22,+2,Yk It’s Junaa - GAS,57,12,,12292,650.0,84174,-512,651945,Yk It’s Junaa,GAS
