Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,57,1,(x52),56616,4236.0,360181,6936,3417483,BTS,SWIM
2,=,Omar Courtz - KOKO,83,1,(x5),48146,1555.0,316068,1178,3484708,Omar Courtz,KOKO
3,=,Michael Jackson - Billie Jean,39,2,(x1),44734,2194.0,300036,1131,1090484,Michael Jackson,Billie Jean
4,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),412,3,(x12),43605,1280.0,293241,1586,14106314,Fuerza Regida,COQUETA (w/ Grupo Frontera)
5,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",155,3,(x1),41378,1349.0,273792,-903,5177943,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
6,=,Huan62 - Skokka,28,6,,37152,428.0,231170,6717,661560,Huan62,Skokka
7,+2,Danny Ocean - Me Rehúso,3443,1,(x4),36372,2143.0,240842,880,51255623,Danny Ocean,Me Rehúso
8,-1,Bad Bunny - BAILE INoLVIDABLE,496,1,(x71),36079,1390.0,241001,-9,31613746,Bad Bunny,BAILE INoLVIDABLE
9,-1,Michael Jackson - Beat It,23,6,,35297,948.0,241024,-264,728925,Michael Jackson,Beat It
10,+6,Romeo Santos - Dardos (w/ Prince Royce),169,3,(x2),34514,4079.0,211698,4049,6043047,Romeo Santos,Dardos (w/ Prince Royce)
11,+4,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",449,1,(x186),34328,3325.0,228520,20,33598455,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
12,-2,Lil Naay - UNA BABY EN SANTIAGO,52,9,,33882,274.0,226193,1106,1302579,Lil Naay,UNA BABY EN SANTIAGO
13,-1,Mr Plata - Las Muñequitas (w/ El Americano 4KT),108,4,,33754,1485.0,223977,-333,3338268,Mr Plata,Las Muñequitas (w/ El Americano 4KT)
14,-1,Beéle - no tiene sentido,365,1,(x19),33266,1125.0,215906,-505,21509025,Beéle,no tiene sentido
