Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,حمو المرشدي - طول منا عالي طول منا ناجح,63,1,(x31),92862,-20090.0,738121,-19300,5323473,حمو المرشدي,طول منا عالي طول منا ناجح
2,+4,Sherine - تباعاً تباعاً,7,2,(x1),80406,1206.0,380118,80406,380118,Sherine,تباعاً تباعاً
3,-1,مصطفي الجن و هادي الصغير - تيم الابداع - الغابة ليها بابا ( هو الديب لما يغيب ),44,2,(x8),73479,-14759.0,569542,-11374,2559158,مصطفي الجن و هادي الصغير,تيم الابداع - الغابة ليها بابا ( هو الديب لما يغيب )
4,=,Ramy Sabry - Kelma,162,3,(x2),71509,-12636.0,540107,-1754,5165259,Ramy Sabry,Kelma
5,=,Angham - Mesh Habibi Bas,80,1,(x15),71078,-11654.0,523339,-6025,5931338,Angham,Mesh Habibi Bas
6,-3,Ramy Sabry - الحب عيبنا,430,3,(x2),68454,-16717.0,523789,486,17655782,Ramy Sabry,الحب عيبنا
7,=,Houda Bondok - خيبت توقعاتك,141,1,(x3),67647,-10147.0,516391,-2758,6662931,Houda Bondok,خيبت توقعاتك
8,=,حمو المرشدي - انا 5 استار على كوكبى,83,4,,59597,-18046.0,473167,-13076,4683749,حمو المرشدي,انا 5 استار على كوكبى
9,+1,Lege-Cy - 3alam Kadaba,267,1,(x7),57596,-13671.0,464742,-8323,22432619,Lege-Cy,3alam Kadaba
10,-1,Tamer Ashour - Makrehtosh,485,2,(x17),56193,-16893.0,466673,-4635,28438622,Tamer Ashour,Makrehtosh
11,+1,Essam Sasa - كل سنه وانتم من جوه صفاركو معبي قلوبكو ( خاف من الاسد ),54,6,,54165,-8379.0,394715,-1034,2891550,Essam Sasa,كل سنه وانتم من جوه صفاركو معبي قلوبكو ( خاف من الاسد )
12,-1,Essam Sasa - متركزش وتتأمل وتبصبص ( انا مش صاحبك وحبيبك ),52,5,,53736,-9772.0,397282,-1049,2937952,Essam Sasa,متركزش وتتأمل وتبصبص ( انا مش صاحبك وحبيبك )
13,=,Bahaa Sultan - معايا,176,1,(x2),52968,-9164.0,406837,-2733,12496066,Bahaa Sultan,معايا
14,+1,حمو المرشدي - الصدارة بيتى,53,8,,52168,-6533.0,399623,-5804,2902549,حمو المرشدي,الصدارة بيتى
15,-1,TUL8TE - Shedeeny,288,3,(x1),50762,-10041.0,388151,-2590,15941657,TUL8TE,Shedeeny
16,+2,TUL8TE - Seneen,124,2,(x1),49229,-5848.0,369101,332,7521613,TUL8TE,Seneen
17,-1,Lege-Cy - Msh Awl Marra (w/ Ghaliaa),114,1,(x38),46031,-12309.0,370687,-8507,8587667,Lege-Cy,Msh Awl Marra (w/ Ghaliaa)
18,+7,Jung Kook - Seven (w/ Latto),388,1,(x1),45915,-4164.0,331759,6910,8760375,Jung Kook,Seven (w/ Latto)
19,-2,Lege-Cy - LAW NASYANY (w/ Ismail Nosrat),351,1,(x7),45413,-12353.0,367334,-7494,24522551,Lege-Cy,LAW NASYANY (w/ Ismail Nosrat)
