Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Quevedo - AL GOLPITO (w/ Nueva Línea),23,1,(x18),685286,12923.0,4716926,-148946,15632992,Quevedo,AL GOLPITO (w/ Nueva Línea)
2,=,Quevedo - LA GRACIOSA (w/ Elvis Crespo),22,1,(x4),666013,23423.0,4424188,-62552,14725699,Quevedo,LA GRACIOSA (w/ Elvis Crespo)
3,=,Quevedo - NI BORRACHO,92,1,(x35),351879,15731.0,2351960,-53950,34461093,Quevedo,NI BORRACHO
4,+2,"Ya Ice Dilan - Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)",76,3,(x1),328367,27803.0,2026718,-4121,17240118,Ya Ice Dilan,"Dichavate (w/ Rey Tony, Helabusador, JipMusic Global, Dj Honda)"
5,=,Omar Courtz - KOKO,85,1,(x16),324341,21055.0,2095417,-13653,23961366,Omar Courtz,KOKO
6,-2,Quevedo - EL BAIFO,23,3,(x3),316938,1724.0,2186290,-70461,8709820,Quevedo,EL BAIFO
7,=,Quevedo - SCANDIC,57,1,(x9),297660,803.0,2037619,-53681,19201732,Quevedo,SCANDIC
8,NEW,Clarent - Dime Baby,1,8,,294858,,294858,294858,294858,Clarent,Dime Baby
9,=,Jay Wheeler - De Lejitos,36,1,(x10),281350,10961.0,1852690,-27734,11888767,Jay Wheeler,De Lejitos
10,-2,Quevedo - CAPRICHOSO,23,3,(x5),277188,-2470.0,1981774,-85069,8570609,Quevedo,CAPRICHOSO
11,-1,Aitana - SUPERESTRELLA,351,1,(x8),241227,15662.0,1568322,2845,82360794,Aitana,SUPERESTRELLA
12,=,"Aissa - MUCHACHA (w/ Rvfv, Kreamly)",99,7,,239574,16823.0,1522885,-7592,16474438,Aissa,"MUCHACHA (w/ Rvfv, Kreamly)"
