Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Linda Lampenius - Liekinheitin (w/ Pete Parkkonen),120,1,(x23),99440,14094.0,503684,41386,8202597,Linda Lampenius,Liekinheitin (w/ Pete Parkkonen)
2,NEW,ANI - Tuhlaajapoika (w/ Sara Bee),1,2,(x1),87011,,87011,87011,87011,ANI,Tuhlaajapoika (w/ Sara Bee)
3,=,Averagekidluke - Mitä sydämelle käy (w/ Vesta),8,2,(x4),67109,9084.0,471742,-65588,604439,Averagekidluke,Mitä sydämelle käy (w/ Vesta)
4,-2,Gettomasa - Onko jossain,8,1,(x5),66743,4556.0,539011,-94413,700167,Gettomasa,Onko jossain
5,NEW,helmi marleena - Juhannusvalssi,1,5,,63955,,63955,63955,63955,helmi marleena,Juhannusvalssi
6,NEW,Etta - Kaunis vaan kun itken (w/ AHTI),1,6,,62914,,62914,62914,62914,Etta,Kaunis vaan kun itken (w/ AHTI)
7,-3,louna0nline - m0ti0n,64,1,(x9),55722,7833.0,385737,-13650,2718690,louna0nline,m0ti0n
8,NEW,Drake - Make Them Cry,1,8,,51167,,51167,51167,51167,Drake,Make Them Cry
9,NEW,Vesta - Helmi,1,9,,47495,,47495,47495,47495,Vesta,Helmi
10,-5,Isac Elliot - Ai Että,253,1,(x14),46281,6166.0,291654,-3742,14847078,Isac Elliot,Ai Että
11,NEW,Jami Faltin - Ikivanha (w/ Ares),1,11,,46155,,46155,46155,46155,Jami Faltin,Ikivanha (w/ Ares)
12,-6,Samuell - Hei Supermario,50,1,(x13),45516,5483.0,301155,-13105,3031619,Samuell,Hei Supermario
13,-6,Isac Elliot - Palamaan (w/ Mirella),86,1,(x6),41383,7162.0,266097,-3209,4863490,Isac Elliot,Palamaan (w/ Mirella)
14,-6,Isac Elliot - Mannerheim (w/ Turisti),86,1,(x1),41336,7737.0,266886,-4064,4600406,Isac Elliot,Mannerheim (w/ Turisti)
15,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,15,,37142,,37142,37142,37142,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
16,-7,"Ares - +-0 (w/ Turisti, Averagekidluke)",114,4,,36038,4031.0,226300,-4119,4954998,Ares,"+-0 (w/ Turisti, Averagekidluke)"
17,NEW,Drake - National Treasures,1,17,,35715,,35715,35715,35715,Drake,National Treasures
18,+6,FELICIA - My System,26,18,,33857,11273.0,120582,33857,351286,FELICIA,My System
19,-9,AHTI - Poitsu,50,1,(x1),33109,3569.0,218386,-4129,2684440,AHTI,Poitsu
20,NEW,Lyttä - iltaset (w/ Tohtori Getto),1,20,,32895,,32895,32895,32895,Lyttä,iltaset (w/ Tohtori Getto)
21,NEW,Drake - Dust,1,21,,32516,,32516,32516,32516,Drake,Dust
22,NEW,Drake - Whisper My Name,1,22,,32470,,32470,32470,32470,Drake,Whisper My Name
