Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,PLK - Pocahontas,64,1,(x51),409895,22667.0,2776891,-51047,26247469,PLK,Pocahontas
2,=,disiz - melodrama (w/ Theodora),232,1,(x158),325435,5996.0,2230580,-52479,124462282,disiz,melodrama (w/ Theodora)
3,=,Leto - Pineapple,36,2,(x6),312505,12345.0,2149478,-30999,10242395,Leto,Pineapple
4,=,Michael Jackson - Billie Jean,107,4,,291488,7958.0,1827261,8363,10794274,Michael Jackson,Billie Jean
5,+4,Aya Nakamura - Sexy Nana (w/ La Rvfleuze),8,5,,275948,47375.0,1441994,100797,1617145,Aya Nakamura,Sexy Nana (w/ La Rvfleuze)
6,-1,RnBoi - ELLE VOULAIT,50,1,(x1),258242,9052.0,1899461,-46518,16414633,RnBoi,ELLE VOULAIT
7,-1,Gambi - RENÉ CAOVILLA,43,4,,255787,10607.0,1720027,-26493,10770974,Gambi,RENÉ CAOVILLA
8,-1,Nono La Grinta - LOVE YOU,215,2,(x2),239202,7187.0,1586585,-8104,73356203,Nono La Grinta,LOVE YOU
9,-1,Michael Jackson - Beat It,25,8,,238631,7467.0,1488484,11639,4362513,Michael Jackson,Beat It
10,+1,La Rvfleuze - PARLU,50,4,,222234,10016.0,1558908,-25411,11547152,La Rvfleuze,PARLU
11,+1,kulturr - méli-mélo,60,7,,220934,9634.0,1520016,-40636,11024761,kulturr,méli-mélo
12,-2,Rambo goyard - B.M.S (by my side),127,2,(x17),220849,4429.0,1513185,-32601,41960081,Rambo goyard,B.M.S (by my side)
13,=,RnBoi - AVEC MOI (w/ Nono La Grinta),120,4,,217115,9866.0,1561829,-35305,33466516,RnBoi,AVEC MOI (w/ Nono La Grinta)
14,+1,R2 - RUINART,333,1,(x14),213692,11170.0,1364574,-155,90673217,R2,RUINART
15,+2,Willylancien - magique,30,5,,209111,10974.0,1516965,-34780,5244167,Willylancien,magique
16,-2,RnBoi - MON BÉBÉ,204,1,(x3),206251,1934.0,1450584,-39691,87247136,RnBoi,MON BÉBÉ
17,-1,GIMS - SPA (w/ Theodora),120,4,,203949,5179.0,1344153,-32360,29304852,GIMS,SPA (w/ Theodora)
18,=,WIXO & LA2S - GMK,116,3,(x4),199916,4284.0,1297932,-9201,28134880,WIXO & LA2S,GMK
19,+2,Mauvais djo - Pilé,92,19,,194396,14526.0,1234181,-2690,9948626,Mauvais djo,Pilé
20,-1,Nono La Grinta - Paris,408,1,(x6),190002,3738.0,1201030,3789,91643182,Nono La Grinta,Paris
21,+2,"TRIANGLE DES BERMUDES - À l'aise (w/ L2B, MC YOSHI, Mauvais djo, Kokosvoice)",40,17,,189117,13251.0,1232241,-8397,6242588,TRIANGLE DES BERMUDES,"À l'aise (w/ L2B, MC YOSHI, Mauvais djo, Kokosvoice)"
22,-2,La Rvfleuze - Argent Sale - A COLORS SHOW (w/ COLORS),89,4,,186767,5603.0,1298446,-25060,20601425,La Rvfleuze,Argent Sale - A COLORS SHOW (w/ COLORS)
23,+28,Jul - Parasite,10,23,,179235,58306.0,868092,15186,1280460,Jul,Parasite
24,=,PLK - Sex Model (w/ Theodora),85,3,(x5),174158,9183.0,1224171,-27918,20373903,PLK,Sex Model (w/ Theodora)
25,-3,Dominic Fike - Babydoll,104,15,,173827,-3357.0,1136515,-1363,15976060,Dominic Fike,Babydoll
26,+3,Bello&Dallas - Arena de Cuba,8,23,,172493,15855.0,1070358,71256,1171595,Bello&Dallas,Arena de Cuba
27,NEW,Jul - C'est dur d'aimer,1,27,,171827,,171827,171827,171827,Jul,C'est dur d'aimer
28,-1,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),73,18,,169835,9347.0,1162420,-25420,9805529,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
29,-1,Black Cat - BMW,95,13,,169453,10177.0,1112882,-5144,16312421,Black Cat,BMW
30,-4,PLK - Tu dors ?,64,9,,168415,5866.0,1190145,-19719,11171709,PLK,Tu dors ?
31,-6,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),33,9,,166355,3548.0,1174744,-38952,6628408,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
32,-2,Franglish - Génération impolie (w/ KeBlack),211,3,(x1),163005,6478.0,1086089,-22342,56918279,Franglish,Génération impolie (w/ KeBlack)
33,-2,Bad Bunny - NUEVAYoL,410,5,,157546,7001.0,1078895,-36535,52173092,Bad Bunny,NUEVAYoL
34,-1,Meryl - Coco Chanel (w/ Eva),169,17,,152611,8624.0,1049503,-31962,21750327,Meryl,Coco Chanel (w/ Eva)
35,-3,Theodora - Miss Kitoko,64,13,,152601,5785.0,1083372,-33723,11278044,Theodora,Miss Kitoko
36,=,"TRIANGLE DES BERMUDES - Balek (w/ Aya Nakamura, MC YOSHI, Mauvais djo, Kokosvoice)",39,34,,151342,12647.0,985053,-6267,5316563,TRIANGLE DES BERMUDES,"Balek (w/ Aya Nakamura, MC YOSHI, Mauvais djo, Kokosvoice)"
37,+1,Werenoi - Chemin d'or,1143,4,,150251,13939.0,1001108,-4183,127756863,Werenoi,Chemin d'or
38,NEW,Drake - Make Them Cry,1,38,,149605,,149605,149605,149605,Drake,Make Them Cry
39,-5,Werenoi - Jamal,305,20,,144780,4520.0,953495,-4591,33426573,Werenoi,Jamal
40,+1,Werenoi - Poney,400,4,,143580,10603.0,931081,-1785,53949466,Werenoi,Poney
41,-6,GIMS - PARISIENNE (w/ La Mano 1.9),288,1,(x50),143405,3922.0,934048,-21400,102179293,GIMS,PARISIENNE (w/ La Mano 1.9)
42,-3,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,21,39,,142784,7341.0,917960,1759,2419778,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
43,-6,Werenoi - Pétunias,589,2,(x2),142393,4233.0,938736,-8451,87122337,Werenoi,Pétunias
44,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,44,,140895,,140895,140895,140895,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
45,-5,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),71,28,,140556,6482.0,985968,-33602,8084315,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR))
46,-2,Mauvais djo - Maladie,38,39,,139194,9087.0,908543,-10356,4512220,Mauvais djo,Maladie
47,-5,Black Cat - Na Za Désolé,96,17,,136680,5263.0,949653,-38281,15275048,Black Cat,Na Za Désolé
48,-5,RAYE - WHERE IS MY HUSBAND!,239,12,,134599,4245.0,928333,-24989,35274717,RAYE,WHERE IS MY HUSBAND!
