Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),1031273,,1031273,1031273,1031273,Drake,Make Them Cry
2,NEW,Drake - Dust,1,2,(x1),802694,,802694,802694,802694,Drake,Dust
3,NEW,Drake - National Treasures,1,3,(x1),787814,,787814,787814,787814,Drake,National Treasures
4,NEW,Drake - Whisper My Name,1,4,,776437,,776437,776437,776437,Drake,Whisper My Name
5,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,5,,724090,,724090,724090,724090,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
6,NEW,Drake - Janice STFU,1,6,,708344,,708344,708344,708344,Drake,Janice STFU
7,NEW,Drake - Shabang,1,7,,625038,,625038,625038,625038,Drake,Shabang
8,NEW,Drake - Make Them Pay,1,8,,584366,,584366,584366,584366,Drake,Make Them Pay
9,NEW,Drake - 2 Hard 4 The Radio,1,9,,582127,,582127,582127,582127,Drake,2 Hard 4 The Radio
10,NEW,Drake - Plot Twist,1,10,,538928,,538928,538928,538928,Drake,Plot Twist
11,NEW,Drake - B's On The Table (w/ 21 Savage),1,11,,535295,,535295,535295,535295,Drake,B's On The Table (w/ 21 Savage)
12,RE,Drake - What Did I Miss?,34,12,,506760,,506760,506760,4902542,Drake,What Did I Miss?
13,NEW,Drake - Burning Bridges,1,13,,491791,,491791,491791,491791,Drake,Burning Bridges
14,-13,Sam Fender - Rein Me In (w/ Olivia Dean),330,1,(x23),473045,24411.0,3218219,-42441,93677133,Sam Fender,Rein Me In (w/ Olivia Dean)
15,-13,Olivia Dean - Man I Need,274,1,(x137),447105,34701.0,2954838,-18557,154803321,Olivia Dean,Man I Need
16,NEW,Drake - Make Them Remember,1,16,,437400,,437400,437400,437400,Drake,Make Them Remember
17,-13,Michael Jackson - Billie Jean,383,3,(x1),414308,41899.0,2614450,33247,34581937,Michael Jackson,Billie Jean
18,NEW,Drake - Make Them Know,1,18,,393712,,393712,393712,393712,Drake,Make Them Know
19,-16,Bella Kay - iloveitiloveitiloveit,103,1,(x41),389454,2867.0,2728081,-43612,48216742,Bella Kay,iloveitiloveitiloveit
20,NEW,Drake - Don’t Worry,1,20,,352342,,352342,352342,352342,Drake,Don’t Worry
21,NEW,Drake - Firm Friends,1,21,,345172,,345172,345172,345172,Drake,Firm Friends
22,-16,Michael Jackson - Beat It,36,5,,337904,29592.0,2162701,18272,6712070,Michael Jackson,Beat It
23,-18,Michael Jackson - Human Nature,21,5,,335198,17688.0,2159008,37372,5092191,Michael Jackson,Human Nature
24,NEW,Drake - Little Birdie,1,24,,317476,,317476,317476,317476,Drake,Little Birdie
25,-18,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),46,2,(x3),315304,26575.0,2127055,-38577,14402738,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
26,NEW,Gracie Abrams - Hit the Wall,1,26,,309668,,309668,309668,309668,Gracie Abrams,Hit the Wall
27,-19,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,30,7,,301819,26622.0,1993874,-1323,5740979,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
28,NEW,Drake - WNBA,1,28,,279995,,279995,279995,279995,Drake,WNBA
29,NEW,Drake - Hoe Phase,1,29,,278160,,278160,278160,278160,Drake,Hoe Phase
30,-20,Dave - Raindance (w/ Tems),204,1,(x4),270915,14240.0,1845083,-28232,73426350,Dave,Raindance (w/ Tems)
31,-22,Dominic Fike - Babydoll,404,4,,270503,2259.0,1899533,-19215,59354800,Dominic Fike,Babydoll
32,-21,Olivia Dean - So Easy (To Fall In Love),232,3,(x3),258774,7873.0,1769332,-19963,75157442,Olivia Dean,So Easy (To Fall In Love)
33,-21,sombr - Homewrecker,99,5,,253004,15783.0,1712996,-20260,30170157,sombr,Homewrecker
34,-20,RAYE - WHERE IS MY HUSBAND!,239,2,(x20),249470,21639.0,1650184,-14137,89102273,RAYE,WHERE IS MY HUSBAND!
35,-22,Michael Jackson - Dirty Diana - 2012 Remaster,54,13,,243490,15107.0,1628212,-8306,7178829,Michael Jackson,Dirty Diana - 2012 Remaster
36,NEW,Drake - Slap The City (w/ Qendresa),1,36,,241460,,241460,241460,241460,Drake,Slap The City (w/ Qendresa)
37,NEW,Drake - Cheetah Print (w/ Sexyy Red),1,37,,241028,,241028,241028,241028,Drake,Cheetah Print (w/ Sexyy Red)
38,-22,Ella Langley - Choosin' Texas,109,15,,238920,14108.0,1566894,-2132,15367259,Ella Langley,Choosin' Texas
