Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Peso Pluma - daño (w/ Tito Double P),141,1,(x71),75751,1887.0,495537,4246,10061968,Peso Pluma,daño (w/ Tito Double P)
2,=,Lenin Ramírez - Todo Lo Fue,118,1,(x1),60244,2501.0,413729,-2580,5997913,Lenin Ramírez,Todo Lo Fue
3,+3,BTS - SWIM,57,1,(x2),56167,6492.0,337793,9424,3162275,BTS,SWIM
4,-1,Neton Vega - Pvta Luna,219,1,(x55),54894,75.0,365300,1528,12255969,Neton Vega,Pvta Luna
5,-1,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",156,2,(x3),53752,1952.0,373114,-4647,7669929,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
6,+1,Fuerza Regida - TU SANCHO,379,1,(x37),51886,2887.0,340576,-533,18475892,Fuerza Regida,TU SANCHO
7,-2,Neton Vega - Nalguita y Teta,37,5,,51276,1538.0,342900,2311,1294273,Neton Vega,Nalguita y Teta
8,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),510,3,(x1),48600,2370.0,324400,-248,21354823,Fuerza Regida,COQUETA (w/ Grupo Frontera)
9,+3,Herencia De Grandes - Ya Borracho,181,2,(x5),44921,2856.0,298140,1801,9004649,Herencia De Grandes,Ya Borracho
10,-1,Peso Pluma - dopamina (w/ Tito Double P),141,1,(x24),44528,909.0,306886,-2719,9037587,Peso Pluma,dopamina (w/ Tito Double P)
11,-1,Tito Double P - POR SUS BESOS,309,1,(x79),44097,607.0,297029,-570,16417768,Tito Double P,POR SUS BESOS
12,-1,Oscar Maydon - Tu Boda (w/ Fuerza Regida),596,1,(x83),43097,696.0,275662,3063,31858605,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
13,=,LOS DOS DE TAMAULIPAS - Ayúdame,44,11,,43009,1881.0,286952,2458,1338259,LOS DOS DE TAMAULIPAS,Ayúdame
