Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,365,1,(x288),43144,-22249.0,260359,-2491,20707129,Jin,Don’t Say You Love Me
2,+1,Keung To - 寂寞圓舞,151,1,(x11),29938,-558.0,210345,-928,4809421,Keung To,寂寞圓舞
3,+1,Keung To - 你要倔強,151,1,(x2),29884,-184.0,201261,-1710,4794365,Keung To,你要倔強
4,+1,Keung To - Better Man,151,3,(x2),26838,-352.0,179497,-1389,4001676,Keung To,Better Man
5,+1,Keung To - Boulder,150,2,(x5),26097,-548.0,185452,-1330,4036739,Keung To,Boulder
6,+1,Anson Lo 盧瀚霆 - Charisma,52,3,(x2),24230,-561.0,172963,-2971,1333800,Anson Lo 盧瀚霆,Charisma
7,+1,Anson Lo 盧瀚霆 - 本命,52,3,(x3),23946,-704.0,171326,-2938,1335598,Anson Lo 盧瀚霆,本命
8,+1,Keung To - 追愛狂想,151,6,,22517,-738.0,157277,-1231,3541195,Keung To,追愛狂想
9,+1,V - Winter Ahead (w/ Park Hyo Shin),533,1,(x23),19968,-893.0,135414,2669,15674273,V,Winter Ahead (w/ Park Hyo Shin)
10,+3,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,1,(x5),18495,415.0,137151,-2184,872979,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
11,=,Anson Lo 盧瀚霆 - Gimme Gimme,172,1,(x9),18460,-274.0,132647,-2111,5005344,Anson Lo 盧瀚霆,Gimme Gimme
12,=,Gareth.T - 用背脊唱情歌,341,1,(x17),17999,-416.0,125871,-858,11220876,Gareth.T,用背脊唱情歌
13,+1,BABYMONSTER - CHOOM,12,9,,17218,-398.0,129161,-4411,218364,BABYMONSTER,CHOOM
14,+1,NMIXX - Heavy Serenade,5,11,,17041,109.0,82969,17041,82969,NMIXX,Heavy Serenade
15,+4,aespa - WDA (Whole Different Animal) (w/ G-DRAGON),5,15,,16611,2847.0,73066,16611,73066,aespa,WDA (Whole Different Animal) (w/ G-DRAGON)
16,NEW,Drake - Make Them Cry,1,16,,16191,,16191,16191,16191,Drake,Make Them Cry
17,-1,BTS - SWIM,57,1,(x9),16033,-250.0,113434,-1228,1440813,BTS,SWIM
18,-1,Andy Lau - 沒有翅膀的天使 (w/ Keung To),37,1,(x1),13919,-407.0,97301,-958,876286,Andy Lau,沒有翅膀的天使 (w/ Keung To)
19,-1,Gareth.T - 緊急聯絡人,898,3,(x2),13054,-1201.0,95262,-338,15285098,Gareth.T,緊急聯絡人
20,=,Anson Lo 盧瀚霆 - Rude Boy,163,13,,12917,-5.0,91004,-1097,2289664,Anson Lo 盧瀚霆,Rude Boy
21,+2,Anson Lo 盧瀚霆 - Take That,163,16,,12469,146.0,87125,-975,2242730,Anson Lo 盧瀚霆,Take That
22,-1,陳卓賢 Ian - 那抹柔光，名為你,23,13,,12312,-304.0,89244,-1537,321540,陳卓賢 Ian,那抹柔光，名為你
23,-1,CORTIS - REDRED,26,14,,12299,-215.0,91170,-1837,379799,CORTIS,REDRED
24,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,24,,12182,,12182,12182,12182,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
25,-1,Anson Lo 盧瀚霆 - 我的支持型伴侶,163,14,,12097,95.0,84977,-1137,2401413,Anson Lo 盧瀚霆,我的支持型伴侶
26,NEW,Drake - Dust,1,26,,12023,,12023,12023,12023,Drake,Dust
27,-1,MC 張天賦 - 記憶棉,1667,1,(x109),11804,-71.0,81637,90,29009686,MC 張天賦,記憶棉
28,NEW,Drake - Whisper My Name,1,28,,11605,,11605,11605,11605,Drake,Whisper My Name
29,-2,Anson Lo 盧瀚霆 - Trippin’ Up,163,16,,11375,75.0,79587,-953,2176160,Anson Lo 盧瀚霆,Trippin’ Up
30,+2,Jung Kook - Seven (w/ Latto),1037,1,(x32),11332,643.0,72126,625,17920885,Jung Kook,Seven (w/ Latto)
31,-2,MC 張天賦 - 說謊者,501,1,(x10),10993,-33.0,76091,-241,9446659,MC 張天賦,說謊者
32,-7,Justin Lo - 命硬,3587,14,,10894,-998.0,78155,-65,16423458,Justin Lo,命硬
33,=,ILLIT - It's Me,16,22,,10781,155.0,78874,-971,173672,ILLIT,It's Me
34,-32,Jin - Running Wild,542,1,(x32),10757,-22453.0,114656,-5787,13180914,Jin,Running Wild
35,-5,Anson Lo 盧瀚霆 - 你都有今日,355,2,(x15),10634,-258.0,76276,-1473,9316339,Anson Lo 盧瀚霆,你都有今日
36,-5,Anson Lo 盧瀚霆 - Lemonade,281,2,(x12),10366,-324.0,74675,-1473,7131174,Anson Lo 盧瀚霆,Lemonade
37,-2,Yan Ting - 今世情人,23,13,,10352,-21.0,77976,-1990,274653,Yan Ting,今世情人
38,-4,Keung To - On a SunnyDay,381,1,(x20),10278,-277.0,71225,-740,10178273,Keung To,On a SunnyDay
39,-3,Justin Bieber - DAISIES,263,10,,10141,-154.0,75008,-1336,2391415,Justin Bieber,DAISIES
40,NEW,Drake - Janice STFU,1,40,,9929,,9929,9929,9929,Drake,Janice STFU
41,-13,BTS - Into the Sun,57,15,,9921,-1232.0,74870,-248,634376,BTS,Into the Sun
42,-5,Keung To - 流浪星球,256,2,(x48),9790,-220.0,68441,-641,6246057,Keung To,流浪星球
