Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,57,1,(x45),28051,5249.0,163669,5511,1658908,BTS,SWIM
2,=,Omar Courtz - KOKO,85,1,(x27),23807,1297.0,154757,1748,1900082,Omar Courtz,KOKO
3,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",156,1,(x9),20173,650.0,135084,-53,2571193,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
4,=,Peso Pluma - daño (w/ Tito Double P),141,3,(x8),17758,612.0,112343,2337,2058685,Peso Pluma,daño (w/ Tito Double P)
5,=,Fuerza Regida - TU SANCHO,372,1,(x1),16087,878.0,102481,1154,5047884,Fuerza Regida,TU SANCHO
6,+1,Fuerza Regida - COQUETA (w/ Grupo Frontera),493,1,(x1),15325,914.0,97418,1157,6229030,Fuerza Regida,COQUETA (w/ Grupo Frontera)
7,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,85,4,,14761,331.0,92762,1771,1143005,Omar Courtz,POR SI MAÑANA NO ESTOY
8,=,Natax Beat - Piel Morena,3,8,,14377,160.0,37663,14377,37663,Natax Beat,Piel Morena
9,=,Lenin Ramírez - Todo Lo Fue,111,4,,14152,432.0,95957,660,1149223,Lenin Ramírez,Todo Lo Fue
10,+2,ARIA VEGA - CHÉVERE (premium_remix) (w/ Ryan Castro),89,3,(x4),13202,1423.0,90154,-753,1202587,ARIA VEGA,CHÉVERE (premium_remix) (w/ Ryan Castro)
11,-1,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",152,1,(x30),12928,632.0,90487,-1110,2449771,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
12,-1,"El Alfa - PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)",71,6,,12623,730.0,85226,-256,805911,El Alfa,"PANTI Y COLALE 2.0 (w/ De La Ghetto, Zion, DJ Chulo NYC, El Cherry Scom, La Greña, Ronny GTA, Ezzy R)"
13,+1,Bad Bunny - BAILE INoLVIDABLE,496,1,(x48),12126,469.0,78781,892,9216402,Bad Bunny,BAILE INoLVIDABLE
14,+1,Fuerza Regida - Marlboro Rojo,376,1,(x3),11954,333.0,78181,477,5057092,Fuerza Regida,Marlboro Rojo
