Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Bruno X Spacc - SZEXI BB - Bruno (w/ Bereczki Zoltán),9,1,(x7),82403,7177.0,508610,-11038,627657,Bruno X Spacc,SZEXI BB - Bruno (w/ Bereczki Zoltán)
2,=,Dzsúdló - VRUMM,4,1,(x1),58401,1848.0,204000,58401,204000,Dzsúdló,VRUMM
3,=,"DESH - TIP TIP (w/ Young Fly, Azahriah)",67,1,(x44),53462,2994.0,337908,-2203,5203527,DESH,"TIP TIP (w/ Young Fly, Azahriah)"
4,=,Manuel - Diagram,4,3,(x1),47965,5393.0,159387,47965,159387,Manuel,Diagram
5,+50,"Bruno X Spacc - KIK EZEK - Bruno (w/ VINI, KKevin)",2,5,,39236,26090.0,52382,39236,52382,Bruno X Spacc,"KIK EZEK - Bruno (w/ VINI, KKevin)"
6,-1,VINI - EX N GO (w/ Sofi),29,2,(x1),37347,749.0,242154,-4984,1184385,VINI,EX N GO (w/ Sofi)
7,-1,Pogány Induló - Így sem könnyebb,31,1,(x11),33173,-1064.0,246819,-7279,1752658,Pogány Induló,Így sem könnyebb
8,-1,BSW - Always be mine (w/ Nagy Bogi),12,2,(x2),32996,64.0,221176,-9625,424647,BSW,Always be mine (w/ Nagy Bogi)
9,-1,VINI - SHAKE DAT (w/ BELANO),99,2,(x7),30715,1594.0,184521,-214,3115486,VINI,SHAKE DAT (w/ BELANO)
10,NEW,Drake - Make Them Cry,1,10,,29632,,29632,29632,29632,Drake,Make Them Cry
11,-2,Beton.Hofi - BE VAGYOK ZÁRVA,376,1,(x19),29290,1519.0,179852,1947,12026947,Beton.Hofi,BE VAGYOK ZÁRVA
12,+4,DESH - OHMAMMA (w/ Young Fly),281,1,(x34),27961,5162.0,171070,-495,8778202,DESH,OHMAMMA (w/ Young Fly)
13,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,13,,27431,,27431,27431,27431,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
14,-2,Nagy Bogi - Jól leszek újra (w/ DESH),92,1,(x20),27231,1349.0,176295,-2819,4200485,Nagy Bogi,Jól leszek újra (w/ DESH)
15,NEW,Drake - National Treasures,1,15,,27144,,27144,27144,27144,Drake,National Treasures
16,NEW,Irie Maffia - Nesztek! (w/ Beton.Hofi),1,16,,27085,,27085,27085,27085,Irie Maffia,Nesztek! (w/ Beton.Hofi)
17,-6,T. Danny - 8 (w/ VINI),16,5,,26531,618.0,165193,-183,383245,T. Danny,8 (w/ VINI)
18,-8,Beton.Hofi - MIRE SZÁMÍTOTTÁL (w/ Hundred Sins),85,1,(x4),26421,-206.0,173179,-1192,3271277,Beton.Hofi,MIRE SZÁMÍTOTTÁL (w/ Hundred Sins)
19,-1,Bruno X Spacc - AFTERPARTY (w/ mollywood),240,1,(x65),26054,3857.0,147907,2508,7793197,Bruno X Spacc,AFTERPARTY (w/ mollywood)
20,NEW,Drake - Dust,1,20,,25816,,25816,25816,25816,Drake,Dust
21,NEW,Drake - Whisper My Name,1,21,,24623,,24623,24623,24623,Drake,Whisper My Name
22,+4,"DESH - PANNONIA (w/ Young Fly, Azahriah)",659,1,(x123),24522,5499.0,144169,1031,24917853,DESH,"PANNONIA (w/ Young Fly, Azahriah)"
23,-9,"VZS - SHOW ME WHAT YOU GOT (w/ JOJO, KKevin)",108,1,(x15),23951,360.0,158188,-2652,3786932,VZS,"SHOW ME WHAT YOU GOT (w/ JOJO, KKevin)"
24,-11,Pogány Induló - Kell egy pár nap,31,3,(x3),23878,-1128.0,177026,-5753,1179803,Pogány Induló,Kell egy pár nap
25,-5,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),35,4,,23685,1972.0,163577,-6028,933084,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
26,-2,VINI - Rodalinda (w/ Bruno),179,17,,23409,2860.0,134477,1814,2259675,VINI,Rodalinda (w/ Bruno)
27,-4,Michael Jackson - Billie Jean,213,9,,22843,1971.0,143898,313,975157,Michael Jackson,Billie Jean
28,-9,Manuel - Dada (w/ Azahriah),60,2,(x15),22831,1057.0,139135,846,2142860,Manuel,Dada (w/ Azahriah)
29,-12,DESH - SUV (w/ Young Fly),656,1,(x19),22437,144.0,132199,430,21722743,DESH,SUV (w/ Young Fly)
30,NEW,Drake - Janice STFU,1,30,,21515,,21515,21515,21515,Drake,Janice STFU
31,-10,Azahriah - utema,34,1,(x3),21424,-172.0,152664,-6523,1512405,Azahriah,utema
32,-10,Temper City - Self Aware,53,11,,21412,495.0,146513,-3921,858392,Temper City,Self Aware
33,-5,VINI - BOTRÁNY,158,3,(x2),21131,2351.0,120463,2006,2992046,VINI,BOTRÁNY
34,-19,gyuris - hamupipőke (w/ Manuel),2,15,,20102,-3429.0,43633,20102,43633,gyuris,hamupipőke (w/ Manuel)
35,-8,Azahriah - TITANIK (w/ GHO$TY),19,2,(x1),19629,844.0,142746,-10786,506296,Azahriah,TITANIK (w/ GHO$TY)
36,-11,Pogány Induló - Michelin csillag,31,3,(x1),19627,-512.0,145405,-4113,1021308,Pogány Induló,Michelin csillag
37,-8,Michael Jackson - Beat It,25,23,,19523,1158.0,123901,295,342403,Michael Jackson,Beat It
38,NEW,Drake - Shabang,1,38,,19430,,19430,19430,19430,Drake,Shabang
39,-8,Dzsúdló - díva (w/ DESH),642,3,(x14),19119,1145.0,122210,-1001,17109613,Dzsúdló,díva (w/ DESH)
40,-8,Dominic Fike - Babydoll,105,4,,18798,1056.0,126662,-1586,2232914,Dominic Fike,Babydoll
41,-11,Manuel - Nosztalgia,461,1,(x24),18460,160.0,112697,1889,7976879,Manuel,Nosztalgia
42,=,KKevin - TAKE YOUR TIME,74,3,(x2),18134,2944.0,110705,-2160,1589926,KKevin,TAKE YOUR TIME
43,-8,Mirror Glimpse - DADDY,183,1,(x7),18085,1274.0,117173,-2215,4226397,Mirror Glimpse,DADDY
44,NEW,Drake - 2 Hard 4 The Radio,1,44,,17756,,17756,17756,17756,Drake,2 Hard 4 The Radio
45,NEW,Drake - B's On The Table (w/ 21 Savage),1,45,,17518,,17518,17518,17518,Drake,B's On The Table (w/ 21 Savage)
46,NEW,Drake - Plot Twist,1,46,,17508,,17508,17508,17508,Drake,Plot Twist
47,-14,DESH - Strawberry,744,1,(x32),17114,-54.0,103916,-1102,17671795,DESH,Strawberry
48,RE,Drake - What Did I Miss?,2,48,,16570,,16570,16570,23885,Drake,What Did I Miss?
49,-15,BSW - Lidokain (w/ ByeAlex és a Slepp),642,2,(x4),16494,-545.0,107322,1720,13780720,BSW,Lidokain (w/ ByeAlex és a Slepp)
50,-14,Azahriah - Felednéd (w/ DESH),1339,5,,16492,-18.0,107763,-541,15325077,Azahriah,Felednéd (w/ DESH)
51,NEW,Drake - Make Them Pay,1,51,,16481,,16481,16481,16481,Drake,Make Them Pay
52,-6,Pogány Induló - Afro Beat (w/ ANUBII$),1172,3,(x1),16399,2067.0,101697,1744,18620196,Pogány Induló,Afro Beat (w/ ANUBII$)
53,+10,"VZS - RENDŐR BÁCSI, KÉREM",246,5,,16305,3730.0,87438,2121,3414876,VZS,"RENDŐR BÁCSI, KÉREM"
54,-14,Dzsúdló - SÖTÉT,365,1,(x2),16226,688.0,109784,-212,8572248,Dzsúdló,SÖTÉT
55,-16,KKevin - JACUZZI (w/ BSW),45,3,(x1),16210,553.0,104643,-3099,984912,KKevin,JACUZZI (w/ BSW)
56,-8,DESH - Talpra cigányok,379,1,(x24),15806,1595.0,90984,1542,9818548,DESH,Talpra cigányok
57,-20,T. Danny - xXx,65,4,,15669,-718.0,115076,-5479,1704823,T. Danny,xXx
58,-20,BELANO - BULLSHIT (w/ BSW),104,2,(x4),15445,-217.0,96215,-1337,2215163,BELANO,BULLSHIT (w/ BSW)
59,+33,KKevin - PROSECCO (w/ Bruno X Spacc),688,11,,15383,4900.0,85438,-228,9603720,KKevin,PROSECCO (w/ Bruno X Spacc)
60,-7,VINI - Klitorisz,157,37,,15117,1718.0,87152,819,1616346,VINI,Klitorisz
61,-16,BSW - Gate Closed,24,7,,14908,270.0,110288,-6992,513472,BSW,Gate Closed
62,-13,VINI - WAKE N BAKE (w/ KKevin),99,5,,14863,787.0,87068,760,1499523,VINI,WAKE N BAKE (w/ KKevin)
63,NEW,"Burai - Bad Boyz (w/ mollywood, Mario, Goore, Kretz)",1,63,,14767,,14767,14767,14767,Burai,"Bad Boyz (w/ mollywood, Mario, Goore, Kretz)"
64,-20,Beton.Hofi - ANGYALOK,332,3,(x3),14760,5.0,90705,481,4824586,Beton.Hofi,ANGYALOK
65,-9,DESH - Apály,707,7,,14676,1591.0,87633,708,7293996,DESH,Apály
66,-25,Beton.Hofi - PANASONIC,86,1,(x1),14629,-802.0,95946,900,2039482,Beton.Hofi,PANASONIC
67,+9,DESH - MOKKA (w/ Young Fly),665,1,(x17),14594,3028.0,91870,-465,18070247,DESH,MOKKA (w/ Young Fly)
68,-18,Beton.Hofi - BAGIRA (w/ Hundred Sins),1365,1,(x89),14414,576.0,88863,878,25802534,Beton.Hofi,BAGIRA (w/ Hundred Sins)
69,NEW,Drake - Burning Bridges,1,69,,14377,,14377,14377,14377,Drake,Burning Bridges
