Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Ifan Seventeen - Jangan Paksa Rindu - Beda,110,1,(x24),1382812,-75277.0,10019458,-69128,98734859,Ifan Seventeen,Jangan Paksa Rindu - Beda
2,+1,eńau - Sesi Potret (w/ Ari Lesmana),86,2,(x1),1197662,23037.0,7713155,171586,44310078,eńau,Sesi Potret (w/ Ari Lesmana)
3,+1,Piche Kota - Bahagia Lagi,138,1,(x2),1159696,-11435.0,8062530,-23887,154368466,Piche Kota,Bahagia Lagi
4,-2,Sal Priadi - Ada titik-titik di ujung doa,137,1,(x11),1151798,-31456.0,8352109,-66915,127197160,Sal Priadi,Ada titik-titik di ujung doa
5,=,Nadhif Basalamah - kota ini tak sama tanpamu,171,1,(x63),1124313,59193.0,7753528,3894,216880212,Nadhif Basalamah,kota ini tak sama tanpamu
6,=,Hindia - everything u are,438,1,(x1),1106550,59704.0,7413473,69435,367053193,Hindia,everything u are
7,=,Raim Laode - Bersenja Gurau,177,3,(x12),984673,-22624.0,6895200,78702,131004872,Raim Laode,Bersenja Gurau
8,=,Raim Laode - Iqro',72,7,,976915,8759.0,6534517,106836,40920387,Raim Laode,Iqro'
9,=,Nadhif Basalamah - bergema sampai selamanya,423,2,(x12),902483,10211.0,6233397,12299,388470128,Nadhif Basalamah,bergema sampai selamanya
10,=,Idgitaf - Sedia Aku Sebelum Hujan,211,1,(x66),861390,-12993.0,5825474,50186,267398368,Idgitaf,Sedia Aku Sebelum Hujan
11,=,Pamungkas - Monolog,2226,1,(x61),758597,-78756.0,5505574,-9067,610029413,Pamungkas,Monolog
12,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),56,10,,749441,-5511.0,5310613,-18306,27190841,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
13,+1,.Feast - Nina,628,1,(x25),722934,36153.0,4745506,38802,497372167,.Feast,Nina
14,-1,Perunggu - Ini Abadi,110,13,,720990,4270.0,4905876,81576,40566182,Perunggu,Ini Abadi
15,=,.Feast - Tarot,497,1,(x11),688961,2829.0,4785889,7049,329352250,.Feast,Tarot
16,+1,Hindia - Cincin,1040,5,,677156,16671.0,4544073,25730,458416691,Hindia,Cincin
17,-1,Katy Perry - The One That Got Away,99,16,,667009,2807.0,4419374,68613,30846146,Katy Perry,The One That Got Away
18,+1,Backstreet Boys - Shape of My Heart,69,15,,664604,17766.0,4519459,40039,30061002,Backstreet Boys,Shape of My Heart
19,+2,Perunggu - 33x,270,8,,658323,35456.0,4438712,31354,126607040,Perunggu,33x
20,=,Hindia - Rumah Ke Rumah,2359,6,,645648,8150.0,4444428,21491,677414482,Hindia,Rumah Ke Rumah
21,+1,Justin Bieber - That Should Be Me,48,21,,625954,5452.0,4199203,60253,17783262,Justin Bieber,That Should Be Me
22,+1,Fourtwnty - Mangu (w/ Charita Utami),453,1,(x88),613973,-5552.0,4056125,56272,418729970,Fourtwnty,Mangu (w/ Charita Utami)
