Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),80528,,80528,80528,80528,Drake,Make Them Cry
2,-1,Sam Fender - Rein Me In (w/ Olivia Dean),327,1,(x29),71290,5103.0,486511,-5156,15446551,Sam Fender,Rein Me In (w/ Olivia Dean)
3,NEW,Drake - National Treasures,1,3,(x1),65697,,65697,65697,65697,Drake,National Treasures
4,NEW,Drake - Dust,1,4,,61775,,61775,61775,61775,Drake,Dust
5,-3,Bella Kay - iloveitiloveitiloveit,116,1,(x56),61478,1202.0,440593,-8426,8441209,Bella Kay,iloveitiloveitiloveit
6,NEW,Drake - Whisper My Name,1,6,,60054,,60054,60054,60054,Drake,Whisper My Name
7,NEW,Drake - Janice STFU,1,7,,55978,,55978,55978,55978,Drake,Janice STFU
8,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,8,,55168,,55168,55168,55168,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
9,-6,Ella Langley - Choosin' Texas,126,3,(x8),54917,5026.0,365696,-412,3004022,Ella Langley,Choosin' Texas
10,-6,Michael Jackson - Billie Jean,258,4,,51234,4405.0,326263,3436,2696438,Michael Jackson,Billie Jean
11,-6,Olivia Dean - Man I Need,274,1,(x93),49209,3935.0,334107,-2395,18402398,Olivia Dean,Man I Need
12,NEW,Drake - Shabang,1,12,,47671,,47671,47671,47671,Drake,Shabang
13,NEW,Drake - 2 Hard 4 The Radio,1,13,,47298,,47298,47298,47298,Drake,2 Hard 4 The Radio
14,NEW,Drake - Make Them Pay,1,14,,43513,,43513,43513,43513,Drake,Make Them Pay
15,-9,Michael Jackson - Beat It,33,6,,43084,4270.0,273064,2457,790412,Michael Jackson,Beat It
16,NEW,Drake - B's On The Table (w/ 21 Savage),1,16,,42044,,42044,42044,42044,Drake,B's On The Table (w/ 21 Savage)
17,NEW,Drake - Plot Twist,1,17,,41254,,41254,41254,41254,Drake,Plot Twist
18,RE,Drake - What Did I Miss?,15,18,,40284,,40284,40284,214540,Drake,What Did I Miss?
19,-12,Michael Jackson - Human Nature,20,7,,40099,1973.0,257269,5032,571629,Michael Jackson,Human Nature
20,-12,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,24,8,,38620,3179.0,258418,-224,665795,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
21,-12,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),37,3,(x8),38207,2966.0,267677,-5920,1778932,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
22,NEW,Drake - Burning Bridges,1,22,,36916,,36916,36916,36916,Drake,Burning Bridges
23,-12,Kingfishr - Killeagh,504,1,(x101),35372,4103.0,230145,1382,26771673,Kingfishr,Killeagh
24,-14,sombr - Homewrecker,99,3,(x3),34678,2280.0,239696,-3249,4216560,sombr,Homewrecker
25,NEW,Gracie Abrams - Hit the Wall,1,25,,34166,,34166,34166,34166,Gracie Abrams,Hit the Wall
26,NEW,Drake - Make Them Remember,1,26,,33493,,33493,33493,33493,Drake,Make Them Remember
27,-15,Harry Styles - American Girls,71,2,(x1),32945,2933.0,231238,-3080,2834015,Harry Styles,American Girls
28,-15,Olivia Rodrigo - drop dead,29,1,(x1),31440,1479.0,239839,-8362,1486219,Olivia Rodrigo,drop dead
29,-12,Justin Bieber - DAISIES,305,3,(x3),29878,1335.0,212108,-4301,7199050,Justin Bieber,DAISIES
30,-11,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),139,4,,29630,1858.0,202852,-1221,4649380,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
31,NEW,Drake - Make Them Know,1,31,,29620,,29620,29620,29620,Drake,Make Them Know
32,-17,Noah Kahan - Doors,22,4,,29472,539.0,213700,-5805,848108,Noah Kahan,Doors
33,-19,Dominic Fike - Babydoll,338,4,,29360,278.0,204930,-1464,5737520,Dominic Fike,Babydoll
34,-18,Dominic Fike - White Keys,92,4,,29326,572.0,210344,-2759,3027011,Dominic Fike,White Keys
35,-17,Olivia Dean - So Easy (To Fall In Love),232,4,,29236,1023.0,203728,-2351,8836685,Olivia Dean,So Easy (To Fall In Love)
36,-13,Zara Larsson - Lush Life,1114,3,(x11),28393,2946.0,194172,-1767,14058001,Zara Larsson,Lush Life
37,-15,Michael Jackson - Dirty Diana - 2012 Remaster,23,22,,28375,2182.0,190275,-955,519344,Michael Jackson,Dirty Diana - 2012 Remaster
38,-18,Malcolm Todd - Earrings,48,20,,27228,262.0,187105,3147,972320,Malcolm Todd,Earrings
39,-12,STELLA LEFTY - Boston,45,24,,26995,2381.0,177747,306,1012931,STELLA LEFTY,Boston
40,-15,Alex Warren - FEVER DREAM,78,7,,26732,1921.0,191135,-6319,2739720,Alex Warren,FEVER DREAM
41,-13,sombr - 12 to 12,295,3,(x10),26682,2248.0,182768,-2454,10795571,sombr,12 to 12
42,-21,Noah Kahan - The Great Divide,106,1,(x1),26315,-158.0,190808,-4067,3262662,Noah Kahan,The Great Divide
43,-12,RAYE - WHERE IS MY HUSBAND!,239,3,(x15),26174,2405.0,175010,-1671,9775146,RAYE,WHERE IS MY HUSBAND!
44,-11,The Chemical Brothers - Go,72,32,,26032,3059.0,158031,4682,358843,The Chemical Brothers,Go
45,NEW,Drake - Don’t Worry,1,45,,26030,,26030,26030,26030,Drake,Don’t Worry
46,-16,Alex Warren - Ordinary,463,1,(x65),25921,1885.0,179960,-4561,20796067,Alex Warren,Ordinary
47,-15,Michael Jackson - Smooth Criminal - 2012 Remaster,26,30,,25868,2107.0,169126,664,500244,Michael Jackson,Smooth Criminal - 2012 Remaster
48,NEW,Drake - Firm Friends,1,48,,25553,,25553,25553,25553,Drake,Firm Friends
49,-23,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),76,17,,25409,669.0,175762,-1703,1736321,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
50,-21,Olivia Dean - Nice To Each Other,345,4,,25040,795.0,176323,-1958,11218179,Olivia Dean,Nice To Each Other
51,NEW,Drake - Little Birdie,1,51,,24894,,24894,24894,24894,Drake,Little Birdie
52,-15,Disco Lines - No Broke Boys (w/ Tinashe),342,2,(x14),24605,2710.0,159438,-481,12772215,Disco Lines,No Broke Boys (w/ Tinashe)
53,-18,The Goo Goo Dolls - Iris,1805,18,,24309,1872.0,156887,1353,25756319,The Goo Goo Dolls,Iris
54,-30,Noah Kahan - Willing and Able,22,23,,24277,-697.0,172599,-1742,571395,Noah Kahan,Willing and Able
55,-14,Taylor Swift - The Fate of Ophelia,225,1,(x28),24150,2797.0,158162,-720,10997715,Taylor Swift,The Fate of Ophelia
56,-22,Dave - Raindance (w/ Tems),204,4,,23782,1056.0,166155,-3315,6721348,Dave,Raindance (w/ Tems)
57,-17,Zara Larsson - Midnight Sun,134,30,,23587,2098.0,154983,1054,2280575,Zara Larsson,Midnight Sun
58,-19,The Killers - Mr. Brightside,4011,12,,23446,1850.0,150840,1273,42096936,The Killers,Mr. Brightside
59,-21,Djo - End of Beginning,722,1,(x4),22971,1106.0,157623,-777,17846854,Djo,End of Beginning
60,-17,Fleetwood Mac - Dreams - 2001 Remaster,32,18,,22829,2110.0,154597,280,763146,Fleetwood Mac,Dreams - 2001 Remaster
61,-14,Fleetwood Mac - Landslide,353,14,,22776,2581.0,133138,3953,5540416,Fleetwood Mac,Landslide
62,-26,sombr - back to friends,438,3,(x1),22238,156.0,150005,-355,14622009,sombr,back to friends
63,-21,SIENNA SPIRO - Material Lover,10,42,,21654,695.0,141276,2662,193945,SIENNA SPIRO,Material Lover
64,-20,Olivia Dean - Ok Love You Bye,266,13,,21542,975.0,148983,-1064,5325913,Olivia Dean,Ok Love You Bye
65,-15,The Jackson 5 - I Want You Back,157,45,,20826,1935.0,136364,1077,887952,The Jackson 5,I Want You Back
66,-20,Noah Kahan - Porch Light,64,7,,20173,-172.0,146609,-3669,1752354,Noah Kahan,Porch Light
67,-22,Noah Kahan - Dashboard,22,10,,20125,-318.0,150269,-4852,626622,Noah Kahan,Dashboard
68,-20,Temper City - Self Aware,47,37,,19843,161.0,134305,-482,842029,Temper City,Self Aware
69,-15,Vance Joy - Riptide,3669,10,,19410,1362.0,124107,2003,32328387,Vance Joy,Riptide
70,-21,Noah Kahan - End of August,22,11,,19044,-271.0,143730,-3588,566496,Noah Kahan,End of August
71,-5,Prospa - Free Your Mind (w/ Cloonee),36,57,,18817,2226.0,119115,31,530599,Prospa,Free Your Mind (w/ Cloonee)
72,-20,Noah Kahan - Dan,22,46,,18779,380.0,133775,-2252,420697,Noah Kahan,Dan
73,NEW,Drake - Hoe Phase,1,73,,18750,,18750,18750,18750,Drake,Hoe Phase
74,-17,Katy Perry - The One That Got Away,77,54,,18606,1207.0,121156,-243,913347,Katy Perry,The One That Got Away
75,-7,Amble - Lonely Island,593,9,,18536,2202.0,123261,-479,13626121,Amble,Lonely Island
76,-20,Michael Jackson - Man in the Mirror - 2012 Remaster,25,56,,18488,1078.0,117900,1079,322494,Michael Jackson,Man in the Mirror - 2012 Remaster
77,-19,Ravyn Lenae - Love Me Not,473,4,,18339,983.0,125151,-401,12388545,Ravyn Lenae,Love Me Not
78,NEW,Drake - WNBA,1,78,,17897,,17897,17897,17897,Drake,WNBA
79,-10,Michael Jackson - The Way You Make Me Feel - 2012 Remaster,28,58,,17858,1582.0,119064,-176,351830,Michael Jackson,The Way You Make Me Feel - 2012 Remaster
80,-18,Michael Jackson - They Don't Care About Us,21,62,,17760,932.0,116468,146,322858,Michael Jackson,They Don't Care About Us
81,-28,Kingfishr - Diamonds & Roses,359,3,(x4),17751,-357.0,127078,-1715,11861192,Kingfishr,Diamonds & Roses
82,-11,Amble - Schoolyard Days,435,8,,17650,1501.0,113748,-432,10637487,Amble,Schoolyard Days
83,-20,Michael Jackson - Bad - 2012 Remaster,19,53,,17635,886.0,121366,-1306,302408,Michael Jackson,Bad - 2012 Remaster
84,-11,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",321,3,(x26),17316,1468.0,115632,-595,11056673,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
85,-15,Zach Bryan - I Remember Everything (w/ Kacey Musgraves),994,1,(x4),17284,1071.0,113627,249,26169547,Zach Bryan,I Remember Everything (w/ Kacey Musgraves)
86,-31,sombr - undressed,420,2,(x5),17242,-267.0,122033,-2078,14484314,sombr,undressed
87,-26,Olivia Dean - The Hardest Part,265,20,,17129,211.0,117166,-834,5237572,Olivia Dean,The Hardest Part
88,-28,Bruno Mars - I Just Might,127,10,,17084,-57.0,130546,-3540,3280261,Bruno Mars,I Just Might
89,-38,Noah Kahan - American Cars,22,12,,16994,-1456.0,130132,-4845,551394,Noah Kahan,American Cars
90,-31,SIENNA SPIRO - Die On This Hill,200,8,,16843,-370.0,116653,-1210,4683610,SIENNA SPIRO,Die On This Hill
91,-24,Olivia Dean - Baby Steps,231,17,,16687,244.0,115872,-761,5184114,Olivia Dean,Baby Steps
92,+11,Amble - Tonnta,441,19,,16637,3342.0,102402,1134,7701896,Amble,Tonnta
93,-18,ANOTR - Talk To You (w/ 54 Ultra),64,67,,16478,1237.0,110139,314,877885,ANOTR,Talk To You (w/ 54 Ultra)
94,NEW,Drake - Cheetah Print (w/ Sexyy Red),1,94,,16437,,16437,16437,16437,Drake,Cheetah Print (w/ Sexyy Red)
95,-21,Fleetwood Mac - Everywhere,310,48,,16114,833.0,107772,-324,1196058,Fleetwood Mac,Everywhere
96,-31,Noah Kahan - Orbiter,14,57,,16048,-578.0,109337,2546,188714,Noah Kahan,Orbiter
97,-14,Ella Langley - Be Her,37,71,,15961,1629.0,107914,-822,511270,Ella Langley,Be Her
98,-34,Zach Bryan - Pink Skies,721,2,(x2),15935,-718.0,110155,-876,18242646,Zach Bryan,Pink Skies
99,-20,Sabrina Carpenter - Manchild,343,1,(x12),15675,978.0,106757,-988,9659250,Sabrina Carpenter,Manchild
100,-20,Bruce Springsteen - I'm on Fire,401,30,,15648,992.0,104222,34,4883863,Bruce Springsteen,I'm on Fire
101,-29,Tame Impala - Dracula,196,25,,15625,-350.0,109740,-91,2843270,Tame Impala,Dracula
102,-20,Michael Jackson - Thriller,91,5,,15603,1138.0,103854,86,1156716,Michael Jackson,Thriller
103,NEW,Drake - Road Trips,1,103,,15584,,15584,15584,15584,Drake,Road Trips
104,NEW,Drake - Slap The City (w/ Qendresa),1,104,,15334,,15334,15334,15334,Drake,Slap The City (w/ Qendresa)
105,-27,Kings of Leon - Sex on Fire,1776,31,,15302,585.0,102461,699,17557755,Kings of Leon,Sex on Fire
106,-25,Train - Drops of Jupiter,388,61,,15185,540.0,103366,-180,4570478,Train,Drops of Jupiter
107,-17,Amble - Socrates Smiled,232,22,,15146,1280.0,97247,747,4153328,Amble,Socrates Smiled
108,-17,Chappell Roan - Pink Pony Club,690,2,(x15),15140,1317.0,99707,-430,19673179,Chappell Roan,Pink Pony Club
109,RE,Drake - Which One (w/ Central Cee),63,17,,15138,,15138,15138,968370,Drake,Which One (w/ Central Cee)
110,-21,Michael Jackson - Rock with You - Single Version,21,78,,15028,1047.0,101513,-247,295406,Michael Jackson,Rock with You - Single Version
111,-6,Natasha Bedingfield - Unwritten,688,4,,14999,1722.0,94876,-54,13284293,Natasha Bedingfield,Unwritten
