Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,+1,Noam Bettan - Michelle (w/ כאן - תאגיד השידור הישראלי),72,1,(x2),98723,7333.0,432622,58226,3215894,Noam Bettan,Michelle (w/ כאן - תאגיד השידור הישראלי)
2,-1,Osher Cohen - כולם גנבים,89,1,(x80),86421,-7360.0,571392,-3964,7537999,Osher Cohen,כולם גנבים
3,=,Ben Zur - אהבת השם,81,2,(x49),43421,-2157.0,292123,-8264,3967803,Ben Zur,אהבת השם
4,=,Omer Adam - תקופה חרא,86,2,(x8),41636,-2828.0,279492,-5736,3494648,Omer Adam,תקופה חרא
5,=,Omer Adam - מלכת הדור,340,1,(x149),39363,-3350.0,234842,-949,19959002,Omer Adam,מלכת הדור
6,+2,Peer Tasi - הלוואי (w/ Hanan Ben Ari),42,4,,37630,1289.0,225042,-3734,1239959,Peer Tasi,הלוואי (w/ Hanan Ben Ari)
7,+10,Omer Adam - בן 32,86,2,(x1),37593,6340.0,230862,2720,3356725,Omer Adam,בן 32
8,-2,Eden Ben Zaken - רולקס וקסקט,130,1,(x36),35438,-2750.0,231793,-3171,5114925,Eden Ben Zaken,רולקס וקסקט
9,-2,Omer Adam - ריו דה ז'נרו,86,3,(x1),35282,-1191.0,222676,-2485,2057771,Omer Adam,ריו דה ז'נרו
10,-1,Shuli Rand - לב לבן,82,7,,34761,-453.0,214953,-3022,1821372,Shuli Rand,לב לבן
11,+1,נדב חנציס - אם את כבר הולכת,361,1,(x26),32393,-1191.0,203195,-1624,17729946,נדב חנציס,אם את כבר הולכת
12,+3,Dudu Tassa - בית ביפו,34,11,,31591,-122.0,194983,39,603704,Dudu Tassa,בית ביפו
13,NEW,Drake - Make Them Cry,1,13,,31267,,31267,31267,31267,Drake,Make Them Cry
14,-3,Temper City - Self Aware,42,3,(x1),30990,-2840.0,216146,-1913,1147023,Temper City,Self Aware
15,-1,Dominic Fike - Babydoll,118,2,(x1),29809,-1985.0,203686,-2762,2634403,Dominic Fike,Babydoll
16,+3,Full Trunk - אין מילים איתך,119,14,,29300,-605.0,178354,1829,2549130,Full Trunk,אין מילים איתך
17,+7,Noam Bettan - מדאם,181,2,(x8),28031,-294.0,156668,6877,4846303,Noam Bettan,מדאם
18,=,Omer Adam - אורות כחולים,86,4,,27308,-3571.0,182218,-3807,2596620,Omer Adam,אורות כחולים
19,-6,נדב חנציס - אהבה ראשונה,100,7,,27248,-4599.0,201926,-4597,2715273,נדב חנציס,אהבה ראשונה
20,=,Itay Levi - 03,45,14,,26961,-2805.0,185669,-366,936147,Itay Levi,03
21,-11,Omer Adam - השיר שאת אהבת,340,1,(x1),26940,-7499.0,205324,-3238,16213576,Omer Adam,השיר שאת אהבת
22,+5,Osher Cohen - באמת של האמת,285,4,,26390,-753.0,164291,1400,8126389,Osher Cohen,באמת של האמת
23,NEW,Drake - Dust,1,23,,26009,,26009,26009,26009,Drake,Dust
24,-1,Ben Zur - איש הפלא,147,15,,25867,-2482.0,174632,-587,2461482,Ben Zur,איש הפלא
25,+13,Jung Kook - Seven (w/ Latto),514,4,,25418,2374.0,153381,2721,7293943,Jung Kook,Seven (w/ Latto)
26,-5,Osher Cohen - אל תעשי לו צרות,359,5,,25138,-3734.0,168020,-1098,8302035,Osher Cohen,אל תעשי לו צרות
27,NEW,Drake - Whisper My Name,1,27,,25115,,25115,25115,25115,Drake,Whisper My Name
28,+4,Michael Jackson - Billie Jean,57,26,,25009,-241.0,151270,3293,611870,Michael Jackson,Billie Jean
29,-4,Omer Adam - פלאזה אתנה,86,2,(x2),24775,-2819.0,169929,-2276,2644215,Omer Adam,פלאזה אתנה
30,-14,Peer Tasi - עוף מוזר,313,1,(x20),24321,-7064.0,182098,-4459,10028016,Peer Tasi,עוף מוזר
31,-5,Ben Zur - כל עכבה לטובה,327,5,,24221,-3322.0,150853,2908,9171114,Ben Zur,כל עכבה לטובה
32,NEW,Drake - National Treasures,1,32,,24168,,24168,24168,24168,Drake,National Treasures
33,-3,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,12,,24059,-1512.0,164813,-3165,824201,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
34,-12,Mor - סחרחורות,190,2,(x2),24053,-4571.0,167254,-697,4873399,Mor,סחרחורות
35,-6,Odeya - ואן דאם,223,1,(x37),23986,-2603.0,163405,-609,8675721,Odeya,ואן דאם
36,-8,Peer Tasi - היא לא יודעת למה,321,3,(x2),23774,-3292.0,150868,-1225,10915307,Peer Tasi,היא לא יודעת למה
37,-1,Omer Adam - משפחה וכבוד,86,1,(x4),23367,-788.0,166569,-4010,3236630,Omer Adam,משפחה וכבוד
38,-5,Peer Tasi - מה יהיה מחר,720,6,,22904,-2193.0,136326,-3,16344024,Peer Tasi,מה יהיה מחר
39,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,39,,22812,,22812,22812,22812,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
40,+2,Osher Cohen - אין כבוד,285,5,,22446,538.0,146745,2615,7619834,Osher Cohen,אין כבוד
41,-10,רואי אדם - אהבת חיי,87,21,,22376,-3130.0,141610,1736,997549,רואי אדם,אהבת חיי
42,-8,Ben Zur - נשמות צמאות,284,5,,22257,-2797.0,144063,2429,7026301,Ben Zur,נשמות צמאות
43,-6,Osher Cohen - שונא את תל אביב,89,10,,21625,-1818.0,145037,1166,1986927,Osher Cohen,שונא את תל אביב
44,+3,Noa Kirel - או לה פופה,88,16,,21323,1054.0,126376,1624,1720499,Noa Kirel,או לה פופה
45,NEW,Drake - Janice STFU,1,45,,21266,,21266,21266,21266,Drake,Janice STFU
46,-1,Full Trunk - נגנב ממך (w/ Ninet Tayeb),286,5,,21100,-236.0,134403,-2693,5930234,Full Trunk,נגנב ממך (w/ Ninet Tayeb)
47,-12,ששון איפרם שאולוב - נווה הדרים,11,33,,20826,-3543.0,139644,3963,203809,ששון איפרם שאולוב,נווה הדרים
48,-9,Eyal Golan - בית מזכוכית,58,13,,20345,-2583.0,141130,-3172,1238996,Eyal Golan,בית מזכוכית
49,-6,Eyal Golan - מחזיק לך את היד,54,19,,20240,-1306.0,135214,382,1076568,Eyal Golan,מחזיק לך את היד
50,-10,Itay Levi - 06,44,26,,19988,-2542.0,130689,677,740498,Itay Levi,06
51,+6,Noam Bettan - בובה,658,10,,19615,2963.0,93840,9585,6751355,Noam Bettan,בובה
52,-11,Osher Cohen - בכל יום שאיבדתי אותך,89,7,,19554,-2838.0,159292,-7253,2368330,Osher Cohen,בכל יום שאיבדתי אותך
53,-5,Ben Zur - אבא,709,14,,19200,-991.0,147809,-11711,10505633,Ben Zur,אבא
54,-4,נדב חנציס - אני מסתובב,311,7,,18987,-998.0,125569,-514,7099013,נדב חנציס,אני מסתובב
55,NEW,Drake - Make Them Pay,1,55,,18883,,18883,18883,18883,Drake,Make Them Pay
56,-10,Eden Ben Zaken - בסיבוב הבא,385,12,,18568,-1862.0,127384,-67,7937297,Eden Ben Zaken,בסיבוב הבא
57,NEW,Drake - Shabang,1,57,,18493,,18493,18493,18493,Drake,Shabang
58,-5,Michael Jackson - Beat It,20,50,,18122,0.0,108536,2709,248266,Michael Jackson,Beat It
59,-10,Agam Buhbut - המבט בעיניך,210,13,,17297,-2690.0,114626,237,3450044,Agam Buhbut,המבט בעיניך
60,-16,"Omer Adam - לילות יפים (w/ Gal Adam, רואי אדם)",86,5,,17294,-4115.0,125320,-3875,2013004,Omer Adam,"לילות יפים (w/ Gal Adam, רואי אדם)"
