Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Samurai Jay - OSSESSIONE,80,1,(x76),339196,23876.0,2359511,-50841,46868597,Samurai Jay,OSSESSIONE
2,NEW,Pinguini Tattici Nucleari - Sorry Scusa Lo Siento,1,2,(x1),330272,,330272,330272,330272,Pinguini Tattici Nucleari,Sorry Scusa Lo Siento
3,=,Shiva - Bad Bad Bad (w/ Geolier),36,1,(x1),302094,47248.0,1877186,-7278,11646080,Shiva,Bad Bad Bad (w/ Geolier)
4,-2,Shiva - Obsessed (w/ ANNA),36,2,(x14),296578,21191.0,1949455,-23554,11370549,Shiva,Obsessed (w/ ANNA)
5,NEW,Artie 5ive - SWAG MUSIC,1,5,,286322,,286322,286322,286322,Artie 5ive,SWAG MUSIC
6,NEW,Tiziano Ferro - XXDONO (w/ Lazza),1,6,,253296,,253296,253296,253296,Tiziano Ferro,XXDONO (w/ Lazza)
7,-3,Geolier - CANZONE D'AMORE,120,3,(x3),232899,23396.0,1484841,-1799,25662911,Geolier,CANZONE D'AMORE
8,-3,Shiva - Babyface (w/ Kid Yugi),36,2,(x2),223733,25477.0,1423254,-13262,9327469,Shiva,Babyface (w/ Kid Yugi)
9,-3,"Fred De Palma - LA TESTA GIRA (w/ Anitta, Emis Killa)",50,5,,208069,16958.0,1375311,-9053,7569892,Fred De Palma,"LA TESTA GIRA (w/ Anitta, Emis Killa)"
10,NEW,Drake - Make Them Cry,1,10,,196103,,196103,196103,196103,Drake,Make Them Cry
11,-4,Artie 5ive - DAVVERODAVVERO,154,2,(x6),191608,12400.0,1321760,-38320,22811358,Artie 5ive,DAVVERODAVVERO
12,-4,Michael Jackson - Billie Jean,33,8,,186213,16147.0,1217304,-446,3982880,Michael Jackson,Billie Jean
13,-3,Shiva - Spie,36,2,(x1),177974,15441.0,1168158,-17393,8445986,Shiva,Spie
14,-3,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,3,(x2),175062,13088.0,1210100,-34681,7969971,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
15,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,15,,172382,,172382,172382,172382,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
16,-4,"Shiva - Mayday (w/ Lazza, Sfera Ebbasta)",36,5,,172009,16292.0,1098028,-7107,7670581,Shiva,"Mayday (w/ Lazza, Sfera Ebbasta)"
17,-8,"Geolier - 2 GIORNI DI FILA (w/ Sfera Ebbasta, ANNA)",120,1,(x14),171576,5699.0,1152595,-14990,27567768,Geolier,"2 GIORNI DI FILA (w/ Sfera Ebbasta, ANNA)"
18,NEW,Bresh - Da Dio,1,18,,165452,,165452,165452,165452,Bresh,Da Dio
