Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,sakanaction - 夜の踊り子,47,1,(x4),290127,-16644.0,1807513,103675,4538296,sakanaction,夜の踊り子
2,=,Mrs. GREEN APPLE - ライラック,765,1,(x223),239942,-7236.0,1715273,21015,244879847,Mrs. GREEN APPLE,ライラック
3,+1,Kenshi Yonezu - IRIS OUT,244,1,(x163),231040,-5171.0,1682334,4460,113470514,Kenshi Yonezu,IRIS OUT
4,-1,M!LK - 爆裂愛してる,96,1,(x32),224639,-12116.0,1684031,2707,26490482,M!LK,爆裂愛してる
5,+2,Number_i - 3XL,111,1,(x3),223662,-1326.0,1603171,-230,21532854,Number_i,3XL
6,-1,back number - 花束,2410,3,(x4),223491,-5879.0,1609681,21006,203980363,back number,花束
7,-1,Mrs. GREEN APPLE - lulu.,125,1,(x10),215683,-9800.0,1580763,2470,39322798,Mrs. GREEN APPLE,lulu.
8,=,M!LK - 好きすぎて滅！,188,3,(x2),210260,-8957.0,1578051,2417,41270326,M!LK,好きすぎて滅！
9,=,ILLIT - It's Me,15,9,,203487,-8379.0,1456660,21425,2459647,ILLIT,It's Me
10,=,back number - 高嶺の花子さん,2634,7,,197336,-8519.0,1391827,16487,229875282,back number,高嶺の花子さん
11,=,HANA - Blue Jeans,307,1,(x30),194841,-338.0,1456333,-997,90634513,HANA,Blue Jeans
12,+5,Mrs. GREEN APPLE - 青と夏,2861,2,(x4),192870,4523.0,1309458,25245,315811301,Mrs. GREEN APPLE,青と夏
13,+2,back number - 水平線,1737,1,(x15),191594,827.0,1307310,23259,275650001,back number,水平線
14,-1,Mrs. GREEN APPLE - ダーリン,482,1,(x2),189660,-2436.0,1370209,6615,96412640,Mrs. GREEN APPLE,ダーリン
15,+3,Mrs. GREEN APPLE - Soranji,1306,6,,187196,401.0,1364607,12659,236191339,Mrs. GREEN APPLE,Soranji
16,=,King Gnu - AIZO,128,1,(x3),184451,-4707.0,1350586,1816,35543462,King Gnu,AIZO
17,-3,back number - ハッピーエンド,2097,6,,179229,-11741.0,1319547,10519,144745570,back number,ハッピーエンド
18,-6,Jin - Don’t Say You Love Me,365,1,(x79),178416,-14585.0,1265172,7174,114903067,Jin,Don’t Say You Love Me
19,+1,Mrs. GREEN APPLE - 点描の唄 (w/ Sonoko Inoue),2545,7,,168410,-14339.0,1253192,-1971,321449532,Mrs. GREEN APPLE,点描の唄 (w/ Sonoko Inoue)
20,-1,back number - ブルーアンバー,383,5,,167716,-18619.0,1251518,201,70192556,back number,ブルーアンバー
21,+2,Jimin - Who,666,1,(x20),167275,-2316.0,1165312,8850,157472258,Jimin,Who
22,+3,HANA - ROSE,410,2,(x13),165359,-1988.0,1219647,1980,99104444,HANA,ROSE
23,-2,sakanaction - 怪獣,450,1,(x15),163742,-12434.0,1139548,17740,92756997,sakanaction,怪獣
24,-2,M!LK - アイドルパワー,19,2,(x1),162593,-11888.0,1268229,-12369,3758884,M!LK,アイドルパワー
25,-1,Mrs. GREEN APPLE - 僕のこと,2591,12,,162270,-7176.0,1184468,4359,198574326,Mrs. GREEN APPLE,僕のこと
26,=,BE:FIRST - 夢中,386,4,,160841,-5654.0,1199759,-1886,76504909,BE:FIRST,夢中
27,=,BTS - SWIM,57,1,(x5),158820,-6407.0,1182200,-1912,13353673,BTS,SWIM
28,=,Mrs. GREEN APPLE - ケセラセラ,1118,2,(x5),157812,-4834.0,1163861,764,240659338,Mrs. GREEN APPLE,ケセラセラ
29,=,Vaundy - 怪獣の花唄,1988,1,(x6),155572,-3616.0,1117920,11597,304808259,Vaundy,怪獣の花唄
30,=,back number - HAPPY BIRTHDAY,2043,11,,150953,-5061.0,1119639,15724,169591363,back number,HAPPY BIRTHDAY
31,+3,Superfly - 愛をこめて花束を,2197,4,,150692,2147.0,981267,47933,94443300,Superfly,愛をこめて花束を
32,+3,AiNA THE END - 革命道中 - On The Way,316,4,,149868,2884.0,1049631,11226,63517907,AiNA THE END,革命道中 - On The Way
33,-1,CHANMINA - SAD SONG,475,6,,148745,-1724.0,1098103,962,65412045,CHANMINA,SAD SONG
34,-1,Mrs. GREEN APPLE - 風と町,34,1,(x1),144304,-5591.0,1097747,-10356,6193828,Mrs. GREEN APPLE,風と町
35,-4,yangskinny - 雪月花,126,28,,143630,-8909.0,1048404,12175,12145055,yangskinny,雪月花
36,=,Kenshi Yonezu - JANE DOE (w/ Hikaru Utada),237,2,(x40),141945,-3648.0,1027936,3863,61155261,Kenshi Yonezu,JANE DOE (w/ Hikaru Utada)
37,+1,Number_i - LAVALAVA,167,15,,141395,-447.0,1024607,-3087,22507195,Number_i,LAVALAVA
38,+2,back number - 恋,1238,26,,140997,2332.0,1020459,7307,94078178,back number,恋
39,+3,ARASHI - Five,74,1,(x12),138975,2295.0,978329,5248,16368740,ARASHI,Five
