Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,57,1,(x32),21604,1266.0,130281,30,1232540,BTS,SWIM
2,=,Dominic Fike - Babydoll,120,1,(x37),17428,353.0,119416,-1238,1909269,Dominic Fike,Babydoll
3,=,"By Индия - Шадэ (w/ Xcho, МОТ)",8,3,(x2),13298,1424.0,66402,6308,73392,By Индия,"Шадэ (w/ Xcho, МОТ)"
4,+1,Кайрат Нуртас - Көздерің Сенің Сондай Әп Әдемі (w/ Argonya),123,3,(x4),13081,1316.0,89142,-1221,1249453,Кайрат Нуртас,Көздерің Сенің Сондай Әп Әдемі (w/ Argonya)
5,-1,Ravyn Lenae - Love Me Not,281,3,(x8),12432,560.0,81187,98,2093746,Ravyn Lenae,Love Me Not
6,+2,Junior - ВАТ ИЗ ЛАВ,78,1,(x4),12302,1220.0,86193,-2166,1155804,Junior,ВАТ ИЗ ЛАВ
7,=,SAYAN - Мальборо,25,3,(x2),11652,548.0,79948,-2628,297416,SAYAN,Мальборо
8,-2,Tame Impala - Dracula,72,6,,11243,54.0,75531,-134,562833,Tame Impala,Dracula
9,=,Ernar Amandyq - Keipker,453,1,(x79),10941,-12.0,77090,-728,5179014,Ernar Amandyq,Keipker
10,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),32,6,,10899,334.0,72568,-418,343287,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
11,=,урал гайсин - священная война,219,8,,10392,561.0,65157,1040,1683678,урал гайсин,священная война
12,+2,Duman - Баяғыдай,589,2,(x1),10077,552.0,67075,-495,5716812,Duman,Баяғыдай
13,-1,Lil Peep - nuts (w/ rainy bear),632,7,,9964,156.0,67299,-321,3645592,Lil Peep,nuts (w/ rainy bear)
14,-1,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),99,6,,9962,157.0,66513,-743,838570,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
15,=,"Жасұлан Көпберген - Жалғыз жұлдыз - """"Из К / Ф ""Ғашықпын Саған""",96,7,,9901,413.0,62244,770,895202,Жасұлан Көпберген,"Жалғыз жұлдыз - """"Из К / Ф ""Ғашықпын Саған"""
16,+1,Kaspiyskiy Gruz - Любовь HD1080,939,2,(x3),9776,571.0,66061,-518,5855598,Kaspiyskiy Gruz,Любовь HD1080
17,-1,Aikyn Tolepbergen - Сүйгенім,377,1,(x42),9581,249.0,61865,-745,4633314,Aikyn Tolepbergen,Сүйгенім
18,+2,Sean Paul - (When You Gonna) Give It Up to Me (w/ Keyshia Cole),125,9,,8852,253.0,58725,-348,1154875,Sean Paul,(When You Gonna) Give It Up to Me (w/ Keyshia Cole)
19,-1,Shiza - Sen! (w/ Aikyn Tolepbergen),135,1,(x46),8823,25.0,56919,85,1847614,Shiza,Sen! (w/ Aikyn Tolepbergen)
20,+7,Ernar Amandyq - Meni kut,404,2,(x4),8801,855.0,57458,881,3208211,Ernar Amandyq,Meni kut
21,=,Michael Jackson - Billie Jean,20,21,,8777,197.0,53814,1260,134196,Michael Jackson,Billie Jean
22,=,The Neighbourhood - Reflections,548,17,,8736,196.0,58688,-256,2146975,The Neighbourhood,Reflections
23,-4,BTS - 2.0,57,6,,8584,-116.0,51311,758,510757,BTS,2.0
24,+10,LUCAVEROS - Дома,586,15,,8569,1010.0,55100,126,3765413,LUCAVEROS,Дома
25,-1,Dave - Raindance (w/ Tems),118,10,,8505,348.0,56928,-564,1076218,Dave,Raindance (w/ Tems)
26,-3,ALHAM - Hikayam,82,3,(x4),8284,-15.0,63044,-1827,990365,ALHAM,Hikayam
27,-2,The Neighbourhood - Sweater Weather,1546,6,,8263,248.0,55966,-274,8934036,The Neighbourhood,Sweater Weather
28,+5,Endspiel - 10,305,2,(x3),8261,553.0,52226,715,3134125,Endspiel,10
29,+8,IL'HAN - Country,346,3,(x7),8152,651.0,56968,538,3100606,IL'HAN,Country
30,-4,Zvonkiy - Голоса,562,19,,8111,135.0,52530,119,3144328,Zvonkiy,Голоса
31,+4,Darkhan Juzz - Úıde,1175,6,,8085,559.0,52115,-224,6281544,Darkhan Juzz,Úıde
32,-1,PIZZA - Романс,108,3,(x6),8063,278.0,55944,-405,1008415,PIZZA,Романс
33,+9,Aikyn Tolepbergen - Ерке Қыз,482,3,(x1),7984,766.0,55881,1141,2544126,Aikyn Tolepbergen,Ерке Қыз
34,-6,Abzal Uteshov - Bir Oilap Alam,94,17,,7964,115.0,51424,6,708773,Abzal Uteshov,Bir Oilap Alam
35,+3,MiyaGi & Endspiel - I Got Love (w/ Rem Digga),1463,18,,7906,426.0,51778,-333,6951068,MiyaGi & Endspiel,I Got Love (w/ Rem Digga)
36,+5,Gazizkhan Shekerbek - MANTRA (w/ Edil Gabbas),19,17,,7861,530.0,54776,-756,137290,Gazizkhan Shekerbek,MANTRA (w/ Edil Gabbas)
37,+3,Ivan Dorn - Polar Lights,821,9,,7720,351.0,51860,-608,3979831,Ivan Dorn,Polar Lights
38,-6,CORTIS - REDRED,24,10,,7705,-31.0,50610,-451,187814,CORTIS,REDRED
39,+4,Kazybek Kuraiysh - Бақытыңды табасың,631,2,(x1),7676,537.0,49153,1163,5297208,Kazybek Kuraiysh,Бақытыңды табасың
40,+6,Elbrus Djanmirzoev - Дыши,160,9,,7518,586.0,49639,-271,1254378,Elbrus Djanmirzoev,Дыши
41,-11,V $ X V PRiNCE - Солнце,362,10,,7492,-295.0,50749,-921,2019383,V $ X V PRiNCE,Солнце
42,-3,Dosekesh - Taspa,981,10,,7460,41.0,50684,63,5289283,Dosekesh,Taspa
43,+12,Son Pascal - Men Seni Suyemin,1355,8,,7449,943.0,48602,131,6414531,Son Pascal,Men Seni Suyemin
44,=,Arctic Monkeys - I Wanna Be Yours,1472,2,(x16),7203,86.0,48121,203,9735717,Arctic Monkeys,I Wanna Be Yours
45,+5,9 Gramm - Дэнс,148,6,,7157,372.0,48989,-881,1189749,9 Gramm,Дэнс
46,+13,De Lacure - Algabas,403,2,(x3),7015,682.0,41435,893,3049807,De Lacure,Algabas
47,+2,Aidyn Zhumakhan - Top Tompaq,144,12,,6936,137.0,49435,-948,1084477,Aidyn Zhumakhan,Top Tompaq
48,+3,Michael Jackson - Beat It,13,48,,6878,130.0,41372,1340,71056,Michael Jackson,Beat It
49,+3,ALEM - Kuiim,455,3,(x9),6869,124.0,46089,-171,3505355,ALEM,Kuiim
50,-3,BTS - Hooligan,57,3,(x1),6863,-45.0,40535,742,457536,BTS,Hooligan
51,-22,6ELLUCCI - Kobelek,692,4,,6846,-944.0,43955,905,4862828,6ELLUCCI,Kobelek
52,+6,MOLDANAZAR - Mahabbatym,1194,14,,6841,402.0,46328,-316,6029549,MOLDANAZAR,Mahabbatym
53,+4,FACE - ЛАБИРИНТ,1537,7,,6755,303.0,45920,-322,6849878,FACE,ЛАБИРИНТ
54,+2,ORDA - Белгісіз Жан,173,13,,6698,239.0,42399,1238,1105156,ORDA,Белгісіз Жан
55,-19,Қанат Ерлан - Saǵynamyn,696,3,(x2),6641,-877.0,51056,-689,5264361,Қанат Ерлан,Saǵynamyn
56,-3,Jah Khalib - Сжигая дотла,1277,13,,6635,-97.0,46428,-1226,5668733,Jah Khalib,Сжигая дотла
57,+18,Nuricko - С тобой (w/ Ulukmanapo),673,5,,6624,807.0,39754,1085,4171991,Nuricko,С тобой (w/ Ulukmanapo)
58,+9,Ulukmanapo - Расстояние (w/ Bakr),1448,1,(x85),6603,508.0,41390,514,13190485,Ulukmanapo,Расстояние (w/ Bakr)
59,-11,Xcho - Баллада (w/ МОТ),688,1,(x35),6537,-357.0,46589,312,4304673,Xcho,Баллада (w/ МОТ)
60,+30,Sadraddin - Qolymnan usta,87,39,,6514,1083.0,38399,1101,518116,Sadraddin,Qolymnan usta
