Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Stormy - PER LA VITA,9,1,(x8),86000,-3404.0,643941,-10278,747020,Stormy,PER LA VITA
2,=,Najm - GHALAT (w/ ElGrandeToto),8,2,(x7),64864,-1017.0,388675,7741,445798,Najm,GHALAT (w/ ElGrandeToto)
3,NEW,Drake - Make Them Cry,1,3,(x1),42271,,42271,42271,42271,Drake,Make Them Cry
4,-1,Figoshin - Zone De Confort,23,1,(x14),37556,-599.0,290392,-11882,1294640,Figoshin,Zone De Confort
5,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,5,,33583,,33583,33583,33583,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
6,NEW,Drake - Dust,1,6,,33424,,33424,33424,33424,Drake,Dust
7,NEW,Drake - Whisper My Name,1,7,,33345,,33345,33345,33345,Drake,Whisper My Name
8,-4,Stormy - MOON,822,1,(x104),31305,442.0,210090,374,17544916,Stormy,MOON
9,NEW,Drake - Janice STFU,1,9,,29665,,29665,29665,29665,Drake,Janice STFU
10,-5,Shaw - AKHI,343,2,(x7),28632,-1347.0,202095,-2284,2519245,Shaw,AKHI
11,-5,Inkonnu - WARDA (w/ Manal),54,1,(x25),26541,-1276.0,182181,-283,2499876,Inkonnu,WARDA (w/ Manal)
12,NEW,Drake - National Treasures,1,12,,26444,,26444,26444,26444,Drake,National Treasures
13,-6,Amine Farsi - Bali maak (w/ Stormy),204,1,(x44),25547,-1498.0,181022,288,7781099,Amine Farsi,Bali maak (w/ Stormy)
14,-6,Manal - KATANA (w/ Stormy),36,1,(x5),25492,747.0,166686,6,1157603,Manal,KATANA (w/ Stormy)
15,-6,"OldyGotTheSound - TAF TAF (w/ Anys, Shaw)",350,1,(x10),24745,986.0,165945,1115,12085952,OldyGotTheSound,"TAF TAF (w/ Anys, Shaw)"
16,NEW,Drake - Shabang,1,16,,24441,,24441,24441,24441,Drake,Shabang
17,NEW,Drake - Make Them Pay,1,17,,22376,,22376,22376,22376,Drake,Make Them Pay
18,-7,Manal - KALIMAT,57,1,(x4),22126,246.0,145065,857,2124572,Manal,KALIMAT
19,-9,Stormy - CHANEL,36,1,(x1),21819,-321.0,158651,-2553,1175389,Stormy,CHANEL
20,-7,Cheba Souad - Twehachtek Grave (w/ Hichem Smati),18,3,(x2),21490,115.0,162313,-6005,457849,Cheba Souad,Twehachtek Grave (w/ Hichem Smati)
21,-9,Shaw - DAZOU LYAM,324,3,(x6),21323,-433.0,148838,175,6454355,Shaw,DAZOU LYAM
22,NEW,Drake - Plot Twist,1,22,,20891,,20891,20891,20891,Drake,Plot Twist
23,-9,Gustavo 51 - Dorororo,148,1,(x22),20786,-516.0,145946,46,4317246,Gustavo 51,Dorororo
24,NEW,Drake - B's On The Table (w/ 21 Savage),1,24,,20760,,20760,20760,20760,Drake,B's On The Table (w/ 21 Savage)
25,RE,Drake - What Did I Miss?,12,25,,19971,,19971,19971,83053,Drake,What Did I Miss?
26,NEW,Drake - 2 Hard 4 The Radio,1,26,,19755,,19755,19755,19755,Drake,2 Hard 4 The Radio
27,-8,"Bayadis - NGHAMER (w/ Manal, Shaw)",204,3,(x2),18963,1174.0,125109,698,5216950,Bayadis,"NGHAMER (w/ Manal, Shaw)"
28,-2,BTS - SWIM,57,4,,18831,2640.0,116549,-1649,987225,BTS,SWIM
29,-14,Inkonnu - TJENENY (w/ Draganov),50,2,(x1),18528,-648.0,130625,-658,1565201,Inkonnu,TJENENY (w/ Draganov)
30,NEW,Drake - Burning Bridges,1,30,,18320,,18320,18320,18320,Drake,Burning Bridges
31,-15,Shaw - WALLAHI,491,1,(x12),17734,-725.0,130996,-1563,11117480,Shaw,WALLAHI
32,-15,Stormy - SO HIGH,827,7,,17588,-803.0,112175,3133,9380344,Stormy,SO HIGH
33,-13,Najm - RIRI&ROCKY (w/ Manal),302,6,,16895,-670.0,111634,2006,5899875,Najm,RIRI&ROCKY (w/ Manal)
34,-13,Stormy - Mizane (w/ Inkonnu),1812,4,,16670,-748.0,116002,-950,15971187,Stormy,Mizane (w/ Inkonnu)
35,-13,Inkonnu - DFN,50,4,,16666,-303.0,112208,506,1254896,Inkonnu,DFN
36,-11,Bo9al - Action (w/ Dollypran),56,3,(x3),16019,-355.0,116435,-1122,1219096,Bo9al,Action (w/ Dollypran)
37,-19,Anys - Si tu savais (w/ Stormy),2072,1,(x1),15629,-2668.0,119833,-2497,15055624,Anys,Si tu savais (w/ Stormy)
38,-14,Draganov - Ghalta,29,9,,15365,-1077.0,114839,-2497,604876,Draganov,Ghalta
39,-8,Michael Jackson - Billie Jean,22,31,,15104,870.0,94959,1393,242536,Michael Jackson,Billie Jean
40,-17,ONZY - Nsak?,43,4,,15069,-1661.0,115937,-3192,1000287,ONZY,Nsak?
41,-9,Draganov - Tsswirtek,232,4,,15046,1359.0,98424,141,3620501,Draganov,Tsswirtek
42,-12,Draganov - 3DABI,1031,1,(x80),14987,300.0,110959,-3082,22963758,Draganov,3DABI
43,-16,ElGrandeToto - STALINE,596,1,(x13),14480,-911.0,95897,1147,13905971,ElGrandeToto,STALINE
44,-15,Draganov - BON COURAGE,323,1,(x19),14445,-472.0,99904,1010,7861740,Draganov,BON COURAGE
45,NEW,Drake - Make Them Remember,1,45,,14424,,14424,14424,14424,Drake,Make Them Remember
46,-12,ElGrandeToto - BLUE LOVE,883,1,(x45),14097,646.0,95504,-689,21752695,ElGrandeToto,BLUE LOVE
47,-19,Draganov - Tach,267,1,(x29),14043,-921.0,97534,-161,7439345,Draganov,Tach
48,-13,Dave - Raindance (w/ Tems),153,3,(x5),12996,12.0,91018,-1329,2752740,Dave,Raindance (w/ Tems)
49,-11,ElGrandeToto - DIPLOMATICO,571,1,(x32),12884,573.0,83945,506,15823142,ElGrandeToto,DIPLOMATICO
50,-11,"Shaw - BABOUR LOU7 (w/ Hassa1, NAYRA)",421,8,,12727,580.0,83153,-996,6276194,Shaw,"BABOUR LOU7 (w/ Hassa1, NAYRA)"
51,NEW,Drake - Make Them Know,1,51,,12593,,12593,12593,12593,Drake,Make Them Know
52,-19,Bo9al - La Fin,37,14,,12537,-954.0,96765,-2139,664516,Bo9al,La Fin
53,-17,Najm - INSOMNIA HOTEL (w/ ElGrandeToto),127,1,(x1),12464,-60.0,86835,-1172,2182123,Najm,INSOMNIA HOTEL (w/ ElGrandeToto)
54,-11,Figoshin - Lalla w Mali,645,1,(x4),12422,890.0,90778,-3177,12235937,Figoshin,Lalla w Mali
55,-18,ElGrandeToto - BOOMX3,149,1,(x5),12238,-164.0,83881,-202,3301421,ElGrandeToto,BOOMX3
56,NEW,Drake - Don’t Worry,1,56,,11746,,11746,11746,11746,Drake,Don’t Worry
57,-2,Cheb Momo - Sahran lil (w/ Djalil Palermo),222,14,,11585,1856.0,74470,1415,2585247,Cheb Momo,Sahran lil (w/ Djalil Palermo)
58,-14,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),33,25,,11466,173.0,77991,-446,452799,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
59,-10,7ari - Souvenir (w/ Ramoon),316,6,,11255,233.0,69164,809,5403708,7ari,Souvenir (w/ Ramoon)
60,-12,Figoshin - 3oud Ned,640,19,,11083,-176.0,77002,-308,6294957,Figoshin,3oud Ned
61,-20,Stormy - RBI M3ANA,677,12,,10998,-1023.0,88409,-3653,5407840,Stormy,RBI M3ANA
62,-17,Stormy - TWINS,492,10,,10888,-386.0,70193,1522,5879178,Stormy,TWINS
63,NEW,Drake - Little Birdie,1,63,,10878,,10878,10878,10878,Drake,Little Birdie
64,-22,ElGrandeToto - SOFITEL,23,2,(x2),10791,-927.0,86365,-2219,447636,ElGrandeToto,SOFITEL
65,-25,KALIL - TABOUT,545,16,,10708,-1369.0,79564,-1540,5684859,KALIL,TABOUT
66,-5,LFERDA - Ma Jolie,1128,7,,10689,1481.0,77362,-2511,10183284,LFERDA,Ma Jolie
67,NEW,Drake - Firm Friends,1,67,,10654,,10654,10654,10654,Drake,Firm Friends
