Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Neton Vega - Nalguita y Teta,46,1,(x18),1529091,35078.0,10338313,-8152,48246665,Neton Vega,Nalguita y Teta
2,=,Fuerza Regida - TU SANCHO,379,1,(x81),1114709,-143325.0,7637901,-3006,426393134,Fuerza Regida,TU SANCHO
3,=,Lenin Ramírez - Todo Lo Fue,122,2,(x15),1092785,62670.0,7475883,-29677,122306585,Lenin Ramírez,Todo Lo Fue
4,+2,Peso Pluma - daño (w/ Tito Double P),141,1,(x10),970696,37195.0,6372323,4226,168246179,Peso Pluma,daño (w/ Tito Double P)
5,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",156,2,(x3),928399,-8253.0,6502221,-47833,143242672,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
6,-2,Fuerza Regida - Marlboro Rojo,379,1,(x13),913684,-97312.0,6314494,-1808,424427534,Fuerza Regida,Marlboro Rojo
7,=,Neton Vega - Pvta Luna,230,1,(x7),900251,32435.0,5861213,40215,230109330,Neton Vega,Pvta Luna
8,+2,Lenin Ramírez - Polvo Rosita,110,8,,789803,47773.0,5358556,-13061,38007799,Lenin Ramírez,Polvo Rosita
9,=,Peso Pluma - dopamina (w/ Tito Double P),141,1,(x91),783417,24949.0,5326911,-59305,192492419,Peso Pluma,dopamina (w/ Tito Double P)
10,+2,BTS - SWIM,57,1,(x2),748475,41579.0,4626135,72102,49502068,BTS,SWIM
11,-3,Fuerza Regida - CHAVALITAS,336,1,(x3),737069,-81628.0,5167006,-53352,209563052,Fuerza Regida,CHAVALITAS
12,+1,Omar Camacho - 2+2 (w/ Victor Mendivil),326,1,(x32),715122,18567.0,4752314,25064,321212928,Omar Camacho,2+2 (w/ Victor Mendivil)
13,-2,Calle 24 - Noche Perfecta (w/ Fuerza Regida),34,5,,685455,-37210.0,4850627,-4902,23102718,Calle 24,Noche Perfecta (w/ Fuerza Regida)
14,+2,Herencia De Grandes - Ya Borracho,186,2,(x5),674994,46464.0,4539270,-3513,181556233,Herencia De Grandes,Ya Borracho
15,-1,"Peso Pluma - chiclona (w/ Tito Double P, LENCHO)",78,3,(x2),671509,15967.0,4679975,-78217,68928414,Peso Pluma,"chiclona (w/ Tito Double P, LENCHO)"
16,+1,Fuerza Regida - COQUETA (w/ Grupo Frontera),512,11,,652167,30746.0,4421766,-3015,289902741,Fuerza Regida,COQUETA (w/ Grupo Frontera)
17,-2,Peso Pluma - 7-3 (w/ Tito Double P),141,2,(x19),631907,-2132.0,4333097,-47471,150963212,Peso Pluma,7-3 (w/ Tito Double P)
18,=,"Omar Camacho - 4x4 (w/ Victor Mendivil, Angel Almaguer, $HUPE)",120,4,,621598,11221.0,4362750,-62305,99107785,Omar Camacho,"4x4 (w/ Victor Mendivil, Angel Almaguer, $HUPE)"
19,+1,Fuerza Regida - caperuza,379,12,,621338,31095.0,4235411,-39858,169373945,Fuerza Regida,caperuza
20,+1,LOS DOS DE TAMAULIPAS - Ayúdame,47,14,,618928,30044.0,4259389,-30757,25966047,LOS DOS DE TAMAULIPAS,Ayúdame
21,-2,Fuerza Regida - EXCESOS,678,18,,608315,9898.0,3910498,39460,221168360,Fuerza Regida,EXCESOS
22,=,Peso Pluma - tu con el (w/ Tito Double P),141,9,,570502,10877.0,3900359,-37298,97239364,Peso Pluma,tu con el (w/ Tito Double P)
23,+2,"Moy Bobadilla - Tus Mentiras (En Vivo) (w/ Grupo Firme, Max Peraza)",149,21,,557731,41052.0,3619704,62137,70996505,Moy Bobadilla,"Tus Mentiras (En Vivo) (w/ Grupo Firme, Max Peraza)"
24,-1,Fuerza Regida - ANSIEDAD,379,6,,549598,18065.0,3670195,-21296,271095578,Fuerza Regida,ANSIEDAD
25,+2,Junior H - Y LLORO,953,3,(x1),535006,21526.0,3400438,49285,634359927,Junior H,Y LLORO
26,-2,Oscar Maydon - Tu Boda (w/ Fuerza Regida),596,1,(x59),534737,16376.0,3455463,19608,549069879,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
27,-1,Junior H - DEMENCIA (w/ Gael Valenzuela),92,18,,526371,11751.0,3653643,696,47011747,Junior H,DEMENCIA (w/ Gael Valenzuela)
28,=,Michael Jackson - Billie Jean,29,24,,519871,10901.0,3501044,-4428,11177125,Michael Jackson,Billie Jean
29,=,"Junior H - DROGA LETAL (w/ Gael Valenzuela, Peso Pluma)",92,1,(x1),515971,14723.0,3589940,-16090,55522333,Junior H,"DROGA LETAL (w/ Gael Valenzuela, Peso Pluma)"
30,+4,"Calle 24 - Que Onda (w/ Chino Pacas, Fuerza Regida)",986,1,(x42),510258,20708.0,3339500,22806,659756941,Calle 24,"Que Onda (w/ Chino Pacas, Fuerza Regida)"
31,+2,Tito Double P - POR SUS BESOS,309,1,(x16),506317,13015.0,3363503,-17051,261119748,Tito Double P,POR SUS BESOS
32,+3,Chuyin - PUES YA NI PEDO (w/ Fuerza Regida),8,32,,505036,16714.0,2838373,248990,3094419,Chuyin,PUES YA NI PEDO (w/ Fuerza Regida)
33,-1,Emmanuel Cortes - Amor,688,13,,499887,5066.0,3480610,-10163,270565900,Emmanuel Cortes,Amor
34,-3,Jósean Log - Doma,61,31,,499481,4308.0,3224128,48664,22322762,Jósean Log,Doma
35,+12,La Arrolladora Banda El Limón De Rene Camacho - El Final De Nuestra Historia,1102,15,,498724,48973.0,3323618,-6257,386002367,La Arrolladora Banda El Limón De Rene Camacho,El Final De Nuestra Historia
36,-6,Junior H - MIENTRAS DUERMES,552,6,,497873,-2829.0,3366657,808,305980486,Junior H,MIENTRAS DUERMES
37,-1,Bad Bunny - BAILE INoLVIDABLE,496,1,(x2),496553,19014.0,3294675,-10283,320984964,Bad Bunny,BAILE INoLVIDABLE
38,-1,Fuerza Regida - Por Esos Ojos,458,1,(x1),488876,13361.0,3208145,3273,320804326,Fuerza Regida,Por Esos Ojos
39,-1,"Régulo Molina - Canasteo (w/ Oscar Maydon, Neton Vega)",120,5,,481635,11451.0,3394770,-80797,77449076,Régulo Molina,"Canasteo (w/ Oscar Maydon, Neton Vega)"
40,-1,Virlan Garcia - Mi Entorno,212,6,,477485,8755.0,3328469,-4174,126082477,Virlan Garcia,Mi Entorno
41,+3,Natanael Cano - Perlas Negras (w/ Gabito Ballesteros),318,1,(x35),475045,21947.0,3140790,-2106,271676397,Natanael Cano,Perlas Negras (w/ Gabito Ballesteros)
42,+7,Danny Ocean - Me Rehúso,3301,1,(x4),468507,20870.0,3149137,-12434,692093890,Danny Ocean,Me Rehúso
43,+2,Chuyin - PUES QUE LE HAGO ?,130,10,,463509,12968.0,3515427,-150286,79721508,Chuyin,PUES QUE LE HAGO ?
44,-3,Junior H - LAS NOCHES,348,11,,462897,6263.0,2855886,72226,155012960,Junior H,LAS NOCHES
45,-3,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),500,1,(x48),462589,7477.0,3537446,-47615,323645101,El Bogueto,Cuando No Era Cantante (w/ Yung Beef)
46,-6,Aitana - SUPERESTRELLA,75,30,,460968,3405.0,3140261,-31235,31548675,Aitana,SUPERESTRELLA
47,-1,Junior H - PIÉNSALO,687,9,,460754,10611.0,2819902,67934,355556112,Junior H,PIÉNSALO
48,-5,Tito Double P - PASE Y PASE,15,22,,455417,1477.0,3109170,-99228,6889881,Tito Double P,PASE Y PASE
49,-1,Fuerza Regida - PERO NO TE ENAMORES,621,27,,455060,6820.0,3005086,-13578,195107702,Fuerza Regida,PERO NO TE ENAMORES
50,=,BeatBoy - Pase y Toque (w/ Victor Mendivil),155,6,,433539,10876.0,2865282,11514,105875099,BeatBoy,Pase y Toque (w/ Victor Mendivil)
51,=,Peso Pluma - ni pedo (w/ Tito Double P),141,3,(x1),423258,10571.0,2869210,-8533,97517027,Peso Pluma,ni pedo (w/ Tito Double P)
52,=,Bad Bunny - DtMF,496,1,(x22),416551,9932.0,2836223,-29669,348880269,Bad Bunny,DtMF
53,=,Calle 24 - SUIZA,383,2,(x1),416325,14116.0,2500461,92886,271789002,Calle 24,SUIZA
54,=,Omar Camacho - La Ciudad del Sol (w/ Oscar Maydon),267,9,,410665,13630.0,2621811,17223,147728752,Omar Camacho,La Ciudad del Sol (w/ Oscar Maydon)
55,=,Victor Mendivil - GOET,700,19,,404986,10623.0,2537040,62561,257967548,Victor Mendivil,GOET
56,+9,Chuyin - REHABILITADO,7,56,,399480,50654.0,1988978,165444,2223014,Chuyin,REHABILITADO
57,-1,Michael Jackson - Beat It,23,51,,395886,3517.0,2684913,-8964,8297297,Michael Jackson,Beat It
58,+5,Cardenales De Nuevo León - Que Nadie Sepa,276,34,,394386,37765.0,2847710,7484,78690490,Cardenales De Nuevo León,Que Nadie Sepa
59,+9,Natanael Cano - Madonna (w/ Oscar Maydon),798,1,(x81),393486,55539.0,2283165,75491,599120634,Natanael Cano,Madonna (w/ Oscar Maydon)
60,+7,Junior H - Extssy Model,1312,18,,389559,49266.0,2259945,85080,514782767,Junior H,Extssy Model
61,NEW,Rey Quinto - CHAKA (w/ El Randal),1,61,,382819,,382819,382819,382819,Rey Quinto,CHAKA (w/ El Randal)
62,-4,Neton Vega - Todo a Su Tiempo,518,21,,376915,5874.0,2194088,92747,209109444,Neton Vega,Todo a Su Tiempo
63,-6,Peso Pluma - HOLLYWOOD (w/ Estevan Plazola),694,14,,376804,4881.0,2587619,-20232,363131143,Peso Pluma,HOLLYWOOD (w/ Estevan Plazola)
64,-3,Bad Bunny - EoO,496,7,,376335,15269.0,2417192,-9955,252628059,Bad Bunny,EoO
65,-3,Julión Álvarez y su Norteño Banda - Regalo De Dios,869,3,(x5),376251,19418.0,2656398,-21448,487093083,Julión Álvarez y su Norteño Banda,Regalo De Dios
66,-7,Omar Camacho - Por Hollywood (w/ Oscar Maydon),36,20,,376238,11049.0,2682075,-68544,17414106,Omar Camacho,Por Hollywood (w/ Oscar Maydon)
67,-7,"Marc Seguí - Tiroteo - Remix (w/ Rauw Alejandro, Pol Granch)",1076,10,,370726,7369.0,2404166,12851,272652692,Marc Seguí,"Tiroteo - Remix (w/ Rauw Alejandro, Pol Granch)"
68,-4,Calle 24 - TÓXICOS,28,52,,357914,4709.0,2500017,-9640,9686821,Calle 24,TÓXICOS
69,=,Tito Double P - DOS DÍAS (w/ Peso Pluma),631,2,(x13),345648,8014.0,2171149,24797,496789510,Tito Double P,DOS DÍAS (w/ Peso Pluma)
70,-4,"Calle 24 - ULTIMAMENTE (w/ Fuerza Regida, Chino Pacas)",291,57,,343397,1254.0,2176344,32657,76120820,Calle 24,"ULTIMAMENTE (w/ Fuerza Regida, Chino Pacas)"
71,-1,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),547,7,,341255,6813.0,2167893,14439,258144448,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
72,-1,Plan B - Es un Secreto,1484,28,,338746,7850.0,2237019,9602,438887177,Plan B,Es un Secreto
73,+3,Fuerza Regida - ME JALO (w/ Grupo Frontera),512,5,,338251,13632.0,2357524,-25724,296766107,Fuerza Regida,ME JALO (w/ Grupo Frontera)
74,+19,Banda MS de Sergio Lizárraga - A Lo Mejor,709,51,,336814,40726.0,2093936,53001,49154424,Banda MS de Sergio Lizárraga,A Lo Mejor
75,+9,Neton Vega - Morena (w/ Peso Pluma),456,1,(x35),335976,22525.0,2217116,-10469,376539289,Neton Vega,Morena (w/ Peso Pluma)
76,-3,KAROL G - Si Antes Te Hubiera Conocido,694,2,(x3),334802,7288.0,2216322,-22209,346998162,KAROL G,Si Antes Te Hubiera Conocido
77,-5,"Peso Pluma - ganga (w/ Tito Double P, El Randal)",78,7,,334684,5294.0,2245395,-13272,39717627,Peso Pluma,"ganga (w/ Tito Double P, El Randal)"
78,-3,Alfredo Olivas - El Precio De La Soledad,1334,21,,333759,8725.0,2323147,8835,434100821,Alfredo Olivas,El Precio De La Soledad
79,-5,Junior H - TRES BOTELLAS,948,21,,332410,7095.0,1995877,58946,319437745,Junior H,TRES BOTELLAS
80,+3,"Luis R Conriquez - Chula Vente (w/ Fuerza Regida, Neton Vega)",295,2,(x12),331171,17592.0,2190293,-11517,197976024,Luis R Conriquez,"Chula Vente (w/ Fuerza Regida, Neton Vega)"
81,-3,Fuerza Regida - INMORTAL (w/ Chuyin),438,35,,326155,4893.0,2204377,-5961,116586570,Fuerza Regida,INMORTAL (w/ Chuyin)
