Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Bruno Mars - Risk It All,78,1,(x60),95377,3396.0,684148,-10601,10910538,Bruno Mars,Risk It All
2,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),330,1,(x11),94073,5314.0,681561,-12350,8798734,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
3,=,Piche Kota - Bahagia Lagi,111,2,(x6),86721,5642.0,587467,-1929,8013228,Piche Kota,Bahagia Lagi
4,=,Katy Perry - The One That Got Away,211,4,,85810,10078.0,538616,8437,5502838,Katy Perry,The One That Got Away
5,=,Ifan Seventeen - Jangan Paksa Rindu - Beda,76,5,,70038,-352.0,498602,-4806,3261570,Ifan Seventeen,Jangan Paksa Rindu - Beda
6,+2,Nadhif Basalamah - kota ini tak sama tanpamu,156,1,(x37),67155,5350.0,472063,-6707,12408060,Nadhif Basalamah,kota ini tak sama tanpamu
7,-1,Sal Priadi - Ada titik-titik di ujung doa,93,5,,67042,3587.0,472755,-4282,5169961,Sal Priadi,Ada titik-titik di ujung doa
8,-1,Raim Laode - Iqro',39,7,,66579,3798.0,451109,2868,1652475,Raim Laode,Iqro'
9,=,Nadhif Basalamah - bergema sampai selamanya,440,3,(x48),62226,3977.0,432538,-5041,27930525,Nadhif Basalamah,bergema sampai selamanya
10,+1,Justin Bieber - That Should Be Me,33,4,,59435,4969.0,408318,-900,2151088,Justin Bieber,That Should Be Me
11,-1,Adira Suhaimi - Sayang Orang Sama,57,5,,58009,2742.0,391570,-1515,3307110,Adira Suhaimi,Sayang Orang Sama
12,=,"Nuca - Masa ini, Nanti, dan Masa Indah Lainnya",115,9,,55712,2226.0,390389,-1633,4922220,Nuca,"Masa ini, Nanti, dan Masa Indah Lainnya"
13,=,CORTIS - REDRED,26,8,,49696,431.0,360216,-5320,1268071,CORTIS,REDRED
14,=,Lady Gaga - Die With A Smile (w/ Bruno Mars),638,1,(x91),47561,358.0,336859,-3883,54641266,Lady Gaga,Die With A Smile (w/ Bruno Mars)
15,+1,BTS - SWIM,57,2,(x4),47505,1580.0,328147,-1869,4096826,BTS,SWIM
16,-1,Mojo - Romancinta,115,6,,46835,491.0,340700,-5462,4313015,Mojo,Romancinta
17,=,sombr - back to friends,417,2,(x1),46278,2637.0,317857,-994,26215994,sombr,back to friends
18,=,Billie Eilish - WILDFLOWER,729,4,,44876,1382.0,301559,-113,40796627,Billie Eilish,WILDFLOWER
19,NEW,Drake - Make Them Cry,1,19,,44766,,44766,44766,44766,Drake,Make Them Cry
20,+3,SIENNA SPIRO - Die On This Hill,158,1,(x3),43624,3143.0,291987,-1972,9287524,SIENNA SPIRO,Die On This Hill
21,-2,Idgitaf - Sedia Aku Sebelum Hujan,166,1,(x16),43378,1707.0,291693,144,11352632,Idgitaf,Sedia Aku Sebelum Hujan
22,-2,Taylor Swift - The Fate of Ophelia,225,1,(x26),42232,994.0,291707,-3476,14939068,Taylor Swift,The Fate of Ophelia
23,-1,Olivia Rodrigo - drop dead,29,11,,41662,848.0,298576,-1861,1437801,Olivia Rodrigo,drop dead
