Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Noano - Ewa Safi (w/ Lil Kleine),1,1,(x1),296006,,296006,296006,296006,Noano,Ewa Safi (w/ Lil Kleine)
2,-1,Kevin - Jij Hebt Mij (w/ Roxy Dekker),15,1,(x14),240228,12264.0,1848229,-110152,4349550,Kevin,Jij Hebt Mij (w/ Roxy Dekker)
3,-1,Justen de Wildt - Cheerio,41,2,(x4),210833,14910.0,1243508,3367,4887370,Justen de Wildt,Cheerio
4,-1,Robert van Hemert - Moët Dat Nou (w/ Donnie),127,1,(x1),199012,4791.0,1301560,-11225,12949880,Robert van Hemert,Moët Dat Nou (w/ Donnie)
5,NEW,Drake - Make Them Cry,1,5,,190964,,190964,190964,190964,Drake,Make Them Cry
6,-2,"Lil Kleine - Maak Me Nou Niet Gek (w/ Samuel Welten, De Amsterdamse Zomer)",22,1,(x5),159172,8845.0,1112729,-47663,4041901,Lil Kleine,"Maak Me Nou Niet Gek (w/ Samuel Welten, De Amsterdamse Zomer)"
7,NEW,Drake - Dust,1,7,,152922,,152922,152922,152922,Drake,Dust
8,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,8,,151136,,151136,151136,151136,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
9,NEW,Drake - Whisper My Name,1,9,,150289,,150289,150289,150289,Drake,Whisper My Name
10,-4,Michael Jackson - Billie Jean,519,6,,149023,13491.0,868689,26345,17676159,Michael Jackson,Billie Jean
11,NEW,Drake - National Treasures,1,11,,148183,,148183,148183,148183,Drake,National Treasures
12,-7,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),35,1,(x10),145352,3150.0,964308,-12153,5448800,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
13,NEW,Drake - Janice STFU,1,13,,134232,,134232,134232,134232,Drake,Janice STFU
14,-7,"ADF - Punta cana (w/ Ronnie Flex, DJ DYLVN, ADF Antje, Trapmoneybiggie, Carel)",22,1,(x1),131123,7818.0,998332,-69016,3517494,ADF,"Punta cana (w/ Ronnie Flex, DJ DYLVN, ADF Antje, Trapmoneybiggie, Carel)"
15,-3,"Trobi - Hoog (w/ KA, Yade Lauren)",15,9,,128897,18913.0,776731,32917,1405441,Trobi,"Hoog (w/ KA, Yade Lauren)"
16,-5,"Frsh - Bare Minimum (Starboy) (w/ KM, LA$$A)",113,2,(x2),121084,9325.0,828246,-22692,12747872,Frsh,"Bare Minimum (Starboy) (w/ KM, LA$$A)"
17,-9,Sam Fender - Rein Me In (w/ Olivia Dean),89,5,,120500,2040.0,865254,-14460,9384124,Sam Fender,Rein Me In (w/ Olivia Dean)
18,NEW,Drake - Shabang,1,18,,116838,,116838,116838,116838,Drake,Shabang
19,-9,Bruno Mars - I Just Might,127,1,(x6),116507,250.0,805005,-12416,19767745,Bruno Mars,I Just Might
20,-11,ANOTR - Talk To You (w/ 54 Ultra),71,5,,116326,33.0,812216,-18118,6926154,ANOTR,Talk To You (w/ 54 Ultra)
21,-7,Michael Jackson - Beat It,34,14,,115361,10666.0,680350,18706,2031047,Michael Jackson,Beat It
22,NEW,Drake - Make Them Pay,1,22,,112321,,112321,112321,112321,Drake,Make Them Pay
23,-10,The Bausa - Magnetic,78,9,,111197,2333.0,779191,-19468,6642761,The Bausa,Magnetic
24,-8,Lil Kleine - Lijntje (w/ Milolaathetlukken),106,1,(x20),107198,4558.0,751316,-27212,16897271,Lil Kleine,Lijntje (w/ Milolaathetlukken)
25,-10,Olivia Dean - Man I Need,273,1,(x14),106319,2367.0,757241,-7650,43283086,Olivia Dean,Man I Need
26,NEW,Drake - 2 Hard 4 The Radio,1,26,,106276,,106276,106276,106276,Drake,2 Hard 4 The Radio
27,NEW,Drake - Plot Twist,1,27,,101621,,101621,101621,101621,Drake,Plot Twist
28,-11,Alex Warren - FEVER DREAM,78,1,(x8),101538,3555.0,701989,-13310,11204780,Alex Warren,FEVER DREAM
29,NEW,Drake - B's On The Table (w/ 21 Savage),1,29,,100119,,100119,100119,100119,Drake,B's On The Table (w/ 21 Savage)
30,-7,Harry Styles - American Girls,71,3,(x1),98157,13563.0,609164,6755,6594347,Harry Styles,American Girls
31,-13,Dominic Fike - Babydoll,114,3,(x1),96918,446.0,672661,-8164,10403023,Dominic Fike,Babydoll
32,-10,Michael Jackson - Human Nature,20,22,,96300,9425.0,588294,16310,1248514,Michael Jackson,Human Nature
33,-3,Josylvio - Toxic (w/ Yung Felix),8,10,,95226,14905.0,656329,-40582,792137,Josylvio,Toxic (w/ Yung Felix)
34,RE,Drake - What Did I Miss?,16,34,,93556,,93556,93556,607725,Drake,What Did I Miss?
35,NEW,Drake - Burning Bridges,1,35,,93466,,93466,93466,93466,Drake,Burning Bridges
36,-17,Bella Kay - iloveitiloveitiloveit,89,1,(x4),93075,2839.0,671591,-15896,10291295,Bella Kay,iloveitiloveitiloveit
37,-17,Zara Larsson - Lush Life,1043,3,(x8),90912,2145.0,594434,-3132,54856455,Zara Larsson,Lush Life
38,-3,Suzan & Freek - Halverwege,64,5,,90766,15192.0,515013,17624,5130307,Suzan & Freek,Halverwege
39,-15,Samuel Welten - Echte Liefde Is Te Koop,420,1,(x21),89654,5428.0,558197,-2931,48989566,Samuel Welten,Echte Liefde Is Te Koop
40,-15,Frenna - STARLIFE,8,7,,89306,7817.0,627490,-79362,796158,Frenna,STARLIFE
41,-12,Michael Jackson - Don't Stop 'Til You Get Enough - Single Version,26,29,,88338,7998.0,553709,6146,1487257,Michael Jackson,Don't Stop 'Til You Get Enough - Single Version
42,-21,Olivia Dean - So Easy (To Fall In Love),232,5,,87958,-640.0,633366,-8451,25339692,Olivia Dean,So Easy (To Fall In Love)
43,-17,sombr - Homewrecker,99,12,,86719,5365.0,589750,-9338,9047493,sombr,Homewrecker
44,-16,Donnie - Waar Blijf Je Nou (w/ Senna),50,19,,86695,6133.0,557082,-5904,3570551,Donnie,Waar Blijf Je Nou (w/ Senna)
45,-18,Samuel Welten - Uitslover (w/ Bankzitters),78,9,,85378,4418.0,575685,-18023,7780672,Samuel Welten,Uitslover (w/ Bankzitters)
46,-13,Prospa - Free Your Mind (w/ Cloonee),32,27,,83126,4543.0,564113,-9868,1857670,Prospa,Free Your Mind (w/ Cloonee)
47,-15,Dominic Fike - White Keys,117,8,,81908,2132.0,587709,-12729,9478006,Dominic Fike,White Keys
48,-17,HUGEL - Jamaican (Bam Bam) (w/ SOLTO (FR)),59,19,,81613,1522.0,561094,-3925,3416126,HUGEL,Jamaican (Bam Bam) (w/ SOLTO (FR))
49,-15,sombr - 12 to 12,294,8,,80902,3820.0,553020,-10212,27608827,sombr,12 to 12
50,NEW,Drake - Make Them Remember,1,50,,80298,,80298,80298,80298,Drake,Make Them Remember
51,NEW,Gracie Abrams - Hit the Wall,1,51,,76552,,76552,76552,76552,Gracie Abrams,Hit the Wall
52,-16,RAYE - WHERE IS MY HUSBAND!,239,3,(x15),76419,1791.0,514207,-7322,29796418,RAYE,WHERE IS MY HUSBAND!
53,-16,Bruno Mars - Risk It All,78,13,,73950,2210.0,506658,-8128,6788956,Bruno Mars,Risk It All
54,-15,Alex Warren - Ordinary,463,1,(x8),73887,4510.0,492270,-3056,68438168,Alex Warren,Ordinary
55,-13,Effe Serieus - Baila de Gasolina,361,1,(x5),73129,6332.0,415033,11390,33179414,Effe Serieus,Baila de Gasolina
56,-16,Zara Larsson - Midnight Sun,184,20,,72934,4448.0,478367,-603,11536355,Zara Larsson,Midnight Sun
57,NEW,Drake - Make Them Know,1,57,,72436,,72436,72436,72436,Drake,Make Them Know
58,-20,Disney - Zoo (w/ Shakira),119,22,,71821,1990.0,449514,1787,7230530,Disney,Zoo (w/ Shakira)
59,-18,Dave - Raindance (w/ Tems),204,3,(x6),70285,3040.0,500421,-18338,21723620,Dave,Raindance (w/ Tems)
60,NEW,Gotu Jim - Vergeten (w/ Antoon),1,60,,68478,,68478,68478,68478,Gotu Jim,Vergeten (w/ Antoon)
