Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Tobias Sten - Sei da te meg,1,1,(x1),129758,,129758,129758,129758,Tobias Sten,Sei da te meg
2,-1,Roc Boyz - Håpløs (w/ vinni),15,1,(x9),113962,20725.0,784705,-29134,1646297,Roc Boyz,Håpløs (w/ vinni)
3,NEW,Synne Vo - Full og fin,1,3,(x1),108991,,108991,108991,108991,Synne Vo,Full og fin
4,NEW,Tobias Sten - Heimakjær,1,4,,92247,,92247,92247,92247,Tobias Sten,Heimakjær
5,+2,Tobias Sten - Hånd i hånd,99,1,(x10),91679,39760.0,414088,27868,7436102,Tobias Sten,Hånd i hånd
6,NEW,Tobias Sten - Sista ordet (w/ Kurt Nilsen),1,6,,90995,,90995,90995,90995,Tobias Sten,Sista ordet (w/ Kurt Nilsen)
7,NEW,Drake - Make Them Cry,1,7,,90483,,90483,90483,90483,Drake,Make Them Cry
8,-5,"GOLF - Damn, du ser bra ut!",17,2,(x2),83535,16236.0,546598,-8932,1222874,GOLF,"Damn, du ser bra ut!"
9,NEW,Tobias Sten - Du og deg om da,1,9,,83474,,83474,83474,83474,Tobias Sten,Du og deg om da
10,-8,Delara - Himmelen brenner,8,2,(x1),80293,11384.0,519746,-16758,616797,Delara,Himmelen brenner
11,-7,Karpe - KARPE4LIFE,17,1,(x6),72228,9176.0,550178,-42359,1620127,Karpe,KARPE4LIFE
12,-7,Streetboys - Fri,22,1,(x3),70183,11015.0,491086,-24326,1724492,Streetboys,Fri
13,NEW,Tobias Sten - Longarma genser,1,13,,65547,,65547,65547,65547,Tobias Sten,Longarma genser
14,NEW,Drake - National Treasures,1,14,,64721,,64721,64721,64721,Drake,National Treasures
15,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,15,,60976,,60976,60976,60976,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
16,NEW,Drake - Dust,1,16,,60878,,60878,60878,60878,Drake,Dust
17,NEW,Tobias Sten - Da einaste du sa,1,17,,60653,,60653,60653,60653,Tobias Sten,Da einaste du sa
18,+35,Tobias Sten - Tilgi meg,64,2,(x2),60098,40993.0,172795,40783,1924423,Tobias Sten,Tilgi meg
19,NEW,Drake - Whisper My Name,1,19,,58792,,58792,58792,58792,Drake,Whisper My Name
20,-14,Bella Kay - iloveitiloveitiloveit,102,1,(x52),58725,5366.0,413392,-10750,7471795,Bella Kay,iloveitiloveitiloveit
21,-13,Delara - Sjelen,94,1,(x11),56428,8333.0,387493,-9232,6104486,Delara,Sjelen
22,NEW,Drake - Janice STFU,1,22,,53572,,53572,53572,53572,Drake,Janice STFU
23,-12,Michael Jackson - Billie Jean,94,11,,52159,7490.0,305344,8134,1567346,Michael Jackson,Billie Jean
24,-14,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),96,1,(x3),51656,5518.0,363438,-13035,2759034,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
25,-16,Zara Larsson - Lush Life,1420,1,(x4),51248,4478.0,339379,-7338,36797361,Zara Larsson,Lush Life
26,NEW,"Astrid S - Ja, vi elsker",1,26,,49589,,49589,49589,49589,Astrid S,"Ja, vi elsker"
27,NEW,Tobias Sten - Shanty,1,27,,49307,,49307,49307,49307,Tobias Sten,Shanty
28,-16,Madeléne - Henda mot himmelen,50,2,(x6),48966,10252.0,304281,-1551,2680481,Madeléne,Henda mot himmelen
29,NEW,Tobias Sten - Gaffateip,1,29,,48738,,48738,48738,48738,Tobias Sten,Gaffateip
30,-13,Johanne Holmedahl - Til Dovre Faller,81,1,(x2),47806,13458.0,206537,30594,2823583,Johanne Holmedahl,Til Dovre Faller
31,NEW,Drake - Shabang,1,31,,47308,,47308,47308,47308,Drake,Shabang
32,+132,THYPONYX - Low Effort,8,10,,46401,36112.0,285977,1111,331267,THYPONYX,Low Effort
33,NEW,Drake - 2 Hard 4 The Radio,1,33,,45547,,45547,45547,45547,Drake,2 Hard 4 The Radio
34,-15,GOLF - Gatene,17,18,,44240,10286.0,247163,8822,547192,GOLF,Gatene
35,NEW,Tobias Sten - Ingen igjen,1,35,,44035,,44035,44035,44035,Tobias Sten,Ingen igjen
36,NEW,Drake - Make Them Pay,1,36,,43758,,43758,43758,43758,Drake,Make Them Pay
37,NEW,Tobias Sten - Ta ho då,1,37,,42327,,42327,42327,42327,Tobias Sten,Ta ho då
38,-14,Delara - Hele uka,8,23,,42193,11060.0,228156,9159,261190,Delara,Hele uka
39,NEW,Shakira - Dai Dai (w/ Burna Boy),1,39,,41721,,41721,41721,41721,Shakira,Dai Dai (w/ Burna Boy)
40,-27,Dominic Fike - Babydoll,111,2,(x2),41630,3087.0,280390,-4717,4672517,Dominic Fike,Babydoll
41,-26,Michael Jackson - Beat It,23,15,,41045,6252.0,244053,5454,603687,Michael Jackson,Beat It
42,NEW,Drake - B's On The Table (w/ 21 Savage),1,42,,40999,,40999,40999,40999,Drake,B's On The Table (w/ 21 Savage)
43,NEW,Drake - Plot Twist,1,43,,40914,,40914,40914,40914,Drake,Plot Twist
44,-30,Delara - Trist Masochist,50,2,(x8),40759,2823.0,308554,-15039,2542688,Delara,Trist Masochist
45,RE,Drake - What Did I Miss?,14,45,,39215,,39215,39215,237604,Drake,What Did I Miss?
46,-28,Streetboys - Mot deg,57,4,,38684,4607.0,280119,-13639,2564234,Streetboys,Mot deg
47,-25,The Bausa - Magnetic,78,1,(x4),38506,6096.0,261573,-8234,3893601,The Bausa,Magnetic
48,-28,Ramón - VI SKAL ALDRI GÅ HJEM FØR SOLOPPGANG,36,4,,38309,4589.0,276788,-16855,1476733,Ramón,VI SKAL ALDRI GÅ HJEM FØR SOLOPPGANG
49,-33,Temper City - Self Aware,49,12,,38077,3433.0,267069,-9379,1587772,Temper City,Self Aware
50,-29,Sam Fender - Rein Me In (w/ Olivia Dean),97,12,,37914,5040.0,251365,-4768,2902739,Sam Fender,Rein Me In (w/ Olivia Dean)
51,-21,Petra Marklund - Händerna mot himlen,790,18,,37276,8098.0,223092,989,11906677,Petra Marklund,Händerna mot himlen
52,-4,JONAS LOVV - Ya Ya Ya,29,2,(x1),37094,14382.0,87812,37094,751704,JONAS LOVV,Ya Ya Ya
53,+1,Knut - HÆNGARANG (w/ Snekker Andersen),3,53,,36955,18411.0,68850,36955,68850,Knut,HÆNGARANG (w/ Snekker Andersen)
54,-26,Olivia Dean - Man I Need,273,2,(x2),36533,6813.0,218421,1921,12181839,Olivia Dean,Man I Need
55,NEW,Drake - Burning Bridges,1,55,,35971,,35971,35971,35971,Drake,Burning Bridges
56,-31,Ella Langley - Choosin' Texas,135,23,,35886,5053.0,237393,-3206,2548192,Ella Langley,Choosin' Texas
57,NEW,Gracie Abrams - Hit the Wall,1,57,,35549,,35549,35549,35549,Gracie Abrams,Hit the Wall
58,-32,Karpe - Her,160,8,,35014,4797.0,250591,-14167,2322049,Karpe,Her
59,-36,Dominic Fike - White Keys,102,4,,34782,2462.0,250178,-8326,3994362,Dominic Fike,White Keys
60,-33,Tobias Sten - Fy faen du e deili,336,1,(x2),34660,4760.0,227830,-1441,18365520,Tobias Sten,Fy faen du e deili
61,-22,MDB - Angels Above Me,11,29,,34211,8035.0,210193,8303,284548,MDB,Angels Above Me
62,-33,Ari Bajgora - Falle og slå seg,353,1,(x70),34133,4467.0,227876,-3991,22217627,Ari Bajgora,Falle og slå seg
63,-31,Michael Jackson - Human Nature,19,32,,33581,5189.0,187723,10716,384490,Michael Jackson,Human Nature
64,-27,Ramón - STØGG,11,14,,33255,6176.0,211695,-20644,335838,Ramón,STØGG
65,NEW,Ballinciaga - LØNN (Mo Money Mo Problems),1,65,,33030,,33030,33030,33030,Ballinciaga,LØNN (Mo Money Mo Problems)
66,-35,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),159,5,,32905,4299.0,217073,-4279,5423767,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
67,-24,"Kjartan Lauritzen - Friskis (w/ Astrid S, Hver gang vi møtes)",454,3,(x1),32743,8675.0,191801,2994,17111745,Kjartan Lauritzen,"Friskis (w/ Astrid S, Hver gang vi møtes)"
68,-33,Taylor Swift - The Fate of Ophelia,225,1,(x59),31438,3951.0,210586,-4958,14442338,Taylor Swift,The Fate of Ophelia
69,NEW,Drake - Make Them Remember,1,69,,31362,,31362,31362,31362,Drake,Make Them Remember
70,-36,Alex Warren - Ordinary,462,1,(x84),30458,2922.0,205353,-4391,27981013,Alex Warren,Ordinary
71,NEW,Søren Torpegaard Lund - Før Vi Går Hjem - naughty version,1,71,,30088,,30088,30088,30088,Søren Torpegaard Lund,Før Vi Går Hjem - naughty version
72,-39,"HUNTR/X - Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)",326,1,(x46),30079,2437.0,195330,-331,18447889,HUNTR/X,"Golden (w/ Ejae, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast)"
73,-35,Zara Larsson - Midnight Sun,308,24,,29934,3626.0,196116,-2116,5958398,Zara Larsson,Midnight Sun
74,-27,GOLF - Smørblomst,17,12,,29895,6804.0,182409,-2228,488219,GOLF,Smørblomst
75,-35,Emma Steinbakken - FOR ALLTID TYPE TING,8,9,,29176,3032.0,231007,-35415,295598,Emma Steinbakken,FOR ALLTID TYPE TING
76,-40,Puls - Ordner seg,29,10,,28894,1477.0,227300,-15926,1101368,Puls,Ordner seg
77,-36,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),81,12,,28711,3023.0,195391,-4553,2218084,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
78,-36,RAYE - WHERE IS MY HUSBAND!,239,3,(x1),28465,2939.0,187019,-3517,10439190,RAYE,WHERE IS MY HUSBAND!
79,NEW,Drake - Make Them Know,1,79,,27851,,27851,27851,27851,Drake,Make Them Know
80,-35,sombr - 12 to 12,294,4,,27783,4080.0,184044,-3488,10878335,sombr,12 to 12
81,-35,Alex Warren - FEVER DREAM,78,5,,27115,3723.0,185898,-6185,3336000,Alex Warren,FEVER DREAM
82,NEW,Racer - Bønda 2026,1,82,,26614,,26614,26614,26614,Racer,Bønda 2026
83,-39,Karpe - Spis din syvende sans,1278,19,,26028,2028.0,183534,-8328,15780606,Karpe,Spis din syvende sans
84,NEW,Drake - Don’t Worry,1,84,,25515,,25515,25515,25515,Drake,Don’t Worry
85,-35,Justin Bieber - DAISIES,213,4,,24268,2898.0,171446,-5865,5937969,Justin Bieber,DAISIES
86,-35,Olivia Dean - So Easy (To Fall In Love),231,12,,24140,3920.0,145327,-2160,7018217,Olivia Dean,So Easy (To Fall In Love)
87,-38,Karpe - Paw Patrol,17,25,,24070,1493.0,183901,-11068,478010,Karpe,Paw Patrol
88,NEW,Drake - Little Birdie,1,88,,23930,,23930,23930,23930,Drake,Little Birdie
89,NEW,Drake - Firm Friends,1,89,,23266,,23266,23266,23266,Drake,Firm Friends
