Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,fitterkarma - Kalapastangan,186,1,(x73),947763,-7999.0,6922818,-83733,156198905,fitterkarma,Kalapastangan
2,=,Skusta Clee - Since Day One (w/ Flow G),95,2,(x37),814010,33745.0,5706121,-65541,66415273,Skusta Clee,Since Day One (w/ Flow G)
3,=,fitterkarma - Pag-Ibig ay Kanibalismo II,209,1,(x93),653584,-15520.0,4684930,-41846,172013869,fitterkarma,Pag-Ibig ay Kanibalismo II
4,=,Ben&Ben - Lifetime (Reimagined),46,2,(x5),574468,-23163.0,4251671,-82262,33643155,Ben&Ben,Lifetime (Reimagined)
5,=,nicole - Panaginip,235,5,,537619,-4475.0,3908661,-33051,84404051,nicole,Panaginip
6,=,Kyle Raphael - Libu-Libong Buwan (Uuwian),194,4,,530100,2242.0,3726139,-12821,98118850,Kyle Raphael,Libu-Libong Buwan (Uuwian)
7,=,Yuridope - Rosas (w/ Skusta Clee),78,6,,487454,-1352.0,3536774,-53329,30624814,Yuridope,Rosas (w/ Skusta Clee)
8,=,Bruno Mars - Risk It All,78,3,(x12),467098,-3977.0,3370364,-54450,52306503,Bruno Mars,Risk It All
9,+1,IV OF SPADES - Kabisado,59,9,,460963,18470.0,3011260,24244,19626304,IV OF SPADES,Kabisado
10,-1,El Manu - Tahanan,178,3,(x65),449197,5347.0,3260749,-53177,104245823,El Manu,Tahanan
11,=,Cup of Joe - Multo,491,1,(x228),427690,53278.0,2851030,1968,408554914,Cup of Joe,Multo
12,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),181,8,,357259,6859.0,2607995,-63101,31247261,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
13,=,Cup of Joe - Pahina,336,7,,330122,55.0,2232500,-12511,96241932,Cup of Joe,Pahina
14,+1,Katy Perry - The One That Got Away,77,14,,308669,1359.0,2116152,-2989,13188448,Katy Perry,The One That Got Away
15,-1,Arthur Nery - Isa lang,1609,2,(x9),304473,-6409.0,2240968,-32380,440572436,Arthur Nery,Isa lang
16,+2,sombr - back to friends,418,2,(x1),299596,5721.0,2101622,-19978,184073604,sombr,back to friends
17,-1,Daniel Caesar - Who Knows,190,7,,298378,-3780.0,2196312,-42787,68111129,Daniel Caesar,Who Knows
18,-1,"Gat Putch - Halik Sobrang Diin Pt. 2 (w/ Louie Grammz, Mi'Kel)",63,16,,293496,-6065.0,2057868,-12959,14726923,Gat Putch,"Halik Sobrang Diin Pt. 2 (w/ Louie Grammz, Mi'Kel)"
19,=,The Script - The Man Who Can't Be Moved,2675,7,,291150,3616.0,2049938,-13304,302276064,The Script,The Man Who Can't Be Moved
20,+3,Justin Bieber - DAISIES,309,5,,287826,7318.0,2073884,-32741,89194981,Justin Bieber,DAISIES
21,-1,IV OF SPADES - Mundo,3011,1,(x61),282249,-2428.0,1938578,7872,332665945,IV OF SPADES,Mundo
22,+3,SCOOP DOGG - Moolah (w/ Daarth),57,17,,279173,741.0,1988033,-24296,14225506,SCOOP DOGG,Moolah (w/ Daarth)
23,+1,Justin Bieber - One Less Lonely Girl,34,11,,277997,-1911.0,2102198,-57265,11793717,Justin Bieber,One Less Lonely Girl
24,-3,Le John - Naiilang,381,3,(x2),273487,-7691.0,1920780,-3504,159224003,Le John,Naiilang
25,+1,Jolianne - Palayo Sa Mundo (w/ Arthur Nery),166,17,,271447,-3310.0,1945887,-23575,36697684,Jolianne,Palayo Sa Mundo (w/ Arthur Nery)
26,-4,December Avenue - Saksi Ang Langit,339,2,(x118),269213,-11400.0,1837116,15009,184756656,December Avenue,Saksi Ang Langit
27,+2,Up Dharma Down - Tadhana,4070,6,,261956,4608.0,1816927,-16579,476933762,Up Dharma Down,Tadhana
28,-1,NIKI - Backburner,747,16,,260639,-6734.0,1784529,-1883,139061783,NIKI,Backburner
29,+12,La Mave - Dominga (w/ Nateman),216,3,(x1),260211,45989.0,1634712,4890,73968675,La Mave,Dominga (w/ Nateman)
30,-2,Unique Salonga - Sino,1713,11,,259350,-5702.0,1801012,1220,235289229,Unique Salonga,Sino
31,-1,Olivia Dean - Man I Need,255,7,,253390,1369.0,1721075,-588,80570865,Olivia Dean,Man I Need
32,-1,December Avenue - Bulong,1757,7,,240151,-10413.0,1586496,29015,246652384,December Avenue,Bulong
33,-1,Up Dharma Down - Unti-Unti,865,21,,240056,-8867.0,1730463,-13064,183693632,Up Dharma Down,Unti-Unti
34,-1,The Goo Goo Dolls - Iris,2649,9,,235945,-2628.0,1642510,-5943,232422587,The Goo Goo Dolls,Iris
35,-1,Olivia Dean - So Easy (To Fall In Love),217,6,,231157,-5004.0,1635853,-15820,76054756,Olivia Dean,So Easy (To Fall In Love)
36,+2,SIENNA SPIRO - Die On This Hill,151,6,,227150,6277.0,1537167,-4767,46995433,SIENNA SPIRO,Die On This Hill
37,-1,Olivia Rodrigo - drop dead,29,13,,225409,-249.0,1705861,-37479,9157679,Olivia Rodrigo,drop dead
38,-3,Soapdish - Tensionado,321,2,(x25),219105,-10634.0,1726953,-31333,154430689,Soapdish,Tensionado
39,+1,shirebound - Pahintulot,484,31,,218761,2862.0,1536746,12224,78967817,shirebound,Pahintulot
40,+15,Ben&Ben - Autumn (Reimagined),9,40,,216855,36261.0,1305523,74347,1603946,Ben&Ben,Autumn (Reimagined)
41,-2,Calein - Umaasa,1330,8,,215710,-4540.0,1445629,26131,315778495,Calein,Umaasa
42,-5,"PDL - Sa Susunod Na Lang (w/ Skusta Clee, Yuridope)",2085,4,,210679,-13968.0,1608829,-41059,200278912,PDL,"Sa Susunod Na Lang (w/ Skusta Clee, Yuridope)"
43,+2,shirebound - Waltz of Four Left Feet,353,23,,207664,6083.0,1428097,5472,68966689,shirebound,Waltz of Four Left Feet
44,=,Ben&Ben - Kathang Isip,3061,2,(x7),206344,3265.0,1505141,-3133,357458994,Ben&Ben,Kathang Isip
45,+1,The 1975 - About You,1032,35,,204297,9342.0,1314402,18134,140389237,The 1975,About You
46,-3,Loonie - Palaisipan (w/ Arthur Nery),230,1,(x9),201163,-2733.0,1549922,-36017,86978570,Loonie,Palaisipan (w/ Arthur Nery)
47,+12,Dilaw - Janice,573,47,,197339,23197.0,1329488,627,78456004,Dilaw,Janice
48,-6,Sugarfree - Burnout,860,18,,195871,-10757.0,1483752,-15811,155065935,Sugarfree,Burnout
49,=,Earl Agustin - Tibok,440,1,(x26),194943,4625.0,1286127,3342,212530095,Earl Agustin,Tibok
50,-3,Arthur Nery - TAKE ALL THE LOVE,1309,4,,192021,-1666.0,1420760,-37479,296218443,Arthur Nery,TAKE ALL THE LOVE
51,-1,HELLMERRY - My Day,505,3,(x1),191966,7472.0,1317380,-3372,173528914,HELLMERRY,My Day
52,+1,Earl Agustin - Pag-ibig ng Ikaw at Ako,371,31,,188531,5954.0,1407226,-7721,63668252,Earl Agustin,Pag-ibig ng Ikaw at Ako
53,-5,Skusta Clee - Kalimutan Ka,431,5,,182639,-9580.0,1315093,13960,118257210,Skusta Clee,Kalimutan Ka
54,+2,Malcolm Todd - Earrings,37,51,,181610,2722.0,1290126,9875,5575160,Malcolm Todd,Earrings
55,-1,Dominic Fike - Babydoll,70,27,,178217,-3506.0,1233899,-3962,14132865,Dominic Fike,Babydoll
56,+6,Amiel Sol - Ikaw Lang Patutunguhan,489,21,,178147,7159.0,1257539,-24278,90902070,Amiel Sol,Ikaw Lang Patutunguhan
57,+9,Shanti Dope - City Girl,1224,17,,177667,10979.0,1219023,-9472,204371595,Shanti Dope,City Girl
58,=,Justin Bieber - Confident - Single Version (w/ Chance the Rapper),372,23,,174005,-2053.0,1227928,-12201,49705952,Justin Bieber,Confident - Single Version (w/ Chance the Rapper)
59,-8,Hev Abi - Para Sa Streets,549,17,,173144,-9465.0,1252698,-20354,105850362,Hev Abi,Para Sa Streets
60,=,Sabrina Carpenter - Manchild,344,13,,172150,-1479.0,1197427,-6206,81939592,Sabrina Carpenter,Manchild
61,+3,Magnus Haven - Imahe,1753,1,(x27),171616,3369.0,1173555,-4232,190915665,Magnus Haven,Imahe
62,NEW,Drake - Make Them Cry,1,62,,168895,,168895,168895,168895,Drake,Make Them Cry
63,-11,Justin Bieber - Favorite Girl,177,21,,168158,-14433.0,1341638,-50479,16467135,Justin Bieber,Favorite Girl
64,+11,Sean Kingston - Eenie Meenie (w/ Justin Bieber),147,14,,167439,4808.0,1215022,-33551,23081857,Sean Kingston,Eenie Meenie (w/ Justin Bieber)
65,+8,Rico Blanco - Your Universe,384,5,,167262,3283.0,1176846,-19215,109672032,Rico Blanco,Your Universe
66,+10,BTS - SWIM,57,8,,165119,3990.0,1150013,-9837,15718142,BTS,SWIM
67,-10,Sugarcane - Leonora,1089,21,,164810,-13683.0,1329685,-41333,170314858,Sugarcane,Leonora
68,+4,Rihanna - Kiss It Better,323,27,,164810,621.0,1174092,-13501,35243408,Rihanna,Kiss It Better
69,-2,NOBITA - Ikaw Lang,1808,2,(x37),164143,-1849.0,1123842,7177,399052976,NOBITA,Ikaw Lang
70,=,La Mave - Vibrate,246,7,,164131,-1003.0,1194269,-18403,64835844,La Mave,Vibrate
71,+11,"OLG Zak - Ipagdadamot Kita (w/ Realest Cram, Nateman, CK YG)",234,33,,163843,9240.0,1152360,-2825,39501137,OLG Zak,"Ipagdadamot Kita (w/ Realest Cram, Nateman, CK YG)"
72,+14,Hev Abi - Alam Mo Ba Girl,703,1,(x2),162452,11005.0,1103578,-12222,190402091,Hev Abi,Alam Mo Ba Girl
73,+8,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),91,16,,162187,6061.0,1101231,-2991,20035948,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
74,+5,Dave - Raindance (w/ Tems),72,43,,160839,4450.0,1166906,-21075,12659498,Dave,Raindance (w/ Tems)
75,+5,Ravyn Lenae - Love Me Not,350,55,,160227,4098.0,1136598,-11325,54757249,Ravyn Lenae,Love Me Not
76,-13,Amiel Sol - Sa Bawat Sandali,494,1,(x11),160190,-9424.0,1205828,-19284,176519595,Amiel Sol,Sa Bawat Sandali
77,+22,"Bosx1ne - Need You (w/ John Roa, Skusta Clee, Emcee Rhenn, Flow G, Bullet-D, Kent Mnl)",708,45,,159646,11881.0,1089006,-4354,71344550,Bosx1ne,"Need You (w/ John Roa, Skusta Clee, Emcee Rhenn, Flow G, Bullet-D, Kent Mnl)"
78,+14,Arthur Nery - Pagsamo,1686,1,(x47),158964,9681.0,1118438,-25016,325402981,Arthur Nery,Pagsamo
79,-11,Bruno Mars - Just the Way You Are,3238,21,,157633,-8042.0,1126086,-6067,240202266,Bruno Mars,Just the Way You Are
80,-3,Billie Eilish - BIRDS OF A FEATHER,727,3,(x120),157622,-2473.0,1135432,-2689,280606534,Billie Eilish,BIRDS OF A FEATHER
81,+31,Earl Agustin - Dalangin,435,4,,156266,16880.0,1036527,-2098,131601835,Earl Agustin,Dalangin
82,-11,Ex Batalion - Fallin',70,71,,154425,-10433.0,1124640,-10159,10311642,Ex Batalion,Fallin'
83,=,Ben&Ben - Lifetime,637,1,(x1),154028,90.0,1223863,-35297,36772768,Ben&Ben,Lifetime
84,-6,NIKI - lowkey,2263,24,,154018,-3166.0,1084787,-1869,227173107,NIKI,lowkey
85,+11,Orange & Lemons - Hanggang Kailan - Umuwi Ka Na Baby,2649,19,,153074,4815.0,1086320,4629,265747898,Orange & Lemons,Hanggang Kailan - Umuwi Ka Na Baby
86,-1,Cup of Joe - Tingin (w/ Janine),966,3,(x10),152121,184.0,1039593,3842,338332680,Cup of Joe,Tingin (w/ Janine)
87,+11,Adie - Mahika (w/ Janine Berdin),1443,1,(x61),150951,3175.0,1067970,-23287,374825497,Adie,Mahika (w/ Janine Berdin)
88,+3,NIKI - Take A Chance With Me,916,7,,150479,727.0,1084939,-20840,152938234,NIKI,Take A Chance With Me
89,+30,Realest Cram - Need Ya (w/ Young Blood Neet),129,78,,148847,12307.0,1055478,-16957,16466324,Realest Cram,Need Ya (w/ Young Blood Neet)
90,=,Daniel Caesar - Always,1133,18,,148589,-1485.0,1046479,-2546,205279249,Daniel Caesar,Always
91,+2,Katy Perry - Thinking Of You,128,91,,148026,-1205.0,987870,7181,4694064,Katy Perry,Thinking Of You
