Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Abdul Hannan - Khasara (w/ Samar Jafri),49,1,(x13),90717,-7102.0,647983,-3243,3419692,Abdul Hannan,Khasara (w/ Samar Jafri)
2,=,Murtaza Qizilbash - Hum,144,1,(x46),85019,-5252.0,617621,-4826,7609068,Murtaza Qizilbash,Hum
3,=,Murtaza Qizilbash - Har Baar (w/ Samar Jafri),10,3,(x9),69605,-6708.0,533200,-19955,708119,Murtaza Qizilbash,Har Baar (w/ Samar Jafri)
4,=,Banjaare - Bairan,69,1,(x10),57301,-3520.0,427878,-8369,4535601,Banjaare,Bairan
5,=,Navjot Ahuja - Khat,111,2,(x12),52866,-3664.0,400527,-7148,4649579,Navjot Ahuja,Khat
6,=,Sheheryar Rehan - Majboor (w/ Zoha Waseem),120,1,(x1),52292,-3117.0,397013,-12424,4455904,Sheheryar Rehan,Majboor (w/ Zoha Waseem)
7,+1,The PropheC - Ek Nishani (w/ Hasan Raheem),20,7,,47115,-388.0,300292,19302,701985,The PropheC,Ek Nishani (w/ Hasan Raheem)
8,-1,Murtaza Qizilbash - Tum,135,6,,45901,-2909.0,327319,-501,3805082,Murtaza Qizilbash,Tum
9,+1,"Shashwat Sachdev - Jaiye Sajana (w/ Jasmine Sandlas, Satinder Sartaaj)",55,1,(x4),38723,-1146.0,286888,-6712,3253408,Shashwat Sachdev,"Jaiye Sajana (w/ Jasmine Sandlas, Satinder Sartaaj)"
10,-1,Maanu - Jhol (w/ Annural Khalid),700,1,(x77),38603,-1716.0,271787,210,42094787,Maanu,Jhol (w/ Annural Khalid)
11,=,Anuv Jain - Arz Kiya Hai | Coke Studio Bharat,269,1,(x9),35996,-1971.0,267030,-4018,10374686,Anuv Jain,Arz Kiya Hai | Coke Studio Bharat
12,+1,Shubh - Moves,36,6,,35218,-1989.0,259703,-4045,1560616,Shubh,Moves
13,-1,Jind Universe - High On You,406,1,(x4),35035,-2248.0,249571,-1541,14869576,Jind Universe,High On You
14,=,Samar Jafri - Chalo Door Kahin,207,5,,33396,-3064.0,245682,-1879,6176162,Samar Jafri,Chalo Door Kahin
15,=,Karan Aujla - Boyfriend (w/ Ikky),267,2,(x1),32612,-1073.0,237731,-3463,10147857,Karan Aujla,Boyfriend (w/ Ikky)
16,+1,Deep Dhaliwal - Hypnotic (w/ Anker Deol),44,16,,30143,-790.0,206974,1445,1041752,Deep Dhaliwal,Hypnotic (w/ Anker Deol)
17,-1,"Noor - Aarzu (w/ Khan, Madhurxo)",117,9,,29834,-3781.0,233999,-4984,2442593,Noor,"Aarzu (w/ Khan, Madhurxo)"
18,=,Bayaan - Safar (w/ Sherazam),136,18,,27997,-2143.0,194606,1281,2735081,Bayaan,Safar (w/ Sherazam)
