Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Omar Courtz - KOKO,83,1,(x35),25005,-1822.0,170764,1034,1702821,Omar Courtz,KOKO
2,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",154,1,(x24),23665,-1719.0,162376,611,3772233,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
3,+1,"Lauta - Puñaladas (w/ Amigo de Artistas, Tote)",114,2,(x7),21514,475.0,130262,3330,2030098,Lauta,"Puñaladas (w/ Amigo de Artistas, Tote)"
4,-1,BTS - SWIM,57,1,(x21),21077,-127.0,144188,350,1508722,BTS,SWIM
5,+1,Fuerza Regida - COQUETA (w/ Grupo Frontera),419,3,(x2),17126,-107.0,109334,2322,6958556,Fuerza Regida,COQUETA (w/ Grupo Frontera)
6,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,85,5,,16476,-1987.0,114729,50,1291355,Omar Courtz,POR SI MAÑANA NO ESTOY
7,+82,Jimin - Who,638,1,(x211),16150,10188.0,75292,8782,20888662,Jimin,Who
8,-1,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",138,1,(x29),14130,-1491.0,98374,-408,2998685,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
9,+2,La T y La M - Amor de Vago (w/ Malandro),569,1,(x17),13136,239.0,79331,2517,11020069,La T y La M,Amor de Vago (w/ Malandro)
10,-2,Danny Ocean - Me Rehúso,3430,1,(x37),12322,-1792.0,91455,-860,23576896,Danny Ocean,Me Rehúso
11,-1,Bad Bunny - BAILE INoLVIDABLE,496,2,(x13),12107,-863.0,81471,369,9958066,Bad Bunny,BAILE INoLVIDABLE
12,-3,Omar Courtz - ⁠LUCES DE COLORES,456,8,,11860,-1824.0,85638,-425,5161327,Omar Courtz,⁠LUCES DE COLORES
13,+4,Emmanuel Cortes - Amor,143,13,,11734,-399.0,78741,1353,1020886,Emmanuel Cortes,Amor
14,-1,Fuerza Regida - TU SANCHO,218,10,,11441,-963.0,83129,-695,1333189,Fuerza Regida,TU SANCHO
15,=,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",496,2,(x11),11222,-1052.0,77570,-260,10462454,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
16,+34,Lalo Y Los Descalzos - Te Quiero Asi,594,3,(x7),11219,3902.0,49401,5780,8420987,Lalo Y Los Descalzos,Te Quiero Asi
17,-5,El Bogueto - Cuando No Era Cantante (w/ Yung Beef),202,1,(x18),11171,-1501.0,90841,-1674,4033759,El Bogueto,Cuando No Era Cantante (w/ Yung Beef)
18,-4,Omar Courtz - WO OH OH (w/ ROA),85,11,,11144,-1246.0,80596,-620,994861,Omar Courtz,WO OH OH (w/ ROA)
19,+10,La T y La M - Soy Favela,156,15,,11116,901.0,65377,2396,1696003,La T y La M,Soy Favela
20,+10,"Roze Oficial - Tu jardín con enanitos (w/ Max Carra, Valen, RAMKY EN LOS CONTROLES)",23,20,,11102,955.0,63890,2269,217414,Roze Oficial,"Tu jardín con enanitos (w/ Max Carra, Valen, RAMKY EN LOS CONTROLES)"
21,+5,Michael Jackson - Billie Jean,23,21,,10828,294.0,68151,1627,177939,Michael Jackson,Billie Jean
22,-4,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",443,1,(x29),10800,-1178.0,77774,208,10020044,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
23,-7,Zion & Lennox - La Player (Bandolera),1275,2,(x8),10657,-1567.0,82748,-1437,10272540,Zion & Lennox,La Player (Bandolera)
24,-5,"Anuel AA - Sola (Remix) (w/ Daddy Yankee, Zion & Lennox, Farruko, Wisin)",3427,3,(x7),10291,-1409.0,77439,-1114,25950964,Anuel AA,"Sola (Remix) (w/ Daddy Yankee, Zion & Lennox, Farruko, Wisin)"
25,-1,Bad Bunny - DtMF,496,1,(x44),10105,-1124.0,71647,-536,10270672,Bad Bunny,DtMF
26,-4,Plan B - Es un Secreto,2026,4,,9929,-1500.0,74371,-367,28005101,Plan B,Es un Secreto
27,-7,Young Cister - QLOO* (w/ Kreamly),315,1,(x4),9779,-1702.0,75322,-1373,5672936,Young Cister,QLOO* (w/ Kreamly)
28,-5,J Balvin - LA CANCIÓN (w/ Bad Bunny),2512,1,(x27),9752,-1529.0,71958,-823,33644484,J Balvin,LA CANCIÓN (w/ Bad Bunny)
29,-8,Beéle - no tiene sentido,360,3,(x1),9544,-1912.0,70984,-362,6049683,Beéle,no tiene sentido
30,-3,"Héctor ""El Father"" - El Telefono (w/ Wisin & Yandel)",283,23,,9365,-1039.0,65405,-143,2582599,"Héctor ""El Father""",El Telefono (w/ Wisin & Yandel)
31,-6,Omar Courtz - FOREVER TU GANTEL (w/ Ñengo Flow),85,18,,9321,-1529.0,67577,-399,924565,Omar Courtz,FOREVER TU GANTEL (w/ Ñengo Flow)
32,+25,Lalo Y Los Descalzos - Siempre Me Buscabas,947,2,(x1),9318,2489.0,43433,4153,10743144,Lalo Y Los Descalzos,Siempre Me Buscabas
33,+114,Néstor Ló y Los Caminantes - Mamáma,34,33,,9174,4269.0,17910,9174,182148,Néstor Ló y Los Caminantes,Mamáma
34,-2,Bad Bunny - KLOuFRENS,496,7,,9053,-1046.0,64307,-429,7614345,Bad Bunny,KLOuFRENS
35,-4,Omar Courtz - VAMOaCOCHI,83,27,,9042,-1073.0,65368,60,599902,Omar Courtz,VAMOaCOCHI
36,-2,Fuerza Regida - ME JALO (w/ Grupo Frontera),441,12,,8934,-801.0,61881,178,3650137,Fuerza Regida,ME JALO (w/ Grupo Frontera)
37,-2,Omar Courtz - L a k e n o s h i,74,29,,8657,-999.0,61518,-58,519058,Omar Courtz,L a k e n o s h i
38,-10,"Bad Bunny - Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)",1453,11,,8584,-1765.0,64519,-602,11115586,Bad Bunny,"Diles (w/ Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz)"
39,-3,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",333,3,(x13),8378,-1120.0,59828,329,5565652,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
40,+5,"DJ Japa NK - Posso Até Não Te Dar Flores (w/ MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG)",210,1,(x32),8270,-391.0,55693,360,4122841,DJ Japa NK,"Posso Até Não Te Dar Flores (w/ MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG)"
41,=,Bad Bunny - EoO,496,5,,8236,-850.0,59227,-800,6699311,Bad Bunny,EoO
42,-5,Rels B - TU VAS SIN (fav),287,7,,8032,-1370.0,61771,-1663,3758378,Rels B,TU VAS SIN (fav)
43,-5,"Marc Seguí - Tiroteo - Remix (w/ Rauw Alejandro, Pol Granch)",1330,11,,7982,-1247.0,58884,-374,13113528,Marc Seguí,"Tiroteo - Remix (w/ Rauw Alejandro, Pol Granch)"
44,-11,Yandel - Encantadora,903,4,,7923,-1826.0,60664,-700,6937693,Yandel,Encantadora
45,-5,Omar Courtz - Q U E V A S H A C E R H O Y ? (w/ De La Rose),599,1,(x45),7742,-1352.0,58518,-918,10551299,Omar Courtz,Q U E V A S H A C E R H O Y ? (w/ De La Rose)
46,-2,Alleh - capaz (merengueton) (w/ Yorghaki),498,6,,7609,-1157.0,56986,-1111,7047955,Alleh,capaz (merengueton) (w/ Yorghaki)
47,+1,"PEDRO SAMPAIO - JETSKI (w/ MC Meno K, Melody)",131,7,,7600,-384.0,52341,132,1611141,PEDRO SAMPAIO,"JETSKI (w/ MC Meno K, Melody)"
48,-6,Anuel AA - Amanece (w/ Haze),1763,3,(x2),7600,-1456.0,58317,-758,18246291,Anuel AA,Amanece (w/ Haze)
49,+57,Lalo Y Los Descalzos - Ahora Estoy Solo,1289,16,,7584,1983.0,32474,7584,10016908,Lalo Y Los Descalzos,Ahora Estoy Solo
50,+43,Grupo Azteka - Necesito De Ti,633,10,,7468,1589.0,38837,2646,5743958,Grupo Azteka,Necesito De Ti
51,-4,"Blessd - YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)",260,6,,7391,-809.0,53842,-423,3614968,Blessd,"YOGURCITO REMIX (w/ Anuel AA, Yan Block, Luar La L, Kris R., ROA)"
52,=,Max Carra - UWAIE - versión cumbia,231,24,,7385,199.0,44346,1320,1738975,Max Carra,UWAIE - versión cumbia
53,-14,Feid - LUNA (w/ ATL Jacob),893,1,(x84),7309,-1846.0,60647,-2022,24214734,Feid,LUNA (w/ ATL Jacob)
54,-11,Kapo - UWAIE,637,1,(x2),7240,-1709.0,56788,-1247,9476205,Kapo,UWAIE
55,+55,Lalo Y Los Descalzos - Anoche,829,8,,7107,1544.0,27835,7107,7972799,Lalo Y Los Descalzos,Anoche
56,-7,Maluma - Borro Cassette,1404,2,(x2),7070,-697.0,53010,-258,8397641,Maluma,Borro Cassette
57,-11,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),34,6,,7055,-1585.0,61190,-2984,392361,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
58,+50,Tropical Caribe - Tómame o Déjame,54,56,,7027,1443.0,32471,2755,295148,Tropical Caribe,Tómame o Déjame
59,+97,Luis Mosqueda - Un Soñador (w/ Los Roller's),236,41,,7007,2192.0,21306,7007,1380946,Luis Mosqueda,Un Soñador (w/ Los Roller's)
60,+52,Los Mier - Te Amo,720,22,,6797,1306.0,32066,2363,4616500,Los Mier,Te Amo
61,+22,Los Auténticos Decadentes - Loco (Tu Forma De Ser),233,57,,6420,361.0,42726,674,1368649,Los Auténticos Decadentes,Loco (Tu Forma De Ser)
62,+97,Los del Fuego - Jurabas Tu,35,62,,6392,1588.0,15711,6392,199939,Los del Fuego,Jurabas Tu
63,+33,Tiago PZK - Piel (w/ Ke Personajes),834,1,(x82),6391,548.0,38742,1059,19814416,Tiago PZK,Piel (w/ Ke Personajes)
64,=,Milo j - Niño,231,42,,6335,-244.0,44961,-122,1719721,Milo j,Niño
65,+64,Grupo Aliados - Me Estoy Muriendo por Ti,70,65,,6312,1055.0,15735,6312,377124,Grupo Aliados,Me Estoy Muriendo por Ti
66,+58,Tropical Florida - Quien Diría,207,57,,6294,991.0,16123,6294,1107439,Tropical Florida,Quien Diría
67,+11,Michael Jackson - Beat It,20,67,,6250,34.0,41324,514,110391,Michael Jackson,Beat It
68,+104,Banda Tava'i Oficial - Partido en Dos,482,19,,6208,1508.0,19775,6208,4087647,Banda Tava'i Oficial,Partido en Dos
69,+83,"Laurinha Costa - Six Seven (w/ Dj Cabello, Dj Tchouzen, SoundMusic Original)",27,61,,6199,1352.0,20590,6199,148605,Laurinha Costa,"Six Seven (w/ Dj Cabello, Dj Tchouzen, SoundMusic Original)"
70,-9,Dominic Fike - Babydoll,59,40,,6101,-655.0,45213,-398,400608,Dominic Fike,Babydoll
71,-20,La Factoria - Perdóname (w/ Eddy Lover),841,42,,6028,-1172.0,45093,-371,5219139,La Factoria,Perdóname (w/ Eddy Lover)
72,-12,Oscar Maydon - Tu Boda (w/ Fuerza Regida),453,15,,6001,-759.0,43921,-202,3555515,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
73,-20,Xavi - En Privado (w/ Manuel Turizo),432,13,,5920,-1175.0,43034,-479,4802035,Xavi,En Privado (w/ Manuel Turizo)
74,RE,Jorge Acosta - Te Voy Amar,1250,10,,5918,,9830,5918,9073980,Jorge Acosta,Te Voy Amar
75,-12,Yan Block - Yo sé (w/ TORRRES),523,11,,5863,-782.0,41603,198,5171878,Yan Block,Yo sé (w/ TORRRES)
76,-22,Rauw Alejandro - Qué Pasaría... (w/ Bad Bunny),547,11,,5834,-1174.0,43401,-438,6876826,Rauw Alejandro,Qué Pasaría... (w/ Bad Bunny)
77,-6,"Calle 24 - Que Onda (w/ Chino Pacas, Fuerza Regida)",466,12,,5821,-584.0,41113,-69,6534778,Calle 24,"Que Onda (w/ Chino Pacas, Fuerza Regida)"
78,-3,Yan Block - Talento (w/ Panda Black),159,29,,5794,-563.0,42048,-304,1397543,Yan Block,Talento (w/ Panda Black)
79,-20,Omar Courtz - SI ESTÁS CON ALGUIEN,85,51,,5764,-1011.0,44330,-581,572943,Omar Courtz,SI ESTÁS CON ALGUIEN
80,RE,Grupo Azteka - Mary Es Mi Amor,476,44,,5742,,9969,5742,3215952,Grupo Azteka,Mary Es Mi Amor
81,-9,Yan Block - 444 (w/ Panda Black),493,16,,5697,-690.0,39749,159,4600427,Yan Block,444 (w/ Panda Black)
82,+91,Los Grey's - Temporal De Amor,56,82,,5696,1012.0,14824,5696,295549,Los Grey's,Temporal De Amor
83,-17,Bad Bunny - Moscow Mule,1422,1,(x3),5661,-878.0,42895,-736,21588472,Bad Bunny,Moscow Mule
84,-22,Tainy - MOJABI GHOST (w/ Bad Bunny),893,29,,5653,-1053.0,42827,-464,7109647,Tainy,MOJABI GHOST (w/ Bad Bunny)
85,-27,Myke Towers - SOLEAO (w/ Quevedo),349,12,,5638,-1189.0,44451,-1321,4012481,Myke Towers,SOLEAO (w/ Quevedo)
86,-12,Omar Courtz - WHAT U NEED? (SexPlaylist 2) (w/ Myke Towers),82,61,,5633,-744.0,42639,-575,462860,Omar Courtz,WHAT U NEED? (SexPlaylist 2) (w/ Myke Towers)
87,+32,The Police - Every Breath You Take,474,63,,5624,253.0,38485,96,2442471,The Police,Every Breath You Take
88,NEW,Quiñonez & Moray - Ñañe organizana,1,88,,5616,,5616,5616,5616,Quiñonez & Moray,Ñañe organizana
89,-24,"Omar Courtz - Kyoto (w/ De La Rose, Haze)",645,18,,5581,-964.0,43393,-1049,6563055,Omar Courtz,"Kyoto (w/ De La Rose, Haze)"
90,+48,Super Express - Se Murió De Amor,179,65,,5572,498.0,20217,5572,974970,Super Express,Se Murió De Amor
91,-11,El De Las R's - Beretta (De Los Cerros La Escuela),32,80,,5560,-568.0,38476,500,169551,El De Las R's,Beretta (De Los Cerros La Escuela)
92,RE,Tierra Adentro - Fiesta Patronal,17,92,,5559,,5559,5559,65008,Tierra Adentro,Fiesta Patronal
93,RE,Tierra Adentro - Más que Ayer,22,93,,5550,,5550,5550,74783,Tierra Adentro,Más que Ayer
94,-13,"Maluma - Cuatro Babys (w/ Trap Capos, Noriel, Bryant Myers, Juhn)",794,8,,5531,-580.0,41401,-490,4173503,Maluma,"Cuatro Babys (w/ Trap Capos, Noriel, Bryant Myers, Juhn)"
95,-19,KAROL G - Si Antes Te Hubiera Conocido,694,1,(x34),5528,-792.0,40974,-891,12801246,KAROL G,Si Antes Te Hubiera Conocido
96,-41,Zion & Lennox - Otra vez (w/ J Balvin),1791,1,(x101),5526,-1384.0,43663,-924,9026692,Zion & Lennox,Otra vez (w/ J Balvin)
