Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Berechet - DEUCESS (w/ VANILLA),11,1,(x9),80385,1977.0,469749,24353,619149,Berechet,DEUCESS (w/ VANILLA)
2,=,Babasha - Așa și așa (w/ Denis Ramniceanu),11,2,(x6),79639,17158.0,402062,33914,529982,Babasha,Așa și așa (w/ Denis Ramniceanu)
3,+2,MADATORRICELLI - Nebunatica (w/ LiToo The Purp),19,2,(x5),47265,5090.0,300688,-6934,701711,MADATORRICELLI,Nebunatica (w/ LiToo The Purp)
4,=,VANILLA - TRECI PESTE,88,1,(x13),44461,2007.0,285835,2753,3755225,VANILLA,TRECI PESTE
5,+1,Mariano - Te juri ca vrei,72,1,(x5),39816,4629.0,243273,-1482,2658651,Mariano,Te juri ca vrei
6,NEW,Drake - Make Them Cry,1,6,,39494,,39494,39494,39494,Drake,Make Them Cry
7,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,7,,38581,,38581,38581,38581,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
8,-1,Lazy Ed - Mă sună nebunele,89,2,(x2),37336,2469.0,219909,4143,2955394,Lazy Ed,Mă sună nebunele
9,-6,BTS - SWIM,57,1,(x16),36345,-14165.0,284402,-10791,2365837,BTS,SWIM
10,-1,Babasha - Papaya,85,5,,34589,4309.0,221942,1261,1937058,Babasha,Papaya
11,-3,MADATORRICELLI - NA BELEA,57,6,,33741,2343.0,220805,-3891,1493809,MADATORRICELLI,NA BELEA
12,NEW,Drake - National Treasures,1,12,,33700,,33700,33700,33700,Drake,National Treasures
13,NEW,Drake - Dust,1,13,,33022,,33022,33022,33022,Drake,Dust
14,NEW,Drake - Whisper My Name,1,14,,32119,,32119,32119,32119,Drake,Whisper My Name
15,-5,Luis Gabriel - Jamaica - Live,11,10,,31986,1913.0,167777,10229,236325,Luis Gabriel,Jamaica - Live
16,-5,Lazy Ed - Mor după tine (w/ JO),44,1,(x16),31892,5044.0,189495,-2631,1772378,Lazy Ed,Mor după tine (w/ JO)
17,-4,"rares - Taj Mahal (w/ Lazy Ed, Costel Biju)",66,2,(x1),30321,5802.0,169310,5463,2067783,rares,"Taj Mahal (w/ Lazy Ed, Costel Biju)"
