Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Jin - Don’t Say You Love Me,365,1,(x337),74402,-4752.0,481772,11345,49964943,Jin,Don’t Say You Love Me
2,=,Jimin - Who,666,1,(x142),49575,-3938.0,352963,-19232,54365487,Jimin,Who
3,NEW,Drake - Make Them Cry,1,3,(x1),40468,,40468,40468,40468,Drake,Make Them Cry
4,-1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),602,1,(x3),39696,-517.0,293527,-6142,6693879,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
5,=,Jung Kook - Seven (w/ Latto),1037,1,(x177),34686,2821.0,169214,14554,40108948,Jung Kook,Seven (w/ Latto)
6,-2,BTS - SWIM,57,1,(x10),32210,-884.0,240244,-2548,3029035,BTS,SWIM
7,NEW,Drake - Dust,1,7,,32020,,32020,32020,32020,Drake,Dust
8,NEW,Gracie Abrams - Hit the Wall,1,8,,31748,,31748,31748,31748,Gracie Abrams,Hit the Wall
9,-2,Bruno Mars - Risk It All,78,2,(x18),30980,-560.0,222866,-3125,3742422,Bruno Mars,Risk It All
10,NEW,Drake - Whisper My Name,1,10,,30933,,30933,30933,30933,Drake,Whisper My Name
11,-5,Olivia Rodrigo - drop dead,29,3,(x4),29987,-1637.0,230668,-4785,1271511,Olivia Rodrigo,drop dead
12,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,12,,29341,,29341,29341,29341,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
13,-5,Katy Perry - The One That Got Away,99,7,,29166,-328.0,199121,621,1467158,Katy Perry,The One That Got Away
14,-5,Malcolm Todd - Earrings,93,7,,28312,-697.0,201254,2303,1506922,Malcolm Todd,Earrings
15,-5,CORTIS - REDRED,26,6,,26782,-1600.0,196902,-2873,701753,CORTIS,REDRED
16,NEW,Drake - National Treasures,1,16,,26481,,26481,26481,26481,Drake,National Treasures
17,NEW,Drake - Janice STFU,1,17,,26356,,26356,26356,26356,Drake,Janice STFU
18,-7,BABYMONSTER - CHOOM,12,7,,26098,-956.0,188974,-4589,316328,BABYMONSTER,CHOOM
19,-5,sombr - back to friends,434,4,,23568,61.0,163682,-739,14407662,sombr,back to friends
20,-7,张紫宁 / 李鑫一 - 一念 (影视剧《逐玉》插曲),33,8,,23509,-887.0,166564,-2189,921435,张紫宁 / 李鑫一,一念 (影视剧《逐玉》插曲)
21,-9,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),99,8,,23495,-1513.0,171580,-2774,2247553,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
22,-4,LBI利比 - 跳楼机,467,1,(x79),23007,288.0,152827,1215,22148065,LBI利比,跳楼机
23,-1,aespa - WDA (Whole Different Animal) (w/ G-DRAGON),5,22,,22949,2754.0,96747,22949,96747,aespa,WDA (Whole Different Animal) (w/ G-DRAGON)
24,RE,Drake - What Did I Miss?,11,24,,22931,,22931,22931,113976,Drake,What Did I Miss?
25,-9,Taylor Swift - The Fate of Ophelia,225,1,(x1),22754,-498.0,160621,-1449,9816411,Taylor Swift,The Fate of Ophelia
26,-11,Justin Bieber - DAISIES,309,6,,22591,-858.0,168170,-3818,6837794,Justin Bieber,DAISIES
27,NEW,Drake - Shabang,1,27,,22455,,22455,22455,22455,Drake,Shabang
28,-9,Daniel Caesar - Who Knows,204,10,,22126,729.0,145510,2406,4237421,Daniel Caesar,Who Knows
29,-12,PinkPantheress - Stateside + Zara Larsson (w/ Zara Larsson),133,2,(x4),22054,-910.0,157055,-1301,3829634,PinkPantheress,Stateside + Zara Larsson (w/ Zara Larsson)
30,NEW,Drake - B's On The Table (w/ 21 Savage),1,30,,21479,,21479,21479,21479,Drake,B's On The Table (w/ 21 Savage)
31,NEW,Drake - Make Them Pay,1,31,,20692,,20692,20692,20692,Drake,Make Them Pay
32,-12,Dominic Fike - Babydoll,91,8,,20471,-700.0,149581,-1367,2016691,Dominic Fike,Babydoll
33,NEW,Drake - 2 Hard 4 The Radio,1,33,,19873,,19873,19873,19873,Drake,2 Hard 4 The Radio
34,-10,张远 - 看着我的眼睛说,349,6,,19735,21.0,134116,333,9025160,张远,看着我的眼睛说
35,-14,Lady Gaga - Die With A Smile (w/ Bruno Mars),638,1,(x18),19707,-898.0,140348,-1349,30376839,Lady Gaga,Die With A Smile (w/ Bruno Mars)
36,-10,Michael Jackson - Billie Jean,21,22,,19405,-92.0,133331,525,342667,Michael Jackson,Billie Jean
37,-8,马也_Crabbit - 海屿你 (w/ Cole先生),64,27,,19212,346.0,127977,843,873435,马也_Crabbit,海屿你 (w/ Cole先生)
