Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),35,1,(x27),18065,2208.0,117709,-3825,679706,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
2,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,2,(x1),17464,,17464,17464,17464,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
3,NEW,Drake - Make Them Cry,1,3,(x1),17420,,17420,17420,17420,Drake,Make Them Cry
4,NEW,Drake - Dust,1,4,,14985,,14985,14985,14985,Drake,Dust
5,NEW,Drake - National Treasures,1,5,,14463,,14463,14463,14463,Drake,National Treasures
6,NEW,Drake - Whisper My Name,1,6,,14118,,14118,14118,14118,Drake,Whisper My Name
7,-5,Separ - Zub za zub (w/ Raphael),345,1,(x89),13968,1498.0,89482,-376,6614853,Separ,Zub za zub (w/ Raphael)
8,NEW,Drake - Janice STFU,1,8,,12642,,12642,12642,12642,Drake,Janice STFU
9,-6,P T K - KENPACHI&YACHIRU,25,2,(x1),12247,37.0,71289,2961,292372,P T K,KENPACHI&YACHIRU
10,-4,Michael Jackson - Billie Jean,38,4,,11623,1223.0,71154,87,256886,Michael Jackson,Billie Jean
11,-7,Raphael - Ticho,22,1,(x5),11546,361.0,79390,-1934,343554,Raphael,Ticho
12,-7,Dominic Fike - Babydoll,105,1,(x21),11526,783.0,75971,-666,1386559,Dominic Fike,Babydoll
13,-6,Raphael - 23,100,1,(x31),11463,1074.0,74503,-947,1846578,Raphael,23
14,NEW,Drake - Shabang,1,14,,10756,,10756,10756,10756,Drake,Shabang
15,-7,"Separ - Body to body (w/ French Montana, Peter Pann)",413,1,(x60),10685,746.0,67663,-608,7724374,Separ,"Body to body (w/ French Montana, Peter Pann)"
16,-5,Michael Jackson - Beat It,23,8,,10371,957.0,64801,-249,191543,Michael Jackson,Beat It
17,-8,Temper City - Self Aware,55,6,,10311,490.0,68561,82,410390,Temper City,Self Aware
18,NEW,P T K - RAYMAN,1,18,,10214,,10214,10214,10214,P T K,RAYMAN
19,NEW,Drake - 2 Hard 4 The Radio,1,19,,10066,,10066,10066,10066,Drake,2 Hard 4 The Radio
