Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",156,1,(x73),26638,774.0,182872,-2150,3598166,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
2,=,Omar Courtz - KOKO,85,1,(x14),22786,1042.0,151915,505,1800992,Omar Courtz,KOKO
3,=,BTS - SWIM,57,1,(x15),21678,1292.0,143771,-48,1372231,BTS,SWIM
4,=,Peso Pluma - daño (w/ Tito Double P),141,3,(x4),20633,922.0,132274,1603,2319878,Peso Pluma,daño (w/ Tito Double P)
5,=,Fuerza Regida - TU SANCHO,374,1,(x2),19888,847.0,132859,-811,5621972,Fuerza Regida,TU SANCHO
6,=,Fuerza Regida - COQUETA (w/ Grupo Frontera),453,3,(x8),17972,1083.0,122215,-829,7035230,Fuerza Regida,COQUETA (w/ Grupo Frontera)
7,+1,Bad Bunny - BAILE INoLVIDABLE,496,1,(x54),15276,643.0,102447,-7,12316169,Bad Bunny,BAILE INoLVIDABLE
8,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,85,5,,15107,229.0,100300,350,1300168,Omar Courtz,POR SI MAÑANA NO ESTOY
9,=,Fuerza Regida - Marlboro Rojo,377,3,(x2),15098,637.0,102832,-874,5442334,Fuerza Regida,Marlboro Rojo
10,+2,Bad Bunny - EoO,495,1,(x87),14789,780.0,99111,-503,12030994,Bad Bunny,EoO
11,-1,Lenin Ramírez - Todo Lo Fue,97,7,,14669,381.0,103947,-1235,1105611,Lenin Ramírez,Todo Lo Fue
12,-1,Oscar Maydon - Tu Boda (w/ Fuerza Regida),591,1,(x60),14546,401.0,94710,290,9944710,Oscar Maydon,Tu Boda (w/ Fuerza Regida)
13,=,Fuerza Regida - EXCESOS,281,12,,14012,452.0,92897,290,2073593,Fuerza Regida,EXCESOS
14,=,J Balvin - LA CANCIÓN (w/ Bad Bunny),2513,1,(x15),13794,313.0,91405,-148,28661363,J Balvin,LA CANCIÓN (w/ Bad Bunny)
15,=,Fuerza Regida - ANSIEDAD,379,7,,13792,321.0,93716,-528,4433183,Fuerza Regida,ANSIEDAD
16,+1,Plan B - Es un Secreto,1857,3,(x26),13405,327.0,91357,140,22975916,Plan B,Es un Secreto
17,-1,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)",496,1,(x1),13327,17.0,89251,-321,10026410,Bad Bunny,"VeLDÁ (w/ Omar Courtz, Dei V)"
18,+1,Bad Bunny - KLOuFRENS,496,3,(x1),13192,544.0,86345,108,8723554,Bad Bunny,KLOuFRENS
19,+1,Danny Ocean - Me Rehúso,3412,1,(x24),13119,516.0,88498,-280,19011470,Danny Ocean,Me Rehúso
20,+1,Tito Double P - POR SUS BESOS,309,1,(x4),13069,477.0,87129,163,4072744,Tito Double P,POR SUS BESOS
21,-3,Michael Jackson - Billie Jean,30,13,,13050,378.0,88430,5,300960,Michael Jackson,Billie Jean
22,=,"Héctor ""El Father"" - El Telefono (w/ Wisin & Yandel)",724,2,(x1),12940,507.0,88307,-328,5683602,"Héctor ""El Father""",El Telefono (w/ Wisin & Yandel)
23,+41,Jimin - Who,645,1,(x63),12471,3432.0,49843,5728,10162036,Jimin,Who
24,+2,Bad Bunny - DtMF,496,1,(x40),12460,582.0,85478,-374,10856073,Bad Bunny,DtMF
25,-1,Omar Courtz - WO OH OH (w/ ROA),85,6,,12453,351.0,87300,-1202,1123133,Omar Courtz,WO OH OH (w/ ROA)
