Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,BTS - SWIM,57,1,(x55),521073,3708.0,3257637,70429,33384408,BTS,SWIM
2,=,aespa - WDA (Whole Different Animal) (w/ G-DRAGON),5,1,(x2),292803,-24545.0,1942478,292803,1942478,aespa,WDA (Whole Different Animal) (w/ G-DRAGON)
3,=,PURPEECH - กลัวว่าฉันจะไม่เสียใจ (Fear),397,1,(x67),187612,5369.0,1300429,1980,61541410,PURPEECH,กลัวว่าฉันจะไม่เสียใจ (Fear)
4,=,Jung Kook - Seven (w/ Latto),1030,1,(x110),179192,19503.0,1124197,17511,243426474,Jung Kook,Seven (w/ Latto)
5,=,PUN - Living Death,387,3,(x1),149989,12921.0,974098,18150,26320645,PUN,Living Death
6,=,WANYAi - ดาวตก (Wish) (w/ Z9),226,1,(x5),127176,-3190.0,870713,7192,45157198,WANYAi,ดาวตก (Wish) (w/ Z9)
7,=,Maiyarap - Rain Zone (w/ Z9),85,5,,118389,-3946.0,804211,12515,8734778,Maiyarap,Rain Zone (w/ Z9)
8,=,Saran - กลัวความเสียใจ (w/ Pearpilincys),155,4,,117428,761.0,857144,-1271,17264076,Saran,กลัวความเสียใจ (w/ Pearpilincys)
9,+1,ALIE BLACKCOBRA - มือเปล่า (PUT THE GUN DOWN),19,9,,111720,3975.0,741243,11852,1536631,ALIE BLACKCOBRA,มือเปล่า (PUT THE GUN DOWN)
10,+1,guncharlie - จากกันโดยสมบูรณ์,460,6,,108385,881.0,711381,9924,38757247,guncharlie,จากกันโดยสมบูรณ์
11,+6,PUN - รักให้เธอได้รู้ (Proof.),22,11,,106859,6809.0,668211,15242,1759555,PUN,รักให้เธอได้รู้ (Proof.)
12,=,GAVIN:D - ได้แค่เดินมาส่ง (The Last Walk) (w/ BLVCKHEART),30,8,,103206,-1846.0,740107,3930,2422686,GAVIN:D,ได้แค่เดินมาส่ง (The Last Walk) (w/ BLVCKHEART)
13,+3,Jimin - Who,666,1,(x128),102882,2350.0,683187,14677,208381651,Jimin,Who
14,+4,Z9 - บทสรุปสุดท้าย,421,2,(x5),102674,3068.0,676081,13138,49381337,Z9,บทสรุปสุดท้าย
15,-1,BOWKYLION - ที่คั่นหนังสือ (Sometimes) (w/ NONT TANONT),386,2,(x4),101866,-1612.0,661903,16042,55025446,BOWKYLION,ที่คั่นหนังสือ (Sometimes) (w/ NONT TANONT)
16,+4,BABYMONSTER - CHOOM,12,2,(x1),101806,7531.0,776538,-39871,1612390,BABYMONSTER,CHOOM
17,-2,YOUNGOHM - Sunset In Pattaya,195,2,(x2),98525,-2772.0,671268,872,28643208,YOUNGOHM,Sunset In Pattaya
18,+3,SPF - 9 นาฬิกา,851,5,,97314,4210.0,626924,5570,57024166,SPF,9 นาฬิกา
19,-6,Yes'sir Days - ฝากให้เขารัก,276,1,(x1),96510,-7204.0,690940,-1668,40616984,Yes'sir Days,ฝากให้เขารัก
20,+7,KLEAR - คำยินดี,117,8,,94799,7011.0,617956,4912,5490832,KLEAR,คำยินดี
21,+3,V - FRI(END)S,273,1,(x14),94433,3109.0,647621,11222,36695948,V,FRI(END)S
22,+1,BLVCKHEART - อยากจะกอดเธอนาน ๆ (HAVE A GOOD TIME),339,1,(x9),94074,1746.0,623223,8899,50805754,BLVCKHEART,อยากจะกอดเธอนาน ๆ (HAVE A GOOD TIME)
23,+2,V - Slow Dancing,484,2,(x33),92862,3399.0,638336,10861,49036289,V,Slow Dancing
24,-5,Sexski - รู้ตัวอีกที (w/ 2T FLOW),137,7,,92374,-6260.0,631891,5151,13979428,Sexski,รู้ตัวอีกที (w/ 2T FLOW)
25,-3,Mild - ซาโยนาระ,360,18,,89180,-3167.0,605570,8096,21707632,Mild,ซาโยนาระ
26,-17,Anyma - Bad Angel (w/ LISA),38,2,(x5),85487,-30134.0,678664,-25023,5629328,Anyma,Bad Angel (w/ LISA)
27,-1,Musketeers - ความทรงจำ,1444,6,,83859,-3977.0,521927,11887,67322033,Musketeers,ความทรงจำ
28,=,PUN - ที่เดิม,602,11,,78565,-6087.0,570877,-2154,55184426,PUN,ที่เดิม
29,+8,YOUNGOHM - นครดารา,203,5,,77757,4273.0,526817,722,26975902,YOUNGOHM,นครดารา
30,+3,YOUNGOHM - ใจฉันตามเธอไป,200,1,(x62),76726,-19.0,514557,2936,39709831,YOUNGOHM,ใจฉันตามเธอไป
31,+4,Bedroom Audio - กอดไม่ได้,992,18,,76535,1677.0,491780,5348,39728807,Bedroom Audio,กอดไม่ได้
32,-2,Dr.Fuu - ใจเหลือเหลือ,409,16,,75071,-6941.0,523562,2281,27975413,Dr.Fuu,ใจเหลือเหลือ
33,+11,YOUNGOHM - ไฟเย็น,1389,14,,73544,7019.0,485398,9324,62390999,YOUNGOHM,ไฟเย็น
34,=,JayQ - Hurry up! (w/ 7Vibes),400,9,,73420,-2412.0,488263,3850,32985031,JayQ,Hurry up! (w/ 7Vibes)
35,+1,YOUNGOHM - เจิดจรัส,365,3,(x2),71767,-2418.0,496016,1296,51695630,YOUNGOHM,เจิดจรัส
36,+2,"Saran - รออยู่อย่างนั้น (w/ Z9, SIMON)",471,10,,71537,-1636.0,483876,2138,37640752,Saran,"รออยู่อย่างนั้น (w/ Z9, SIMON)"
37,+3,P6ICK - 1 OF 1 (w/ SURIYA MQT),302,7,,70236,662.0,477679,3152,32859726,P6ICK,1 OF 1 (w/ SURIYA MQT)
38,-7,BLVCKHEART - One Of My Life (w/ K6Y),470,6,,69996,-10504.0,531521,-10753,48621777,BLVCKHEART,One Of My Life (w/ K6Y)
39,+2,PURPEECH - อาจเป็นเพราะฉันเอง (me.),1105,15,,69390,454.0,492827,13215,57322870,PURPEECH,อาจเป็นเพราะฉันเอง (me.)
40,-11,LISA - Rockstar,679,1,(x32),69037,-14718.0,502824,-9082,110217070,LISA,Rockstar
41,+14,2Ectasy - Faded - Special Version (w/ Z9),398,5,,69033,7510.0,423786,11971,39873987,2Ectasy,Faded - Special Version (w/ Z9)
42,=,YOUNGOHM - Benz ดำ,189,3,(x31),67199,-778.0,488039,-6886,30929254,YOUNGOHM,Benz ดำ
43,+5,SURIYA MQT - BU (w/ P6ICK),252,2,(x1),66930,2812.0,443277,4663,27947536,SURIYA MQT,BU (w/ P6ICK)
44,-12,LUMMUN - ใจบาง,88,19,,66111,-12289.0,535526,-8644,4454891,LUMMUN,ใจบาง
45,-6,aespa - Whiplash,174,3,(x2),65298,-4759.0,367787,65298,19873143,aespa,Whiplash
46,+3,PUN - I Just Wanna Know,611,9,,64598,730.0,454398,-3163,53916739,PUN,I Just Wanna Know
47,+5,BOWKYLION - วิงวอน (ex-change),543,15,,62977,1070.0,411036,5912,41250168,BOWKYLION,วิงวอน (ex-change)
48,+2,Three Man Down - รักใครไม่ไหว,245,24,,62773,-757.0,410489,5143,11303102,Three Man Down,รักใครไม่ไหว
49,-4,The 38 Years Ago - อ๊ะป่าว?,113,9,,62121,-3827.0,455927,-5720,7744031,The 38 Years Ago,อ๊ะป่าว?
50,-4,Season Five - เลือกเองกับมือ (Bad Choices),141,8,,61344,-4363.0,461623,-9954,11304579,Season Five,เลือกเองกับมือ (Bad Choices)
51,+20,Jung Kook - Standing Next to You,447,1,(x87),61035,7973.0,336188,8072,144400706,Jung Kook,Standing Next to You
52,-5,PUN - DAY ONE,709,4,,59355,-5605.0,467047,-11600,59507284,PUN,DAY ONE
53,-2,Musketeers - ไกล,1443,28,,58971,-3727.0,451055,-5482,37733686,Musketeers,ไกล
54,-11,Bedroom Audio - ไม่บอกเธอ,821,15,,58806,-8150.0,422942,-1127,43784057,Bedroom Audio,ไม่บอกเธอ
55,+1,Justin Bieber - Beauty And A Beat (w/ Nicki Minaj),32,29,,58480,-2426.0,430966,-6582,2041509,Justin Bieber,Beauty And A Beat (w/ Nicki Minaj)
56,+20,"Z9 - CURSE (รักใครไม่เป็น) (w/ 2K, Saran)",472,1,(x2),58320,6626.0,365220,9050,41233655,Z9,"CURSE (รักใครไม่เป็น) (w/ 2K, Saran)"
57,+2,Bedroom Audio - รักมือสอง,1159,21,,57714,-649.0,404199,-3523,33946712,Bedroom Audio,รักมือสอง
58,+35,Zeal - สองรัก,458,22,,56922,8734.0,364110,7996,21100341,Zeal,สองรัก
59,+2,PORZAX - สิ้นสุดความพยายาม,169,38,,56738,-682.0,373722,5210,8871141,PORZAX,สิ้นสุดความพยายาม
60,=,CORTIS - REDRED,26,22,,55406,-2698.0,419673,-7661,1571972,CORTIS,REDRED
61,+14,Cocktail - Yours Ever (w/ Q Flure),589,4,,55381,3230.0,360378,3253,56442506,Cocktail,Yours Ever (w/ Q Flure)
62,=,Lomosonic - ขอ (WARM EYES),100,27,,55028,-1699.0,399221,-3720,4798089,Lomosonic,ขอ (WARM EYES)
63,-5,SEA. - สมดุลรัก (Balance) (w/ Sexski),236,4,,54897,-4245.0,418844,-10365,27399593,SEA.,สมดุลรัก (Balance) (w/ Sexski)
64,-7,Big Ass - ก่อนตาย,785,4,,54600,-6178.0,382644,-3329,50650966,Big Ass,ก่อนตาย
65,+19,JustmineNika - DMMA,20,65,,54447,4616.0,344938,7101,794006,JustmineNika,DMMA
66,+8,Ink Waruntorn - สักวันฉันจะหายดี,464,5,,54226,1900.0,366574,1106,33767149,Ink Waruntorn,สักวันฉันจะหายดี
67,+19,Three Man Down - เพลงรัก,440,5,,54013,4521.0,368085,-7601,31666970,Three Man Down,เพลงรัก
68,-14,Lipta - อยู่ได้แล้ว (w/ Mirrr),648,7,,53827,-8024.0,404179,-7383,53309228,Lipta,อยู่ได้แล้ว (w/ Mirrr)
69,+3,guncharlie - ไม่ได้ลืมแค่ไม่ได้เจอ - Flashback,36,62,,53783,1122.0,366883,-2108,1759731,guncharlie,ไม่ได้ลืมแค่ไม่ได้เจอ - Flashback
70,-17,NCT JNJM - BOTH SIDES,82,12,,53721,-8140.0,369462,116,4456197,NCT JNJM,BOTH SIDES
71,-2,อะตอม ชนกันต์ - PLEASE,442,17,,53618,383.0,356108,9911,25352439,อะตอม ชนกันต์,PLEASE
72,-8,LITTLE JOHN - รสชาติชีวิต,111,8,,52863,-1364.0,373890,-1517,9594484,LITTLE JOHN,รสชาติชีวิต
73,-5,PORZAX - ไม่ใช่ไม่รัก,139,16,,52781,-555.0,378384,-849,9785230,PORZAX,ไม่ใช่ไม่รัก
74,-8,Ariana Grande - Love Me Harder (w/ The Weeknd),115,66,,52755,-1438.0,362823,4239,4862514,Ariana Grande,Love Me Harder (w/ The Weeknd)
75,-5,YOUNGOHM - เรื่องราวความรักในตำนาน (w/ GAVIN:D),950,7,,52258,-903.0,347602,-309,59999002,YOUNGOHM,เรื่องราวความรักในตำนาน (w/ GAVIN:D)
