Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,The Chemical Brothers - Go,14,1,(x8),25156,1400.0,177034,1356,273079,The Chemical Brothers,Go
2,=,Dominic Fike - Babydoll,119,1,(x40),21112,367.0,145910,-1340,2428943,Dominic Fike,Babydoll
3,=,Alena Omargalieva - Фанат,44,2,(x12),20027,2448.0,132087,-847,824710,Alena Omargalieva,Фанат
4,=,FIЇNKA - Вівтар,22,2,(x1),17935,711.0,120964,-2835,375500,FIЇNKA,Вівтар
5,=,madk1d - 8 миля (w/ VILLIAN),85,2,(x3),17601,806.0,117832,-407,1429248,madk1d,8 миля (w/ VILLIAN)
6,=,Tame Impala - Dracula,211,4,,16931,831.0,114388,-571,1915887,Tame Impala,Dracula
7,=,Drevo - Енкарапіста,141,1,(x55),16452,1042.0,115214,-810,3084447,Drevo,Енкарапіста
8,+1,Alena Omargalieva - Не Пʼяна - Закохана - за участі ансамблю «Кралиця»,183,1,(x27),16136,2001.0,108188,-508,3944327,Alena Omargalieva,Не Пʼяна - Закохана - за участі ансамблю «Кралиця»
9,-1,Drevo - Смарагдове небо,358,1,(x141),15578,864.0,110958,-1686,9227339,Drevo,Смарагдове небо
10,=,урал гайсин - священная война,319,3,(x1),14555,637.0,96397,1243,3959524,урал гайсин,священная война
11,+6,"By Индия - Шадэ (w/ Xcho, МОТ)",8,11,,14529,2577.0,71159,8232,77456,By Индия,"Шадэ (w/ Xcho, МОТ)"
12,+1,Tame Impala - Dracula - JENNIE Remix (w/ JENNIE),99,5,,14352,1540.0,93230,-1474,1118761,Tame Impala,Dracula - JENNIE Remix (w/ JENNIE)
13,-2,BTS - SWIM,57,1,(x6),14142,972.0,94237,551,1127973,BTS,SWIM
14,=,Michael Jackson - Billie Jean,43,13,,13664,855.0,91839,-182,399637,Michael Jackson,Billie Jean
15,=,FIЇNKA - Афини,288,3,(x3),13661,1073.0,88555,-206,3965659,FIЇNKA,Афини
16,-4,Nikow - розмова з містом,80,3,(x2),12957,18.0,89129,-371,839977,Nikow,розмова з містом
17,-1,"9mice - Jealous (w/ Egor Kreed, тёмный принц, madk1d)",37,1,(x14),12912,596.0,92108,-2288,811888,9mice,"Jealous (w/ Egor Kreed, тёмный принц, madk1d)"
18,=,Nikow - якщо це не по-справжньому,274,5,,12642,801.0,81827,372,3270763,Nikow,якщо це не по-справжньому
19,=,Michael Jackson - Beat It,21,16,,12460,893.0,81894,576,215198,Michael Jackson,Beat It
20,+5,MAX BARSKIH - Не складається,128,10,,12385,2156.0,81327,-993,1233739,MAX BARSKIH,Не складається
21,+3,"CUPSIZE - Юра, Юра",170,19,,11491,1234.0,72396,699,1420263,CUPSIZE,"Юра, Юра"
22,=,Кажанна - boy,170,1,(x22),11295,716.0,76855,-1255,3252415,Кажанна,boy
23,+9,Domiy - Нагадай,771,4,,11228,1798.0,77909,-946,10484572,Domiy,Нагадай
24,+3,IVAN LIULENOV - ШОВКОВИЦЯ (w/ DAMNITSKYI),351,4,,11210,1017.0,79352,-1584,4455033,IVAN LIULENOV,ШОВКОВИЦЯ (w/ DAMNITSKYI)
25,-5,Temper City - Self Aware,52,19,,11200,117.0,78122,-640,462853,Temper City,Self Aware
26,-3,Кажанна - сльозка,30,4,,11195,738.0,81023,-3959,454569,Кажанна,сльозка
27,+4,Alena Omargalieva - Мужчина,414,3,(x7),10993,1491.0,73682,386,5347835,Alena Omargalieva,Мужчина
28,-7,FACE - ЛАБИРИНТ,1483,5,,10905,300.0,76743,-548,11403663,FACE,ЛАБИРИНТ
29,+8,Шугар - Олєг,400,2,(x12),10668,1436.0,69503,303,5721125,Шугар,Олєг
30,+9,Adam - Повільно,931,2,(x2),10537,1451.0,67547,-282,8516577,Adam,Повільно
