Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,NEW,Drake - Make Them Cry,1,1,(x1),5943055,,5943055,5943055,5943055,Drake,Make Them Cry
2,NEW,"Drake - Ran To Atlanta (w/ Future, Molly Santana)",1,2,(x1),5139611,,5139611,5139611,5139611,Drake,"Ran To Atlanta (w/ Future, Molly Santana)"
3,NEW,Drake - Dust,1,3,(x1),5121384,,5121384,5121384,5121384,Drake,Dust
4,NEW,Drake - Whisper My Name,1,4,,5056195,,5056195,5056195,5056195,Drake,Whisper My Name
5,NEW,Drake - Janice STFU,1,5,,4528197,,4528197,4528197,4528197,Drake,Janice STFU
6,NEW,Drake - National Treasures,1,6,,4206440,,4206440,4206440,4206440,Drake,National Treasures
7,NEW,Drake - Shabang,1,7,,4100123,,4100123,4100123,4100123,Drake,Shabang
8,NEW,Drake - Make Them Pay,1,8,,3678686,,3678686,3678686,3678686,Drake,Make Them Pay
9,NEW,Drake - 2 Hard 4 The Radio,1,9,,3480803,,3480803,3480803,3480803,Drake,2 Hard 4 The Radio
10,NEW,Drake - B's On The Table (w/ 21 Savage),1,10,,3395213,,3395213,3395213,3395213,Drake,B's On The Table (w/ 21 Savage)
11,NEW,Drake - Burning Bridges,1,11,,3192702,,3192702,3192702,3192702,Drake,Burning Bridges
12,NEW,Drake - Plot Twist,1,12,,3192394,,3192394,3192394,3192394,Drake,Plot Twist
13,RE,Drake - What Did I Miss?,47,1,(x2),2971897,,2971897,2971897,32139781,Drake,What Did I Miss?
14,NEW,Drake - Make Them Remember,1,14,,2677109,,2677109,2677109,2677109,Drake,Make Them Remember
15,NEW,Drake - Make Them Know,1,15,,2285899,,2285899,2285899,2285899,Drake,Make Them Know
16,NEW,Drake - Little Birdie,1,16,,2240962,,2240962,2240962,2240962,Drake,Little Birdie
17,NEW,Drake - Don’t Worry,1,17,,2204853,,2204853,2204853,2204853,Drake,Don’t Worry
18,NEW,Drake - Firm Friends,1,18,,2082278,,2082278,2082278,2082278,Drake,Firm Friends
19,-18,Ella Langley - Choosin' Texas,211,1,(x33),1869758,122254.0,12745770,-40413,242370427,Ella Langley,Choosin' Texas
20,NEW,Drake - Hoe Phase,1,20,,1793931,,1793931,1793931,1793931,Drake,Hoe Phase
21,NEW,Drake - WNBA,1,21,,1722668,,1722668,1722668,1722668,Drake,WNBA
22,NEW,Drake - Road Trips,1,22,,1414801,,1414801,1414801,1414801,Drake,Road Trips
23,NEW,Drake - Slap The City (w/ Qendresa),1,23,,1388294,,1388294,1388294,1388294,Drake,Slap The City (w/ Qendresa)
24,NEW,Drake - High Fives,1,24,,1381532,,1381532,1381532,1381532,Drake,High Fives
25,NEW,Drake - Cheetah Print (w/ Sexyy Red),1,25,,1359411,,1359411,1359411,1359411,Drake,Cheetah Print (w/ Sexyy Red)
26,NEW,Drake - Fortworth (w/ PARTYNEXTDOOR),1,26,,1293491,,1293491,1293491,1293491,Drake,Fortworth (w/ PARTYNEXTDOOR)
27,-24,Michael Jackson - Billie Jean,143,2,(x1),1228275,66268.0,7986671,116451,60585613,Michael Jackson,Billie Jean
28,NEW,Drake - Classic,1,28,,1224148,,1224148,1224148,1224148,Drake,Classic
29,-27,Malcolm Todd - Earrings,132,2,(x4),1220860,-4467.0,8324899,33887,82560071,Malcolm Todd,Earrings
30,NEW,Drake - I'm Spent (w/ Loe Shimmy),1,30,,1196260,,1196260,1196260,1196260,Drake,I'm Spent (w/ Loe Shimmy)
31,NEW,Drake - Rusty Intro,1,31,,1177732,,1177732,1177732,1177732,Drake,Rusty Intro
32,NEW,Gracie Abrams - Hit the Wall,1,32,,1175137,,1175137,1175137,1175137,Gracie Abrams,Hit the Wall
