Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total,Artist,Track
1,=,"Lauta - Puñaladas (w/ Amigo de Artistas, Tote)",154,1,(x78),21135,2799.0,131143,2251,2793220,Lauta,"Puñaladas (w/ Amigo de Artistas, Tote)"
2,=,Quevedo - AL GOLPITO (w/ Nueva Línea),19,2,(x3),15799,1688.0,92163,2653,200671,Quevedo,AL GOLPITO (w/ Nueva Línea)
3,=,Max Carra - UWAIE - versión cumbia,528,2,(x60),14665,2201.0,91199,2558,8071807,Max Carra,UWAIE - versión cumbia
4,=,Omar Courtz - KOKO,82,3,(x1),13432,1003.0,85336,1683,866918,Omar Courtz,KOKO
5,=,Omar Courtz - FOREVER TU GANTEL (w/ Ñengo Flow),85,2,(x6),12896,1140.0,82021,989,1228971,Omar Courtz,FOREVER TU GANTEL (w/ Ñengo Flow)
6,+4,"Lauta - You Are Re Hermosa (w/ Matías Valdez, Tote, Nico Valdi)",85,5,,12666,2256.0,73461,2238,981649,Lauta,"You Are Re Hermosa (w/ Matías Valdez, Tote, Nico Valdi)"
7,=,"El Bogueto - Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)",154,7,,12562,1170.0,78758,979,1955780,El Bogueto,"Cuando No Era Cantante - Remix (w/ Anuel AA, Fuerza Regida, Yung Beef)"
8,+3,"Roze Oficial - Tu jardín con enanitos (w/ Max Carra, Valen, RAMKY EN LOS CONTROLES)",23,3,(x4),12091,1888.0,75862,959,269831,Roze Oficial,"Tu jardín con enanitos (w/ Max Carra, Valen, RAMKY EN LOS CONTROLES)"
9,-1,Omar Courtz - POR SI MAÑANA NO ESTOY,82,7,,11995,711.0,76296,547,810188,Omar Courtz,POR SI MAÑANA NO ESTOY
10,-4,BTS - SWIM,57,2,(x13),11853,129.0,84873,-1444,815223,BTS,SWIM
11,-2,"Ryan Castro - LA VILLA (w/ Kapo, Gangsta)",139,1,(x44),11480,1000.0,77357,76,2788776,Ryan Castro,"LA VILLA (w/ Kapo, Gangsta)"
12,+2,La T y La M - Soy Favela,162,1,(x2),10689,1660.0,68265,1157,3098995,La T y La M,Soy Favela
13,-1,La Penúltima - Mariposas,618,3,(x1),10635,843.0,71146,-153,5522730,La Penúltima,Mariposas
14,+2,La Misma Cuadra - Prisionero,265,14,,10325,1919.0,59740,2187,1422864,La Misma Cuadra,Prisionero
15,-2,"Migrantes - Amor del Agro (w/ Matías Valdez, Nico Valdi)",28,4,,10185,891.0,69983,-543,272143,Migrantes,"Amor del Agro (w/ Matías Valdez, Nico Valdi)"
16,+1,"W Sound - La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)",449,1,(x123),9811,1444.0,62020,1129,10585367,W Sound,"La Plena - W Sound 05 (w/ Beéle, Ovy On The Drums)"
17,-2,Quevedo - LA GRACIOSA (w/ Elvis Crespo),20,15,,9505,801.0,52977,2666,123933,Quevedo,LA GRACIOSA (w/ Elvis Crespo)
18,=,La T y La M - Amor de Vago (w/ Malandro),609,1,(x10),8973,630.0,58377,1218,9491605,La T y La M,Amor de Vago (w/ Malandro)
19,+7,La Penúltima - Muero Por Ti,460,15,,8969,1580.0,56578,460,3024668,La Penúltima,Muero Por Ti
20,+1,Beéle - no tiene sentido,361,3,(x2),8796,875.0,53030,1339,6025916,Beéle,no tiene sentido
21,+2,Rels B - TU VAS SIN (fav),310,2,(x3),8782,1112.0,56443,135,5292329,Rels B,TU VAS SIN (fav)
22,NEW,"LIT killah - Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)",1,22,,8738,,8738,8738,8738,LIT killah,"Si Te Vas 2.0 (w/ Paulo Londra, KHEA, Ramma)"
23,+7,La Misma Cuadra - Voy A Olvidarme De Mí / Pídeme La Luna / A Puro Dolor (w/ Piso 10),60,8,,8681,1539.0,54955,496,566610,La Misma Cuadra,Voy A Olvidarme De Mí / Pídeme La Luna / A Puro Dolor (w/ Piso 10)
24,+1,"Ovy On The Drums - YO y TÚ (w/ Quevedo, Beéle)",338,1,(x14),8673,1179.0,52054,1565,6450000,Ovy On The Drums,"YO y TÚ (w/ Quevedo, Beéle)"
25,-3,Tincho & Javi - Loco Enamorado I Varieté #4 (w/ Max Carra),262,9,,8506,760.0,55188,837,2601353,Tincho & Javi,Loco Enamorado I Varieté #4 (w/ Max Carra)
26,-6,Tan Bionica - Obsesionario en La Mayor,819,14,,8442,279.0,55722,-42,4185073,Tan Bionica,Obsesionario en La Mayor
27,=,El Plan De La Mariposa - Túnel de la Vida,335,19,,8334,996.0,51365,505,1822293,El Plan De La Mariposa,Túnel de la Vida
28,-9,Jay Wheeler - De Lejitos,36,2,(x2),8297,84.0,54644,296,397778,Jay Wheeler,De Lejitos
29,-5,Michael Jackson - Billie Jean,49,23,,8162,608.0,52949,1017,225176,Michael Jackson,Billie Jean
30,+1,La Dosis - Si Te Pillara (w/ LA NUEVA ESCUELA),219,2,(x35),8082,1033.0,50105,729,4058193,La Dosis,Si Te Pillara (w/ LA NUEVA ESCUELA)
31,+8,"Juanjo Morgade - Pa Que Escondernos (w/ LA NUEVA ESCUELA, ONE PLAY)",168,18,,7986,1408.0,44675,1522,1428826,Juanjo Morgade,"Pa Que Escondernos (w/ LA NUEVA ESCUELA, ONE PLAY)"
32,-3,Huan62 - Skokka,12,29,,7734,571.0,42084,2988,63595,Huan62,Skokka
33,+14,Maxi Alvarez - Quedate (w/ ONE PLAY),323,23,,7612,1607.0,43471,1083,2392742,Maxi Alvarez,Quedate (w/ ONE PLAY)
34,+4,Bad Bunny - BAILE INoLVIDABLE,496,2,(x12),7451,735.0,46160,901,6836184,Bad Bunny,BAILE INoLVIDABLE
